synset_id	concept	gloss	wordnet21id	supersense	supersense_src	n_member_lemmas	n_tokens	member_lemmas_slp1	decode_src
95322	endow	give qualities or abilities to			none	17	277	yuj|sampad|upe|saMyuj|samAyuj|upapad|juz|sampf|aBipad|samAviS|same|samanvAgam|sev|Avf|upayuj|paripf|samudi	word-senses
130298	tīkṣṇaloha	[min] tīkṣṇaloha; a kind of iron, steel		substance	propagated	20	276	tIkzRa|tIkzRaloha|tIkzRaka|niSita|ayas|citrAyasa|cInaja|Ayasa|tIvra|piRqa|piRqAyasa|SaWa|SastrAyasa|Sastra|muRqaja|lohaKaqga|kAntaloha|tIkzRasAra|mfduloha|sUkzmalohaka	word-senses
42633	Ganges	an Asia river; rises in the Himalayas and flows east into the Bay of Bengal; a sacred river of Hindu India		object	propagated	31	275	gaNgA|jAhnavI|BAgIraTI|tripaTagA|mahAnadI|surasarit|saridvarA|devanadI|jahnukanyA|SElaputrI|trisrotas|suranimnagA|hEmavatI|vizRupadI|amaratawinI|nalinI|BIzmasU|dUrapArA|jahnutanayA|jahnusutA|dyusinDu|suranadI|surasinDu|surApagA	word-senses
48630	warrior	someone engaged in or experienced in warfare	10607	person	direct	13	274	raTa|atiraTa|satvan|SastraBft|AyuDin|yoDin|AyuDIya|yuD|yuDma|satvana|yoDaka|raRapaRqita|pratiyuD	word-senses
67654	auspicious	tending to favor or bring good luck; 'miracles are auspicious accidents'; 'encouraging omens'; 'a favorable time to ask for a raise'; 'lucky stars'; 'a prosperous moment to make a decision'			none	17	274	puRya|SuBa|Siva|SrImat|Badra|Danya|maNgalya|sOmya|suBaga|kalyARa|maNgala|mANgalya|SoBana|Sreyaskara|sUnftAvat|SAnta|SivaMkara	word-senses
94716	sacrifice	make a sacrifice of; in religious rituals			none	17	274	yaj|hu|dAS|Ahu|AlaB|upahf|Ahf|nirvap|viniveday|aDvarIy|homay|niveday|dA|puraskf|pradA|samupanI|upahArIkf	word-senses
96738	equally	(often followed by `as') to the same degree; 'they were equally beautiful'; 'birds were singing and the child sang as sweetly'; 'sang as sweetly as a nightingale'; (`every bit' is informal as in 'he is every bit as mean as she is')			none	2	274	vat|yaTA	word-senses
127929	Pāṇḍava	the five famous sons of Pāṇḍu; actors of the MBh		person	propagated	6	273	pARqava|pArTa|pARqu|pARqaveya|kOnteya|kOravya	word-senses
25729	body part	any part of an organism such as an organ or extremity	05158	body	direct	10	272	aNga|gAtra|deSa|avayava|sTAna|pradeSa|BAga|avakASa|SarIra|deha	word-senses
60905	truth	conformity to reality or actuality; 'they debated the truth of the proposition'; 'the situation brought home to us the blunt truth of the military threat'; 'he was famous for the truth of his portraits'; 'he turned to religion in his search for eternal ve		Tops	propagated	3	272	satya|tattva|fta	word-senses
93381	reach	reach a destination, either real or abstract; 'We hit Detroit by noon'; 'The water reached the doorstep'; 'We barely made the plane'; 'I have to hit the MAC machine before the weekend starts'			none	30	271	prAp|AsAday|anuprAp|samAsAday|gam|Ap|aS|samprAp|aBiprapad|aDizWA|ASri|AsTA|nakz|yA|avAp|samanuprAp|aDigam|tf|Sri|vraj|laB|aBipratipad|aBisampad|aByupagam	word-senses
129820	what	what?			none	2	268	ka|kiMviSizwa	word-senses
86264	prepare	make ready or suitable in advance for a particular purpose or for some use, event, etc; 'Get the children ready for school!'; 'prepare for war'			none	24	268	siD|sADay|saMskf|kalpay|udyam|saMsiD|kf|niyuj|kﾱp|alaMkf|parisADay|viDA|saMsADay|racay|BAvay|upakf|upasaMBf|upAhf|nirmA|saMnah|samAyuj|anusADay|Akalpay|izkf	word-senses
96727	always	at any time or in any event; 'you can always resign if you don't like it'; 'you could always take a day off'			none	2	268	sadA|sarvatra	word-senses
86357	disappear	get lost, esp. without warning or explanation; 'He disappeared without a trace'			none	32	267	naS|gam|yA|vigam|vI|vinaS|antarDA|praRaS|ape|pralI|lI|apagam|praSam|vilI|nivft|viniryA|saMlI|gal|pat|DvaMs|sru|mf|apakram|BraMS	word-senses
97821	successively	in proper order or sequence; 'talked to each child in turn'; 'the stable became in turn a chapel and then a movie theater'			none	11	267	kramAt|krameRa|kramaSas|yaTAkramam|anupUrvaSas|kramatas|yaTAkrameRa|eva|yaTAnupUrvyA|AnupUrvaSaH|yaTottaram	word-senses
104052	consisting of	consisting of			none	4	266	maya|Atmaka|ja|BAj	word-senses
65960	night	the time after sunset and before sunrise while it is dark outside	14967	time	direct	26	266	rAtri|niSA|niS|nakta|kzapA|aktu|yAminI|UrmyA|rajanI|kzaRadA|viBAvarI|tamasvinI|atiSarvara|niSITinI|UDas|DvAnta|asiknI|ramyA|rAtra|rAma|yAmavatI|triyAmA|dozA|tamI	word-senses
81282	honorable	used as a title of respect; 'my honorable colleague'; 'our worthy commanding officer'			none	5	264	Bavat|Bagavat|namasya|mAnada|Arya	word-senses
35151	anger	a strong emotion; a feeling that is oriented toward some real or supposed grievance	07414	feeling	direct	11	263	kroDa|kopa|roza|manyu|amarza|ruz|kruD|prakopa|asUyA|pratiGa|heqana	word-senses
59879	one-half	one of two equal parts of a divisible whole; 'half a loaf' or 'half an hour' or 'a century and one half'		quantity	propagated	4	263	arDa|arDaka|pakza|Sakala	word-senses
102104	khalva	a mill for grinding drugs		artifact	propagated	7	262	Kalva|Kalla|Kalvaka|Kallayantra|Karala|Kalvayantra|KallapAzARa	word-senses
18717	medicine	something that treats or prevents or alleviates the symptoms of disease			none	12	262	rasa|Bezaja|OzaDa|BEzajya|powalI|powwalikA|cikitsita|mahArasa|paTya|amfta|rasarAja|dravya	word-senses
79836	eminent	standing above others in quality or position; 'people in high places'; 'the high priest'; 'eminent members of the community'			none	7	262	mahat|SrImat|udAra|muKya|mahABAga|unnatimat|prAMSu	word-senses
90299	cover	provide with a covering or cause to be covered; 'cover her face with a handkerchief'; 'cover the child with a blanket'; cover the grave with flowers'			none	46	261	AcCAday|piDA|CAday|vezway|Cad|saMvf|ci|prapiDA|saMCAday|avakf|anugup|vf|Avezway|guh|ruD|apiDA|avaguRWay|nici|pracCAday|praticCad|piDApay|vye|avatan|Astf	word-senses
129992	sveday	[alchemy] perform svedana (trans.)			none	4	260	sveday|svid|saMsvid|utsveday	word-senses
15275	clothing	covering designed to be worn on a person's body		artifact	propagated	14	260	vAsas|ambara|vastra|veza|vasana|dukUla|AcCAdana|cEla|AcCAda|vAsa|vAsana|cIra|cela|CAdana	word-senses
35205	joy	the emotion of great happiness	07424	feeling	direct	17	260	suKa|prIti|harza|Ananda|mud|praharza|Amoda|Odbilya|mada|nandi|udAna|raRa|sammada|Sarman|SAta|pramada|pramoda	word-senses
5387	fight	the act of fighting; any contest or struggle; 'a fight broke out at the hockey game'; 'there was fighting in the streets'		act	propagated	19	260	yudDa|raRa|saMgrAma|Ahava|samAgama|saMyuga|vigraha|yuD|samara|vimarda|saMKya|Aji|saMnipAta|dvaMdva|samprahAra|mfDa|yodDu|saMgara|Dana	word-senses
44812	charioteer	the driver of a chariot	09764	person	direct	17	259	sUta|sAraTi|yantf|raTin|arati|niyantf|raTI|saMgrahItf|saMgrAhaka|sAdin|raTakuwumbin|yAtf|vahni|dakziRasTa|voQf|kzattf|prAjitf	word-senses
100568	Bhīmasena	name of a hero; one of the main actors of the MBh		person	propagated	13	258	BImasena|BIma|vfkodara|kOnteya|pavanAtmaja|anilAtmaja|pArTa|kOravya|mArutasuta|samitiMjaya|mArutAtmaja|hiqimbApati|mArutasaMBava	word-senses
68813	colored	having color or a certain color; sometimes used in combination; 'colored crepe paper'; 'the film was in color'; 'amber-colored heads of grain'			none	10	258	ABa|saMniBa|varRaka|niBa|savarRa|upama|sapraBa|varRavat|sacCAya|varRin	word-senses
3309	treatment	care by procedures or applications that are intended to relieve illness or injury	00650	act	direct	20	257	kriyA|karman|yoga|viDi|prayoga|viDAna|cikitsA|cikitsita|krama|nivftti|upaSama|sADana|kArya|saMviDAna|saMDAna|parihAra|upakrama|upacAra|deha|prasADana	word-senses
58732	digestion	the organic process by which food is converted into substances that can be absorbed into the body	13292	process	direct	19	257	agni|vahni|anala|pariRAma|pAka|pakti|parIRAma|jarA|pAvaka|antaragni|dIpana|jIrRa|agnitA|Uzman|jAraRa|pacana|paripAka|jyotis|hutASa	word-senses
588	location	a point or extent in space	00026	Tops	direct	26	257	sTAna|pada|deSa|kzetra|aDizWAna|Ayatana|aDikaraRa|BUmi|Alaya|BAga|saDasTa|ASraya|AsTAna|pradeSa|saMSraya|antara|sadana|DAman|uddeSa|ADAra|AvAsa|ASaya|sTAtra|pratizWA	word-senses
87991	teach	impart skills or knowledge to; 'I taught them French'; 'He instructed me in building a boat'; 'learn' is not standard			none	34	256	man|vad|vac|BAz|pravac|ah|aDyApay|SAs|smf|dfS|upadiS|samuddiS|anuSAs|pratipAday|kaTay|Sikzay|prAh|viDA|dA|aBiDA|nigad|paW|deSay|pAWay	word-senses
90364	close	move so that an opening or passage is obstructed; make shut; 'Close the door'; 'shut the window'			none	26	256	ruD|niruD|banD|roDay|niroDay|piDA|saMruD|nirunDay|nimIlay|saMniruD|mudray|Avf|saMvf|runDay|sTagay|vibanDay|vimudray|anDay|banDay|apaGAway|AruD|nimIl|sammIl|saMmudray	word-senses
127984	Drupada	name of a king; father of Draupadī and Śikhaṇḍin			none	5	255	drupada|yajYasena|pArzata|sOmaki|pAYcAlya	word-senses
78355	divers(a)	many and different; 'tourist offices of divers nationalities'; 'a person of diverse talents'			none	8	255	viviDa|bahuviDa|nAnAviDa|vicitra|citra|aneka|anekaviDa|pfTagviDa	word-senses
130047	giving	giving			none	14	254	da|prada|dA|dAtf|dAyin|dAvan|pradAtf|DA|pradAyaka|dadi|dAyaka|pradAyin|dAnu|DAtama	word-senses
131073	as before	dt. wie vorher (beschrieben, ...)			none	3	253	pUrvavat|yaTApUrvam|prAgvat	word-senses
42996	Surya	an important god; sun god or the sun worshipped as a god of light and warmth		person	propagated	38	253	sUrya|arka|vivasvant|BAskara|Aditya|ravi|divAkara|BAnu|sahasrAMSu|KaKolka|mArtaRqa|sahasrakiraRa|devadeva|savitf|sahasraraSmi|BAnumant|deveSa|tapana|BAsvant|jagadDAtf|hari|viBAvasu|saptasapti|vAritaskara	word-senses
10226	lion	large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male	02108	animal	direct	31	252	siMha|kesarin|mfgendra|hari|mfgapati|mfgarAja|kaRWIrava|paYcAnana|haryakza|paYcamuKa|paYcAsya|kuYjarArAti|naKarAyuDa|naKin|vikramin|mAnin|dIpta|dIptapiNgala|hariRADipa|SUra|kravyAda|mfgarAj|mfgaripu|mfgAri	word-senses
50221	seed	a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa	11517	plant	direct	5	252	bIja|bIjaka|asTi|pippalI|Pala	word-senses
66155	month	a time unit of 30 days; 'he was given a month to pay the bill'		time	propagated	3	251	mAsa|mAs|mAsaka	word-senses
595	group	any number of entities (members) considered as a unit	00029	Tops	direct	19	250	gaRa|saMGa|varga|maRqala|maDya|oGa|grAma|samAhAra|zaRqa|vfnda|paNkti|samUha|nikAya|KaRqa|saMGAta|Akara|jana|vraja|cakra	word-senses
85221	remove	remove something concrete, as by lifting, pushing, taking off, etc.; or remove something abstract; 'remove a threat'; 'remove a wrapper'; 'Remove the dirty dishes from the table'; 'take the gun from your pocket'			none	52	249	han|hf|tyaj|apahf|apanI|apoh|nihan|vinASay|nASay|nirhf|apakfz|apahan|udDf|ji|hA|nivAray|nI|muc|DU|hiMs|udvAsay|as|cyAvay|muz	word-senses
104021	by name	by name			none	1	246	nAma	word-senses
5357	penance	voluntary self-punishment in order to atone for some wrongdoing	01150	act	direct	3	246	tapas|niyama|kfcCra	word-senses
77442	pure	free of extraneous elements of any kind; 'pure air and water'; 'pure gold'; 'pure primary colors'; 'the violin's pure and lovely song'; 'pure tones'			none	16	246	nirmala|vimala|kevala|SudDa|svacCa|amala|Suci|nirdoza|niraYjana|viSada|SudDatama|sarala|Sukra|Sukla|nizkalmaza|adoza	word-senses
58911	heating	the process of becoming warmer; a rising temperature	13318	process	direct	27	245	pAka|Damana|DmAna|dAha|pAcana|vipAcana|pacana|tApa|ADmAna|DmApana|Barjana|ADamana|dahana|jvAlana|pariDmAna|pratapana|agni|kazAya|saMtApa|parIpAka|uzRatA|dIpana|tApana|hutASana	word-senses
86163	transform	change in outward structure or looks; 'He transformed into a monster'			none	7	245	BU|jan|AyA|as|mA|aBisamBU|pariRam	word-senses
16266	drug	something that is used as a medicine or narcotic			none	8	243	OzaDa|dravya|Bezaja|ozaDi|BEzajya|ozaDI|OzaDI|BEzaja	word-senses
23537	nature	the essential qualities or characteristics by which something is recognized; 'it is the nature of fire to burn'		attribute	propagated	14	241	Atman|svaBAva|prakfti|svarUpa|rUpa|nisarga|BAva|jAti|sattva|praDAna|sadBAva|svaDA|Adi|SIla	word-senses
49514	sunlight	the rays of the sun; 'the shingles were weathered by the sun and wind'	11319	phenomenon	direct	6	241	Atapa|Garma|tIkzRAMSu|jyotis|sUrya|Garman	word-senses
79728	strong	having strength or power greater than average or expected; 'a strong radio signal'; 'strong medicine'; 'a strong man'			none	42	241	balavat|balin|tavas|mahat|tIkzRa|tarasvin|prabala|balIyas|taviza|balizWa|vAjin|tumra|Suzmin|prARavat|tejin|tavizIvat|sTira|Saktimat|prOQa|pratApavat|balavattama|aMsala|amavat|Urjasvala	word-senses
21629	stone	a piece of stone hewn in a definite shape for a special purpose; 'he wanted a special stone to mark the site'		substance	propagated	10	240	SilA|aSman|pAzARa|upala|grAvan|adri|aSan|SEla|prastara|kAnta	word-senses
46335	relative	a person related by blood or marriage; 'police are searching for relatives of the deceased'; 'he has distant relations back in New Jersey'	10082	person	direct	10	240	bAnDava|jYAti|banDu|jana|sAlohita|anuvftti|BrAtf|jAmi|jYAs|jYA	word-senses
79405	any(a)	one or some or every or all without specification; 'give me any peaches you don't want'; 'not any milk is left'; 'any child would know that'; 'pick any card'; 'any day now'; 'cars can be rented at almost any airport'; 'at twilight or any other time'; 'bey			none	7	240	kaScit|anyatama|anyatara|ekatama|eka|kaScana|anyatamaka	word-senses
24691	sound	the particular auditory effect produced by a given cause; 'the sound of rain on the roof' or 'the beautiful sound of music'		attribute	propagated	23	239	Sabda|nAda|Goza|nisvana|svana|rava|Dvani|svara|nirGoza|ninada|DvAna|praRAda|ninAda|nirhrAda|Arava|svAna|niDvAna|ArAva|kranda|kvaRa|virAva|niHsvana|svaras	word-senses
43000	Varuna	supreme cosmic deity; god of natural and moral law; ancient sky god		person	propagated	15	239	varuRa|jaleSvara|pracetas|apAmpati|appati|ambupa|jaleSa|pASaBft|pASin|arRavamandira|jalADipa|salilendra|salileSvara|yAdasAMpati|vArISvara	word-senses
66372	moment	an indefinitely short time; 'wait just a moment'; 'it only takes a minute'; 'in just a bit'	15047	time	direct	7	239	kzaRa|muhUrta|nimeza|nimezaka|pada|samaya|yaTAkAla	word-senses
86148	burn	burn up completely; reduce to ashes; 'burn garbage'			none	18	239	dah|nirdah|pradah|Buj|pac|jvAlay|uz|dAhay|paridah|saMtApay|saMdah|BasmIBU|DmApay|nirDam|prajvAlay|BasmasAtkf|kUqay|saMjUrv	word-senses
92347	anger	become angry; 'He angers easily'			none	7	239	kruD|saMkruD|kup|saMraB|ruz|prakup|hf	word-senses
18963	mouth	the opening of a jar or bottle; 'the jar had a wide mouth'	03752	artifact	direct	7	238	muKa|vaktra|Asya|vadana|Anana|dvAra|kaRWa	word-senses
85418	dry	remove the moisture from and make dry; 'dry clothes'; 'dry hair'			none	11	238	Sozay|viSozay|samSozay|ucCozay|pariSozay|avaSozay|SuzkIkf|kfz|Suz|upaSozay|praSozay	word-senses
27276	face	the front of the head from the forehead to the chin and ear to ear; 'he washed his face'; 'I wish I had seen the look on his face when he got the news'		body	propagated	8	237	Anana|muKa|vaktra|vadana|anIka|Asya|pratIka|Ana	word-senses
101658	Svarga	the abode of the gods		location	propagated	10	236	svarga|div|tridiva|trivizwapa|nAka|surAlaya|UrDvaloka|AkASa|diva|go	word-senses
103990	Madhura	possessing a sweet Rasa			none	2	236	maDura|svAdu	word-senses
33613	command	an authoritative direction or instruction to do something	07069	communication	direct	18	236	vacana|SAsana|AjYA|vacas|vAkya|nideSa|niyoga|AdeSa|saMdeSa|gir|anuSAsana|nirdeSa|vrata|pradiS|sava|viDi|SAs|SAstra	word-senses
96561	liquefy	become liquid			none	8	236	dru|pradru|gal|sf|dravIBU|sru|rasIBU|plu	word-senses
85977	happen	come to pass; occur: 'What is happening?'; 'The meeting took place off without an incidence'; 'Nothing occurred that seemed important'			none	27	235	BU|as|jan|vft|saMjan|samutpad|samupasTA|samBU|sampad|aBipravft|upajan|nirvft|praBU|prAp|sampravft|kf|gam|aBivft|aByABU|Agam|utTA|upasTA|nizpad|pariBU	word-senses
88164	recommend	push for something			none	20	234	SaMs|praSaMs|iz|man|pUjay|atiSaMs|prakIrtay|kIrtay|smf|vAYC|udIray|vac|upadiS|SAs|nigad|prastu|samIr|samman|samudIr|saMpraSaMs	word-senses
59884	one-fourth	one of four equal parts; 'a quarter of a pound'	13556	quantity	direct	5	233	pAda|aNGri|caturBAga|veda|caraRa	word-senses
101024	Plumbago zeylanica	a kind of shrub		plant	propagated	22	231	citraka|vahni|agni|citra|SiKin|anala|pAvaka|agnika|dvIpin|vyAla|kawu|kfSAnu|pAWin|pAlaka|jyotizka|Sabala|SUra|SArdUla|dahana|dAruRa|citrapAlI|UzaRa	word-senses
72232	first	preceding all others in time or space or degree; 'the first house on the right'; 'the first day of spring'; 'his first political race'; 'her first baby'; 'the first time'; 'the first meetings of the new party'; 'the first phase of his training'			none	10	230	praTama|pUrva|Adya|pUrvaka|pUrvya|Adima|agretana|nUtana|muKya|puraHsara	word-senses
49460	life	the organic phenomenon that distinguishes living organisms from nonliving ones; 'there is no life on the moon'	11307	phenomenon	direct	12	229	jIvita|prARa|jIva|asu|Ayu|jIvAtu|sattva|jIvana|Ayus|saMsTAna|dehaDAraRa|tanu	word-senses
590	time	the continuum of experience in which events pass from the future through the present to the past	00026	Tops	direct	7	228	kAla|pariRAma|aDvan|anehas|samaya|dizwa|sarvaBUzaka	word-senses
85281	insert	introduce; 'Insert your ticket here'			none	27	227	ruD|kzip|niruD|nikzip|vinikzip|praveSay|niveSay|niDA|niroDay|pUray|antargam|niKan|saMruD|dA|nyas|prakzip|praviS|samAropay|mudray|avaroDay|arpay|kf|yojay|vinyas	word-senses
101072	Rasāyana	medicine supposed to prevent old age and prolong life			none	1	226	rasAyana	word-senses
128449	kaṭu	[pharm: one of the 6 rasas]			none	4	226	kawu|kawuka|UzaRa|atikawu	word-senses
93541	approach	move towards; draw closer to; 'We were approaching our destination'; 'They are drawing near'; 'The enemy army came nearer and nearer'			none	43	226	aBigam|Apat|Asad|AsAday|upasTA|upasaMkram|upasfp|upe|Agam|vI|aBiyA|Akram|gam|aBikram|aBI|upagam|upAgam|samupasTA|same|AyA|saMniDA|anugam|aBinakz|aBye	word-senses
131757	Aśvatthāman	name of a son of Droṇa			none	9	225	droRaputra|drORi|aSvatTAman|BAradvAja|drORAyani|malayaDvaja|gOtaminandana|droRAyani|AcAryasUnu	word-senses
34145	end	the concluding part of an event or occurrence: 'the end was exciting'; 'I had to miss the last of the movie'		event	propagated	9	225	anta|niDana|avasAna|atyaya|parikzaya|nizWA|udfc|vyapAya|prAnta	word-senses
86438	melt	reduce from a solid to a liquid state, usually by heating; 'melt butter'; 'melt down gold'			none	17	225	drAvay|gAlay|dru|Avartay|gal|pradrAvay|vartay|Avft|saMDam|paridrAvay|sAray|pragAlay|pravilI|samAvft|dravIkf|prativApay|saMdrAvay	word-senses
100664	final emancipation	detachment from the circle of Saṃsāra		act	propagated	13	224	mokza|mukti|nirvARa|nirvfti|niHSreyasa|apavarga|duHKAnta|brahman|kEvalya|akzara|nirmokza|Sreyas|mahodaya	word-senses
23542	quality	a degree or grade of excellence or worth: 'the quality of students has risen'; 'an executive of low caliber'		attribute	propagated	1	224	guRa	word-senses
58242	pearl	a smooth lustrous round structure inside the shell of a clam or oyster; much valued as a jewel	13200	possession	direct	38	224	muktA|mOktika|muktAPala|tAra|SOktika|SOkteyaka|kfSana|BOtika|nIraja|amBaHsAra|nakzatra|tArA|tArakA|sOmyA|hima|hEmavata|svacCa|Suktija|SItala|SaSipriya|binduPala|valakza|suDAMSuratna|induratna	word-senses
92549	travel	change location; move, travel, or proceed; 'How fast does your new car go?' 'We travelled from Rome to Naples by bus'; 'The policemen went from door to door looking for the suspect';'The soldiers moved towards the city in an attempt to take it before nigh			none	22	224	gam|yA|i|car|vraj|fC|Agam|prayA|e|pare|vicar|ej|prapad|upe|cal|iNg|vft|AsTA|upasaMkram|prakram|vipravas|samupAgam	word-senses
130215	but	but			none	3	223	tu|aTo|kiMtu	word-senses
97343	then	at that time; 'I was young then'; 'prices were lower back then'; 'science as it was then taught'			none	4	223	tadA|tatas|tatra|tu	word-senses
28324	beginning	the first part or section of something: '`It was a dark and stormy night' is a hackneyed beginning for a story'		cognition	propagated	10	222	Adi|agra|muKa|praBfti|Agama|mUla|aByAdAna|Bavana|udaya|prAyaRa	word-senses
4427	application	the act of bringing something to bear; using it for a particular purpose; 'he advocated the application of statistics to the problem'; 'a novel application of electronics to medical diagnosis		Tops	propagated	12	222	yoga|prayoga|upayoga|avacAraRa|anuprayoga|nipAtana|yukti|aBiyoga|arTa|AramBa|viniyoga|pradAna	word-senses
91454	envelop	enclose or enfold completely with or as if with a covering; 'Fog enveloped the house'			none	24	222	vezway|banD|Avf|saMvezway|Avezway|parivezway|banDay|saMvf|saMvye|nah|avacCad|vivezw|sTagay|pinah|kf|vf|niruD|yantray|paribanD|prAvf|vibanD|saMCAday|nibanDay|Avizw	word-senses
129815	śilājatu	[min.] one of the mahārasas; 'bitumen'		substance	propagated	43	221	SilAjatu|SilADAtu|girija|SilAja|girijatu|SEla|aSmaja|jatu|SElaniryAsa|SilAhva|girisamBava|SElaja|adrija|DAtuja|giri|SEleya|SilodBava|pArvata|mandarotTa|aSmalAkzA|aSmajatuka|zaqyoni|adrijatu|aSmotTa	word-senses
58146	wealth	an abundance of material possessions and resources	13181	possession	direct	12	221	Dana|rayi|vasu|ratna|vitta|vArya|vasavya|BUti|BAgya|vasutvana|sAta|vedatA	word-senses
89185	overcome	win a victory over; 'You must overcome all difficulties'; 'defeat your enemies'; 'He overcame his shyness'; 'She conquered here fear of mice'; 'He overcame his infirmity'			none	26	219	ji|sah|tf|aBiBU|viji|parAji|nirji|prasah|atI|van|vinirji|aBivft|pariBU|anuruD|Darzay|apoh|BaYj|yuD|aBivartay|avatf|uttf|nikf|parABAvay|praji	word-senses
73070	hard	not yielding to pressure or easily penetrated; 'hard as rock'			none	13	218	dfQa|kaWina|Kara|sTira|vIqu|kaWora|kaWoraka|karkara|karkaSa|nizWura|sAra|krUra|amfdu	word-senses
96784	further	in addition or furthermore; 'if we further suppose'; 'stated further that he would not cooperate with them'; 'they are definitely coming; further, they should be here already'			none	4	218	punar|BUyas|param|kiMca	word-senses
80338	called	given or having a specified name; 'they called his name Jesus'; 'forces...which Empedocles called `love' and `hate''; 'an actor named Harold Lloyd'; 'a building in Cardiff named the Temple of Peace'			none	12	217	AKya|saMjYaka|saMjYita|nAmaka|Ahva|hvaya|aBiSabdita|aBiDa|saMjYin|aBisaMjYita|nAmika|aBiDAyin	word-senses
67326	antecedent	preceding in time or order			none	7	216	pUrva|pUrvaka|puraHsara|Adya|purogama|avara|praTama	word-senses
74859	beloved	dearly loved			none	8	216	priya|dayita|vallaBa|kAnta|cAru|suBaga|priyatama|izwatama	word-senses
103704	saṃskāra	one of the 18 methods of (bra bra ...) mercury		process	propagated	6	215	saMskAra|karman|rasakarman|kriyA|saMskriyA|krama	word-senses
23536	quality	an essential and distinguishing attribute of something or someone; 'the quality of mercy is not strained'--Shakespeare	04668	attribute	direct	9	215	lakzaRa|guRa|tva|liNga|vyaYjana|saMsTAna|upalakzaRa|lakzman|prakfti	word-senses
99682	sevenfold	seven times; 'the population of this village increased sevenfold in the past 100 years'			none	2	215	saptaDA|saptaSaH	word-senses
127332	Karṇa	name of a king of Aṅga; one of the main actors of MBh			none	17	214	karRa|rADeya|vEkartana|sUtaputra|vasuzeRa|ADiraTi|sOti|kOnteya|aNgarAja|sUtanandana|sUryaja|sUtasUnu|rADAsuta|sUtaja|sUtatanaya|sUryanandana|tapanAtmaja	word-senses
127458	dried cowdung	dried cowdung		substance	propagated	25	214	karIza|CagaRa|kArIza|utpala|CARa|karza|upala|CARaka|giriRqa|pizwaka|AraRyopalaka|karzU|vanopala|CagaRaka|sAWI|upalasAWI|gariRqaka|karaRqa|pizwikA|navArI|karaRqA|upalasAri|varAwI|varawI	word-senses
85084	shape	cause to shape or form; 'shape a bun'; 'shape a ball from the dough'			none	11	214	kf|kAray|viDA|prakalpay|banD|viracay|takz|prakf|praviDA|kalpay|yojay	word-senses
91872	decorate	make more attractive by adding ornament, colour, etc.; 'Decorate the room for the party'; 'beautify yourself for the special day'			none	19	214	BUzay|alaMkf|viBUzay|upaSoBay|parizkf|samalaMkf|SoBay|vyaYj|buBUz|piS|kalay|upe|prasADay|vikf|maRqay|Davalay|parimaRqay|pepiS|aBipiS	word-senses
28214	kind	a category of things distinguished by some common characteristic or quality; 'sculpture is a form of art'; 'what kinds of desserts are there?'	05766	cognition	direct	11	213	viSeza|Beda|jAti|prakAra|jAta|vikalpa|rUpa|jAtIya|Akfti|yoni|lakzaRa	word-senses
92597	come	move toward, travel toward something or somebody or approach something or somebody; 'He came singing down the road'; 'Come with me to the Casbah'; 'come down here!'; 'come out of the closet!'; 'come into the room'			none	14	213	Agam|e|AgA|AyA|upAgam|yA|upayA|samupAgam|gam|aBigam|aByAgam|Apat|samanuprAp|samaBI	word-senses
97274	here	in or at this place; where the speaker or writer is; 'I work here'; 'turn here'; 'radio waves received here on Earth'			none	4	213	iha|atra|idam|itTA	word-senses
98023	individually	apart from others; 'taken individually, the rooms were, in fact, square'; 'the fine points are treated singly'			none	4	213	pfTak|ekaSas|nAnA|pratyekam	word-senses
45323	doctor	a licensed medical practitioner; 'I felt so bad I went to see my doctor'	09872	person	direct	6	211	Bizaj|vEdya|cikitsaka|vEdyaka|viDi|aSezakArin	word-senses
86819	issue	come out of; 'Water issued from the hole in the wall'; 'The words seemed to come out by themselves'			none	32	211	nirgam|niHsf|niryA|pravft|sru|viniHsf|cyu|nizkram|pat|prasf|prasru|atipravft|udgam|gam|praBU|niHsru|vinizpat|niri|niScar|vinizkram|vft|aBiniHsf|utkram|nirBid	word-senses
129534	bandh	[alchemy]			none	2	210	banD|nibanD	word-senses
44203	alchemist	one who was versed in the practice of alchemy		person	propagated	8	210	Bizaj|vEdya|vArttika|vAdin|sADaka|rasajYa|vAdika|vEdyaka	word-senses
9151	conch	any of various edible tropical marine gastropods of the genus Strombus having a brightly-colored spiral shell with large outer lip	01924	animal	direct	31	210	SaNKa|kambu|SaNKanABi|vArija|dIrGanAda|jalaja|Davala|susvara|SaNKaka|vAriBava|ambuja|pAvanaDvani|dIrGaniHsvana|dIrGanisvana|SrIviBUzaRa|kuwila|vAricara|arRoBava|jalada|jalaDara|sunAdaka|haripriya|SambUka|pUta	word-senses
57049	bulb	a modified bud consisting of a thickened globular underground stem serving as a reproductive structure	12964	plant	direct	3	209	kanda|kandaka|granTi	word-senses
35167	fear	an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)	07417	feeling	direct	12	208	Baya|BI|SaNkA|BIti|trAsa|sADvasa|dara|saMtrAsa|Biyas|ASaNkA|vyaTA|BIzA	word-senses
60728	cavity	space that is surrounded by something	13726	shape	direct	10	207	udara|maDya|garBa|antara|aByantara|kowara|kozWaka|kozWa|kukzi|kuhara	word-senses
