rank	lemma_slp1	deva	iast	gloss	core_rank	coverage_pct	cumulative_pct	lesson	card_href
962	zazWa	षष्ठ	ṣaṣṭha	ṣaṣṭha mf( ī )n. sixth, the sixth (with bhāga or aṃśa m. ‘a sixth part’; with or scil. kāla m. ‘the…	1170	0.015902	47.6484	20	../../w/zaz_57a.html
963	Gawa	घट	ghaṭa	ghaṭa mfn. intently occupied or busy with ( loc. ), Pāṇ. v, 2, 35	1171	0.0158719	47.6643	20	../../w/_47awa.html
964	niSA	निशा	niśā	niśā f. night, GṛŚrS. ; Mn. ; MBh. &c.	1172	0.0158719	47.6802	20	../../w/ni_53_41.html
965	SASvata	शाश्वत	śāśvata	śāśvata mf( ī )n. ( fr. śaśvat ) eternal, constant, perpetual, all ( śāśvatībhyaḥ samābhyaḥ , śāśva…	1173	0.0158719	47.696	20	../../w/_53_41_53vata.html
966	utpatti	उत्पत्ति	utpatti	ut-patti f. arising, birth, production, origin, Suśr. ; MBh. ; Yājñ. &c.	1174	0.0158719	47.7119	20	../../w/utpatti.html
967	Atura	आतुर	ātura	ā-tura mf( ā )n. suffering, sick (in body or mind), RV. viii ; AV. xi, 101, 2 , &c.;	1175	0.0158419	47.7278	20	../../w/_41tura.html
968	kanda	कन्द	kanda	kanda m. n. (√ kan Comm. on Uṇ. iv, 98 ), a bulbous or tuberous root, a bulb, MBh. ; BhP. ; Suśr. &…	1176	0.0158419	47.7436	20	../../w/kanda.html
969	saMhitA	संहिता	saṃhitā	saṃ-hitā ( ā ), f. , see next	1177	0.0158419	47.7594	20	../../w/sa_4dhit_41.html
970	tantra	तन्त्र	tantra	tantra n. ( Pāṇ. vii, 2, 9 , Kāś. ) a loom, v, 2, 70	1178	0.0158419	47.7753	20	../../w/tantra.html
971	anugraha	अनुग्रह	anugraha	anu-graha m. favour, kindness, showing favour, conferring benefits, promoting or furthering a good…	1180	0.0158119	47.7911	20	../../w/anugraha.html
972	narmadA	नर्मदा	narmadā	narma—dā f. See narmadā .	1181	0.0158119	47.8069	20	../../w/narmad_41.html
973	saMjan	संजन्	saṃjan	saṃ-√jan Ā. -jāyate , to be born or produced together with ( abl. ), RV. ; ŚvetUp. ; to be born fro…	1182	0.0158119	47.8227	20	../../w/sa_4djan.html
974	viBAga	विभाग	vibhāga	vi-bhāga m. distribution, apportionment, RV. ; AitBr.	1183	0.0158119	47.8385	20	../../w/vi_42_41ga.html
975	cintA	चिन्ता	cintā	cintā f. ( Pāṇ. iii, 3, 105 ), thought, care, anxiety, anxious thought about ( gen. loc. , upari ,…	1184	0.0157819	47.8543	20	../../w/cint_41.html
976	kusuma	कुसुम	kusuma	kusuma n. ( fr. √ kus , Uṇ. ; g. ardharcā di), a flower, blossom, Mn. xi, 70 ; R. &c. ( ifc. f( ā )…	1185	0.0157819	47.8701	20	../../w/kusuma.html
977	upalaB	उपलभ्	upalabh	upa-√labh Ā. -labhate , to seize, get possession of, acquire, receive, obtain, find, MBh. ; R. ; Mn…	1186	0.0157819	47.8859	20	../../w/upala_42.html
978	atikram	अतिक्रम्	atikram	ati-√kram to step or go beyond or over or across, ( Ved. Inf. ati-krame , to be walked on RV. i, 10…	1187	0.0157519	47.9016	20	../../w/atikram.html
979	dala	दल	dala	dala n. ( m. , L. ) a piece torn or split off, fragment ( cf. aṇḍa , carma- , dvi- , veṇu- ), Suśr.…	1188	0.0157219	47.9174	20	../../w/dala.html
980	tIra	तीर	tīra	1. tīra m. tin ( cf. tīvra ), L.	1191	0.0156919	47.933	20	../../w/t_49ra.html
981	gagana	गगन	gagana	gagana n. the atmosphere, sky, firmament, R. ; Suśr. ; Ragh. ; NārUp. &c.	1192	0.0156619	47.9487	20	../../w/gagana.html
982	pre	प्रे	pre	pre ( pra- √ 5. i ) cl. 2. P. prai ti ( Ved. inf. prai tos, AitBr. ), to come forth, appear, begin,…	1193	0.0156619	47.9644	20	../../w/pre.html
983	homa	होम	homa	homa m. the act of making an oblation to the Devas or gods by casting clarified butter into the fir…	1194	0.0156319	47.98	20	../../w/homa.html
984	amfta	अमृत	amṛta	a-mṛta mfn. ( cf. Pāṇ. vi, 2, 116 ) not dead, MBh.	1195	0.0156019	47.9956	20	../../w/amfta.html
985	pavana	पवन	pavana	pavana m. ‘purifier’, wind or the god of wind, breeze, air ( ifc. f( ā ). ), MBh. ; Kāv. &c.	1196	0.0156019	48.0112	20	../../w/pavana.html
986	uddiS	उद्दिश्	uddiś	1. ud-√diś P. Ā. -diśati , -te , to show or direct towards, ŚāṅkhŚr. ; TBr. ; to point out, signify…	1197	0.0156019	48.0268	20	../../w/uddi_53.html
987	AQya	आढ्य	āḍhya	āḍhya mf( ā )n. (? fr. ārdhya , √ ṛdh ; or fr. ārthya , NBD. ), opulent, wealthy, rich, ŚBr. ix	1198	0.0155719	48.0424	20	../../w/_41_51ya.html
988	DAman	धामन्	dhāman	dhāman n. dwelling-place, house, abode, domain, RV. &c. &c. ( esp. seat of the gods, cf. madhyamaṃ…	1200	0.0155419	48.0579	20	../../w/_44_41man.html
989	kAzWa	काष्ठ	kāṣṭha	kāṣṭha m. N. of one of Kubera's attendants, MBh. ii, 415	1201	0.0155419	48.0735	20	../../w/k_41z_57a.html
990	drORi	द्रौणि	drauṇi	drau˚ṇi m. id. , Pāṇ. iv, 1, 103 ; MBh. ; Hariv. &c.	1202	0.0155119	48.089	20	../../w/dr_4f_52i.html
991	sAraTi	सारथि	sārathi	sārathi m. ( fr. sa-ratha ) a charioteer, driver of a car, coachman (forming a mixed caste, commonl…	1203	0.0155119	48.1045	20	../../w/s_41ra_54i.html
992	Suka	शुक	śuka	śuka m. ( prob. fr. √ 1. śuc , and orig. ‘the bright one’) a parrot, RV. &c. &c.	1204	0.0155119	48.12	20	../../w/_53uka.html
993	aDipati	अधिपति	adhipati	adhi-pati m. = adhi-pa	1205	0.0154819	48.1355	20	../../w/a_44ipati.html
994	kfpa	कृप	kṛpa	kṛpa m. N. of a man (described as a friend of Indra), RV. viii, 3, 12 and 4, 2	1207	0.0154819	48.151	20	../../w/kfpa.html
995	vAja	वाज	vāja	vāja m. ( fr. √ vaj ; cf. ugra , uj , ojas &c.) strength, vigour, energy, spirit, speed ( esp. of a…	1208	0.0154819	48.1664	20	../../w/v_41ja.html
996	arSas	अर्शस्	arśas	arśas n. piles, hemorrhoids, VS. xii, 97 , &c.	1210	0.0154519	48.1819	20	../../w/ar_53as.html
997	kawuka	कटुक	kaṭuka	kaṭuka mf( ā and ī )n. sharp, pungent, bitter	1211	0.0154519	48.1973	20	../../w/kawuka.html
998	mukti	मुक्ति	mukti	mukti f. setting or becoming free, release, liberation, deliverance from ( comp. ), ŚBr. &c., &c.	1212	0.0154519	48.2128	20	../../w/mukti.html
999	SudDa	शुद्ध	śuddha	śuddha mfn. cleansed, cleared, clean, pure, clear, free from (with instr. ), bright, white, RV. &c.…	1213	0.0154519	48.2282	20	../../w/_53ud_44a.html
1000	vyasana	व्यसन	vyasana	vy-asana n. moving to and fro, wagging (of a tail), Pāṇ. iii, 1, 20 , Vārtt. 3	1214	0.0154519	48.2437	20	../../w/vyasana.html
1001	saMvf	संवृ	saṃvṛ	1. saṃ-√vṛ P. Ā. -vṛṇoti , -vṛṇute &c. ( inf. -varītum or -varitum , ep. also -vartum ), to cover u…	1215	0.0154219	48.2591	21	../../w/sa_4dvf.html
1002	Ayatana	आयतन	āyatana	ā-yatana n. resting-place, support, seat, place, home, house, abode, TS. ; ŚBr. ; ChUp. ; AitBr. ;…	1217	0.0153919	48.2745	21	../../w/_41yatana.html
1003	kfmi	कृमि	kṛmi	kṛmi m. or krimi ( fr. √ kram , Uṇ. ), a worm, insect, VS. ; TS. ; AV. ; ŚBr. ; Mn. &c.	1218	0.0153919	48.2899	21	../../w/kfmi.html
1004	kfta	कृत	kṛta	1. kṛta mfn. done, made, accomplished, performed, RV. ; AV. &c.	1219	0.0153919	48.3053	21	../../w/kfta.html
1005	medas	मेदस्	medas	medas n. fat, marrow, lymph (as one of the 7 Dhātus, q.v. ; its proper seat is said to be the abdom…	1220	0.0153919	48.3207	21	../../w/medas.html
1006	vikf	विकृ	vikṛ	vi- √ 1. kṛ P. Ā. -karoti , -kurute , to make different, transform, change the shape (or the mind),…	1221	0.0153619	48.3361	21	../../w/vikf.html
1007	cApa	चाप	cāpa	cāpa m. n. ( fr. capa , g. tālā di) a bow, Mn. vii, 192 ; MBh. &c.	1222	0.0153319	48.3514	21	../../w/c_41pa.html
1008	saNga	सङ्ग	saṅga	saṃ-ga and saṅga . See below and √ sañj .	1223	0.0153319	48.3667	21	../../w/sa_4ega.html
1009	stana	स्तन	stana	stana m. (or n. g. ardharcā di ifc. ā or ī ; derivation doubtful, but prob. connected with √ stan ,…	1224	0.0153019	48.382	21	../../w/stana.html
1010	uras	उरस्	uras	uras n. (√ ṛ , Uṇ. iv, 194 ), the chest, breast, bosom, RV. ; AV. ; ŚBr. ; MBh. ; Śak. &c. ( urasi…	1225	0.0153019	48.3973	21	../../w/uras.html
1011	sarit	सरित्	sarit	sarit f. a river, stream ( saritāṃ varā , ‘best of rivers’), the Ganges	1227	0.0152719	48.4126	21	../../w/sarit.html
1012	yat	यत्	yat	1. yat mfn. ( pr. p. of √ 5. i ) going, moving, RV. &c. &c. ( abde yati , in this year, L. )	1228	0.0152719	48.4279	21	../../w/yat.html
1013	aSana	अशन	aśana	1. aśana mfn. reaching, reaching across, Nir.	1229	0.0152419	48.4431	21	../../w/a_53ana.html
1014	naBas	नभस्	nabhas	nabhas n. ( cf. nabha ) mist, clouds, vapour ( esp. of the Soma), RV. ; AV. ; ŚBr.	1230	0.0152119	48.4583	21	../../w/na_42as.html
1015	dugDa	दुग्ध	dugdha	dugdha mfn. (√ 2. duh ) milked, milked out, extracted, RV. ; AV. &c.	1232	0.0151519	48.4735	21	../../w/dug_44a.html
1016	nibuD	निबुध्	nibudh	ni-√budh P. -bodhati ( aor. -bodhiṣat , RV. ), to learn or hear anything ( acc. ) from any one ( ge…	1233	0.0151219	48.4886	21	../../w/nibu_44.html
1017	prekz	प्रेक्ष्	prekṣ	pre kz ( pra-√īkṣ ) Ā. pre kzate ( ep. also P. ˚ti ), to look at, view, behold, observe, TS. &c. &c…	1234	0.0151219	48.5037	21	../../w/prekz.html
1018	svana	स्वन	svana	svana m. ( ifc. f( ū ). ) sound, noise (in the older language applied to the roar of wind, thunder,…	1235	0.0151219	48.5188	21	../../w/svana.html
1019	nizad	निषद्	niṣad	ni-ṣad (√ sad ) P. -ṣīdati , Ved. also -ṣadati ( impf. ny-aṣīdat , or ny-asīdat ; Ved. also -asadat…	1236	0.0150919	48.5339	21	../../w/nizad.html
1020	Atapa	आतप	ātapa	ā-tapa mfn. causing pain or affliction, RV. i, 55, 1	1237	0.0150618	48.549	21	../../w/_41tapa.html
1021	duHKita	दुःखित	duḥkhita	duḥkhita mfn. pained, distressed	1238	0.0150318	48.564	21	../../w/du_48_4bita.html
1022	utpala	उत्पल	utpala	1. ut-pala n. (and m. , L. ), (√ pal ‘to move’, T. ; fr. pal = √ paṭ , ‘to burst open’, BRD. ), the…	1239	0.0150318	48.5791	21	../../w/utpala.html
1023	akzaya	अक्षय	akṣaya	a-kṣaya mf( ā )n. exempt from decay, undecaying	1240	0.0150018	48.5941	21	../../w/akzaya.html
1024	gAyatrI	गायत्री	gāyatrī	gāyatrī ( ī ), f. an ancient metre of twenty-four syllables (variously arranged, but generally as a…	1241	0.0150018	48.6091	21	../../w/g_41yatr_49.html
1025	kup	कुप्	kup	1. kup cl. 4. P. Ā. kupyati , ˚te ( perf. cukopa ), to be moved or excited or agitated, Suśr. ; BhP…	1242	0.0150018	48.6241	21	../../w/kup.html
1026	mAnuza	मानुष	mānuṣa	mānuṣa mf( ī )n. or mānuṣa ( fr. manus ) belonging to mankind, human, RV. &c. &c.	1243	0.0150018	48.6391	21	../../w/m_41nuza.html
1027	parASara	पराशर	parāśara	parā-śara See parā-śṝ below.	1244	0.0150018	48.6541	21	../../w/par_41_53ara.html
1028	vAsava	वासव	vāsava	vāsava mf( ī )n. ( fr. 1. vasu ) relating or belonging to the Vasus, derived or descended from them…	1246	0.0150018	48.6691	21	../../w/v_41sava.html
1029	lakzay	लक्षय्	lakṣay	!√ lakṣay 3〉 lakṣita nicht an und für sich, sondern erst in übertragener Bedeutung unanständig VĀMA…	1247	0.0149718	48.684	21	../../w/lakzay.html
1030	saptama	सप्तम	saptama	saptama mf( ī )n. the 7th, VS. ; TS. ; ŚBr. &c.	1249	0.0149718	48.699	21	../../w/saptama.html
1031	smita	स्मित	smita	smita mfn. smiled, smiling, MBh. ; R. &c.	1250	0.0149718	48.714	21	../../w/smita.html
1032	taTAgata	तथागत	tathāgata	tathā—gata mfn. being in such a state or condition, of such a quality or nature, RPrāt. iii, 5 ; MB…	1251	0.0149718	48.729	21	../../w/ta_54_41gata.html
1033	amitra	अमित्र	amitra	amitra mf( ā ) ( fr. √ am [ Uṇ. iv, 173 ] or perhaps a-mitra , not a friend [ Pāṇ. vi, 2, 116 , ‘no…	1252	0.0149418	48.7439	21	../../w/amitra.html
1034	SA	शा	śā	1. śā , śiśāmi, śiśīhi, śiśās, śādhi ; partic. śita ; mittheilen, gewähren; beschenken NIR. 5,23 (…	1255	0.0149418	48.7588	21	../../w/_53_41.html
1035	mAna	मान	māna	māna See .	1256	0.0148818	48.7737	21	../../w/m_41na.html
1036	yukti	युक्ति	yukti	yukti f. union, junction, connection, combination, AitBr. ; TāṇḍBr.	1257	0.0148818	48.7886	21	../../w/yukti.html
1037	bindu	बिन्दु	bindu	bindu m. (once n. , MBh. ; in later language mostly written vindu ) a detached particle, drop, glob…	1260	0.0148518	48.8034	21	../../w/bindu.html
1038	tvar	त्वर्	tvar	tvar cl. 1. tvarate ( ep. also ˚ti ; pf. tatvare , Ragh. ; aor. 2. pl. atvaridhvam , ˚riḍhvam , ˚ri…	1261	0.0148518	48.8183	21	../../w/tvar.html
1039	tfp	तृप्	tṛp	1. tṛp cl. 4. tṛpyati [ AV. ; TS. &c.; metrically also ˚te ] cl. 5. [ Subj. 2. sg. tṛpṇavas , Impv.…	1264	0.0147918	48.8331	21	../../w/tfp.html
1040	vitta	वित्त	vitta	vitta See under √ 1. vid &c.	1265	0.0147918	48.8479	21	../../w/vitta.html
1041	cira	चिर	cira	cira mfn. (√ 1. ci ?) long, lasting a long time, existing from ancient times, MBh. xii, 9538 ; Śak.…	1266	0.0147618	48.8626	21	../../w/cira.html
1042	SAKA	शाखा	śākhā	śākhā ( ā ), f. See next.	1267	0.0147618	48.8774	21	../../w/_53_41_4b_41.html
1043	dvIpa	द्वीप	dvīpa	dvīpa &c. See s.v.	1269	0.0147318	48.8921	21	../../w/dv_49pa.html
1044	stamBa	स्तम्भ	stambha	stambha m. ( ifc. f( ā ). ) a post, pillar, column, stem (as of a tree; also improperly applied to…	1271	0.0147318	48.9069	21	../../w/stam_42a.html
1045	aBihan	अभिहन्	abhihan	abhi-√han (2. sg. Imper. -jahi impf. -han [ RV. v, 29, 2 ] & perf. -jaghantha ) to thump at, strike…	1272	0.0146718	48.9215	21	../../w/a_42ihan.html
1046	kartf	कर्तृ	kartṛ	kartṛ mfn. one who makes or does or acts or effects, a doer, maker, agent, author (with gen. or acc…	1273	0.0146718	48.9362	21	../../w/kartf.html
1047	aNguli	अङ्गुलि	aṅguli	aṅguli , is , (or aṅgulī ), f. a finger; a toe; the thumb; the great toe; the finger-like tip of an…	1274	0.0146418	48.9509	21	../../w/a_4eguli.html
1048	jYAti	ज्ञाति	jñāti	jñāti m. ‘intimately acquainted’ ( cf. Goth. knōdi ), a near relation (‘paternal relation’, L. and…	1275	0.0146418	48.9655	21	../../w/j_59_41ti.html
1049	prajan	प्रजन्	prajan	pra-√jan Ā. -jāyate ( ep. also P. ˚ti ), to be born or produced, spring up from ( abl. ) be begotte…	1276	0.0146418	48.9801	21	../../w/prajan.html
1050	prativac	प्रतिवच्	prativac	prati-√vac P. -vakti , to announce, indicate, recommend, RV. i, 41, 4 ( Ā. Subj. aor. -voce ); to s…	1277	0.0146418	48.9948	21	../../w/prativac.html
1051	aYjali	अञ्जलि	añjali	añjali See s.v. below.	1278	0.0146118	49.0094	22	../../w/a_59jali.html
1052	cUrRay	चूर्णय्	cūrṇay	!√ cūrṇay (von cūrṇa ), cūrṇayati zu Staub —, Mehl machen, zerreiben; zersplittern, zermalmen, zers…	1279	0.0146118	49.024	22	../../w/c_55r_52ay.html
1053	vihf	विहृ	vihṛ	vi-√hṛ P. -harati (rarely Ā. ), to put asunder, keep apart, separate, open, RV. ; AV. ; Br. ; ŚrS.…	1282	0.0146118	49.0386	22	../../w/vihf.html
1054	Bftya	भृत्य	bhṛtya	bhṛtya mfn. to be nourished or maintained;	1283	0.0145818	49.0532	22	../../w/_42ftya.html
1055	paScima	पश्चिम	paścima	paścima mf( ā )n. being behind, hinder, later, last, final ( f( ā ). , with kriyā , the last rite i…	1284	0.0145818	49.0678	22	../../w/pa_53cima.html
1056	upaviS	उपविश्	upaviś	upa-√viś P. -viśati , to go or come near, approach, RV. viii, 96, 6 ; to sit down, take a seat (as…	1285	0.0145818	49.0824	22	../../w/upavi_53.html
1057	vfza	वृष	vṛṣa	1. vṛṣa m. ( prob. later form of vṛṣan ) a man, male, husband, KāśīKh.	1286	0.0145818	49.0969	22	../../w/vfza.html
1058	prakAra	प्रकार	prakāra	pra-kāra &c. See pra-√kṛ .	1287	0.0145518	49.1115	22	../../w/prak_41ra.html
1059	srotas	स्रोतस्	srotas	srotas n. the current or bed of a river, a river, stream, torrent, RV. &c. &c.	1288	0.0145518	49.126	22	../../w/srotas.html
1060	vipAka	विपाक	vipāka	vi-pāka mf( ā )n. ripe, mature, RV.	1289	0.0145518	49.1406	22	../../w/vip_41ka.html
1061	avekz	अवेक्ष्	avekṣ	ave kz (√ īkṣ ), ave kzate to look towards, look at, behold, TS. ; ŚBr. &c.; (1. sg. īkṣe ) to perc…	1290	0.0145218	49.1551	22	../../w/avekz.html
1062	dEvata	दैवत	daivata	daivata mf( ī )n. ( fr. devatā ) relating to the gods or to a partic. deity, divine, Śr. & GṛS.	1292	0.0144918	49.1696	22	../../w/d_45vata.html
1063	jAraRa	जारण	jāraṇa	jāraṇa n. causing decay, W.	1293	0.0144918	49.1841	22	../../w/j_41ra_52a.html
1064	Svan	श्वन्	śvan	1. śvan m. ( nom. sg. du. pl. śvā , śvānau , śvānas ; weakest base śun cf. 2. śuna &c., p. 1082; in…	1294	0.0144918	49.1986	22	../../w/_53van.html
1065	yozit	योषित्	yoṣit	yoṣit f. = yoṣaṇā (also applied to the females of animals and to inanimate things, e.g. yoṣito mant…	1295	0.0144918	49.2131	22	../../w/yozit.html
1066	gras	ग्रस्	gras	1. gras cl. 1. P. Ā. grasati , ˚te ( perf. Pot. Ā. jagrasīta , RV. v, 41, 17 ; p. Ā. and Pass. jagr…	1296	0.0144318	49.2275	22	../../w/gras.html
1067	aBizic	अभिषिच्	abhiṣic	abhi-ṣic (√ sic ) P. , rarely Ā. ( e.g. MBh. vii, 4593 ; Bhaṭṭ. ) to sprinkle, water, wet, RV. i, 1…	1299	0.0143718	49.2419	22	../../w/a_42izic.html
1068	dvijAti	द्विजाति	dvijāti	dvi—jāti mfn. id.	1300	0.0143718	49.2563	22	../../w/dvij_41ti.html
1069	svarUpa	स्वरूप	svarūpa	sva—rūpa n. ( ifc. f( ā ). ) o˚ 's own form or shape, the f˚ or sh˚ of ( gen. or comp. ; with or wi…	1301	0.0143718	49.2706	22	../../w/svar_55pa.html
1070	gOrava	गौरव	gaurava	gaurava mfn. relating or belonging to a Guru or teacher, BhP. i, 7, 46	1302	0.0143418	49.285	22	../../w/g_4frava.html
1071	tAvat	तावत्	tāvat	tāvat mf( atī )n. ( fr. 2. ta , Pāṇ. v, 2, 39 ; vi, 3, 91 ) so great, so large, so much, so far, so…	1303	0.0143418	49.2993	22	../../w/t_41vat.html
1072	aSru	अश्रु	aśru	aśru n. ( us m. only once, ŚBr. vi and once, R. ) a tear, RV. x, 95, 12 and 13 ; AV. &c. with √ muc…	1304	0.0143118	49.3136	22	../../w/a_53ru.html
1073	sambanDa	सम्बन्ध	sambandha	sam-bandha m. ( ifc. f( ā ). ) binding or joining together, close connection or union or associatio…	1305	0.0143118	49.3279	22	../../w/samban_44a.html
1074	vAsin	वासिन्	vāsin	1. vāsin mfn. fragrant	1306	0.0143118	49.3423	22	../../w/v_41sin.html
1075	vidyut	विद्युत्	vidyut	1. vi—dyut mfn. (for 2. See under vi-√dyut ) devoid of splendour, lustreless, L.	1307	0.0142818	49.3565	22	../../w/vidyut.html
1076	aBidru	अभिद्रु	abhidru	abhi- √ 2. dru to run up to or near, RV. x, 75, 2 , &c.; to attack, overrun, infest.	1309	0.0142518	49.3708	22	../../w/a_42idru.html
1077	apatya	अपत्य	apatya	apatya n. ( fr. apa ), offspring, child, descendant	1310	0.0142518	49.385	22	../../w/apatya.html
1078	citraka	चित्रक	citraka	citraka m. a painter, L.	1312	0.0141917	49.3992	22	../../w/citraka.html
1079	nirgam	निर्गम्	nirgam	nir-√gam P. -gacchati ( Subj. -gamāṇi pf. p. -jaganvān , RV. ; ind.p. -gatya , MBh. &c., -gamya , M…	1313	0.0141917	49.4134	22	../../w/nirgam.html
1080	anDa	अन्ध	andha	andha mf( ā )n. blind	1315	0.0141617	49.4276	22	../../w/an_44a.html
1081	aSuBa	अशुभ	aśubha	a-śubha mfn. not beautiful or agreeable, disagreeable	1316	0.0141617	49.4417	22	../../w/a_53u_42a.html
1082	kuRqala	कुण्डल	kuṇḍala	kuṇḍala n. ( ifc. f( ā ). ; g. sidhmā di and ardharcā di) a ring, earring, ĀśvGṛ. ; Lāṭy. ; Mn. &c.	1317	0.0141617	49.4559	22	../../w/ku_52qala.html
1083	azwama	अष्टम	aṣṭama	aṣṭama mf( ī )n. the eighth, RV. ii, 5, 2 ; x, 114, 9 ; AV. &c.;	1320	0.0141317	49.47	22	../../w/azwama.html
1084	nirmA	निर्मा	nirmā	nir-√mā Ā. -mimīte , TS. : AV. ; Br. ; -māti , Kāv. ; Pur. ( pf. -mame , Mn. ; MBh. ; ind.p. -māya…	1321	0.0141317	49.4842	22	../../w/nirm_41.html
1085	arha	अर्ह	arha	arha mf( ā )n. meriting, deserving (praise or blame, cf. pūjā rha, nindā rha), worthy of, having a…	1322	0.0141017	49.4983	22	../../w/arha.html
1086	madya	मद्य	madya	1. madya (for 2. See ) Nom. P. ˚yati , Pāṇ. vii, 2, 98 , Sch.	1323	0.0141017	49.5124	22	../../w/madya.html
1087	niDana	निधन	nidhana	1. ni-dhana mfn. (for 2. See col. 3) having no property, poor, L.	1324	0.0141017	49.5265	22	../../w/ni_44ana.html
1088	mAza	माष	māṣa	māṣa m. ( n. g. ardharcā di) a bean, RV. &c. &c. ( sg. the plant; pl. the fruit; in later times = P…	1326	0.0140717	49.5405	22	../../w/m_41za.html
1089	guYjA	गुञ्जा	guñjā	guñjā f. humming, L.	1327	0.0140417	49.5546	22	../../w/gu_59j_41.html
1090	parivf	परिवृ	parivṛ	pari- √ 1. vṛ P. Ā. -varati , ˚te , ( pf. -vavrur , p. -vavṛvas ; ind.p. -vṛtya ), to cover, surrou…	1328	0.0140417	49.5686	22	../../w/parivf.html
1091	Alaya	आलय	ālaya	ā-laya See ā-√lī .	1329	0.0140117	49.5826	22	../../w/_41laya.html
1092	BUri	भूरि	bhūri	bhūri mfn. much, many, abundant, frequent, numerous, great, important, strong, mighty, RV. &c. &c.	1330	0.0140117	49.5967	22	../../w/_42_55ri.html
1093	viMSati	विंशति	viṃśati	viṃśati f. ( prob. for dvi-daśati , ‘two decades’) twenty, a score (with a noun either in genitive…	1332	0.0139817	49.6106	22	../../w/vi_4d_53ati.html
1094	viSvAmitra	विश्वामित्र	viśvāmitra	viśvā—mitra See below.	1333	0.0139817	49.6246	22	../../w/vi_53v_41mitra.html
1095	lepa	लेप	lepa	lepa m. the act of smearing, daubing, anointing, plastering, Yājñ. ; Kāv. ; Pur.	1334	0.0139517	49.6386	22	../../w/lepa.html
1096	vicar	विचर्	vicar	vi-√car P. -carati , to move in different directions, spread, expand, be diffused, RV. ; MBh. ; Var…	1335	0.0139517	49.6525	22	../../w/vicar.html
1097	mUrCA	मूर्छा	mūrchā	mūrchā f. fainting, a swoon, stupor, MBh. ; Kāv. &c.	1337	0.0139217	49.6664	22	../../w/m_55r_43_41.html
1098	sirA	सिरा	sirā	sirā f. ( fr. √ sṛ ) a stream, water, RV. i, 121 ( cf. Naigh. i, 12 ; often written śirā )	1338	0.0139217	49.6804	22	../../w/sir_41.html
1099	Apad	आपद्	āpad	1. ā-√pad Ā. -padyate ( pf. -pede aor. ā pAdi, &c.) to come, walk near, approach, BhP. ; to enter,…	1339	0.0138917	49.6943	22	../../w/_41pad.html
1100	kfSa	कृश	kṛśa	kṛśa mf( ā )n. ( Pāṇ. viii, 2, 55 ) lean, emaciated, thin, spare, weak, feeble, RV. ; AV. &c.	1340	0.0138917	49.7082	22	../../w/kf_53a.html
1101	prasU	प्रसू	prasū	pra- √ 1. sū P. -suvati , -sauti , ( Impv. -suhi with v.l. -sūhi , KātyŚr. ), to set in motion, rou…	1341	0.0138917	49.722	23	../../w/pras_55.html
1102	veSman	वेश्मन्	veśman	veśman n. a house, dwelling, mansion, abode, apartment, RV. &c. &c.	1342	0.0138917	49.7359	23	../../w/ve_53man.html
1103	Arti	आर्ति	ārti	ārti f. painful occurrence, pain, injury, mischief; sickness, AV. ; VS. ; KātyŚr. ; R. ; Megh. &c.;	1343	0.0138617	49.7498	23	../../w/_41rti.html
1104	dIpa	दीप	dīpa	dīpa m. a light, lamp, lantern, ĀśvGṛ. ; Mn. ; MBh. &c.	1344	0.0138617	49.7637	23	../../w/d_49pa.html
1105	mahAsattva	महासत्त्व	mahāsattva	mahā—sat-tva m. a gr˚ creature, large animal, MBh.	1345	0.0138617	49.7775	23	../../w/mah_41sattva.html
1106	paraMtapa	परंतप	paraṃtapa	para—ṃ-tapa mfn. destroying foes (said of heroes), MBh. ; R. &c.	1346	0.0138617	49.7914	23	../../w/para_4dtapa.html
1107	samAcar	समाचर्	samācar	sam-ā-√car P. -carati ( ep. also Ā. ˚te ), to act or behave or conduct one's self towards ( loc. ),…	1347	0.0138617	49.8052	23	../../w/sam_41car.html
1108	stoma	स्तोम	stoma	stoma m. praise, eulogium, a hymn, RV. ; AV. ; GṛS. ; Up. ; BhP.	1348	0.0138617	49.8191	23	../../w/stoma.html
1109	SAs	शास्	śās	1. śās ( cf. √ śaṃs ) cl. 2. P. ( Dhātup. xxiv, 67 ) śāsti ( Ved. and ep. also śāste and śāsati , ˚…	1349	0.0138317	49.8329	23	../../w/_53_41s.html
1110	ariMdama	अरिंदम	ariṃdama	a-ri—ṃ-dama mfn. ( Pāṇ. iii, 2, 46 , Sch. ) foe-conquering, victorious, N. &c.	1350	0.0137717	49.8467	23	../../w/ari_4ddama.html
1111	aDizWA	अधिष्ठा	adhiṣṭhā	adhi-ṣṭhā (√ sthā ) to stand upon, depend upon; to inhabit, abide; to stand over; to superintend, g…	1351	0.0137417	49.8604	23	../../w/a_44iz_57_41.html
1112	dehin	देहिन्	dehin	dehin mfn. having a body, corporeal	1352	0.0137417	49.8742	23	../../w/dehin.html
1113	vaRij	वणिज्	vaṇij	vaṇij m. (also written baṇij ) a merchant, trader, RV. &c. &c.	1353	0.0137417	49.8879	23	../../w/va_52ij.html
1114	vfzRi	वृष्णि	vṛṣṇi	vṛṣṇi or vṛṣṇi , mfn. manly, strong, powerful, mighty, RV.	1355	0.0137117	49.9016	23	../../w/vfz_52i.html
