lemma_slp1	layer	sense_id	sense_gloss	count_estimated	method	confidence	provenance
sevin	mw	sevin#4	having sexual intercourse with, Subh.	125	mfs	1.0	estimated
sraMs	mw	sraMs#9	to cause to fall down, loosen, AV. ; R. &c.;	125	mfs	0.7143	estimated
svayaMvara	mw	svayaMvara#2	svayaM—vara m. self-choice, the election of a husband by a princess or daughter of a Kṣatriya at a p	125	mfs	1.0	estimated
tArakA	mw	tArakA#1	tA/rakA f. ( Pāṇ. vii, 3, 45 , Vārtt. 6) a star, AV. ; TBr. i, 5, 2, 5 ; Yājñ. i ; MBh. &c. ( ifc. f	125	mfs	0.5455	estimated
upAdAna	mw	upAdAna#9	cause, motive, material cause	125	mfs	1.0	estimated
upakrama	mw	upakrama#7	attendance (on a patient), treatment, practice or application of medicine, physicking, Suśr. &c.	125	mfs	1.0	estimated
vEdika	mw	vEdika#1	vEdika mf( I )n. ( fr. veda ) relating to the Veda , derived from or conformable to the V˚ , prescri	125	mfs	1.0	estimated
varzin	mw	varzin#1	varzin mfn. raining, discharging like rain, pouring out, showering down, distributing (anything good	125	mfs	1.0	estimated
vasati	mw	vasati#1	vasati/ f. staying ( esp. ‘overnight’), dwelling, abiding, sojourn, ŚBr. &c. &c. ( tisro vasatIr uzi	125	mfs	0.5926	estimated
vyajana	mw	vyajana#2	a palm-leaf or other article used for fanning, fan, whisk (often du. ), Mn. ; MBh. &c.	125	mfs	1.0	estimated
yajamAna	mw	yajamAna#2	ya/jamAna m. the person paying the cost of a sacrifice, the institutor of a s˚ (who to perform it em	125	mfs	1.0	estimated
AkUti	mw	AkUti#3	N. of a daughter of Manu Svāyambhuva and of Śatarūpā , VS.	124	mfs	1.0	estimated
AvasaTa	mw	AvasaTa#2	a dwelling for pupils and ascetics	124	mfs	1.0	estimated
BAgavata	mw	BAgavata#3	BAgavata m. a follower or worshipper of Bh˚ or Viṣṇu , ib. ( cf. IW. 321, 1 )	124	mfs	0.7143	estimated
akzayya	mw	akzayya#1	a-kzayya/ mfn. undecaying	124	mfs	1.0	estimated
carzaRi	mw	carzaRi#4	carzaRi/ f. pl. ‘cultivators (opposed to nomads)’, men, people, race, RV. ( pa/Yca c˚ = p˚ kfzwa/yas	124	mfs	1.0	estimated
dAva	mw	dAva#2	fire, heat	124	mfs	0.8182	estimated
dUram	mw	dUram#7	˚M-gama/ mfn. going far away, VS. xxxiv, 1	124	mfs	1.0	estimated
garta	mw	garta#10	ga/rta n. a hole, cave, MBh. vii, 4953	124	mfs	0.5241	estimated
guggulu	mw	guggulu#1	gu/ggulu n. (= gu/lg˚ ) bdellium or the exudation of Amyris Agallochum (a fragrant gum resin, used a	124	mfs	1.0	estimated
jAmadagnya	mw	jAmadagnya#1	jAmadagnya mfn. belonging or relating to Jamad-agni or to his son Jāmadagnya , MBh. i, 332 ; Hariv. 	124	mfs	1.0	estimated
kapitTa	mw	kapitTa#3	kapitTa n. the fruit of Feronia Elephantum , Suśr. ; VarBṛS. &c.	124	mfs	1.0	estimated
keSin	mw	keSin#1	keSi/n mfn. ( Pāṇ. v, 2, 109 ) having fine or long hair (said of Rudra [ cf. kapardin ], of his fema	124	mfs	0.5625	estimated
kzipra	mw	kzipra#2	quick, speedy, swift, ŚBr. vi ; ix ;	124	mfs	0.5294	estimated
mfq	mw	mfq#3	to be gracious or favourable, pardon, spare (with dat. of pers. and acc. of thing), RV. &c. &c.;	124	mfs	1.0	estimated
nah	mw	nah#3	to bind, tie, fasten, bind on or round or together;	124	mfs	0.7143	estimated
pUrvaja	mw	pUrvaja#7	pUrva—ja/ m. an elder brother, the eldest b˚ , Mn. ; MBh. &c.	124	mfs	0.6471	estimated
revat	mw	revat#2	abundant, plentiful, ib.	124	mfs	0.5	estimated
stotf	mw	stotf#1	stotf/ mfn. praising, worshipping, RV. ; AV.	124	mfs	1.0	estimated
varya	mw	varya#2	excellent, eminent, chief, principal, best of ( gen. or comp. ), MBh. ; Kāv. &c.	124	mfs	0.8333	estimated
vedANga	mw	vedANga#1	vedA Nga See below.	124	mfs	1.0	estimated
vyatiric	mw	vyatiric#3	to differ from, ib. ; Śaṃk.	124	mfs	1.0	estimated
vyavasAya	mw	vyavasAya#5	trade, business, Campak.	124	mfs	1.0	estimated
yakzma	mw	yakzma#1	1. ya/kzma m. sickness, disease in general or N. of a large class of diseases ( prob. of a consumpti	124	mfs	1.0	estimated
SArada	mw	SArada#1	SArada/ mf( I/ , or SA/radI )n. ( fr. Sarad ) produced or growing in autumn, autumnal, mature, AV. &	123	mfs	0.8214	estimated
SaMsa	mw	SaMsa#1	Sa/Msa m. recitation, invocation, praise, RV.	123	mfs	1.0	estimated
SamyA	mw	SamyA#2	Sa/myA f. a stick, staff, ( esp. ) a wooden pin or peg, wedge &c., RV. ; AV. ; Br. ; GṛŚrS.	123	mfs	1.0	estimated
aBiSaMs	mw	aBiSaMs#1	aBi-√ SaMs to accuse, blame, calumniate, TS. &c.;	123	mfs	1.0	estimated
anaNga	mw	anaNga#2	an-aNga ( as ), m. N. of Kāma (god of love, so called because he was made bodiless by a flash from t	123	mfs	1.0	estimated
anas	mw	anas#1	a/nas n. (√ an , Uṇ. ), a cart, RV. &c.	123	mfs	1.0	estimated
ave	mw	ave#2	to go down, go down to ( acc. ), go to, RV. ;	123	mfs	0.7143	estimated
ganDamAdana	mw	ganDamAdana#8	ganDa—mAdana n. the forest on the mountain Gandha-mādana , L.	123	mfs	0.619	estimated
jAmi	mw	jAmi#1	jAmi/ mfn. related like brother and sister, ( f. with [ RV. i , iii , ix ] or without sva/sf ) a sis	123	mfs	0.4706	estimated
niHSeza	mw	niHSeza#1	niH—Seza mf( A )n. without remainder, (either =) finished, passed away ( kalpa ), Hariv. ( ˚zaM √ kf	123	mfs	0.5	estimated
paritas	mw	paritas#1	pari/-tas ind. ( fr. pari ) round about, all around, everywhere ( na-paritaH , by no means, not at a	123	mfs	1.0	estimated
praRAma	mw	praRAma#1	pra-RAma m. ( ifc. f( A ). ) bending, bowing, a bow, respectful salutation, prostration, obeisance (	123	mfs	1.0	estimated
raMhas	mw	raMhas#1	raMhas n. speed, quickness, velocity, MBh. ; Kāv. &c.	123	mfs	1.0	estimated
sAti	mw	sAti#1	1. sAti/ f. gaining, obtaining, acquisition, winning of spoil or property, RV.	123	mfs	1.0	estimated
saMsiD	mw	saMsiD#1	saM- √ 3. siD P. -siDyati , ( ep. also ˚te ), to be accomplished or performed thoroughly, succeed, P	123	mfs	1.0	estimated
samutsfj	mw	samutsfj#3	to leave or abandon or completely put aside, put off or down, throw into ( loc. ), ib. ;	123	mfs	0.5	estimated
vyADa	mw	vyADa#1	vyADa m. ‘one who pierces or wounds’, a hunter, one who lives by killing deer (said to be the son of	123	mfs	1.0	estimated
yuyutsu	mw	yuyutsu#3	N. of one of the sons of Dhṛtarāṣṭra , MBh. ; BhP.	123	mfs	0.5789	estimated
Alasya	mw	Alasya#1	Alasya n. idleness, sloth, want of energy, MBh. ; Mn. ; Yājñ. ; Suśr. &c.	122	mfs	1.0	estimated
SaWa	mw	SaWa#1	SaWa mf( A )n. false, deceitful, fraudulent, malignant, wicked, Āpast. ; Mn. ; MBh. &c.	122	mfs	0.4286	estimated
SapaTa	mw	SapaTa#1	SapaTa m. (and n. g. arDarcA di ifc. f( A ). ) a curse, imprecation, anathema, RV. &c. &c.	122	mfs	0.625	estimated
anusf	mw	anusf#1	anu-√ sf to go after:	122	mfs	0.6667	estimated
avasad	mw	avasad#2	to sink (as into water), Suśr. ; BhP. ;	122	mfs	0.5833	estimated
bandin	mw	bandin#1	1. bandin m. (also written vandin , q.v. , and m.c. ˚di ) a praiser, bard, herald (who sings the pra	122	mfs	1.0	estimated
druti	mw	druti#1	druti f. melting ( cf. garBa- )	122	mfs	1.0	estimated
gaya	mw	gaya#8	N. of an Asura (slain by Śiva [ cf. RTL. p. 87 ], and who like the Rājarṣi Gaya is connected with th	122	mfs	0.5333	estimated
haWa	mw	haWa#1	haWa m. violence, force ( ibc. , ena , and At , ‘by force, forcibly’), R. ; Rājat. ; Kathās. &c.	122	mfs	0.6667	estimated
mEtrI	mw	mEtrI#2	mEtrI f. friendship, friendliness, benevolence, good will (one of the 4 perfect states with Buddhist	122	mfs	1.0	estimated
mOli	mw	mOli#6	mOli m. f. a diadem, crown, crest, MBh. ; Kāv. &c.	122	mfs	0.8571	estimated
nicaya	mw	nicaya#3	collection, multitude, assemblage (rarely of living beings, cf. vaDU-n˚ ), Mn. ; MBh. ; Kāv. &c.	122	mfs	0.75	estimated
payoDara	mw	payoDara#2	( ifc. f( A ). ) a woman's breast or an udder, MBh. ; Kāv. &c.	122	mfs	0.8	estimated
pratyekam	mw	pratyekam#1	praty—ekam ind. , one by one, one at a time, singly, for every single one, ŚāṅkhŚr. ; Mn. ; Kāv. &c.	122	mfs	1.0	estimated
puRqra	mw	puRqra#2	( pl. ) of a people and their country (the modern Bengal and Behar), AitBr. ; MBh. &c.	122	mfs	0.6667	estimated
rodasI	mw	rodasI#4	the earth, R. ; Hcat.	122	mfs	1.0	estimated
tadAnIm	mw	tadAnIm#1	tadA/nIm ind. ( Pāṇ. v, 3, 19 ) at that time, then ( cf. id˚ ), RV. x, 129, 1 ; AV. ; MBh. &c., (cor	122	mfs	1.0	estimated
taraMga	mw	taraMga#1	1. taraM-ga m. ( fr. taram ind. √ tF ) ‘across-goer’, a wave, billow, R. iv, 41, 29 ff. ; Jain. ; Su	122	mfs	1.0	estimated
vAhlIka	mw	vAhlIka#1	bAlhIka , bAhlIka or vAhlIka , m. ( pl. ) N. of a people, MBh. ; R. &c.;	122	mfs	0.5	estimated
vAstu	mw	vAstu#1	vA/stu n. ( m. only in BhP. ) the site or foundation of a house, site, ground, building or dwelling-	122	mfs	1.0	estimated
varAnanA	mw	varAnanA#1	varA nanA f. a lovely-faced woman, R.	122	mfs	1.0	estimated
vedas	mw	vedas#2	2. ve/das n. property, wealth, RV. ; AV.	122	mfs	0.75	estimated
viruc	mw	viruc#2	to shine forth, be bright or radiant or conspicuous or visible, RV. &c. &c.;	122	mfs	1.0	estimated
Asic	mw	Asic#1	1. A-√ sic P. Ā. -siYcati , -te , to pour in, fill up, RV. ; AV. ; ŚBr. ; ŚāṅkhGṛ. ; KātyŚr. &c.;	121	mfs	0.4	estimated
anvaham	mw	anvaham#1	anv-aha/m ind. day after day, every day.	121	mfs	1.0	estimated
avaruh	mw	avaruh#2	to descend, alight, dismount, RV. v, 78, 4 , &c.;	121	mfs	1.0	estimated
cIra	mw	cIra#2	the dress of a Buddhist monk ( cf. cIvara ), W.	121	mfs	0.5957	estimated
kaRA	mw	kaRA#2	long pepper, Suśr.	121	mfs	1.0	estimated
maTurA	mw	maTurA#2	maTurA f. N. of various towns ( esp. of an ancient town now called Muttra and held in great honour a	121	mfs	1.0	estimated
nAzwrA	mw	nAzwrA#1	nAzwrA/ f. danger, destruction, evil demon, AV. ; VS. ; ŚBr.	121	mfs	1.0	estimated
pariplu	mw	pariplu#2	to swim or float or hover about or through, Br. &c. &c.;	121	mfs	1.0	estimated
prativyaD	mw	prativyaD#1	prati-√ vyaD P. -viDyati ( ep. also Ā. ˚te ), to shoot against, hit, wound, RV. &c., &c.:	121	mfs	1.0	estimated
rAti	mw	rAti#1	rAti/ mfn. ready or willing to give, generous, favourable, gracious, RV. ; AV. ; VS. ; Br.	121	mfs	0.5556	estimated
sArTa	mw	sArTa#7	sA rTa m. a travelling company of traders or pilgrims, caravan, MBh. ; R. &c.	121	mfs	1.0	estimated
stamba	mw	stamba#7	stamba/ n. (in these senses prob. w.r. for stamBa , m. ) a post, pillar in general, W.	121	mfs	0.375	estimated
viBAvasu	mw	viBAvasu#2	vi-BA/—vasu m. fire or the god of fire, MBh. ; Kāv. &c.	121	mfs	0.5588	estimated
vivas	mw	vivas#1	vi- √ 2. vas ( cf. vyuz ) P. vy-ucCati , to shine forth, shine, dawn, RV. &c. &c.;	121	mfs	0.6667	estimated
Bogin	mw	Bogin#2	Bogin m. a serpent or s˚ -demon, MBh. ; Kāv. &c.	120	mfs	1.0	estimated
ajYa	mw	ajYa#2	ignorant, inexperienced	120	mfs	1.0	estimated
jalp	mw	jalp#2	to chatter, prattle, W. ;	120	mfs	0.8333	estimated
kopana	mw	kopana#1	kopana mf( A )n. inclined to passion, passionate, wrathful, angry, MBh. ; R. &c.	120	mfs	0.6667	estimated
kukkuwa	mw	kukkuwa#1	kukkuwa/ as , m. ( ifc. f( A ). , Pāṇ. iv, 1, 14 , Kāś. ) a cock, VS. i, 16 ; Mn. ; MBh. &c.	120	mfs	1.0	estimated
maRqUka	mw	maRqUka#1	maRqU/ka m. ( ifc. f( A ). ) a frog, RV. &c. &c.	120	mfs	1.0	estimated
mfRAla	mw	mfRAla#1	mfRAla n. (also m. g. arDarcA di ; and f( I ). , MBh. ; R. ; cf. Uṇ. i, 117 , Sch. ) ‘liable to be c	120	mfs	1.0	estimated
naptf	mw	naptf#2	grandson (in later lang. restricted to this sense), RV. &c. &c.;	120	mfs	0.8462	estimated
nirBaya	mw	nirBaya#3	nir—Baya mf( A )n. free from danger, secure, tranquil ( am ind. fearlessly &c.), Mn. ; MBh. ; Kāv. &	120	mfs	1.0	estimated
praRiDAna	mw	praRiDAna#1	pra-˚RiDAna n. laying on, fixing, applying (also pl. ), Car. ; Suśr.	120	mfs	0.625	estimated
pratyah	mw	pratyah#3	to answer, reply to ( acc. ), ŚBr.	120	mfs	1.0	estimated
punarvasu	mw	punarvasu#1	pu/nar—vasu ( pu/nar- ), m. ‘restoring goods’, N. of the 5th or 7th lunar mansion, RV. &c. &c. (most	120	mfs	1.0	estimated
ucCvAsa	mw	ucCvAsa#1	uc-CvAsa/ m. breathing out	120	mfs	0.5	estimated
upasfp	mw	upasfp#4	to draw near, approach slowly (as sunset, misfortune, &c.), MBh. ; BhP. ; Hit.	120	mfs	0.9	estimated
BUriSravas	mw	BUriSravas#1	BUri—Sravas m. N. of a son of Soma-datta (king of the Bālhika s), MBh.	119	mfs	1.0	estimated
DvaMs	mw	DvaMs#4	to scatter, cover &c. (only Dvasta , q.v. ) :	119	mfs	0.8	estimated
GrA	mw	GrA#2	to smell, perceive odour, ŚBr. xiv ; Mn. ii, 98 ; MBh. ; Hariv. ; R. ;	119	mfs	1.0	estimated
anAgas	mw	anAgas#1	a/n-Agas mfn. sinless, blameless, RV. &c.	119	mfs	1.0	estimated
azwaguRa	mw	azwaguRa#2	azwa—guRa n. ‘eight qualities’, in comp. , e.g. azwaguRA Sraya mfn. endowed with the eight qualities	119	mfs	1.0	estimated
daSaraTa	mw	daSaraTa#3	N. of an ancestor of Rāma 's father, 4, 38	119	mfs	0.9939	estimated
dakziRAgni	mw	dakziRAgni#1	dakziRA gni/ m. the southern fire of the altar (= anvAhArya-pa/cana ), AV. ; ĀśvŚr. ; KātyŚr. ; Lāṭy	119	mfs	1.0	estimated
gAnDAra	mw	gAnDAra#7	gAnDAra m. pl. N. of a people and of their country (north-east of Peshawar and giving its N. to Kand	119	mfs	0.5385	estimated
kUrca	mw	kUrca#5	kUrca/ m. n. the upper part of the nose (the part between the eyebrows), L.	119	mfs	0.5385	estimated
karaYja	mw	karaYja#1	ka/raYja m. the tree Pongamia Glabra (used medicinally), Āp. ; Suśr. ; MBh. iii	119	mfs	1.0	estimated
kuwila	mw	kuwila#9	tin, W.	119	mfs	0.6	estimated
mandra	mw	mandra#1	mandra/ mf( A/ )n. pleasant, agreeable, charming, ( esp. ) sounding or speaking pleasantly &c., RV. 	119	mfs	1.0	estimated
nand	mw	nand#1	nand cl. 1. P. ( Dhātup. iii, 30 ) na/ndati , ep. also ˚te ( pf. nananda , MBh. ; fut. nandizyate , 	119	mfs	1.0	estimated
nikfti	mw	nikfti#3	ni-˚kfti f. low conduct, baseness, dishonesty, fraud, wickedness, MBh. ; R. &c. (personified as a da	119	mfs	1.0	estimated
pUraRa	mw	pUraRa#9	pU/raRa ( pU/r˚ ), n. the act or filling or filling up, puffing or swelling up, AV. &c. &c.	119	mfs	1.0	estimated
parABava	mw	parABava#2	overthrow, defeat, humiliation, mortification, contempt, injury, destruction, ruin, ŚBr. ; MBh. ; Kā	119	mfs	0.8889	estimated
raBasa	mw	raBasa#1	raBasa/ mf( A )n. ( fr. prec. ) impetuous, violent, rapid, fierce, wild, RV. &c. &c.	119	mfs	0.6	estimated
sArasa	mw	sArasa#2	sArasa m. ( ifc. f( A ). ) the Indian or Siberian crane, Ardea Sibirica , Mn. ; MBh. &c.	119	mfs	0.95	estimated
saMyama	mw	saMyama#1	saM-yama m. holding together, restraint, control, ( esp. ) control of the senses, self-control, Mn. 	119	mfs	1.0	estimated
tvarita	mw	tvarita#1	tva˚rita mfn. ( Pāṇ. iii, 2, 187 ) hasty, quick, swift, expeditious, MBh. &c.	119	mfs	1.0	estimated
upavana	mw	upavana#1	upa-vana n. a small forest or wood, grove, garden, MBh. ; Mn. ; Megh. &c.	119	mfs	1.0	estimated
yaTArTa	mw	yaTArTa#1	yaTA ˚rTa ( ˚TA r˚ ), mf( A )n. accordant with reality, conformable to truth or the true meaning, tr	119	mfs	1.0	estimated
AcCid	mw	AcCid#4	to cut off, exclude or remove from ( abl. ), MBh. iii, 14710 Comm. on Mn. iv, 219 ;	118	mfs	0.6667	estimated
AnfSaMsya	mw	AnfSaMsya#2	AnfSaMsya n. absence of cruelty or harm, kindness, mercy, compassion, benevolence, MBh. ; Mn. ; Āp.	118	mfs	1.0	estimated
Kalva	mw	Kalva#2	(= Kalla ) a mill or stone for grinding drugs, Bhpr.	118	mfs	1.0	estimated
asuKa	mw	asuKa#4	a-suKa n. sorrow, pain, affliction, Mn. ; MBh. &c.	118	mfs	1.0	estimated
avaDU	mw	avaDU#3	Caus. ( Pot. -DUnayet ) to shake, Mn. iii, 229.	118	mfs	1.0	estimated
brahmaRya	mw	brahmaRya#1	1. brahmaRya Nom. P. ˚ya/ti (only pr. p. ˚ya/t ) to pray, be devout or religious, RV.	118	mfs	1.0	estimated
mAtali	mw	mAtali#1	mAtali m. N. of Indra 's charioteer, MBh. ; Kāv. &c.	118	mfs	1.0	estimated
nAwya	mw	nAwya#1	nAwya n. dancing, mimic representation, dramatic art, Kāv. ; Pur. &c. ( ˚wyena ind. with a gesture, 	118	mfs	0.75	estimated
pariSiz	mw	pariSiz#1	pari-√ Siz P. -Sinazwi ( Pot. -SiMzyuH ), to leave over, leave as a remainder, Br. ;	118	mfs	1.0	estimated
prasUti	mw	prasUti#2	2. pra-˚sUti f. (for 1. See pra- √ 1. su ) procreation, generation, bringing forth (children or youn	118	mfs	0.5625	estimated
samAkf	mw	samAkf#3	to gather, collect, RV. ; AitBr. ;	118	mfs	1.0	estimated
samave	mw	samave#1	sam-ave ( -ava- √ 5. i ) P. -avE ti , to come or meet or mix or assemble together, be united in ( ac	118	mfs	1.0	estimated
toda	mw	toda#3	pricking pain, BhP. iii, 18, 6 ; Suśr.	118	mfs	1.0	estimated
trigarta	mw	trigarta#1	tri—garta m. pl. ( g. yODeyA di ) N. of a people inhabiting modern Lahore, AV.Pariś. lvi, 8 ; MBh. (	118	mfs	1.0	estimated
vikarRa	mw	vikarRa#5	of a son of Dhṛtarāṣṭra , MBh.	118	mfs	0.9	estimated
zazwika	mw	zazwika#2	zazwika m. or f( A ). a kind of rice of quick growth (ripening in about 60 days), MBh. ; Suśr. ; Var	118	mfs	1.0	estimated
Anam	mw	Anam#2	to bend down, bend, bow, incline, R. ; BhP. ; Ragh. &c.;	117	mfs	0.5833	estimated
Anantya	mw	Anantya#4	immortality, future happiness, MBh. &c.	117	mfs	0.6667	estimated
DUmra	mw	DUmra#4	a mixture of red and black, purple (the colour), W.	117	mfs	0.5714	estimated
SUlin	mw	SUlin#2	one who suffers from sharp internal pain or from colic, Kauś. ; Vcar. ; Hcat.	117	mfs	1.0	estimated
SudDodana	mw	SudDodana#1	SudD'odana m. ‘having p˚ rice or food’, N. of a king of Kapila-vastu (of the tribe of the Śākya s an	117	mfs	1.0	estimated
aBijana	mw	aBijana#4	noble descent	117	mfs	0.6667	estimated
akzOhiRI	mw	akzOhiRI#1	akzOhiRI f. an army consisting of ten anīkinī s, or 21870 elephants, 21870 chariots, 65610 horse, an	117	mfs	1.0	estimated
anArya	mw	anArya#1	an-Arya mfn. not honourable or respectable, vulgar, inferior	117	mfs	1.0	estimated
anavadya	mw	anavadya#1	an-avadya/ mf( A/ )n. irreproachable, faultless	117	mfs	1.0	estimated
anubanD	mw	anubanD#3	to stick, adhere, follow, endure;	117	mfs	0.75	estimated
ekAdaSI	mw	ekAdaSI#1	ekAdaSI ( I ), f. the eleventh day of a fortnight (on which fasting is considered an indispensable o	117	mfs	1.0	estimated
jarAyu	mw	jarAyu#4	jarA/yu n. (also mf. , L. ) the outer skin of the embryo (opposed to u/lba ), after-birth, RV. v, 78	117	mfs	0.8	estimated
kaNka	mw	kaNka#1	kaNka/ as , m. ( fr. the above according to T. ), a heron (the first heron is supposed to be a son o	117	mfs	1.0	estimated
kubera	mw	kubera#2	(afterwards) the god of riches and treasure (regent of the northern quarter which is hence called ku	117	mfs	1.0	estimated
maDuparka	mw	maDuparka#1	maDu—parka/ m. ( n. , L. ) a mixture of honey, an offering of honey and milk, a respectful off˚ to a	117	mfs	0.5	estimated
nErfta	mw	nErfta#3	belonging to the Rākṣasa s, MBh. (see m. )	117	mfs	1.0	estimated
prAyaSas	mw	prAyaSas#2	as a rule, MBh. ; Kāv. &c.	117	mfs	1.0	estimated
praRiDA	mw	praRiDA#5	to put on, apply, Suśr. ;	117	mfs	0.75	estimated
prezya	mw	prezya#2	pre zya m. a servant, menial, slave ( f( A ). a female servant, handmaid), MBh. ; Kāv. &c.	117	mfs	0.9091	estimated
upahAra	mw	upahAra#1	upa-hAra m. offering, oblation (to a deity)	117	mfs	0.8571	estimated
vAnaprasTa	mw	vAnaprasTa#5	vAnaprasTa m. ( scil. ASrama ) the third stage of a Brāhman 's life, forest-life, MBh. ; R. ; Hariv.	117	mfs	1.0	estimated
vESravaRa	mw	vESravaRa#1	vESravaRa/ m. ( fr. vi-SravaRa ; cf. g. SivA di ) a patr. ( esp. of Kubera and Rāvaṇa ), AV. &c. &c.	117	mfs	1.0	estimated
vIti	mw	vIti#5	3. vIti m. = 1. pIti , a horse, Rājat.	117	mfs	1.0	estimated
vijayA	mw	vijayA#14	of a Kumārī ( i.e. small flag-staff) on Indra 's banner, VarBṛS.	117	mfs	1.0	estimated
gara	mw	gara#4	a factitious poison (‘an antidote’, W. ), L.	116	mfs	1.0	estimated
karSana	mw	karSana#2	troubling, hurting, MBh. xiii, 6307 ( cf. karzaRa )	116	mfs	0.75	estimated
lup	mw	lup#1	1. lup ( cf. √ rup ), cl. 6. P. Ā. ( Dhātup. xxviii, 137 ) lumpa/ti , ˚te ( pf. lulopa , lulupe , Br	116	mfs	0.9	estimated
mAnDAtf	mw	mAnDAtf#1	mAnDAtf m. ( cf. manDAtf ) N. of a king (son of Yuvanāśva , author of RV. x, 134 ), ĀśvŚr. ; MBh. &c	116	mfs	1.0	estimated
mUka	mw	mUka#1	mU/ka mf( A )n. ( ŚBr. mUka/ ) ‘tied or bound’ ( scil. tongue-tied), dumb, speechless, mute, silent,	116	mfs	0.75	estimated
pIti	mw	pIti#1	1. pIti/ f. drinking (with acc. or gen. ), a draught, RV.	116	mfs	0.9	estimated
padavI	mw	padavI#2	pada—vI/ f. ( nom. vI ) a road, path, way, track, reach, range	116	mfs	1.0	estimated
pramI	mw	pramI#2	to frustrate, annul, destroy, annihilate, RV. ; AV. ; BhP. ;	116	mfs	1.0	estimated
sindUra	mw	sindUra#3	sindUra n. red lead, minium, vermilion, Kāv. ; Kathās. &c.	116	mfs	1.0	estimated
subrahmaRyA	mw	subrahmaRyA#1	su—brahmaRyA ( A ), f. a partic. recitation of certain Mantra s by the Udgātṛ priests (sometimes als	116	mfs	1.0	estimated
veSyA	mw	veSyA#2	veSyA f. ‘intranda’, a harlot, courtezan, prostitute, Mn. ; MBh. &c. (in comp. also veSya ; see prec	116	mfs	1.0	estimated
vilI	mw	vilI#7	to make liquid, dissolve, melt, Suśr.	116	mfs	0.8235	estimated
vyAcakz	mw	vyAcakz#2	to explain, comment upon, ib. ; KenUp. , Kāś.	116	mfs	1.0	estimated
Agas	mw	Agas#1	A/gas n. transgression, offence, injury, sin, fault, RV. ; AV. &c.	115	mfs	1.0	estimated
Gaw	mw	Gaw#10	to join together, connect, bring together, unite, Suśr. ; Śiś. ix, 87 ; Naiṣ. i, 46 ; Ratnāv. ;	115	mfs	0.5	estimated
SreRi	mw	SreRi#3	a company of artisans following the same business, a guild or association of traders dealing in the 	115	mfs	0.8333	estimated
UrRA	mw	UrRA#1	U/rRA f. (less correctly spelt urRA ) ( Uṇ. v, 47 ) wool, a woollen thread, thread, RV. iv, 22, 2 ; 	115	mfs	1.0	estimated
avAYc	mw	avAYc#1	a/vAYc mfn. AN , AcI , Ak ( fr. 2. aYc ), turned downwards, being or situated below, lower than ( ab	115	mfs	0.75	estimated
gayA	mw	gayA#1	ga/yA f. ( g. varaRA di ) the city Gayā (famous place of pilgrimage in Behar and residence of the sa	115	mfs	1.0	estimated
jAnapada	mw	jAnapada#1	jA/napada mfn. ( g. utsA di ) living in the country ( jana-pada/ )	115	mfs	1.0	estimated
lamb	mw	lamb#3	to hang down, depend, dangle, hang from or on ( loc. ), Suparṇ. ; MBh. &c.;	115	mfs	0.8	estimated
napAt	mw	napAt#2	grandson (in later lang. restricted to this sense), RV. &c. &c.;	115	mfs	0.8	estimated
padminI	mw	padminI#2	padminI f. (of prec. ) Nelumbium Speciosum , a lotus (the whole plant, ifc. ˚nIka , mfn. ; cf. abjin	115	mfs	0.4286	estimated
prAvf	mw	prAvf#2	to cover, veil, conceal, AV. ; Gaut. ; Āpast. ;	115	mfs	0.6667	estimated
prItimat	mw	prItimat#1	prIti—mat mfn. having pleasurable sensations, pleased, gratified, glad, satisfied, MBh. ; Kāv. ; Mār	115	mfs	0.5	estimated
pramaT	mw	pramaT#4	to destroy, lay waste, MBh. :	115	mfs	1.0	estimated
pratikf	mw	pratikf#3	to counteract, resist ( acc. or gen. ), ib. ;	115	mfs	0.4545	estimated
sKal	mw	sKal#3	to drop or slip down, trickle down, MW. ;	115	mfs	0.6667	estimated
samakza	mw	samakza#1	sam-akza mfn. being within sight or before the eyes, present, visible, Śak. ; BhP.	115	mfs	1.0	estimated
vArAha	mw	vArAha#7	N. of a mountain, MBh. ; Hariv. ( v.l. varAh )	115	mfs	0.5	estimated
vena	mw	vena#1	vena/ mf( I )n. yearning, longing, eager, anxious, loving, RV.	115	mfs	0.5	estimated
vftrahan	mw	vftrahan#1	vftra—ha/n mf( GnI )n. killing enemies or V˚ , victorious, RV. &c. &c. (mostly applied to Indra , bu	115	mfs	1.0	estimated
vidah	mw	vidah#1	vi-√ dah P. -dahati , to burn up, scorch, consume or destroy by fire, RV. ; MBh. ;	115	mfs	0.5556	estimated
vijana	mw	vijana#1	vi—jana mfn. free from people, destitute of men, deserted, solitary, lonely, Mn. ; MBh. &c.	115	mfs	0.7895	estimated
vitaTa	mw	vitaTa#2	vi-taTa mf( A )n. ( fr. vi + taTA , not so) untrue, false, incorrect, unreal, vain, futile ( instr. 	115	mfs	1.0	estimated
vizah	mw	vizah#3	to be able to or capable of ( inf. ), MBh. ; R. ;	115	mfs	0.6667	estimated
vyADita	mw	vyADita#1	vyADita mf( A )n. afflicted with disease, diseased, sick, GṛŚrS. ; Mn. ; Yājñ. &c.	115	mfs	1.0	estimated
yaTAtaTa	mw	yaTAtaTa#1	yaTA—taTa mfn. conformable to truth or the exact state of the case, right, true, accurate, W.	115	mfs	1.0	estimated
