rank	lemma_slp1	lemma_iast	model	kind	bucket	core_rank	n_attested_cells	corpus_count	pct	cumulative_pct	lesson
1985	amarza	amarṣa	m_a	nominal	a-stems	2755	7	22	0.003	35.58	4
1986	kapota	kapota	m_a	nominal	a-stems	2756	5	32	0.0043	35.58	4
1987	kekaya	kekaya	m_a	nominal	a-stems	2757	1	1	0.0001	35.58	4
1988	lakzya	lakṣya	m_a	nominal	a-stems	2758	2	2	0.0003	35.58	4
1989	lakzya	lakṣya	n_a	nominal	a-stems	2758	3	5	0.0007	35.58	4
1990	manorama	manorama	m_a	nominal	a-stems	2760	5	8	0.0011	35.58	4
1991	manorama	manorama	n_a	nominal	a-stems	2760	3	3	0.0004	35.58	4
1992	nivAsa	nivāsa	m_a	nominal	a-stems	2761	8	26	0.0035	35.59	4
1993	sEnika	sainika	m_a	nominal	a-stems	2764	4	9	0.0012	35.59	4
1994	upakaraRa	upakaraṇa	n_a	nominal	a-stems	2765	7	83	0.0112	35.6	4
1995	vihvala	vihvala	m_a	nominal	a-stems	2766	3	12	0.0016	35.6	4
1996	vihvala	vihvala	n_a	nominal	a-stems	2766	1	1	0.0001	35.6	4
1997	avidyA	avidyā	f_A	nominal	a-stems	2767	6	20	0.0027	35.6	4
1998	kesara	kesara	m_a	nominal	a-stems	2770	3	4	0.0005	35.6	4
1999	kesara	kesara	n_a	nominal	a-stems	2770	3	5	0.0007	35.6	4
2000	Bojya	bhojya	n_a	nominal	a-stems	2774	7	11	0.0015	35.61	4
2001	pramadA	pramadā	f_A	nominal	a-stems	2776	5	15	0.002	35.61	4
2002	vallaBa	vallabha	m_a	nominal	a-stems	2780	7	12	0.0016	35.61	4
2003	vallaBa	vallabha	n_a	nominal	a-stems	2780	3	8	0.0011	35.61	4
2004	atandrita	atandrita	m_a	nominal	a-stems	2784	1	8	0.0011	35.61	4
2005	ayoDyA	ayodhyā	f_A	nominal	a-stems	2785	2	4	0.0005	35.61	4
2006	GaRwA	ghaṇṭā	f_A	nominal	a-stems	2786	5	31	0.0042	35.62	4
2007	hava	hava	m_a	nominal	a-stems	2788	10	217	0.0293	35.65	4
2008	hava	hava	n_a	nominal	a-stems	2788	2	149	0.0201	35.67	4
2009	kaMsa	kaṃsa	m_a	nominal	a-stems	2789	10	137	0.0185	35.68	4
2010	kaMsa	kaṃsa	n_a	nominal	a-stems	2789	1	1	0.0001	35.68	4
2011	samAkula	samākula	m_a	nominal	a-stems	2795	4	9	0.0012	35.68	4
2012	samAkula	samākula	n_a	nominal	a-stems	2795	2	4	0.0005	35.69	4
2013	upasTa	upastha	m_a	nominal	a-stems	2798	7	206	0.0278	35.71	4
2014	upasTa	upastha	n_a	nominal	a-stems	2798	6	361	0.0487	35.76	4
2015	vawa	vaṭa	m_a	nominal	a-stems	2799	3	4	0.0005	35.76	4
2016	vawa	vaṭa	n_a	nominal	a-stems	2799	1	2	0.0003	35.76	4
2017	atula	atula	m_a	nominal	a-stems	2800	2	6	0.0008	35.76	4
2018	ayana	ayana	m_a	nominal	a-stems	2802	4	37	0.005	35.77	4
2019	ayana	ayana	n_a	nominal	a-stems	2802	9	95	0.0128	35.78	4
2020	kAntA	kāntā	f_A	nominal	a-stems	2804	4	13	0.0018	35.78	4
2021	kzetrajYa	kṣetrajña	m_a	nominal	a-stems	2805	3	10	0.0013	35.78	4
2022	makara	makara	m_a	nominal	a-stems	2807	2	3	0.0004	35.78	4
2023	mandara	mandara	m_a	nominal	a-stems	2808	3	10	0.0013	35.79	4
2024	varzA	varṣā	f_A	nominal	a-stems	2813	9	111	0.015	35.8	4
2025	paNkaja	paṅkaja	n_a	nominal	a-stems	2818	7	39	0.0053	35.81	4
2026	parimARa	parimāṇa	n_a	nominal	a-stems	2819	8	45	0.0061	35.81	4
2027	viBava	vibhava	m_a	nominal	a-stems	2821	10	25	0.0034	35.82	4
2028	viBava	vibhava	n_a	nominal	a-stems	2821	1	5	0.0007	35.82	4
2029	visarga	visarga	m_a	nominal	a-stems	2822	6	30	0.004	35.82	4
2030	apramatta	apramatta	m_a	nominal	a-stems	2824	4	15	0.002	35.82	4
2031	BEkza	bhaikṣa	n_a	nominal	a-stems	2825	7	43	0.0058	35.83	4
2032	jaNGA	jaṅghā	f_A	nominal	a-stems	2827	10	33	0.0044	35.83	4
2033	akzara	akṣara	m_a	nominal	a-stems	2828	11	527	0.071	35.9	4
2034	akzara	akṣara	n_a	nominal	a-stems	2828	16	1147	0.1546	36.06	4
2035	atyaya	atyaya	m_a	nominal	a-stems	2830	7	60	0.0081	36.07	4
2036	pIWa	pīṭha	m_a	nominal	a-stems	2833	1	2	0.0003	36.07	4
2037	pIWa	pīṭha	n_a	nominal	a-stems	2833	6	33	0.0044	36.07	4
2038	saMramBa	saṃrambha	m_a	nominal	a-stems	2834	1	1	0.0001	36.07	4
2039	vyAla	vyāla	m_a	nominal	a-stems	2836	4	11	0.0015	36.07	4
2040	acyuta	acyuta	m_a	nominal	a-stems	2837	8	69	0.0093	36.08	4
2041	acyuta	acyuta	n_a	nominal	a-stems	2837	3	41	0.0055	36.09	4
2042	grAha	grāha	m_a	nominal	a-stems	2839	9	22	0.003	36.09	4
2043	sahasrAkza	sahasrākṣa	m_a	nominal	a-stems	2840	4	13	0.0018	36.09	4
2044	sapatna	sapatna	m_a	nominal	a-stems	2841	13	178	0.024	36.12	4
2045	viroDa	virodha	m_a	nominal	a-stems	2842	6	42	0.0057	36.12	4
2046	anATa	anātha	m_a	nominal	a-stems	2844	4	6	0.0008	36.12	4
2047	anATa	anātha	n_a	nominal	a-stems	2844	1	3	0.0004	36.12	4
2048	SvaSura	śvaśura	m_a	nominal	a-stems	2851	15	41	0.0055	36.13	4
2049	yajamAna	yajamāna	m_a	nominal	a-stems	2854	9	50	0.0067	36.14	4
2050	adButa	adbhuta	m_a	nominal	a-stems	2856	8	105	0.0142	36.15	4
2051	adButa	adbhuta	n_a	nominal	a-stems	2856	8	192	0.0259	36.18	4
2052	bimba	bimba	m_a	nominal	a-stems	2857	2	4	0.0005	36.18	4
2053	bimba	bimba	n_a	nominal	a-stems	2857	2	4	0.0005	36.18	4
2054	geha	geha	n_a	nominal	a-stems	2859	5	31	0.0042	36.18	4
2055	kazwa	kaṣṭa	m_a	nominal	a-stems	2861	1	8	0.0011	36.18	4
2056	kazwa	kaṣṭa	n_a	nominal	a-stems	2861	4	11	0.0015	36.18	4
2057	paRya	paṇya	m_a	nominal	a-stems	2862	1	38	0.0051	36.19	4
2058	paRya	paṇya	n_a	nominal	a-stems	2862	11	97	0.0131	36.2	4
2059	pramAda	pramāda	m_a	nominal	a-stems	2863	7	30	0.004	36.21	4
2060	viraha	viraha	m_a	nominal	a-stems	2866	6	12	0.0016	36.21	4
2061	viSiKa	viśikha	m_a	nominal	a-stems	2867	3	5	0.0007	36.21	4
2062	vivAda	vivāda	m_a	nominal	a-stems	2868	6	10	0.0013	36.21	4
2063	apratima	apratima	m_a	nominal	a-stems	2869	3	9	0.0012	36.21	4
2064	apratima	apratima	n_a	nominal	a-stems	2869	2	6	0.0008	36.21	4
2065	arbuda	arbuda	m_a	nominal	a-stems	2870	4	23	0.0031	36.21	4
2066	arbuda	arbuda	n_a	nominal	a-stems	2870	3	10	0.0013	36.22	4
2067	Bakza	bhakṣa	m_a	nominal	a-stems	2872	14	219	0.0295	36.25	4
2068	kaliNga	kaliṅga	m_a	nominal	a-stems	2875	6	11	0.0015	36.25	4
2069	praRaya	praṇaya	m_a	nominal	a-stems	2876	5	15	0.002	36.25	4
2070	prAsa	prāsa	m_a	nominal	a-stems	2877	3	5	0.0007	36.25	4
2071	pratigraha	pratigraha	m_a	nominal	a-stems	2878	8	29	0.0039	36.25	4
2072	sAtmya	sātmya	n_a	nominal	a-stems	2879	1	1	0.0001	36.25	4
2073	vAruRa	vāruṇa	m_a	nominal	a-stems	2880	11	116	0.0156	36.27	4
2074	vAruRa	vāruṇa	n_a	nominal	a-stems	2880	4	128	0.0173	36.29	4
2075	ArAma	ārāma	m_a	nominal	a-stems	2883	8	55	0.0074	36.29	4
2076	nareSvara	nareśvara	m_a	nominal	a-stems	2885	3	4	0.0005	36.29	4
2077	revA	revā	f_A	nominal	a-stems	2886	1	1	0.0001	36.29	4
2078	tritaya	tritaya	n_a	nominal	a-stems	2888	1	3	0.0004	36.29	4
2079	atisAra	atisāra	m_a	nominal	a-stems	2891	2	2	0.0003	36.3	4
2080	cikitsA	cikitsā	f_A	nominal	a-stems	2892	1	1	0.0001	36.3	4
2081	janADipa	janādhipa	m_a	nominal	a-stems	2893	3	5	0.0007	36.3	4
2082	saMsTa	saṃstha	m_a	nominal	a-stems	2896	7	40	0.0054	36.3	4
2083	saMsTa	saṃstha	n_a	nominal	a-stems	2896	5	42	0.0057	36.31	4
2084	Srotriya	śrotriya	m_a	nominal	a-stems	2898	9	69	0.0093	36.32	4
2085	Srotriya	śrotriya	n_a	nominal	a-stems	2898	1	8	0.0011	36.32	4
2086	ambuda	ambuda	m_a	nominal	a-stems	2902	6	19	0.0026	36.32	4
2087	amftA	amṛtā	f_A	nominal	a-stems	2903	1	1	0.0001	36.32	4
2088	citrasena	citrasena	m_a	nominal	a-stems	2904	3	5	0.0007	36.32	4
2089	meKalA	mekhalā	f_A	nominal	a-stems	2908	9	122	0.0164	36.34	4
2090	oMkAra	oṃkāra	m_a	nominal	a-stems	2909	5	35	0.0047	36.34	4
2091	sasya	sasya	m_a	nominal	a-stems	2910	2	14	0.0019	36.34	4
2092	sasya	sasya	n_a	nominal	a-stems	2910	9	46	0.0062	36.35	4
2093	viSada	viśada	m_a	nominal	a-stems	2914	4	4	0.0005	36.35	4
2094	viSada	viśada	n_a	nominal	a-stems	2914	2	4	0.0005	36.35	4
2095	kAmyA	kāmyā	f_A	nominal	a-stems	2917	3	33	0.0044	36.36	4
2096	malina	malina	m_a	nominal	a-stems	2919	5	10	0.0013	36.36	4
2097	malina	malina	n_a	nominal	a-stems	2919	4	9	0.0012	36.36	4
2098	parivAra	parivāra	m_a	nominal	a-stems	2921	11	131	0.0177	36.38	4
2099	prAkAra	prākāra	m_a	nominal	a-stems	2922	7	14	0.0019	36.38	4
2100	svedana	svedana	m_a	nominal	a-stems	2923	2	3	0.0004	36.38	4
2101	AjYA	ājñā	f_A	nominal	a-stems	2924	4	70	0.0094	36.39	4
2102	pAla	pāla	m_a	nominal	a-stems	2928	14	82	0.0111	36.4	4
2103	priya	priya	m_a	nominal	a-stems	2929	16	591	0.0797	36.48	4
2104	priya	priya	n_a	nominal	a-stems	2929	12	673	0.0907	36.57	4
2105	SAlA	śālā	f_A	nominal	a-stems	2930	11	130	0.0175	36.59	4
2106	samAsa	samāsa	m_a	nominal	a-stems	2931	10	50	0.0067	36.59	4
2107	sindUra	sindūra	m_a	nominal	a-stems	2932	1	1	0.0001	36.59	4
2108	sindUra	sindūra	n_a	nominal	a-stems	2932	2	2	0.0003	36.59	4
2109	trAsa	trāsa	m_a	nominal	a-stems	2933	4	6	0.0008	36.59	4
2110	tutTa	tuttha	n_a	nominal	a-stems	2934	1	2	0.0003	36.59	4
2111	upaBoga	upabhoga	m_a	nominal	a-stems	2935	10	23	0.0031	36.6	4
2112	yAdfSa	yādṛśa	m_a	nominal	a-stems	2936	6	17	0.0023	36.6	4
2113	yAdfSa	yādṛśa	n_a	nominal	a-stems	2936	3	17	0.0023	36.6	4
2114	parANmuKa	parāṅmukha	m_a	nominal	a-stems	2940	3	17	0.0023	36.6	4
2115	priyA	priyā	f_A	nominal	a-stems	2943	7	29	0.0039	36.61	4
2116	snuzA	snuṣā	f_A	nominal	a-stems	2945	11	45	0.0061	36.61	4
2117	utkawa	utkaṭa	m_a	nominal	a-stems	2946	3	6	0.0008	36.62	4
2118	utkawa	utkaṭa	n_a	nominal	a-stems	2946	1	1	0.0001	36.62	4
2119	aByanujYA	abhyanujñā	f_A	nominal	a-stems	2948	2	2	0.0003	36.62	4
2120	kurukzetra	kurukṣetra	n_a	nominal	a-stems	2950	3	11	0.0015	36.62	4
2121	samagra	samagra	m_a	nominal	a-stems	2952	3	10	0.0013	36.62	4
2122	samagra	samagra	n_a	nominal	a-stems	2952	3	7	0.0009	36.62	4
2123	sevana	sevana	n_a	nominal	a-stems	2954	4	12	0.0016	36.62	4
2124	viSvAsa	viśvāsa	m_a	nominal	a-stems	2956	3	5	0.0007	36.62	4
2125	Asava	āsava	m_a	nominal	a-stems	2957	4	12	0.0016	36.62	4
2126	BAzita	bhāṣita	n_a	nominal	a-stems	2958	8	126	0.017	36.64	4
2127	kaRva	kaṇva	m_a	nominal	a-stems	2959	9	45	0.0061	36.65	4
2128	sAMKya	sāṃkhya	m_a	nominal	a-stems	2963	1	1	0.0001	36.65	4
2129	sAMKya	sāṃkhya	n_a	nominal	a-stems	2963	3	5	0.0007	36.65	4
2130	SIrza	śīrṣa	m_a	nominal	a-stems	2964	5	35	0.0047	36.65	4
2131	SIrza	śīrṣa	n_a	nominal	a-stems	2964	8	112	0.0151	36.67	4
2132	durAsada	durāsada	m_a	nominal	a-stems	2975	3	11	0.0015	36.67	4
2133	durAsada	durāsada	n_a	nominal	a-stems	2975	3	9	0.0012	36.67	4
2134	praharaRa	praharaṇa	m_a	nominal	a-stems	2976	5	31	0.0042	36.67	4
2135	praharaRa	praharaṇa	n_a	nominal	a-stems	2976	7	31	0.0042	36.68	4
2136	SAlva	śālva	m_a	nominal	a-stems	2977	2	2	0.0003	36.68	4
2137	SramaRa	śramaṇa	m_a	nominal	a-stems	2978	6	65	0.0088	36.69	4
2138	ucCizwa	ucchiṣṭa	m_a	nominal	a-stems	2980	1	1	0.0001	36.69	4
2139	ucCizwa	ucchiṣṭa	n_a	nominal	a-stems	2980	7	117	0.0158	36.7	4
2140	aMSaka	aṃśaka	m_a	nominal	a-stems	2982	3	3	0.0004	36.7	4
2141	avaSeza	avaśeṣa	n_a	nominal	a-stems	2983	4	35	0.0047	36.71	4
2142	duzwa	duṣṭa	m_a	nominal	a-stems	2984	1	1	0.0001	36.71	4
2143	pAraga	pāraga	m_a	nominal	a-stems	2987	5	13	0.0018	36.71	4
2144	praSamana	praśamana	n_a	nominal	a-stems	2990	1	2	0.0003	36.71	4
2145	ranDra	randhra	m_a	nominal	a-stems	2991	2	4	0.0005	36.71	4
2146	ranDra	randhra	n_a	nominal	a-stems	2991	3	5	0.0007	36.71	4
2147	smara	smara	m_a	nominal	a-stems	2992	7	23	0.0031	36.71	4
2148	Sukla	śukla	m_a	nominal	a-stems	2993	10	85	0.0115	36.73	4
2149	Sukla	śukla	n_a	nominal	a-stems	2993	10	141	0.019	36.75	4
2150	vArzReya	vārṣṇeya	m_a	nominal	a-stems	2994	2	5	0.0007	36.75	4
2151	vaSya	vaśya	m_a	nominal	a-stems	2995	3	7	0.0009	36.75	4
2152	vaSya	vaśya	n_a	nominal	a-stems	2995	2	2	0.0003	36.75	4
2153	viBA	vibhā	f_A	nominal	a-stems	2996	2	2	0.0003	36.75	4
2154	AtmajA	ātmajā	f_A	nominal	a-stems	2998	6	38	0.0051	36.75	4
2155	caRqAla	caṇḍāla	m_a	nominal	a-stems	2999	5	11	0.0015	36.75	4
2156	kfcCra	kṛcchra	m_a	nominal	a-stems	3001	8	68	0.0092	36.76	4
2157	kfcCra	kṛcchra	n_a	nominal	a-stems	3001	10	66	0.0089	36.77	4
2158	rAjanya	rājanya	m_a	nominal	a-stems	3002	14	248	0.0334	36.81	4
2159	rAjanya	rājanya	n_a	nominal	a-stems	3002	1	19	0.0026	36.81	4
2160	sAmarTya	sāmarthya	n_a	nominal	a-stems	3003	5	24	0.0032	36.81	4
2161	Sulka	śulka	m_a	nominal	a-stems	3004	4	13	0.0018	36.81	4
2162	Sulka	śulka	n_a	nominal	a-stems	3004	6	17	0.0023	36.82	4
2163	amoGa	amogha	m_a	nominal	a-stems	3005	1	3	0.0004	36.82	4
2164	amoGa	amogha	n_a	nominal	a-stems	3005	1	4	0.0005	36.82	4
2165	sTavira	sthavira	m_a	nominal	a-stems	3010	12	75	0.0101	36.83	4
2166	sTavira	sthavira	n_a	nominal	a-stems	3010	1	14	0.0019	36.83	4
2167	varizWa	variṣṭha	m_a	nominal	a-stems	3015	2	5	0.0007	36.83	4
2168	varizWa	variṣṭha	n_a	nominal	a-stems	3015	4	16	0.0022	36.83	4
2169	hima	hima	m_a	nominal	a-stems	3016	4	15	0.002	36.83	4
2170	hima	hima	n_a	nominal	a-stems	3016	3	13	0.0018	36.84	4
2171	mUrKa	mūrkha	m_a	nominal	a-stems	3017	10	26	0.0035	36.84	4
2172	nIca	nīca	m_a	nominal	a-stems	3018	8	17	0.0023	36.84	4
2173	nIca	nīca	n_a	nominal	a-stems	3018	4	15	0.002	36.84	4
2174	picCila	picchila	m_a	nominal	a-stems	3019	1	1	0.0001	36.84	4
2175	picCila	picchila	n_a	nominal	a-stems	3019	2	4	0.0005	36.84	4
2176	praKyA	prakhyā	f_A	nominal	a-stems	3020	3	6	0.0008	36.84	4
2177	vivarDana	vivardhana	m_a	nominal	a-stems	3022	4	15	0.002	36.85	4
2178	vivarDana	vivardhana	n_a	nominal	a-stems	3022	3	11	0.0015	36.85	4
2179	apAmArga	apāmārga	m_a	nominal	a-stems	3023	7	23	0.0031	36.85	4
2180	iqA	iḍā	f_A	nominal	a-stems	3025	12	402	0.0542	36.91	4
2181	inDana	indhana	n_a	nominal	a-stems	3026	8	32	0.0043	36.91	4
2182	niraya	niraya	m_a	nominal	a-stems	3027	4	6	0.0008	36.91	4
2183	vEvasvata	vaivasvata	m_a	nominal	a-stems	3032	10	30	0.004	36.91	4
2184	vEvasvata	vaivasvata	n_a	nominal	a-stems	3032	1	5	0.0007	36.91	4
2185	yAdava	yādava	m_a	nominal	a-stems	3034	11	60	0.0081	36.92	4
2186	yUza	yūṣa	m_a	nominal	a-stems	3035	3	10	0.0013	36.92	4
2187	yUza	yūṣa	n_a	nominal	a-stems	3035	2	6	0.0008	36.93	4
2188	yUTa	yūtha	m_a	nominal	a-stems	3036	8	33	0.0044	36.93	4
2189	yUTa	yūtha	n_a	nominal	a-stems	3036	6	40	0.0054	36.94	4
2190	azwaguRa	aṣṭaguṇa	m_a	nominal	a-stems	3039	2	6	0.0008	36.94	4
2191	azwaguRa	aṣṭaguṇa	n_a	nominal	a-stems	3039	2	8	0.0011	36.94	4
2192	mastaka	mastaka	m_a	nominal	a-stems	3042	5	6	0.0008	36.94	4
2193	sOvarRa	sauvarṇa	m_a	nominal	a-stems	3045	5	29	0.0039	36.94	4
2194	sOvarRa	sauvarṇa	n_a	nominal	a-stems	3045	5	20	0.0027	36.94	4
2195	ulbaRa	ulbaṇa	m_a	nominal	a-stems	3046	1	17	0.0023	36.95	4
2196	ulbaRa	ulbaṇa	n_a	nominal	a-stems	3046	3	35	0.0047	36.95	4
2197	acala	acala	m_a	nominal	a-stems	3049	10	50	0.0067	36.96	4
2198	acala	acala	n_a	nominal	a-stems	3049	4	36	0.0049	36.96	4
2199	Arjava	ārjava	m_a	nominal	a-stems	3050	2	3	0.0004	36.96	4
2200	Arjava	ārjava	n_a	nominal	a-stems	3050	3	9	0.0012	36.96	4
2201	kOsalyA	kausalyā	f_A	nominal	a-stems	3051	1	1	0.0001	36.96	4
2202	kzura	kṣura	m_a	nominal	a-stems	3052	5	63	0.0085	36.97	4
2203	kubera	kubera	m_a	nominal	a-stems	3053	5	10	0.0013	36.97	4
2204	nidAna	nidāna	m_a	nominal	a-stems	3055	1	21	0.0028	36.98	4
2205	nidAna	nidāna	n_a	nominal	a-stems	3055	6	87	0.0117	36.99	4
2206	nyagroDa	nyagrodha	m_a	nominal	a-stems	3056	8	25	0.0034	36.99	4
2207	SatruGna	śatrughna	m_a	nominal	a-stems	3061	4	6	0.0008	36.99	4
2208	vAditra	vāditra	n_a	nominal	a-stems	3062	5	19	0.0026	37.0	4
2209	vArttA	vārttā	f_A	nominal	a-stems	3063	4	5	0.0007	37.0	4
2210	vikraya	vikraya	m_a	nominal	a-stems	3065	7	21	0.0028	37.0	4
2211	laNGana	laṅghana	n_a	nominal	a-stems	3068	2	2	0.0003	37.0	4
2212	mAra	māra	m_a	nominal	a-stems	3070	5	64	0.0086	37.01	4
2213	nimna	nimna	m_a	nominal	a-stems	3071	5	34	0.0046	37.01	4
2214	nimna	nimna	n_a	nominal	a-stems	3071	6	44	0.0059	37.02	4
2215	pARqaveya	pāṇḍaveya	m_a	nominal	a-stems	3072	3	3	0.0004	37.02	4
2216	sparSana	sparśana	n_a	nominal	a-stems	3075	6	10	0.0013	37.02	4
2217	vESravaRa	vaiśravaṇa	m_a	nominal	a-stems	3076	6	19	0.0026	37.02	4
2218	cihna	cihna	n_a	nominal	a-stems	3080	6	19	0.0026	37.03	4
2219	daSana	daśana	m_a	nominal	a-stems	3081	2	4	0.0005	37.03	4
2220	karRikA	karṇikā	f_A	nominal	a-stems	3082	5	14	0.0019	37.03	4
2221	karuRa	karuṇa	m_a	nominal	a-stems	3083	3	4	0.0005	37.03	4
2222	karuRa	karuṇa	n_a	nominal	a-stems	3083	4	8	0.0011	37.03	4
2223	kftArTa	kṛtārtha	m_a	nominal	a-stems	3084	6	15	0.002	37.03	4
2224	kftArTa	kṛtārtha	n_a	nominal	a-stems	3084	3	11	0.0015	37.03	4
2225	mahArha	mahārha	m_a	nominal	a-stems	3086	1	1	0.0001	37.03	4
2226	mahArha	mahārha	n_a	nominal	a-stems	3086	5	16	0.0022	37.04	4
2227	muKa	mukha	m_a	nominal	a-stems	3087	15	1251	0.1686	37.2	4
2228	muKa	mukha	n_a	nominal	a-stems	3087	16	1527	0.2059	37.41	4
2229	saMDAna	saṃdhāna	m_a	nominal	a-stems	3091	2	2	0.0003	37.41	4
2230	saMDAna	saṃdhāna	n_a	nominal	a-stems	3091	3	5	0.0007	37.41	4
2231	utkarza	utkarṣa	m_a	nominal	a-stems	3092	6	12	0.0016	37.41	4
2232	anucara	anucara	m_a	nominal	a-stems	3097	8	51	0.0069	37.42	4
2233	haWa	haṭha	m_a	nominal	a-stems	3099	2	7	0.0009	37.42	4
2234	manvantara	manvantara	n_a	nominal	a-stems	3100	6	31	0.0042	37.42	4
2235	nAka	nāka	m_a	nominal	a-stems	3101	8	160	0.0216	37.45	4
2236	nAka	nāka	n_a	nominal	a-stems	3101	3	130	0.0175	37.46	4
2237	virUpa	virūpa	m_a	nominal	a-stems	3104	5	12	0.0016	37.47	4
2238	virUpa	virūpa	n_a	nominal	a-stems	3104	3	21	0.0028	37.47	4
2239	jAta	jāta	m_a	nominal	a-stems	3106	2	27	0.0036	37.47	4
2240	jAta	jāta	n_a	nominal	a-stems	3106	6	91	0.0123	37.48	4
2241	kardama	kardama	m_a	nominal	a-stems	3107	8	17	0.0023	37.49	4
2242	kardama	kardama	n_a	nominal	a-stems	3107	1	3	0.0004	37.49	4
2243	kzema	kṣema	m_a	nominal	a-stems	3108	7	60	0.0081	37.49	4
2244	kzema	kṣema	n_a	nominal	a-stems	3108	8	86	0.0116	37.51	4
2245	nidarSana	nidarśana	m_a	nominal	a-stems	3110	1	12	0.0016	37.51	4
2246	nidarSana	nidarśana	n_a	nominal	a-stems	3110	6	29	0.0039	37.51	4
2247	prakopa	prakopa	m_a	nominal	a-stems	3112	1	1	0.0001	37.51	4
2248	pfTA	pṛthā	f_A	nominal	a-stems	3113	2	7	0.0009	37.51	4
2249	mahABUta	mahābhūta	n_a	nominal	a-stems	3122	3	10	0.0013	37.51	4
2250	mOktika	mauktika	n_a	nominal	a-stems	3123	2	4	0.0005	37.51	4
2251	prahA	prahā	f_A	nominal	a-stems	3124	1	3	0.0004	37.52	4
2252	upala	upala	m_a	nominal	a-stems	3128	7	19	0.0026	37.52	4
2253	acCa	accha	m_a	nominal	a-stems	3130	4	6	0.0008	37.52	4
2254	acCa	accha	n_a	nominal	a-stems	3130	2	4	0.0005	37.52	4
2255	agnizwoma	agniṣṭoma	m_a	nominal	a-stems	3131	10	188	0.0253	37.54	4
2256	ajYAta	ajñāta	m_a	nominal	a-stems	3133	1	1	0.0001	37.54	4
2257	ajYAta	ajñāta	n_a	nominal	a-stems	3133	1	1	0.0001	37.54	4
2258	brahmahatyA	brahmahatyā	f_A	nominal	a-stems	3135	4	17	0.0023	37.55	4
2259	jIvana	jīvana	m_a	nominal	a-stems	3140	4	10	0.0013	37.55	4
2260	jIvana	jīvana	n_a	nominal	a-stems	3140	3	33	0.0044	37.55	4
2261	mAtraka	mātraka	m_a	nominal	a-stems	3142	1	1	0.0001	37.55	4
2262	mAtraka	mātraka	n_a	nominal	a-stems	3142	3	31	0.0042	37.56	4
2263	nAmaDeya	nāmadheya	n_a	nominal	a-stems	3143	9	143	0.0193	37.58	4
2264	SEneya	śaineya	m_a	nominal	a-stems	3145	2	2	0.0003	37.58	4
2265	trARa	trāṇa	m_a	nominal	a-stems	3148	3	11	0.0015	37.58	4
2266	trARa	trāṇa	n_a	nominal	a-stems	3148	5	23	0.0031	37.58	4
2267	tridiva	tridiva	n_a	nominal	a-stems	3149	3	12	0.0016	37.58	4
2268	aparAjita	aparājita	m_a	nominal	a-stems	3154	4	24	0.0032	37.59	4
2269	aparAjita	aparājita	n_a	nominal	a-stems	3154	3	23	0.0031	37.59	4
2270	aSakta	aśakta	m_a	nominal	a-stems	3155	2	3	0.0004	37.59	4
2271	aSakta	aśakta	n_a	nominal	a-stems	3155	2	4	0.0005	37.59	4
2272	cyavana	cyavana	m_a	nominal	a-stems	3156	5	15	0.002	37.59	4
2273	cyavana	cyavana	n_a	nominal	a-stems	3156	1	3	0.0004	37.59	4
2274	fkza	ṛkṣa	m_a	nominal	a-stems	3164	8	22	0.003	37.6	4
2275	fkza	ṛkṣa	n_a	nominal	a-stems	3164	4	12	0.0016	37.6	4
2276	abja	abja	m_a	nominal	a-stems	3167	1	4	0.0005	37.6	4
2277	abja	abja	n_a	nominal	a-stems	3167	5	10	0.0013	37.6	4
2278	AlApa	ālāpa	m_a	nominal	a-stems	3168	7	29	0.0039	37.6	4
2279	BErava	bhairava	m_a	nominal	a-stems	3169	5	6	0.0008	37.6	4
2280	BErava	bhairava	n_a	nominal	a-stems	3169	1	2	0.0003	37.6	4
2281	diva	diva	n_a	nominal	a-stems	3172	1	147	0.0198	37.62	4
2282	maRqapa	maṇḍapa	m_a	nominal	a-stems	3173	9	42	0.0057	37.63	4
2283	maRqapa	maṇḍapa	n_a	nominal	a-stems	3173	4	14	0.0019	37.63	4
2284	mfDa	mṛdha	m_a	nominal	a-stems	3174	1	37	0.005	37.64	4
2285	prakASa	prakāśa	m_a	nominal	a-stems	3175	7	28	0.0038	37.64	4
2286	prakASa	prakāśa	n_a	nominal	a-stems	3175	3	26	0.0035	37.64	4
2287	ramBA	rambhā	f_A	nominal	a-stems	3176	2	9	0.0012	37.64	4
2288	takzaka	takṣaka	m_a	nominal	a-stems	3179	6	16	0.0022	37.65	4
2289	valmIka	valmīka	m_a	nominal	a-stems	3181	7	26	0.0035	37.65	4
2290	valmIka	valmīka	n_a	nominal	a-stems	3181	4	16	0.0022	37.65	4
2291	acetana	acetana	m_a	nominal	a-stems	3182	1	1	0.0001	37.65	4
2292	acetana	acetana	n_a	nominal	a-stems	3182	1	1	0.0001	37.65	4
2293	Arya	ārya	m_a	nominal	a-stems	3184	15	236	0.0318	37.68	4
2294	Arya	ārya	n_a	nominal	a-stems	3184	6	67	0.009	37.69	4
2295	Badanta	bhadanta	m_a	nominal	a-stems	3185	2	149	0.0201	37.71	4
2296	gOra	gaura	m_a	nominal	a-stems	3187	7	43	0.0058	37.72	4
2297	gOra	gaura	n_a	nominal	a-stems	3187	3	24	0.0032	37.72	4
2298	kaca	kaca	m_a	nominal	a-stems	3188	1	1	0.0001	37.72	4
