text	date1	date2	n_loci	source_note
SKBh zu SāṃKār	500	600	70	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
STKau zu SāṃKār	800	1000	14	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SarvSund zu AHS	1150	1200	123	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SaundĀ	100	200	18	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SaṃSi	900	1000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SkPur	400	1000	24	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SkPur Rkh	500	1200	232	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Smaradīpikā	1400	1600	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SpandaKār	850	900	4	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SpandaKārNir zu SpandaKār	950	1050	41	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Sphuṭārthāvyākhyā zu AbhidhKo	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Su	-100	500	186	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SātT	2500	2500	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SāṃKār	350	400	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SūrSiddh	300	500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
SūryaŚ	550	650	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Sūryaśatakaṭīkā zu SūryaŚ	1200	1300	17	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TAkhy	200	500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TS	-1000	-599	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TaittUp	-599	-399	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TantraS	975	1025	22	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Tarkasaṃgraha	1650	1700	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Tattvavaiśāradī zu YS	500	1000	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ToḍalT	1300	1400	10	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TriKŚ	1100	1150	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
TĀ	975	1025	19	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
UḍḍT	1200	1600	15	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VNSūtra	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VNSūtraV zu VNSūtra	1000	1500	13	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VaiSūVṛ zu VaiśSū	500	1000	337	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VaikhDharmSū	300	399	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VaikhGṛS	300	600	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VaiśSū	0	300	17	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VarPur	700	1200	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VetPV	2500	2500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ViPur	300	500	126	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ViSmṛ	500	800	100	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ViṃKār	300	399	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ViṃVṛtti zu ViṃKār	300	399	39	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
VārGṛSū	-800	-299	17	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Vṛddhayamasmṛti	2500	2500	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
YRā	1600	1750	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
YS	350	450	4	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
YSBhā zu YS	350	450	137	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
YāSmṛ	300	500	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀK	1100	1300	35	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀVDīp	1000	1100	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀVDīp zu Ca	1000	1100	397	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀpGṛSū	-800	-299	24	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀpŚS	-599	-399	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Āsapt	1100	1200	2	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ĀśGS	-800	-299	11	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚGDīp	1575	1625	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚGDīp zu ŚdhSaṃh	1575	1625	94	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚGṛS	-800	-299	8	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚSDīp	1300	1400	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚSDīp zu ŚdhSaṃh	1300	1400	107	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚSūtra	800	900	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚSūtraV zu ŚSūtra	950	1100	73	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚTr	350	450	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚdhSaṃh	1200	1400	3	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚiSam	650	750	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚiraUpan	2500	2500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚivaPur	800	1200	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚpBr	-1000	-599	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Śusa	1100	1200	29	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚvetāśvUp	-300	0	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Śyainikaśāstra	1400	1600	7	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚāktaVij	1000	1500	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ŚāĀr	-1000	-499	146	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ṚV	-1500	-1200	1028	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ṚVJ	-499	-399	1	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ṚVKhil	-1200	-1000	12	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
ṚtuS	350	450	6	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
Ṭikanikayātrā	500	1000	9	derived from VisualDCS src/DCS-data-2021/2.txt (per-locus rows folded to text keys, first-comma split); 2500..2500 = DCS UNDATED marker
