rank	rule	category	count	pct	cumulative_pct	family_size	priority	lesson
383	n i → nn i	consonant / other	55	0.01	97.44	5	41.9	10
384	s m → r m	consonant / other	48	0.008	97.45	17	41.3	10
385	abravīt i → 'bravīd i	consonant / other	51	0.009	97.46	9	41.2	10
386	s ā → Ø ā	consonant / other	53	0.009	97.47	6	41.1	10
387	t → iva t	consonant / other	62	0.011	97.48	1	41.1	10
388	k m → ṅ m	consonant / other	58	0.01	97.49	2	40.5	10
389	e h → ava h	consonant / other	46	0.008	97.5	21	40.4	10
390	au ā → āv ā	vowel coalescence	34	0.006	97.5	7	40.1	10
391	ayam dh → 'yaṃ dh	anusvāra / nasal	27	0.005	97.51	19	39.1	10
392	e dh → ava dh	consonant / other	44	0.008	97.51	21	38.6	10
393	ā m → ī m	consonant / other	44	0.008	97.52	20	38.5	10
394	agniḥ i → 'gnir i	visarga	37	0.006	97.53	12	38.4	10
395	aham r → 'haṃ r	anusvāra / nasal	26	0.005	97.53	21	38.1	10
396	s j → r j	consonant / other	44	0.008	97.54	17	37.8	10
397	ñ u → ann u	consonant / other	48	0.008	97.55	7	37.8	10
398	ayam r → 'yaṃ r	anusvāra / nasal	26	0.005	97.55	19	37.7	10
399	m v → a v	anusvāra / nasal	26	0.005	97.56	17	37.3	10
400	āt p → ataḥ p	consonant / other	50	0.009	97.57	4	37.2	10
401	ḥ s → n s	visarga	34	0.006	97.57	19	37.0	10
402	ā t → ī t	consonant / other	42	0.007	97.58	20	36.7	10
403	ā i → m i	vowel coalescence	31	0.005	97.59	7	36.6	10
404	j p → k p	consonant / other	48	0.008	97.59	5	36.5	10
405	j s → k s	consonant / other	47	0.008	97.6	5	35.8	10
406	as abravīt → o 'bravīd	consonant / other	38	0.007	97.61	36	35.1	10
407	ā v → ī v	consonant / other	40	0.007	97.62	20	35.0	10
408	e anyonyam → e 'nyonyaṃ	anusvāra / nasal	22	0.004	97.62	49	34.9	10
409	ṇām s → nāṃ s	anusvāra / nasal	25	0.004	97.62	13	34.9	10
410	ayam ś → 'yaṃ ś	anusvāra / nasal	24	0.004	97.63	19	34.8	10
411	ā b → ṃ b	anusvāra / nasal	24	0.004	97.63	19	34.8	10
412	ī e → y e	vowel coalescence	31	0.005	97.64	4	34.6	10
413	e j → ava j	consonant / other	39	0.007	97.64	21	34.2	10
414	ant s → ān s	consonant / other	39	0.007	97.65	20	34.1	10
415	ām r → īṃ r	anusvāra / nasal	23	0.004	97.66	20	33.5	10
416	ā d → ī d	consonant / other	38	0.007	97.66	20	33.2	10
417	ā r → ī r	consonant / other	38	0.007	97.67	20	33.2	10
418	m → iva m	anusvāra / nasal	30	0.005	97.67	1	33.1	10
419	iṃcid t → accit t	consonant / other	44	0.008	97.68	4	32.8	10
420	s g → r g	consonant / other	38	0.007	97.69	17	32.7	10
421	ḥ k → n k	visarga	30	0.005	97.69	19	32.6	10
422	ḥ v → n v	visarga	30	0.005	97.7	19	32.6	10
423	i u → athety u	vowel coalescence	29	0.005	97.7	4	32.4	10
424	ant u → ān u	consonant / other	37	0.006	97.71	20	32.3	10
425	aham j → 'haṃ j	anusvāra / nasal	22	0.004	97.71	21	32.2	10
426	k d → g d	consonant / other	37	0.006	97.72	16	31.6	10
427	e g → ava g	consonant / other	36	0.006	97.73	21	31.6	10
428	ā ś → ī ś	consonant / other	36	0.006	97.73	20	31.5	10
429	ant k → ān k	consonant / other	36	0.006	97.74	20	31.5	10
430	aḥ apaśyat → o 'paśyad	visarga	24	0.004	97.74	136	31.3	10
431	a a → o a	vowel coalescence	26	0.005	97.75	8	31.1	10
432	e t → ahyaṃ t	anusvāra / nasal	22	0.004	97.75	14	30.9	10
433	m a → ṃ a	anusvāra / nasal	20	0.004	97.76	37	30.9	10
434	i → n i	vowel coalescence	31	0.005	97.76	1	30.8	10
435	au ṛ → āv ṛ	vowel coalescence	26	0.005	97.77	7	30.7	10
436	āt k → ataḥ k	consonant / other	41	0.007	97.77	4	30.5	10
437	c c → k c	consonant / other	39	0.007	97.78	6	30.2	10
438	c s → k s	consonant / other	39	0.007	97.79	6	30.2	10
439	m t → a t	anusvāra / nasal	21	0.004	97.79	17	30.1	10
440	aḥ arjunam → o 'rjunaṃ	visarga	23	0.004	97.79	136	30.0	10
441	yāḥ a → er a	visarga	29	0.005	97.8	11	29.9	10
442	ḥ ū → r ū	visarga	26	0.005	97.8	30	29.5	10
443	ā ṛ → m ṛ	vowel coalescence	25	0.004	97.81	7	29.5	10
444	aham dh → 'haṃ dh	anusvāra / nasal	20	0.004	97.81	21	29.3	10
445	aham g → 'haṃ g	anusvāra / nasal	20	0.004	97.82	21	29.3	10
446	a p → ' p	consonant / other	36	0.006	97.82	9	29.1	10
447	_ ś → yudhāṃ ś	anusvāra / nasal	24	0.004	97.83	3	29.0	10
448	ā g → ṃ g	anusvāra / nasal	20	0.004	97.83	19	29.0	10
449	ant d → ān d	consonant / other	33	0.006	97.84	20	28.8	10
450	a a → o '	vowel coalescence	24	0.004	97.84	8	28.7	10
451	m a → mā	anusvāra / nasal	26	0.005	97.84	1	28.7	10
452	aḥ asmābhiḥ → o 'smābhir	visarga	22	0.004	97.85	136	28.7	10
453	m k → a k	anusvāra / nasal	20	0.004	97.85	17	28.7	10
454	m p → a p	anusvāra / nasal	20	0.004	97.85	17	28.7	10
455	iḥ i → Ø i	visarga	25	0.004	97.86	31	28.5	10
456	tīm m → ntīṃ m	anusvāra / nasal	20	0.004	97.86	15	28.3	10
457	e u → avo	vowel coalescence	28	0.005	97.87	1	27.8	10
458	ām b → īṃ b	anusvāra / nasal	19	0.003	97.87	20	27.7	10
459	ām bh → īṃ bh	anusvāra / nasal	19	0.003	97.87	20	27.7	10
460	c u → g u	consonant / other	33	0.006	97.88	13	27.6	10
461	ayam j → 'yaṃ j	anusvāra / nasal	19	0.003	97.88	19	27.5	10
462	ā j → ṃ j	anusvāra / nasal	19	0.003	97.89	19	27.5	10
463	ā bh → ṃ bh	anusvāra / nasal	19	0.003	97.89	19	27.5	10
464	āt v → ato v	consonant / other	32	0.006	97.9	17	27.5	10
465	k dh → g dh	consonant / other	32	0.006	97.9	16	27.4	10
466	k i → g i	consonant / other	32	0.006	97.91	16	27.4	10
467	ḥ o → r o	visarga	24	0.004	97.91	30	27.3	10
468	s i → Ø i	consonant / other	35	0.006	97.92	6	27.1	10
469	ā a → a	vowel coalescence	27	0.005	97.92	1	26.8	10
470	ā i → n i	vowel coalescence	24	0.004	97.93	4	26.8	10
471	s kh → ḥ kh	consonant / other	32	0.006	97.93	13	26.8	10
472	s n → r n	consonant / other	31	0.005	97.94	17	26.7	10
473	t ch → c ch	consonant / other	35	0.006	97.94	5	26.6	10
474	as arjunaḥ → o 'rjuno	visarga	23	0.004	97.95	36	26.6	10
475	au p → yāṃ p	anusvāra / nasal	19	0.003	97.95	13	26.5	10
476	c → ṣṭheti c	consonant / other	40	0.007	97.96	1	26.5	10
477	e y → ava y	consonant / other	30	0.005	97.96	21	26.3	10
478	ām n → īṃ n	anusvāra / nasal	18	0.003	97.97	20	26.2	10
479	ḥ p → n p	visarga	24	0.004	97.97	19	26.1	10
480	ayam h → 'yaṃ h	anusvāra / nasal	18	0.003	97.97	19	26.1	10
481	e api → e 'py	consonant / other	27	0.005	97.98	49	25.7	10
482	i o → y o	vowel coalescence	21	0.004	97.98	10	25.7	10
483	ama c → e c	consonant / other	28	0.005	97.99	31	25.5	10
484	tīm k → ntīṃ k	anusvāra / nasal	18	0.003	97.99	15	25.5	10
485	tīm p → ntīṃ p	anusvāra / nasal	18	0.003	97.99	15	25.5	10
486	uvoḥ u → vor u	visarga	28	0.005	98.0	3	25.4	10
487	ṇām m → nāṃ m	anusvāra / nasal	18	0.003	98.0	13	25.1	10
488	au t → yāṃ t	anusvāra / nasal	18	0.003	98.0	13	25.1	10
489	s u → r u	consonant / other	29	0.005	98.01	17	24.9	10
490	ḥ t → ṃs t	visarga	30	0.005	98.01	1	24.8	10
491	s → iva s	consonant / other	37	0.006	98.02	1	24.5	10
492	ā n → ī n	consonant / other	28	0.005	98.03	20	24.5	10
493	naḥ p → asmākaṃ p	visarga	23	0.004	98.03	15	24.4	10
494	p → ṃ p	anusvāra / nasal	22	0.004	98.03	1	24.3	10
495	iḥ c → ā c	visarga	23	0.004	98.04	13	24.1	10
496	d l → l l	consonant / other	36	0.006	98.04	1	23.8	10
497	ṇām v → nāṃ v	anusvāra / nasal	17	0.003	98.05	13	23.7	10
498	c v → g v	consonant / other	28	0.005	98.05	13	23.5	10
499	c ś → k ś	consonant / other	30	0.005	98.06	6	23.3	10
500	s ā → r ā	consonant / other	27	0.005	98.06	17	23.2	10
501	ḥ c → u c	visarga	22	0.004	98.07	14	23.2	10
502	ayam g → 'yaṃ g	anusvāra / nasal	16	0.003	98.07	19	23.2	10
503	k y → g y	consonant / other	27	0.005	98.07	16	23.1	10
504	k bh → g bh	consonant / other	27	0.005	98.08	16	23.1	10
505	ā y → ī y	consonant / other	26	0.005	98.08	20	22.7	10
506	atividdhaḥ m → 'tividdho m	visarga	26	0.005	98.09	2	22.7	10
507	e agniḥ → e 'gnir	visarga	19	0.003	98.09	49	22.6	10
508	c → iva c	consonant / other	34	0.006	98.1	1	22.5	10
509	s d → r d	consonant / other	26	0.005	98.1	17	22.4	10
510	e astam → e 'staṃ	anusvāra / nasal	14	0.002	98.1	49	22.2	10
511	e arjunam → e 'rjunaṃ	anusvāra / nasal	14	0.002	98.11	49	22.2	10
512	as gh → o gh	consonant / other	24	0.004	98.11	36	22.2	10
513	aḥ arthaḥ → o 'rtho	visarga	17	0.003	98.11	136	22.2	10
514	e t → i t	consonant / other	26	0.005	98.12	15	22.1	10
515	ḥ abhavat → ḥ 'bhavad	visarga	20	0.004	98.12	22	22.1	10
516	m v → Ø v	anusvāra / nasal	16	0.003	98.12	11	22.0	10
517	m t → Ø t	anusvāra / nasal	16	0.003	98.13	11	22.0	10
518	ām y → īṃ y	anusvāra / nasal	15	0.003	98.13	20	21.9	10
519	s ph → ḥ ph	consonant / other	26	0.005	98.13	13	21.8	10
520	c bh → g bh	consonant / other	26	0.005	98.14	13	21.8	10
521	iḥ ā → Ø ā	visarga	19	0.003	98.14	31	21.7	10
522	a a → a '	vowel coalescence	17	0.003	98.14	14	21.5	10
523	s dh → r dh	consonant / other	25	0.004	98.15	17	21.5	10
524	āt a → ato '	consonant / other	25	0.004	98.15	17	21.5	10
525	k u → g u	consonant / other	25	0.004	98.16	16	21.4	10
526	j v → g v	consonant / other	25	0.004	98.16	14	21.1	10
527	e p → ahyaṃ p	anusvāra / nasal	15	0.003	98.16	14	21.1	10
528	e k → ahyaṃ k	anusvāra / nasal	15	0.003	98.17	14	21.1	10
529	e b → ava b	consonant / other	24	0.004	98.17	21	21.1	10
530	ā i → ī	vowel coalescence	16	0.003	98.17	20	21.0	10
531	v → ṃ v	anusvāra / nasal	19	0.003	98.18	1	21.0	10
532	e asmi → e 'smin	consonant / other	22	0.004	98.18	49	20.9	10
533	iḥ t → ā t	visarga	20	0.004	98.18	13	20.9	10
534	ḥ kh → Ø kh	visarga	18	0.003	98.19	38	20.9	10
535	aḥ asmi → o 'smy	visarga	16	0.003	98.19	136	20.9	10
536	aḥ abhavat → o 'bhavan	visarga	16	0.003	98.19	136	20.9	10
537	n e → nn e	consonant / other	27	0.005	98.2	5	20.6	10
538	_ p → yudhāṃ p	anusvāra / nasal	17	0.003	98.2	3	20.5	10
539	iḥ ph → Ø ph	visarga	18	0.003	98.2	31	20.5	10
540	ntaḥ v → to v	visarga	20	0.004	98.21	10	20.4	10
541	m p → tastaṃ p	anusvāra / nasal	15	0.003	98.21	10	20.4	10
542	m ś → inaṃ ś	anusvāra / nasal	15	0.003	98.21	9	20.2	10
543	s ū → Ø ū	consonant / other	26	0.005	98.22	6	20.2	10
544	ṣ s → ṭ s	consonant / other	26	0.005	98.22	6	20.2	10
545	m → ṃ m	anusvāra / nasal	13	0.002	98.22	37	20.1	10
546	naḥ a → asmākam a	visarga	23	0.004	98.23	2	20.1	10
547	ṣ m → ṇ m	consonant / other	30	0.005	98.23	1	19.9	10
548	ḥ api → ḥ 'py	visarga	18	0.003	98.24	22	19.8	10
549	tīm v → ntīṃ v	anusvāra / nasal	14	0.002	98.24	15	19.8	10
550	tīm r → ntīṃ r	anusvāra / nasal	14	0.002	98.24	15	19.8	10
551	k g → g g	consonant / other	23	0.004	98.25	16	19.7	10
552	ḥ m → n m	visarga	18	0.003	98.25	19	19.6	10
553	aḥ anaghaiḥ → o 'nagha	visarga	15	0.003	98.25	136	19.6	10
554	au s → yāṃ s	anusvāra / nasal	14	0.002	98.25	13	19.5	10
555	ṇām p → nāṃ p	anusvāra / nasal	14	0.002	98.26	13	19.5	10
556	api ā → 'py ā	consonant / other	26	0.005	98.26	4	19.4	10
557	tram c → raṃ c	anusvāra / nasal	14	0.002	98.26	10	19.0	10
558	aham c → 'haṃ c	anusvāra / nasal	13	0.002	98.27	21	19.0	10
559	ñ e → ann e	consonant / other	24	0.004	98.27	7	18.9	10
560	ā dh → ṃ dh	anusvāra / nasal	13	0.002	98.27	19	18.8	10
561	abhavat r → 'bhavad r	consonant / other	23	0.004	98.28	10	18.8	10
562	e s → i s	consonant / other	22	0.004	98.28	15	18.7	10
563	m m → a m	anusvāra / nasal	13	0.002	98.28	17	18.6	10
564	iṃcid s → accit s	consonant / other	25	0.004	98.29	4	18.6	10
565	ūḥ a → ur a	visarga	18	0.003	98.29	11	18.5	10
566	as ayam → o 'yaṃ	anusvāra / nasal	12	0.002	98.29	36	18.5	10
567	ḥ n → n n	visarga	17	0.003	98.3	19	18.5	10
568	a _ → a yudhāṃ	anusvāra / nasal	13	0.002	98.3	14	18.3	10
569	aḥ asyāḥ → o 'syā	visarga	14	0.002	98.3	136	18.2	10
570	ama anaghaiḥ → e 'nagha	visarga	16	0.003	98.3	31	18.2	10
571	au c → yāṃ c	anusvāra / nasal	13	0.002	98.31	13	18.1	10
572	s i → r i	consonant / other	21	0.004	98.31	17	18.1	10
573	āt r → ato r	consonant / other	21	0.004	98.31	17	18.1	10
574	s bh → r bh	consonant / other	21	0.004	98.32	17	18.1	10
575	naḥ t → asmākaṃ t	visarga	17	0.003	98.32	15	18.1	10
576	e p → i p	consonant / other	21	0.004	98.32	15	17.8	10
577	s ṣ → ḥ ṣ	consonant / other	21	0.004	98.33	13	17.6	10
578	u ṛ → v ṛ	vowel coalescence	15	0.003	98.33	6	17.4	10
579	ḥ i → n i	visarga	16	0.003	98.33	19	17.4	10
580	ayam b → 'yaṃ b	anusvāra / nasal	12	0.002	98.33	19	17.4	10
581	ṣ a → ḍ a	consonant / other	21	0.004	98.34	11	17.3	10
582	s y → r y	consonant / other	20	0.004	98.34	17	17.2	10
583	iḥ gh → Ø gh	visarga	15	0.003	98.34	31	17.1	10
584	c p → k p	consonant / other	22	0.004	98.35	6	17.1	10
585	as arjunam → o 'rjunaṃ	anusvāra / nasal	11	0.002	98.35	36	17.0	10
586	a → ad a	vowel coalescence	17	0.003	98.35	1	16.9	10
587	a v → nā v	consonant / other	20	0.004	98.36	13	16.8	10
588	c d → g d	consonant / other	20	0.004	98.36	13	16.8	10
589	a h → nā h	consonant / other	20	0.004	98.36	13	16.8	10
590	n ā → nn ā	consonant / other	22	0.004	98.37	5	16.7	10
591	ant n → ān n	consonant / other	19	0.003	98.37	20	16.6	10
592	ant ā → ān ā	consonant / other	19	0.003	98.37	20	16.6	10
593	s → ṃ s	anusvāra / nasal	15	0.003	98.38	1	16.6	10
594	ḥ abhūt → ḥ 'bhūd	visarga	15	0.003	98.38	22	16.5	10
595	ṣ r → ḍ r	consonant / other	20	0.004	98.38	11	16.5	10
596	yāḥ v → er v	visarga	16	0.003	98.39	11	16.5	10
597	m apaḥ → m āpo	visarga	16	0.003	98.39	11	16.5	10
598	ama l → e l	consonant / other	18	0.003	98.39	31	16.4	10
599	āt ś → ataḥ ś	consonant / other	22	0.004	98.39	4	16.4	10
600	ntaḥ g → to g	visarga	16	0.003	98.4	10	16.3	10
601	ḥ d → n d	visarga	15	0.003	98.4	19	16.3	10
602	k j → g j	consonant / other	19	0.003	98.4	16	16.2	10
603	k b → g b	consonant / other	19	0.003	98.41	16	16.2	10
604	e m → i m	consonant / other	19	0.003	98.41	15	16.1	10
605	aham h → 'haṃ h	anusvāra / nasal	11	0.002	98.41	21	16.1	10
606	iḥ u → Ø u	visarga	14	0.002	98.41	31	16.0	10
607	ayam c → 'yaṃ c	anusvāra / nasal	11	0.002	98.42	19	15.9	10
608	a p → nā p	consonant / other	19	0.003	98.42	13	15.9	10
609	a → m a	vowel coalescence	16	0.003	98.42	1	15.9	10
610	m y → a y	anusvāra / nasal	11	0.002	98.42	17	15.8	10
611	m n → a n	anusvāra / nasal	11	0.002	98.43	17	15.8	10
612	ñcam d → cīṃ d	anusvāra / nasal	13	0.002	98.43	3	15.7	10
613	aḥ _ → o _	visarga	12	0.002	98.43	136	15.6	10
614	aḥ arjunaḥ → o 'rjuno	visarga	12	0.002	98.43	136	15.6	10
615	im k → īṃ k	anusvāra / nasal	12	0.002	98.44	6	15.5	10
616	nām c → ṇāṃ c	anusvāra / nasal	12	0.002	98.44	6	15.5	10
617	s b → r b	consonant / other	18	0.003	98.44	17	15.5	10
618	m _ → ṃ yudhāṃ	anusvāra / nasal	10	0.002	98.44	37	15.5	10
619	ūḥ n → ur n	visarga	15	0.003	98.44	11	15.4	10
620	m naḥ → m asmākam	visarga	15	0.003	98.45	11	15.4	10
621	ṇām t → nāṃ t	anusvāra / nasal	11	0.002	98.45	13	15.4	10
622	a v → ' v	consonant / other	19	0.003	98.45	9	15.3	10
623	e k → i k	consonant / other	18	0.003	98.46	15	15.3	10
624	ḥ y → n y	visarga	14	0.002	98.46	19	15.2	10
625	ḥ b → n b	visarga	14	0.002	98.46	19	15.2	10
626	e t → ubhyaṃ t	anusvāra / nasal	11	0.002	98.46	11	15.1	10
627	naḥ v → ṇo v	visarga	15	0.003	98.47	8	15.0	10
628	ḥ a → stribhir a	visarga	18	0.003	98.47	1	14.9	10
629	api u → 'py u	consonant / other	20	0.004	98.47	4	14.9	10
630	ant g → ān g	consonant / other	17	0.003	98.47	20	14.9	10
631	ḥ v → u v	visarga	14	0.002	98.48	14	14.8	10
632	arjunam s → 'rjunaṃ s	anusvāra / nasal	11	0.002	98.48	8	14.6	10
633	ām dh → īṃ dh	anusvāra / nasal	10	0.002	98.48	20	14.6	10
634	ś a → g a	consonant / other	18	0.003	98.48	9	14.5	10
635	nam p → ṇaṃ p	anusvāra / nasal	11	0.002	98.49	7	14.4	10
636	umantam m → ūmantaṃ m	anusvāra / nasal	11	0.002	98.49	7	14.4	10
637	an t → āṃs t	anusvāra / nasal	13	0.002	98.49	1	14.4	10
638	ntaḥ h → to h	visarga	14	0.002	98.49	10	14.3	10
639	umant a → ūmān a	consonant / other	17	0.003	98.5	13	14.2	10
640	a p → cā p	consonant / other	18	0.003	98.5	7	14.2	10
641	tīm d → ntīṃ d	anusvāra / nasal	10	0.002	98.5	15	14.2	10
642	iṃcid k → accit k	consonant / other	19	0.003	98.5	4	14.2	10
643	tyaḥ v → ntyo v	visarga	14	0.002	98.51	9	14.1	10
644	e v → ahyaṃ v	anusvāra / nasal	10	0.002	98.51	14	14.1	10
645	e y → ahyaṃ y	anusvāra / nasal	10	0.002	98.51	14	14.1	10
646	e s → ahyaṃ s	anusvāra / nasal	10	0.002	98.51	14	14.1	10
647	ṣ e → ḍ e	consonant / other	17	0.003	98.51	11	14.0	10
648	iṃcid n → accin n	consonant / other	20	0.004	98.52	2	14.0	10
649	n ch → ṃś ch	anusvāra / nasal	12	0.002	98.52	2	14.0	10
650	ṣ k → ṭ k	consonant / other	18	0.003	98.52	6	14.0	10
651	m jh → ṃ jh	anusvāra / nasal	9	0.002	98.52	37	13.9	10
652	v → iva v	consonant / other	21	0.004	98.53	1	13.9	10
653	ā t → at t	consonant / other	21	0.004	98.53	1	13.9	10
654	o a → o '	vowel coalescence	14	0.002	98.53	1	13.9	10
655	naḥ bh → asmākaṃ bh	visarga	13	0.002	98.54	15	13.8	10
656	āt y → ato y	consonant / other	16	0.003	98.54	17	13.8	10
657	āt n → ato n	consonant / other	16	0.003	98.54	17	13.8	10
658	abravīt r → 'bravīd r	consonant / other	17	0.003	98.55	9	13.7	10
659	ḥ p → u p	visarga	13	0.002	98.55	14	13.7	10
660	ḥ d → u d	visarga	13	0.002	98.55	14	13.7	10
661	ḥ s → u s	visarga	13	0.002	98.55	14	13.7	10
662	j i → ḍ i	consonant / other	18	0.003	98.56	5	13.7	10
663	e v → i v	consonant / other	16	0.003	98.56	15	13.6	10
664	j d → g d	consonant / other	16	0.003	98.56	14	13.5	10
665	t naḥ → d asmākaṃ	visarga	12	0.002	98.56	27	13.5	10
666	a d → nā d	consonant / other	16	0.003	98.57	13	13.4	10
667	k n → ṅ n	consonant / other	19	0.003	98.57	2	13.3	10
668	ñ ś → añ ś	consonant / other	19	0.003	98.57	2	13.3	10
669	ntaḥ m → to m	visarga	13	0.002	98.57	10	13.3	10
670	k → iva k	consonant / other	20	0.004	98.58	1	13.2	10
671	p → iva p	consonant / other	20	0.004	98.58	1	13.2	10
672	ḥ abravīt → ḥ 'bravīd	visarga	12	0.002	98.58	22	13.2	10
673	atividdhaḥ b → 'tividdho b	visarga	15	0.003	98.59	2	13.1	10
674	ḥ ś → ñ ś	visarga	15	0.003	98.59	2	13.1	10
675	e naḥ → e 'smākaṃ	visarga	11	0.002	98.59	49	13.1	10
676	ḥ e → n e	visarga	12	0.002	98.59	19	13.0	10
677	ḥ bh → n bh	visarga	12	0.002	98.6	19	13.0	10
678	aḥ ardham → o 'rdhaṃ	visarga	10	0.002	98.6	136	13.0	10
679	ayoḥ a → or a	visarga	14	0.002	98.6	4	13.0	10
680	j t → k t	consonant / other	17	0.003	98.6	5	12.9	10
681	n u → nn u	consonant / other	17	0.003	98.61	5	12.9	10
682	āt d → ato d	consonant / other	15	0.003	98.61	17	12.9	10
683	ñ c → aṃś c	anusvāra / nasal	11	0.002	98.61	2	12.8	10
684	abhūt v → 'bhūd v	consonant / other	16	0.003	98.61	8	12.8	10
685	t s → Ø s	consonant / other	16	0.003	98.62	8	12.8	10
686	tīm y → ntīṃ y	anusvāra / nasal	9	0.002	98.62	15	12.7	10
687	e atyartham → e 'tyarthaṃ	anusvāra / nasal	8	0.001	98.62	49	12.7	10
688	ḥ t → u t	visarga	12	0.002	98.62	14	12.7	10
689	e d → ahyaṃ d	anusvāra / nasal	9	0.002	98.62	14	12.7	10
690	e n → ahyaṃ n	anusvāra / nasal	9	0.002	98.62	14	12.7	10
691	v → ad v	consonant / other	19	0.003	98.63	1	12.6	10
692	e ī → ave	vowel coalescence	12	0.002	98.63	2	12.6	10
693	c i → g i	consonant / other	15	0.003	98.63	13	12.6	10
694	i m → ī m	consonant / other	15	0.003	98.63	13	12.6	10
695	iḥ kh → Ø kh	visarga	11	0.002	98.64	31	12.5	10
696	iḥ ṛ → Ø ṛ	visarga	11	0.002	98.64	31	12.5	10
697	i āvayoḥ → i nau	visarga	13	0.002	98.64	5	12.4	10
698	a v → ā v	consonant / other	15	0.003	98.64	11	12.4	10
699	e d → ubhyaṃ d	anusvāra / nasal	9	0.002	98.64	11	12.4	10
700	m bh → Ø bh	anusvāra / nasal	9	0.002	98.65	11	12.4	10
701	m p → Ø p	anusvāra / nasal	9	0.002	98.65	11	12.4	10
702	m ś → Ø ś	anusvāra / nasal	9	0.002	98.65	11	12.4	10
703	as apaśyam → o 'paśyaṃ	anusvāra / nasal	8	0.001	98.65	36	12.3	10
704	ī p → ḥ p	consonant / other	17	0.003	98.65	3	12.3	10
705	m v → tastaṃ v	anusvāra / nasal	9	0.002	98.66	10	12.2	10
706	ā g → ī g	consonant / other	14	0.002	98.66	20	12.2	10
707	ā b → ī b	consonant / other	14	0.002	98.66	20	12.2	10
708	ś k → k k	consonant / other	16	0.003	98.66	5	12.2	10
709	ś v → g v	consonant / other	15	0.003	98.67	9	12.1	10
710	m p → inaṃ p	anusvāra / nasal	9	0.002	98.67	9	12.1	10
711	as anyat → o 'nyad	consonant / other	13	0.002	98.67	36	12.0	10
712	ṝṇām v → ṛṇāṃ v	anusvāra / nasal	9	0.002	98.67	8	12.0	10
713	ḥ dh → n dh	visarga	11	0.002	98.67	19	12.0	10
714	e arjunaiḥ → e 'rjuna	visarga	10	0.002	98.68	49	11.9	10
715	anyaḥ a → 'nyo '	visarga	12	0.002	98.68	7	11.8	10
716	aḥ avadat → o 'vadad	visarga	9	0.002	98.68	136	11.7	10
717	aḥ ā → o ā	visarga	9	0.002	98.68	136	11.7	10
718	naḥ s → asmākaṃ s	visarga	11	0.002	98.68	15	11.7	10
719	ak k → ā k	consonant / other	14	0.002	98.68	12	11.6	10
720	nt i → d i	consonant / other	15	0.003	98.69	6	11.6	10
721	apaḥ j → āpo j	visarga	12	0.002	98.69	6	11.6	10
722	u ī → v ī	vowel coalescence	10	0.002	98.69	6	11.6	10
723	nām k → ṇāṃ k	anusvāra / nasal	9	0.002	98.69	6	11.6	10
724	d ch → c ch	consonant / other	16	0.003	98.7	3	11.6	10
725	ayam l → 'yaṃ l	anusvāra / nasal	8	0.001	98.7	19	11.6	10
726	ṃtanavaḥ a → ntanavo '	visarga	14	0.002	98.7	1	11.6	10
727	ī ī → ī	vowel coalescence	11	0.002	98.7	2	11.5	10
728	m d → a d	anusvāra / nasal	8	0.001	98.7	17	11.5	10
729	ś p → k p	consonant / other	15	0.003	98.71	5	11.4	10
730	ś t → k t	consonant / other	15	0.003	98.71	5	11.4	10
731	ant y → ān y	consonant / other	13	0.002	98.71	20	11.4	10
732	ant r → ān r	consonant / other	13	0.002	98.71	20	11.4	10
733	tīm c → ntīṃ c	anusvāra / nasal	8	0.001	98.71	15	11.3	10
734	a s → ' s	consonant / other	14	0.002	98.72	9	11.3	10
735	āt h → ato h	consonant / other	13	0.002	98.72	17	11.2	10
736	iṃcid p → accit p	consonant / other	15	0.003	98.72	4	11.2	10
737	a ā → bhir ā	vowel coalescence	10	0.002	98.72	4	11.2	10
738	abhūt d → 'bhūd d	consonant / other	14	0.002	98.73	8	11.2	10
739	au m → yāṃ m	anusvāra / nasal	8	0.001	98.73	13	11.2	10
740	ṇām bh → nāṃ bh	anusvāra / nasal	8	0.001	98.73	13	11.2	10
741	tyaḥ m → ntyo m	visarga	11	0.002	98.73	9	11.1	10
742	e n → i n	consonant / other	13	0.002	98.73	15	11.0	10
743	ant t → āṃs t	anusvāra / nasal	10	0.002	98.73	1	11.0	10
744	m _ → m aye	anusvāra / nasal	8	0.001	98.74	11	11.0	10
745	m n → m	anusvāra / nasal	8	0.001	98.74	11	11.0	10
746	e p → ubhyaṃ p	anusvāra / nasal	8	0.001	98.74	11	11.0	10
747	j bh → g bh	consonant / other	13	0.002	98.74	14	11.0	10
748	e → n e	vowel coalescence	11	0.002	98.74	1	10.9	10
749	a → astad a	vowel coalescence	11	0.002	98.74	1	10.9	10
750	o a → avā	vowel coalescence	11	0.002	98.75	1	10.9	10
751	e ū → a ū	vowel coalescence	9	0.002	98.75	9	10.9	10
752	c b → g b	consonant / other	13	0.002	98.75	13	10.9	10
753	tram t → raṃ t	anusvāra / nasal	8	0.001	98.75	10	10.9	10
754	ivam c → yāṃ c	anusvāra / nasal	9	0.002	98.75	3	10.9	10
755	rī m → ā m	consonant / other	13	0.002	98.76	12	10.8	10
756	ñcam e → g e	consonant / other	14	0.002	98.76	5	10.7	10
757	ś s → k s	consonant / other	14	0.002	98.76	5	10.7	10
758	ñcam ū → g ū	consonant / other	14	0.002	98.76	5	10.7	10
