rule	category	global_count	global_pct	n_texts	top_texts	examples
ā h → ṃ h	anusvāra / nasal	29	0.0	2	Mahābhārata (full, incl. Bhagavadgītā)(22), Rāmāyaṇa(7)	anena tapasā tvāṃ hi rājarṣir iti vidmahe tvāṃ+hi · tasmāt praheṣyāmyadya tvāṃ hīnaḥ prajananāt svayam tvāṃ+hīnaḥ
as v → hāto v	consonant / other	29	0.0	2	Suśrutasaṃhitā(24), Carakasaṃhitā(5)	athāto vātakalākalīyam adhyāyaṃ vyākhyāsyāmaḥ atas→athāto +vātakalākalīyam · athāto vedotpattimadhyāyaṃ vyākhyāsyāmaḥ atas→athāto +vedotpattim
ayam dh → 'yaṃ dh	anusvāra / nasal	28	0.0	8	Mahābhārata (full, incl. Bhagavadgītā)(13), Hitopadeśa(3), Kathāsaritsāgara(3)	alobha iti mārgo 'yaṃ dharmasyāṣṭavidhaḥ smṛtaḥ 'yaṃ+dharmasya · vimalo 'yaṃ dhanādyanityatāṃ śrutvā dātā babhūveti parijano 'navarataṃ cintayati 'yaṃ+dhana · ko 'yaṃ dharmo dhruvaṃ dhūrtaracaneyaṃ kṛtānayā 'yaṃ+dharmo · bhāraḥ kasmin asahyo 'yaṃ dhuraṃdhara nidhīyatām 'yaṃ+dhuraṃdhara
a p → nā p	consonant / other	28	0.0	8	Mahābhārata (full, incl. Bhagavadgītā)(17), Carakasaṃhitā(4), Suśrutasaṃhitā(2)	nāprāpyam abhivāñchanti naṣṭaṃ necchanti śocitum a+prāpyam→nāprāpyam · nāpītvā nirvṛtiṃ yānti śoṇitaṃ kauravorasām a+pītvā→nāpītvā · nāprītir upapadyeta yathā prāpya triviṣṭapam a+prītiḥ→nāprītir · nāpratyakṣe gavaye pramāṇārtham upamānasya paśyāmaḥ a+pratyakṣe→nāpratyakṣe
e u → avo	vowel coalescence	28	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(19), Rāmāyaṇa(4), Bhāratamañjarī(2)	śṛṇu ayaṃ svāmī tavopari vikṛtabuddhī rahasy uktavān saṃjīvakam eva hatvā svaparivāraṃ tarpayāmi te+upari→tavopari · tavottarīyaṃ karicarma sāṅgajaṃ jvalanmaṇiḥ sāraśanaṃ mahānahiḥ te+uttarīyam→tavottarīyaṃ · nanu bandhanāgārabhitter vyāmatrayam antarālam ārāmaprākārasya kenacittu hastavataikāgārikeṇa tāvatīṃ suraṅgāṃ kārayitvā praviṣṭasyopavanaṃ tavopariṣṭādasmadāyattaiva rakṣā te+upariṣṭāt→tavopariṣṭādasmadāyattaiva · asatyena tavodīrṇaṃ tasmānnaśyatu pātakam te+udīrṇam→tavodīrṇaṃ
api u → 'py u	consonant / other	28	0.0	10	Kathāsaritsāgara(9), Mīmāṃsāsūtrabhāṣya(5), Kirātārjunīya(3)	śuko 'py utthāya calitaḥ 'py+utthāya · bhavatī yan na jānīyād iti śarvo 'py uvāca tām 'py+uvāca · parair aparyāsitavīryasampadāṃ parābhavo 'py utsava eva māninām 'py+utsava · chinno 'pi rohati taruḥ kṣīṇo 'py upacīyate punaś candraḥ 'py+upacīyate
m p → a p	anusvāra / nasal	28	0.0	12	Mahābhārata (full, incl. Bhagavadgītā)(10), Bhāratamañjarī(4), Kirātārjunīya(3)	tava yathā tathābhūtaṃ prema prapannamimāṃ daśāṃ prakṛticapale kā naḥ pīḍā gate hatajīvite prema+prapannam · avāpyate vā katham anyathā dvayaṃ tathāvidhaṃ prema patiś ca tādṛśaḥ prema+patiś · tvayā vipatsvapyavipatti ramyam āviṣkṛtaṃ prema paraṃ guṇeṣu prema+paraṃ · prema praṇayakopānte māninīnāṃ hi vardhate prema+praṇaya
k b → g b	consonant / other	28	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(17), Suśrutasaṃhitā(6), Kathāsaritsāgara(2)	tathā ca vṛtraśatrau prāgbrahmahatyāpalāyite prāk+brahmahatyā→prāgbrahmahatyāpalāyite · evam uktastayā samyag bṛhattejā bṛhaspatiḥ samyag+bṛhat · heyam tasya nirvartakaṃ hānam ātyantikam tasyopāyo 'dhigantavya ity etāni catvāry arthapadāni samyag buddhvā niḥśreyasam adhigacchati samyag+buddhvā · prāg bādhakajñānotpatteḥ katham avagamyate yadā na tatkāle samyagjñānasya mithyājñānasya ca kaścid viśeṣo yadā kṣudādibhir upahataṃ mano bhavatīndriyaṃ vā timirādibhiḥ saukṣmyādibhir vā bāhyo viṣayas tato mithyājñānam anupahateṣu samyagjñānam prāg+bādhaka
s bh → r bh	consonant / other	28	0.0	9	Mahābhārata (full, incl. Bhagavadgītā)(17), Carakasaṃhitā(3), Suśrutasaṃhitā(2)	utpattaye havirbhoktur yajamāna ivāraṇim havis+bhoktuḥ→havirbhoktur · paścād uccairbhujataruvanaṃ maṇḍalenābhilīnaḥ sāṃdhyaṃ tejaḥ pratinavajapāpuṣparaktaṃ dadhānaḥ uccais+bhuja→uccairbhujataruvanaṃ · śanairbhīmaḥ samāśvasya pārśve nṛpamatāḍayat śanais+bhīmaḥ→śanairbhīmaḥ · sarve te vividhair yānaiḥ śanair bharatam anvayuḥ śanair+bharatam
ṣ e → ḍ e	consonant / other	27	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(15), Suśrutasaṃhitā(7), Carakasaṃhitā(2)	parabhāgyopajīvī ca ṣaḍ ete nityaduḥkhitāḥ ṣaḍ+ete · nirjagmur nairṛtaśreṣṭhāḥ ṣaḍ ete yuddhakāṅkṣiṇaḥ ṣaḍ+ete · ṣaḍ eva ca tathā ślokāḥ saṃkhyātāstattvadarśinā ṣaḍ+eva · vaiśyasya varṇe caikasmin ṣaḍ ete 'pasadāḥ smṛtāḥ ṣaḍ+ete
as gh → o gh	consonant / other	27	0.0	7	Mahābhārata (full, incl. Bhagavadgītā)(17), Bhāratamañjarī(3), Rāmāyaṇa(3)	tato ghaṇṭāṃ parityajya vānarāḥ phalāsaktā babhūvuḥ tato+ghaṇṭāṃ · tato ghaṭotkacaḥ kruddho dṛṣṭvā janakamākulam tato+ghaṭotkacaḥ · jagṛhustaṃ tato ghorāścatvāro rajanīcarāḥ tato+ghorāḥ · mausalaṃ parva ca tato ghoraṃ samanuvarṇyate tato+ghoraṃ
a v → nā v	consonant / other	27	0.0	8	Mahābhārata (full, incl. Bhagavadgītā)(10), Rāmāyaṇa(7), Manusmṛti(4)	vidvān evopadeṣṭavyo nāvidvāṃs tu kadācana a+vidvān→nāvidvāṃs · daṇḍayen nāvicāreṇa mantrayeta na saṃsadi a+vicāreṇa→nāvicāreṇa · draṣṭuṃ śakyam ayodhyāyāṃ nāvidvān na ca nāstikaḥ a+vidvān→nāvidvān · na daridro vasumato nāvidvān viduṣaḥ sakhā a+vidvān→nāvidvān
s i → r i	consonant / other	27	0.0	10	Mahābhārata (full, incl. Bhagavadgītā)(14), Buddhacarita(3), Kirātārjunīya(2)	vijane sacivair yuktam anyedyur idam abravīt anyedyur+idam · viprāśca gatvā bahiridhmahetoḥ prāptāḥ samitpuṣpapavitrahastāḥ bahis+idhma→bahiridhmahetoḥ · dvir iva pratiśabdena vyājahāra himālayaḥ dvir+iva · saṃnipatya śanakair iva nimnād andhakāram udavāpa samāni śanakair+iva
m v → a v	anusvāra / nasal	27	0.0	5	Mahābhārata (full, incl. Bhagavadgītā)(13), Rāmāyaṇa(7), Kirātārjunīya(3)	paritaḥ paṭu bibhrad enasāṃ dahanaṃ dhāma vilokanakṣamam dhāma+vilokana · na hyetadbhakṣyate hema vane vigatavikriye hema+vane · ubhābhyāṃ sadṛśaṃ nāma vaktum aprastave stavam nāma+vaktum · nāma vānyat pragṛhṇīṣva yadi yuddhaṃ na dāsyasi nāma+vā
i p → ī p	consonant / other	27	0.0	7	Suśrutasaṃhitā(9), Carakasaṃhitā(7), Mahābhārata (full, incl. Bhagavadgītā)(4)	tayoratha rathaturagakhurakṣuṇṇakṣoṇīsamudbhūte karighaṭākaṭasravanmadadhārādhautamūle navyavallabhavaraṇāgatadivyakanyājanajavanikāpaṭamaṇḍapa iva viyattalavyākule dhūlīpaṭale diviṣaddhvani dhikkṛtānyadhvanipaṭahadhvānabadhiritāśeṣadigantarālaṃ śastrāśastri hastāhasti parasparābhihatasainyaṃ janyam ajani dhūli+paṭale→dhūlīpaṭale · unmādinīṃ sapadi madranarendraputrīṃ kelīpalāśaśayanaṃ vijane nināya keli+palāśa→kelīpalāśaśayanaṃ · śuśubhe subhagaḥ śrīmān svātīpatha ivāmbare svāti+pathaḥ→svātīpatha · bhrukuṭīpuṭaduṣprekṣyam abhavat tasya tanmukham bhrukuṭi+puṭa→bhrukuṭīpuṭaduṣprekṣyam
au t → yāṃ t	anusvāra / nasal	27	0.0	5	Mahābhārata (full, incl. Bhagavadgītā)(11), Rāmāyaṇa(7), Suśrutasaṃhitā(6)	anāvṛṣṭyāṃ tu vṛttāyāṃ rājā duḥkhasamanvitaḥ anāvṛṣṭyāṃ+tu · rājaṃstavātmajā kṛṣṇā vedyāṃ tejasvinī śubhā vedyāṃ+tejasvinī · ānantaryāt svayonyāṃ tu tathā bāhyeṣv api kramāt svayonyāṃ+tu · svarandhragoptānvīkṣikyāṃ daṇḍanītyāṃ tathaiva ca daṇḍanītyāṃ+tathā
t ṭh → ṭ ṭh	consonant / other	27	0.0	1	Aṣṭādhyāyī(27)	vṛddhāṭ ṭhak sauvīreṣu bahulam vṛddhāṭ+ṭhak
as a → hāto a	consonant / other	27	0.0	3	Suśrutasaṃhitā(18), Carakasaṃhitā(8), Nirukta(1)	athāto 'nukramiṣyāmaḥ atas→athāto +'nukramiṣyāmaḥ · athāto 'pāmārgataṇḍulīyamadhyāyaṃ vyākhyāsyāmaḥ atas→athāto +apāmārgataṇḍulīyam · athāto 'dhyayanasaṃpradānīyam adhyāyaṃ vyākhyāsyāmaḥ atas→athāto +'dhyayanasaṃpradānīyam
d ph → t ph	consonant / other	26	0.0	14	Mahābhārata (full, incl. Bhagavadgītā)(6), Yogasūtrabhāṣya(6), Bhāratamañjarī(2)	tatphalaṃ labhate samyag rakṣite śaraṇāgate tad+phalam→tatphalaṃ · yo yadvapati bījaṃ hi labhate so 'pi tatphalam tad+phalam→tatphalam · samaṃ bubhukṣū parato 'pi tatphalaṃ tato 'sya jāto mayi dharmamatsaraḥ tad+phalam→tatphalaṃ · kāraṇadvayam idaṃ nirasyataḥ prārthanādhikabale vipatphalā vipad+phalā→vipatphalā
e b → ava b	consonant / other	26	0.0	7	Mahābhārata (full, incl. Bhagavadgītā)(18), Rāmāyaṇa(3), Śukasaptati(1)	kiñca tadā gamyatā yadi viparīte samāyāte sati tava buddhirasti tava+buddhiḥ · agamyāsu ramante ca te madrāstava bāndhavāḥ te→madrāstava +bāndhavāḥ · prāṇā yena samarpitās tava balād yenaivam utthāpitaḥ skandhe yena ciraṃ dhṛto 'si vidadhe yas te saparyām api tava+balād · apavāhya sa duṣṭātmā bharataṃ tava bandhuṣu tava+bandhuṣu
j d → g d	consonant / other	26	0.0	10	Rāmāyaṇa(6), Mahābhārata (full, incl. Bhagavadgītā)(6), Kathāsaritsāgara(3)	anyadā tu vaṇigdravyasāramādāya tāmāpṛcchya deśāntaraṃ jagāma vaṇij+dravya→vaṇigdravyasāramādāya · iti jalpaṃśca sa vaṇig devadāsaś ca vibruvan vaṇig+devadāsaś · sa tābhyāṃ vikṣatair gātrair asṛgdigdhatanūruhaḥ asṛj+digdha→asṛgdigdhatanūruhaḥ · sragdāmapūritaśikhaṃ samagrendunibhānanam sraj+dāma→sragdāmapūritaśikhaṃ
e t → i t	consonant / other	26	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(18), Kumārasaṃbhava(2), Daśakumāracarita(2)	caṇḍi tvam eva mudam añca na pañcabāṇacaṇḍālakāṇḍadalanāt asavaḥ prayāntu caṇḍi+tvam · vicāramārgaprahitena cetasā na dṛśyate tac ca kṛśodari tvayi udare→kṛśodari +tvayi · nanv ātmānaṃ bahu vigaṇayann ātmanaivāvalambe tatkalyāṇi tvam api nitarāṃ mā gamaḥ kātaratvam kalyāṇe→tatkalyāṇi +tvam · tasyāḥ sasaṃbhramapremalajjākautukamanoramaṃ līlāvilokanasukhamanubhavan sudatyā vadanāravinde viṣaṇṇabhāvaṃ madanakadanakhedānubhūtaṃ tannimittaṃ jñāsyaṃllīlayā tadupakaṇṭhamupetyāvocam sumukhi tava mukhāravindasya dainyakāraṇaṃ kathayeti mukhe→sumukhi +tava
e asmi → e 'smin	consonant / other	26	0.0	7	Mahābhārata (full, incl. Bhagavadgītā)(12), Kathāsaritsāgara(4), Rāmāyaṇa(3)	tathāhi pūrvaṃ jāte 'sminn ekaputre mama sphuṭā jāte+'sminn · kurute 'sminn amoghe 'pi nirvāṇālātalāghavam kurute+'sminn · saṃsāre 'sminn asāre kunṛpatibhavanadvārasevākalaṅkavyāsaṅgavyastadhairyaṃ katham amaladhiyo mānasaṃ saṃvidadhyuḥ saṃsāre+'sminn · tayādya mama sajje 'sminn abhiṣeke nṛpodyate sajje+'sminn
aham r → 'haṃ r	anusvāra / nasal	26	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(13), Rāmāyaṇa(9), Kathāsaritsāgara(4)	tatastacchāpamuktena stuto 'haṃ rājasūnunā 'haṃ+rāja · lubdhāyā vidito manye na te 'haṃ rāghavaṃ prati 'haṃ+rāghavaṃ · nābhijānāmi tat te 'haṃ rājā tu vadatu svayam 'haṃ+rājā
s dh → r dh	consonant / other	26	0.0	5	Mahābhārata (full, incl. Bhagavadgītā)(15), Rāmāyaṇa(5), Bhāratamañjarī(4)	tato havirdhūmavivarṇavṛkṣaṃ tapaḥpraśāntaṃ sa vanaṃ viveśa havis+dhūma→havirdhūmavivarṇavṛkṣaṃ · sa jitvā dikṣu bhūpālānkaraṃ prāpya dhanurdharaḥ dhanus+dharaḥ→dhanurdharaḥ · gajarājagatir vīro mahābāhur dhanurdharaḥ dhanus+dharaḥ→dhanurdharaḥ · sa rājā śaṃtanur dhīmān khyātaḥ pṛthvyāṃ dhanurdharaḥ dhanus+dharaḥ→dhanurdharaḥ
ā i → ī	vowel coalescence	26	0.0	8	Kāmasūtra(7), Mahābhārata (full, incl. Bhagavadgītā)(6), Rāmāyaṇa(5)	pragṛhya bāhū nipapāta gautamī vilolaparṇā kadalīva kāñcanī kadalā+iva→kadalīva · dine dine sā parivardhamānā labdhodayā cāndramasīva lekhā cāndramasā+iva→cāndramasīva · haimīṣumālā śuśubhe vidyutām iva saṃhatiḥ haimā+iṣu→haimīṣumālā · gātraprakampād vyathitā babhūva vātoddhatā sā kadalīva tanvī kadalā+iva→kadalīva
u ṛ → v ṛ	vowel coalescence	26	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(10), Suśrutasaṃhitā(8), Rāmāyaṇa(5)	antarhitās tv ṛṣigaṇāḥ siddhāś ca paramarṣayaḥ tv+ṛṣi · vyāharatsvṛṣiputreṣu mā sma kiṃcid vaco vadīḥ vyāharatsu+ṛṣi→vyāharatsvṛṣiputreṣu · yatnena bhojayet śrāddhe bahvṛcaṃ vedapāragam bahu+ṛcam→bahvṛcaṃ · vāyvṛtupitruṣaso yat vāyu+ṛtu→vāyvṛtupitruṣaso
atividdhaḥ m → 'tividdho m	visarga	26	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(26)	so 'tividdho maheṣvāsaḥ pārṣato yudhi durjayaḥ 'tividdho+mahā
s ṣ → ḥ ṣ	consonant / other	25	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(19), Suśrutasaṃhitā(2), Śukasaptati(1)	tataḥ ṣaṇḍaṃ yavakāśādibhiḥ pupoṣa tataḥ+ṣaṇḍaṃ · ahaṃ pañcasu bhūteṣu manaḥṣaṣṭheṣu rāghava manas+ṣaṣṭheṣu→manaḥṣaṣṭheṣu · sahadeve tataḥ ṣaṣṭiṃ sāyakān durmukho 'kṣipat tataḥ+ṣaṣṭiṃ · dviguṇalohāṃ tulām ataḥ ṣaṇṇavatyaṅgulāyāmāṃ parimāṇīṃ kārayet ataḥ+ṣaṇṇavati
e s → i s	consonant / other	25	0.0	8	Mahābhārata (full, incl. Bhagavadgītā)(15), Rāmāyaṇa(3), Kāvyādarśa(2)	kathamapi rahaḥ prāptām aṅgaiḥ anaṅgataraṃgibhiḥ sumukhi subhagaḥ paśyan saḥ tvām upaitu kṛtārthatām mukhe→sumukhi +subhagaḥ · yataḥ satāṃ saṃnatagātri saṃgataṃ manīṣibhiḥ sāptapadīnam ucyate gātre→saṃnatagātri +saṃgataṃ · utpaśyāmi pratanuṣu nadīvīciṣu bhrūvilāsān hantaikasmin kvacid api na te caṇḍi sādṛśyam asti caṇḍi+sādṛśyam · tvayā saha kuraṅgākṣi saṃgamo me prasādanam akṣe→kuraṅgākṣi +saṃgamo
ṣ k → ṭ k	consonant / other	25	0.0	7	Mahābhārata (full, incl. Bhagavadgītā)(11), Suśrutasaṃhitā(4), Rāmāyaṇa(3)	mittraṃ balair vyāptadiśaṃ prāvṛṭkālam ivāmbudaiḥ prāvṛṣ+kālam→prāvṛṭkālam · tasya ṣaṭkośasaṃghasya saṃpuṭatrayapātanāt ṣaṣ+kośa→ṣaṭkośasaṃghasya · pramṛdnan sarvato yuddhe prāvṛṭkāle yathānilaḥ prāvṛṣ+kāle→prāvṛṭkāle · so 'paśyat saritaṃ pūrṇāṃ prāvṛṭkāle navāmbhasā prāvṛṣ+kāle→prāvṛṭkāle
ā b → ṃ b	anusvāra / nasal	25	0.0	5	Mahābhārata (full, incl. Bhagavadgītā)(17), Rāmāyaṇa(4), Bhāratamañjarī(2)	apekṣate pratyayam uttamaṃ tvāṃ bījāṅkuraḥ prāg udayād ivāmbhaḥ tvāṃ+bīja · gāṇḍīvaṃ vitarānyasmai tvāṃ brūyādyaḥ sa te dhruvam tvāṃ+brūyāt · brāhmaṇyaṃ kṛtsnam etat tvāṃ brahmaṇyam anugacchati tvāṃ+brahmaṇyam · jānāmi tvāṃ bodhayāmi rājaputri viśeṣataḥ tvāṃ+bodhayāmi
iṃcid s → accit s	consonant / other	25	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(16), Rāmāyaṇa(8), Meghadūta(1)	kaccit saumya vyavasitam idaṃ bandhukṛtyaṃ tvayā me pratyādeśān na khalu bhavato dhīratāṃ kalpayāmi kaccit+saumya · kaccit sukuśalī rājā pitā daśaratho mama kaccit+su · kaccit savarṇapravaro manuṣya udriktavarṇo 'pyuta veha kaccit kaccit+savarṇa
iḥ i → Ø i	visarga	25	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(20), Rāmāyaṇa(4), Daśakumāracarita(1)	pramodāśrupūrṇo rājā pulakitāṅgaṃ taṃ gāḍhamāliṅgya aye saumya somadatta iti vyājahāra somadatta+iti · viditaṃ te mahārāja ikṣvākukuladaivatam rājaiḥ→mahārāja +ikṣvāku · vatsa veda ihāsyatām veda+iha
ā ṛ → m ṛ	vowel coalescence	25	0.0	2	Mahābhārata (full, incl. Bhagavadgītā)(20), Rāmāyaṇa(5)	nihantuṃ triṣu lokeṣu tvām ṛte raghunandana tvām+ṛte · na cānyaṃ pitaraṃ manye tvām ṛte tu mahātapaḥ tvām+ṛte
j c → k c	consonant / other	24	0.0	7	Suśrutasaṃhitā(11), Mahābhārata (full, incl. Bhagavadgītā)(5), Carakasaṃhitā(4)	yāvadevaṃ gṛhāṅgaṇagatā śapati tāvatsa vaṇik cāṇḍālarūpī samāgatya tatpādayoḥ patitaḥ vaṇik+cāṇḍāla · viśākhilākhyo deśe 'smin vaṇik cāsti mahādhanaḥ vaṇik+ca · asṛkcandanadigdhāṅgaṃ cārupatraṃ patatriṇam asṛj+candana→asṛkcandanadigdhāṅgaṃ · aniṣṭaphalabhāk ceti tair adharmo bhaviṣyati bhāj→aniṣṭaphalabhāk +ca
i a → īty a	vowel coalescence	24	0.0	5	Mīmāṃsāsūtrabhāṣya(17), Mahābhārata (full, incl. Bhagavadgītā)(3), Yogasūtrabhāṣya(2)	maddhaste kiṃcid apy asyā deva nāstīty abhāṣata iti→nāstīty +abhāṣata · nedam astīty atha viduro bhāṣamāṇaḥ samprādravad yatra pārthā babhūvuḥ iti→astīty +atha · sa cārtho hetur nimittaṃ kāraṇaṃ bhavatīty anityākhyāyate iti→bhavatīty +anityā · yadi ca codanāyāṃ satyām agnihotrāt svargo bhavatīty avagamyate katham ucyate na tathā bhavatīti iti→bhavatīty +avagamyate
ām r → īṃ r	anusvāra / nasal	24	0.0	6	Rāmāyaṇa(14), Mahābhārata (full, incl. Bhagavadgītā)(6), Kathāsaritsāgara(1)	dadarśa jagadāścaryajananīṃ rūpasaṃpadā jananām→jagadāścaryajananīṃ +rūpa · sapadi mukulitākṣīṃ rudrasaṃrambhabhītyā duhitaram anukampyām adrir ādāya dorbhyām akṣām→mukulitākṣīṃ +rudra · kṣipati yo 'nuvanaṃ vitatāṃ bṛhadbṛhatikām iva raucanikīṃ rucam raucanikīṃ+rucam · taptajāmbūnadamayīṃ rājatāntaparicchadām mayām→taptajāmbūnadamayīṃ +rājata
aḥ apaśyat → o 'paśyad	visarga	24	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(17), Rāmāyaṇa(5), Kathāsaritsāgara(2)	tatsvasāraṃ ca so 'paśyad ekānte jātu kanyakām so+'paśyad · so 'paśyad bhūmibhāgāṃśca gartaprasravaṇāni ca so+'paśyad · sa kliśyamāno 'paśyad upāyam kliśyamāno+'paśyad
ā i → n i	vowel coalescence	24	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(20), Rāmāyaṇa(3), Buddhacarita(1)	nṛpatirapi jagāma paurasaṃghair divam amarair maghavān ivārcyamānaḥ maghavān+iva · abhiṣiñcasva cādyaiva rājyena maghavān iva maghavān+iva · yuyuje 'mitasaubhāgyaḥ paulomyā maghavān iva maghavān+iva
iḥ c → ā c	visarga	24	0.0	3	Mahābhārata (full, incl. Bhagavadgītā)(22), Rāmāyaṇa(1), Manusmṛti(1)	bhartā caiva sakhā caiva rāmo dāśarathir mama sakhā+ca · ahaṃ manye pūrvam eko 'smi gantā sakhā cendraḥ sarvathā me mahātmā sakhā+ca · vaiśyaśūdrau sakhā caiva jñātayo gurur eva ca sakhā+ca
ñ e → ann e	consonant / other	24	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(24)	rājann etānyapratimasya rājñaḥ śibeḥ sthitāny anṛśaṃsasya buddhyā rājann+etāni
_ ś → yudhāṃ ś	anusvāra / nasal	24	0.0	1	Mahābhārata (full, incl. Bhagavadgītā)(24)	brāhmaṇo 'smi yudhāṃ śreṣṭhaḥ sarvaśastrabhṛtāṃ varaḥ yudhāṃ+śreṣṭhaḥ
naḥ p → asmākaṃ p	visarga	23	0.0	4	Mahābhārata (full, incl. Bhagavadgītā)(17), Rāmāyaṇa(3), Hitopadeśa(2)	citragrīva uvāca sakhe asmākaṃ prāktanajanmakarmaṇaḥ phalam etat asmākaṃ+prāktana · idānīm asmākaṃ paṭutaravivekāñjanajuṣāṃ samībhūtā dṛṣṭis tribhuvanam api brahma manute asmākaṃ+paṭutara · eṣā prakṛtir asmākaṃ puruṣas tvaṃ nareśvaraḥ asmākaṃ+puruṣas · bhavatyā yan mataṃ kāryaṃ tad asmākaṃ paraṃ hitam asmākaṃ+paraṃ
au p → yāṃ p	anusvāra / nasal	23	0.0	5	Mahābhārata (full, incl. Bhagavadgītā)(14), Rāmāyaṇa(4), Suśrutasaṃhitā(3)	sā ca saniḥśvāsaṃ rudatī dhūlipuñjaṃ darśayitvā idamuvāca yatkṛte tvaṃ kruddhaḥ sa te dravyo 'tra dhūlyāṃ patitaḥ dhūlyāṃ+patitaḥ · ekayāmāvaśiṣṭāyāṃ rātryāṃ prativibudhya saḥ rātryāṃ+prativibudhya · tatastasyām anāvṛṣṭyāṃ pravṛttāyām ariṃdama anāvṛṣṭyāṃ+pravṛttāyām · mātṛjātyāṃ prasūyante pravārāsu ca yoniṣu jātau→mātṛjātyāṃ +prasūyante
āt r → ato r	consonant / other	23	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(17), Rāmāyaṇa(2), Buddhacarita(1)	asyaiva jātaḥ pṛthageṣa doṣaḥ sāmānyato rogabhayaṃ prajānām sāmānyato+roga · eṣa hi gaṇikāmāturadhikāro yadduhiturjanmanaḥ prabhṛtyevāṅgakriyā tejobalavarṇamedhāsaṃvardhanena doṣāgnidhātusāmyakṛtā mitenāhāreṇa śarīrapoṣaṇam ā pañcamād varṣāt pitur apyanatidarśanam janmadine puṇyadine cotsavottaro maṅgalavidhiḥ adhyāpanamanaṅgavidyānāṃ sāṅgānām nṛtyagītavādyanāṭyacitrāsvādyagandhapuṣpakalāsu lipijñānavacanakauśalādiṣu ca samyagvinayanam śabdahetusamayavidyāsu vārtāmātrāvabodhanam ājīvajñāne krīḍākauśale sajīvanirjīvāsu ca dyūtakalāsvabhyantarīkaraṇam abhyantarakalāsu vaiśvāsikajanātprayatnena prayogagrahaṇam yātrotsavādiṣvādaraprasādhitāyāḥ sphītaparibarhāyāḥ prakāśanam prasaṅgavatyāṃ saṃgītādipriyāyāṃ pūrvasaṃgṛhītairgrāhyavāgbhiḥ siddhilambhanam diṅmukheṣu tattacchilpavittakair yaśaḥprakhyāpanam kārtāntikādibhiḥ kalyāṇalakṣaṇodghoṣaṇam pīṭhamardaviṭavidūṣakairbhikṣukyādibhiśca nāgarikapuruṣasamavāyeṣu rūpaśīlaśilpasaundaryamādhuryaprastāvanā yuvajanamanorathalakṣyabhūtāyāḥ prabhūtatamena śulkenāvasthāpanam svato rāgāndhāya tadbhāvadarśanonmāditāya vā jātirūpavayo'rthaśaktiśaucatyāgadākṣiṇyaśilpaśīlamādhuryopapannāya svatantrāya pradānam adhikaguṇāyāsvatantrāya prājñatamāyālpenāpi bahuvyapadeśenārpaṇam asvatantreṇa vā gandharvasamāgamena tadgurubhyaḥ śulkāpaharaṇam alābhe 'rthasya kāmasvīkṛte svāminyadhikaraṇe ca sādhanam raktasya duhitraikacāriṇīvratānuṣṭhāpanam nityanaimittikaprītidāyakatayā hṛtaśiṣṭānāṃ gamyadhanānāṃ citrairupāyairapaharaṇam adadatā lubdhaprāyeṇa ca vigṛhyāsanam pratihastiprotsāhanena lubdhasya rāgiṇastyāgaśaktisaṃdhukṣaṇam asārasya vāksaṃtakṣaṇair lokopakrośanair duhitṛnirodhanair vrīḍotpādanair anyābhiyogair avamānaiścāpavāhanam arthadair anarthapratighātibhiś cānindyair ibhyair anubaddhārthānarthasaṃśayān vicārya bhūyobhūyaḥ saṃyojanamiti svato+rāga · kūṭāgāraiḥ parikṣiptaṃ sarvato rajataprabham sarvato+rajata · nyāyato rakṣitāstena tasya pāpaṃ na rocaye nyāyato+rakṣitāḥ
ā b → ī b	consonant / other	23	0.0	6	Mahābhārata (full, incl. Bhagavadgītā)(9), Suśrutasaṃhitā(7), Rāmāyaṇa(3)	tam ātitheyī bahumānapūrvayā saparyayā pratyudiyāya pārvatī ātitheyī+bahu · sāpi bālā gatyantarābhāvād bhayagadgadasvarā bāṣpadurdinākṣī baddhavepathuḥ kathaṃkatham api gatvā maduktamanvatiṣṭhat aśayiṣi cāhaṃ bhāvitaviṣavikriyaḥ teṣu kaścin narendrābhimānī māṃ nirvarṇya mudrātantramantradhyānādibhiś copakramyākṛtārthaḥ gata evāyaṃ kāladaṣṭaḥ akṣā→bāṣpadurdinākṣī +baddha · yasya te dhārmikī buddhir iyaṃ putrārtham āgatā dhārmikī+buddhir · eṣā vai naiṣṭhikī buddhiḥ sarveṣām eva saṃmatā naiṣṭhikī+buddhiḥ
