locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
MAHĀBHĀRATA 12,2664 → vulg	mahabharata 12 266 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 13,1809 → vulg	mahabharata 13 1809 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,7523 → vulg	mahabharata 723 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
Journal of the American Oriental Society 6,512,1 v. u	journal of the american oriental society 6 12 1 v u					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,2297 → vulg	mahabharata 1 2297 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,7353 → vulg	mahabharata 733 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,464 → vulg	mahabharata 7 6 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,3686 → vulg	mahabharata 3686 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,1495 → vulg	mahabharata 7 19 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
RĀMĀYAṆA. Ohne eine nähere Angabe ist be 1, 47,15 GORR	ramayana ohne eine nahere angabe ist be 1 7 1 gorr	ramayana	Rāmāyaṇa	epic-sutra	part of the older core, c. 5th-4th c. BCE - 1st c. CE	dharmamitra	canon_dm	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,6845 → vulg	mahabharata 1 68 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 4,2339 → vulg	mahabharata 2339 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 2,132 → vulg	mahabharata 2 132 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,14677 → vulg	mahabharata 3 1677 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,7092 → vulg	mahabharata 7 7092 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 9,2229 → vulg	mahabharata 9 2229 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 15,821 → vulg	mahabharata 1 821 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		uttararamacarita	Uttararāmacarita	classical	early 8th c. CE	hand:class	hand	Bhavabhūti, early 8th c. (standard author dating; same anchor class as the probe's Kālidāsa play calls)		net-new; seed had this abbrev on unresolved loci	0
(51,5)	1					no-match	no-match	no curated identity matches this resolved locus			0
		malatimadhava	Mālatīmādhava	classical	early 8th c. CE	hand:class	hand	Bhavabhūti, early 8th c. (standard author dating)		net-new; seed had this abbrev on unresolved loci	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
ANEKĀRTHASAM̃GRAHA (s. H. an.).	anekarthasamgraha s h an					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,2622 → vulg	mahabharata 1 2622 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 4,305 → vulg	mahabharata 30 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,7665 → vulg	mahabharata 13 766 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,2891 → vulg	mahabharata 3 2891 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,6025 → vulg	mahabharata 602 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5, 6045 → vulg	mahabharata 60 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1,5582 → vulg	mahabharata 1 82 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1,5573 → vulg	mahabharata 1 73 vulg	mahabharata		epic-sutra		dcs	seed	H4016 hand-checked seed call via the DCS date table 2021 (per-citation evidence in the seed JSON, data/dating/evidence/)			0
MAHĀBHĀRATA 13,5657 → vulg	mahabharata 13 67 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7, 2194 → vulg	mahabharata 7 219 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7, 2207 → vulg	mahabharata 7 2207 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7, 2449 → vulg	mahabharata 7 29 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
RĀMĀYAṆA. Ohne eine nähere Angabe ist be 1,6, 26 GORR	ramayana ohne eine nahere angabe ist be 1 6 26 gorr	ramayana	Rāmāyaṇa	epic-sutra	part of the older core, c. 5th-4th c. BCE - 1st c. CE	dharmamitra	canon_dm	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,7352 → vulg	mahabharata 1 732 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,7241 → vulg	mahabharata 13 721 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,723 → vulg	mahabharata 1 723 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
223, No.	223 no					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 12,10364 → vulg	mahabharata 12 1036 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,10359 → vulg	mahabharata 12 1039 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,13449 → vulg	mahabharata 3 139 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,1196 → vulg	mahabharata 12 1196 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,3417 → vulg	mahabharata 317 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 3244 → vulg	mahabharata 1 32 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,5068 → vulg	mahabharata 3 068 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 14401 → vulg	mahabharata 3 101 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3, 16638 → vulg	mahabharata 3 16638 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
