slp1	hom	sense_id	first_era	era_rank	bucket_via	class	n_cites	n_dateable	bridge_status	bridge_mw_sense	count_all	sense_rank	lemma_share	n_texts	top_genre	top_genre_share	provenance	confidence
brAhmaRa		3b	epic-sutra	2	dcs	DATEABLE	6	2	bridge_unaligned									
brAhmaRa		3c	epic-sutra	2	dcs	DATEABLE	4	4	bridge_unaligned									
brAhmaRa		3d	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
brAhmaRa		3f	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	2	1	bridge_unaligned									
brAhmaRa		4e	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
brAhmaRa		2b				UNDATEABLE	2	0	bridge_unaligned									
brAhmaRa		3e				UNRESOLVED	1	0	bridge_unaligned									
brahman	2	2	vedic	1	dcs	DATEABLE	43	37	bridge_unaligned									
brahman	2	3	vedic	1	dcs	DATEABLE	5	5	bridge_unaligned									
brahman	2	4	vedic	1	dcs+hand:class	DATEABLE	60	35	bridge_unaligned									
brahman	2	8	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
brahman	2	10	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	1	1	joined	mw:146546:1	2	6	0.0023	1	veda	1.0	attested	
brahman	2	11	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
brahman	2	12	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
brahman	2	13	early-medieval	4	dharmamitra+hand:class	DATEABLE	4	3	bridge_unaligned									
brahman	2	6	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
brahman	2	7	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
brahman	2	9	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
brahman	2	14				UNDATEABLE	1	0	bridge_unaligned									
brahman	2	5				UNDATEABLE	1	0	bridge_unaligned									
cUqa		1a	vedic	1	dcs	DATEABLE	5	4	bridge_no_freq	mw:74724:1								
cUqa		1c	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
cUqa		2a	epic-sutra	2	dharmamitra	DATEABLE	13	9	bridge_unaligned									
cUqa		2h	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cUqa		1b	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cUqa		2b	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cUqa		2f	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cUqa		2c	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cUqa		2d	early-medieval	4	dharmamitra+hand:class	DATEABLE	2	2	bridge_unaligned									
cUqa		2e	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cUqa		2i	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cUqa		2g				UNDATEABLE	1	0	bridge_unaligned									
ca	1	1a	vedic	1	dcs	DATEABLE	33	31	bridge_unaligned									
ca	1	1b	vedic	1	dcs	DATEABLE	18	16	bridge_unaligned									
ca	1	1c	vedic	1	dcs	DATEABLE	8	7	bridge_unaligned									
ca	1	8	vedic	1	dcs	DATEABLE	12	9	bridge_unaligned									
ca	1	10	epic-sutra	2	hand:class	DATEABLE-MARGINAL	3	1	joined	mw:70281:1	8	2	0.0208	4	vyakarana	0.75	attested	
ca	1	1d	epic-sutra	2	dcs+hand:class	DATEABLE	5	5	bridge_unaligned									
ca	1	1f	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
ca	1	1g	epic-sutra	2	dcs+hand:class	DATEABLE	33	30	bridge_unaligned									
ca	1	2	epic-sutra	2	dcs+hand:class	DATEABLE	4	4	bridge_unaligned									
ca	1	3	epic-sutra	2	dcs+hand:class	DATEABLE	5	5	bridge_unaligned									
ca	1	4	epic-sutra	2	dcs	DATEABLE-MARGINAL	2	1	bridge_unaligned									
ca	1	5	epic-sutra	2	hand:class	DATEABLE	4	4	bridge_unaligned									
ca	1	6	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	20	13	bridge_unaligned									
ca	1	9	epic-sutra	2	hand:class	DATEABLE	19	15	bridge_unaligned									
ca	1	1e	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
ca	1	7	classical	3	dcs+dharmamitra+hand:class	DATEABLE	9	8	bridge_unaligned									
caRqa		2a	vedic	1	dcs	DATEABLE	16	10	bridge_unaligned									
caRqa		1a	epic-sutra	2	dcs+dharmamitra	DATEABLE	49	41	joined	mw:70905:1	7	2	0.25	6	epic	0.2857	attested	
caRqa		3a	epic-sutra	2	dharmamitra	DATEABLE	5	3	bridge_unaligned									
caRqa		4a	epic-sutra	2	dharmamitra	DATEABLE	8	6	bridge_unaligned									
caRqa		3d	classical	3	dharmamitra	DATEABLE	9	3	bridge_unaligned									
caRqa		3e	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
caRqa		1b	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
caRqa		3b	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
caRqa		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
caRqa		4e	late-medieval	5	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
caRqa		5	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
caRqa		2b				UNDATEABLE	1	0	bridge_unaligned									
caRqa		2c				UNRESOLVED	1	0	bridge_unaligned									
caRqa		4b				UNDATEABLE	1	0	bridge_unaligned									
caRqa		4c				UNDATEABLE	2	0	bridge_unaligned									
caRqa		4d				UNRESOLVED	1	0	bridge_unaligned									
cakra		16c	vedic	1	dcs	DATEABLE	7	6	bridge_unaligned									
cakra		17	vedic	1	dcs	DATEABLE	7	6	bridge_unaligned									
cakra		11	epic-sutra	2	dharmamitra	DATEABLE	9	8	bridge_unaligned									
cakra		16a	epic-sutra	2	dharmamitra	DATEABLE	8	6	bridge_unaligned									
cakra		16b	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
cakra		2	epic-sutra	2	dcs+dharmamitra	DATEABLE	19	16	bridge_unaligned									
cakra		3	epic-sutra	2	dcs+dharmamitra	DATEABLE	6	5	bridge_unaligned									
cakra		4	epic-sutra	2	dcs+dharmamitra	DATEABLE	31	21	bridge_unaligned									
cakra		7	epic-sutra	2	dcs+dharmamitra	DATEABLE	21	16	bridge_unaligned									
cakra		8	epic-sutra	2	dharmamitra	DATEABLE	16	14	bridge_unaligned									
cakra		10	classical	3	dharmamitra	DATEABLE	2	2	joined	mw:70328:1	70	1	0.7368	23	epic	0.4286	attested	
cakra		12	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
cakra		5	classical	3	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
cakra		9	classical	3	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cakra		14	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cakra		16d	early-medieval	4	dcs+dharmamitra	DATEABLE	2	2	bridge_unaligned									
cakra		19	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cakra		6	early-medieval	4	dharmamitra	DATEABLE-MARGINAL	5	1	bridge_unaligned									
cakra		13	late-medieval	5	hand:class	DATEABLE-MARGINAL	5	1	bridge_unaligned									
cakra		18b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cakra		15				UNDATEABLE	2	0	bridge_unaligned									
cakrin		2	epic-sutra	2	dcs+dharmamitra	DATEABLE	9	7	bridge_unaligned									
cakrin		3	epic-sutra	2	dcs+dharmamitra	DATEABLE	3	3	bridge_unaligned									
cakrin		12	classical	3	dharmamitra	DATEABLE	8	5	bridge_unaligned									
cakrin		4	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
cakrin		5	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
cakrin		7	classical	3	dharmamitra	DATEABLE	5	2	bridge_unaligned									
cakrin		10	early-medieval	4	hand:class	DATEABLE	4	2	bridge_no_freq	mw:70602:1								
cakrin		6	early-medieval	4	hand:class	DATEABLE	2	2	bridge_unaligned									
cakrin		11	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cakrin		15	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cakrin		8	late-medieval	5	hand:class	DATEABLE-MARGINAL	4	1	bridge_unaligned									
cakrin		9	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cakrin		16				UNRESOLVED	1	0	bridge_unaligned									
candra		1	vedic	1	dcs+hand:class	DATEABLE	28	27	joined	mw:71581:1	35	2	0.1133	11	veda	0.4571	attested	
candra		2a	vedic	1	dcs	DATEABLE	38	34	bridge_unaligned									
candra		5a	vedic	1	dcs+hand:class	DATEABLE	14	12	bridge_unaligned									
candra		2b	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
candra		2n	epic-sutra	2	dharmamitra+hand:class	DATEABLE	21	11	bridge_unaligned									
candra		2q	epic-sutra	2	dcs	DATEABLE	2	2	bridge_unaligned									
candra		5c	epic-sutra	2	hand:class	DATEABLE	3	2	bridge_unaligned									
candra		2c	classical	3	dharmamitra	DATEABLE	5	3	bridge_unaligned									
candra		2g	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
candra		2h	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
candra		2k	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
candra		2l	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
candra		2d	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
candra		2e	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
candra		2i	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candra		2o	early-medieval	4	dharmamitra	DATEABLE	4	2	bridge_unaligned									
candra		2f	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candra		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candra		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
candra		4	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candra		5b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candra		2m				UNDATEABLE	2	0	bridge_unaligned									
candra		2p				UNDATEABLE	1	0	bridge_unaligned									
candra		3b				UNDATEABLE	1	0	bridge_unaligned									
candraka		1b	epic-sutra	2	dcs	DATEABLE	4	2	bridge_unaligned									
candraka		1f	epic-sutra	2	dharmamitra	DATEABLE	4	4	bridge_unaligned									
candraka		1a	classical	3	hand:class	DATEABLE-MARGINAL	1	1	bridge_no_freq	mw:71949:1								
candraka		1c	classical	3	dharmamitra	DATEABLE	4	4	bridge_unaligned									
candraka		2a	classical	3	dcs+dharmamitra+hand:class	DATEABLE	15	9	bridge_unaligned									
candraka		2f	classical	3	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
candraka		2g	early-medieval	4	hand:class	DATEABLE	6	4	bridge_unaligned									
candraka		1d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candraka		1e	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
candraka		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candraka		2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
candraka		3	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
candraka		2e				UNDATEABLE	3	0	bridge_unaligned									
candraka		2h				UNRESOLVED	1	0	bridge_unaligned									
capala		1	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	43	30	joined	mw:72001:1	51	1	0.8226	19	rasasastra	0.8431	attested	
capala		2g	epic-sutra	2	dharmamitra	DATEABLE	2	2	bridge_unaligned									
capala		3d	epic-sutra	2	hand:class	DATEABLE	5	4	bridge_unaligned									
capala		2d	classical	3	dharmamitra	DATEABLE	6	4	bridge_unaligned									
capala		3a	classical	3	dharmamitra	DATEABLE	7	5	bridge_unaligned									
capala		3b	classical	3	dharmamitra	DATEABLE	6	4	bridge_unaligned									
capala		3f	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
capala		2b	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
capala		2e	early-medieval	4	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
capala		2f	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
capala		2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
capala		3c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
capala		3e	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
capala		2a				UNDATEABLE	2	0	bridge_unaligned									
capala		3g				UNDATEABLE	9	0	bridge_unaligned									
capala		3h				UNDATEABLE	1	0	bridge_unaligned									
capala		4				UNRESOLVED	1	0	bridge_unaligned									
car		3a	vedic	1	dcs	DATEABLE	19	19	bridge_unaligned									
car		3b	vedic	1	dcs+hand:class	DATEABLE	25	25	bridge_unaligned									
car		4	vedic	1	dcs+hand:class	DATEABLE	159	139	bridge_unaligned									
car		5	vedic	1	dcs	DATEABLE	162	140	bridge_unaligned									
car		6	vedic	1	dcs	DATEABLE	76	70	bridge_unaligned									
car		8	vedic	1	dcs	DATEABLE	12	12	bridge_unaligned									
car		9	vedic	1	dcs	DATEABLE	13	11	bridge_unaligned									
car		10	epic-sutra	2	dcs	DATEABLE	3	2	joined	mw:72173:1	84	1	0.4242	18	rasasastra	0.8929	attested	
car		11	epic-sutra	2	dcs+dharmamitra	DATEABLE	6	6	bridge_unaligned									
car		7	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	10	9	bridge_unaligned									
car		2f	early-medieval	4	dcs	DATEABLE	3	2	bridge_unaligned									
cara		4	vedic	1	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cara		1a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	28	23	joined	mw:72174:1	24	1	0.6486	11	epic	0.4583	attested	
cara		1b	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	19	16	bridge_unaligned									
cara		2a	epic-sutra	2	dcs+dharmamitra	DATEABLE	15	14	bridge_unaligned									
cara		2d	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cara		2f	early-medieval	4	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cara		3	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
cara		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cara		2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
cara		2e				UNDATEABLE	2	0	bridge_unaligned									
cara		5				UNRESOLVED	2	0	bridge_unaligned									
caraRa		3a	vedic	1	dcs	DATEABLE	7	6	bridge_unaligned									
caraRa		3b	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
caraRa		3c	vedic	1	dcs	DATEABLE	9	9	bridge_unaligned									
caraRa		3d	vedic	1	dcs	DATEABLE	7	6	bridge_unaligned									
caraRa		1	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	joined	mw:72227:1	76	1	0.8636	10	epic	0.7895	attested	
caraRa		2a	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	25	15	bridge_unaligned									
caraRa		2b	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
caraRa		2f	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	17	12	bridge_unaligned									
caraRa		3e	epic-sutra	2	dcs+hand:class	DATEABLE	8	6	bridge_unaligned									
caraRa		2c	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
caraRa		3f	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
caraRa		2d				UNDATEABLE	3	0	bridge_unaligned									
caraRa		2e				UNDATEABLE	1	0	bridge_unaligned									
caraRa		2g				UNRESOLVED	1	0	bridge_unaligned									
caraRa		3g				UNDATEABLE	1	0	bridge_unaligned									
citra		1a	vedic	1	dcs	DATEABLE	22	22	joined	mw:73633:1	30	2	0.2479	5	veda	0.7	attested	
citra		1b	vedic	1	dcs+hand:class	DATEABLE	20	20	bridge_unaligned									
citra		1e	vedic	1	dcs	DATEABLE	4	4	bridge_unaligned									
citra		1h	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
citra		2d	vedic	1	dcs	DATEABLE	9	4	bridge_unaligned									
citra		3a	vedic	1	dcs+hand:class	DATEABLE	32	25	bridge_unaligned									
citra		4a	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
citra		4b	vedic	1	dcs+hand:class	DATEABLE	39	36	bridge_unaligned									
citra		1c	epic-sutra	2	dcs+hand:class	DATEABLE	13	11	bridge_unaligned									
citra		1d	epic-sutra	2	dcs	DATEABLE-MARGINAL	1	1	bridge_unaligned									
citra		1f	epic-sutra	2	dcs+dharmamitra	DATEABLE	24	14	bridge_unaligned									
citra		3f	epic-sutra	2	dharmamitra	DATEABLE	9	6	bridge_unaligned									
citra		4d	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
citra		4g	epic-sutra	2	dharmamitra	DATEABLE	15	11	bridge_unaligned									
citra		2a	classical	3	dharmamitra	DATEABLE	3	2	bridge_unaligned									
citra		3c	classical	3	dharmamitra	DATEABLE	16	5	bridge_unaligned									
citra		4e	classical	3	dcs+dharmamitra	DATEABLE	5	4	bridge_unaligned									
citra		4h	classical	3	dharmamitra	DATEABLE	5	4	bridge_unaligned									
citra		3b	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
citra		4c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
citra		4f	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
citra		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	5	2	bridge_unaligned									
citra		2c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
citra		4i	late-medieval	5	dharmamitra	DATEABLE-MARGINAL	3	1	bridge_unaligned									
citra		4k	late-medieval	5	dharmamitra	DATEABLE-MARGINAL	4	1	bridge_unaligned									
citra		1g				UNDATEABLE	2	0	bridge_unaligned									
citra		3d				UNDATEABLE	5	0	bridge_unaligned									
citra		3e				UNDATEABLE	1	0	bridge_unaligned									
dA	1	10	vedic	1	dcs+hand:class	DATEABLE	22	18	bridge_no_freq	mw:89221:1								
dA	1	1a	vedic	1	dcs	DATEABLE	8	6	bridge_unaligned									
dA	1	1c	vedic	1	dcs	DATEABLE	26	20	bridge_unaligned									
dA	1	1f	vedic	1	dcs	DATEABLE	36	33	bridge_unaligned									
dA	1	2a	vedic	1	dcs	DATEABLE	16	13	bridge_unaligned									
dA	1	3	vedic	1	dcs	DATEABLE	86	72	bridge_unaligned									
dA	1	4	vedic	1	dcs	DATEABLE	140	122	bridge_unaligned									
dA	1	5	vedic	1	dcs	DATEABLE	8	4	bridge_unaligned									
dA	1	6	vedic	1	dcs	DATEABLE	8	7	bridge_unaligned									
dA	1	1b	epic-sutra	2	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dA	1	1d	epic-sutra	2	dcs+dharmamitra	DATEABLE	7	7	bridge_unaligned									
dA	1	1e	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dA	1	2b	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	6	6	bridge_unaligned									
dA	1	2c	epic-sutra	2	dcs+dharmamitra	DATEABLE	14	11	bridge_unaligned									
dA	1	2d	epic-sutra	2	dharmamitra	DATEABLE	3	3	bridge_unaligned									
dA	1	7	epic-sutra	2	dharmamitra+hand:class	DATEABLE	19	16	bridge_unaligned									
dA	1	8	epic-sutra	2	dcs+dharmamitra	DATEABLE	9	8	bridge_unaligned									
dA	1	9	epic-sutra	2	dcs+dharmamitra+hand:class	DATEABLE	21	18	bridge_unaligned									
dA	1	2e	early-medieval	4	dcs	DATEABLE	2	2	bridge_unaligned									
dA	1	2f				UNDATEABLE	1	0	bridge_unaligned									
dIpaka		1b	epic-sutra	2	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dIpaka		2b	epic-sutra	2	dharmamitra	DATEABLE	6	5	bridge_unaligned									
dIpaka		2f	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dIpaka		3c	epic-sutra	2	dcs+dharmamitra	DATEABLE	20	11	bridge_unaligned									
dIpaka		1a	classical	3	dharmamitra	DATEABLE	6	3	bridge_no_freq	mw:92822:1								
dIpaka		2a	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
dIpaka		2c	early-medieval	4	hand:class	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dIpaka		4b	early-medieval	4	dharmamitra+hand:class	DATEABLE	12	5	bridge_unaligned									
dIpaka		2d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpaka		3d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpaka		4a	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
dIpaka		2e				UNDATEABLE	1	0	bridge_unaligned									
dIpaka		2g				UNRESOLVED	1	0	bridge_unaligned									
dIpaka		3a				UNDATEABLE	1	0	bridge_unaligned									
dIpaka		3b				UNDATEABLE	1	0	bridge_unaligned									
dIpaka		4c				UNDATEABLE	2	0	bridge_unaligned									
dIpana		1	epic-sutra	2	dcs+dharmamitra	DATEABLE	12	5	bridge_no_freq	mw:92843:1								
dIpana		4a	classical	3	dharmamitra	DATEABLE	12	4	bridge_unaligned									
dIpana		4c	classical	3	dharmamitra	DATEABLE	2	2	bridge_unaligned									
dIpana		2b	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpana		2d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpana		3a	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpana		4d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dIpana		3b				UNDATEABLE	3	0	bridge_unaligned									
dIpana		3c				UNRESOLVED	1	0	bridge_unaligned									
dIpana		4b				UNDATEABLE	2	0	bridge_unaligned									
daRqa		14	vedic	1	hand:class	DATEABLE	75	71	bridge_unaligned									
daRqa		17	vedic	1	dcs	DATEABLE	14	12	bridge_unaligned									
daRqa		3	vedic	1	dcs	DATEABLE	22	22	bridge_unaligned									
daRqa		12	epic-sutra	2	dcs+dharmamitra	DATEABLE	25	21	bridge_unaligned									
daRqa		13	epic-sutra	2	dcs+dharmamitra	DATEABLE	14	12	bridge_unaligned									
daRqa		15	epic-sutra	2	dharmamitra	DATEABLE	7	4	bridge_unaligned									
daRqa		16	epic-sutra	2	dharmamitra	DATEABLE	7	5	bridge_unaligned									
daRqa		5	epic-sutra	2	dcs	DATEABLE	10	6	bridge_unaligned									
daRqa		8	epic-sutra	2	hand:class	DATEABLE	9	9	bridge_unaligned									
daRqa		10	classical	3	dharmamitra	DATEABLE	5	3	joined	mw:89571:1	48	1	0.3179	15	epic	0.5	attested	
daRqa		7	classical	3	dharmamitra	DATEABLE	6	4	bridge_unaligned									
daRqa		9	classical	3	dharmamitra	DATEABLE-MARGINAL	4	1	bridge_unaligned									
daRqa		4	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
daRqa		6	late-medieval	5	hand:class	DATEABLE-MARGINAL	4	1	bridge_unaligned									
daRqa		20				UNDATEABLE	1	0	bridge_unaligned									
daRqa		21				UNRESOLVED	1	0	bridge_unaligned									
daRqaka		1	epic-sutra	2	dharmamitra	DATEABLE	5	5	bridge_no_freq	mw:89742:1								
daRqaka		3	epic-sutra	2	hand:class	DATEABLE	3	3	bridge_unaligned									
daRqaka		5	epic-sutra	2	dcs+dharmamitra	DATEABLE	28	24	bridge_unaligned									
daRqaka		6	epic-sutra	2	dharmamitra	DATEABLE	5	2	bridge_unaligned									
daRqaka		7a	epic-sutra	2	dcs	DATEABLE	2	2	bridge_unaligned									
daRqaka		4	classical	3	dharmamitra	DATEABLE	10	2	bridge_unaligned									
daRqaka		7c	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
daRqaka		7d	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
daRqaka		2				UNDATEABLE	2	0	bridge_unaligned									
daRqaka		7b				UNDATEABLE	1	0	bridge_unaligned									
daRqaka		8				UNRESOLVED	1	0	bridge_unaligned									
dahana		2a	vedic	1	dcs	DATEABLE	23	20	bridge_unaligned									
dahana		3a	vedic	1	dcs	DATEABLE	13	6	bridge_unaligned									
dahana		1a	epic-sutra	2	dharmamitra	DATEABLE	5	3	joined	mw:91168:1	4	3	0.1379	1	ayurveda	1.0	attested	
dahana		2b	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dahana		2c	epic-sutra	2	dharmamitra	DATEABLE	4	2	bridge_unaligned									
dahana		2d	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dahana		1b	early-medieval	4	hand:class	DATEABLE	3	2	bridge_unaligned									
dahana		2g	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dahana		2e	late-medieval	5	hand:class	DATEABLE-MARGINAL	3	1	bridge_unaligned									
dahana		3b				UNDATEABLE	1	0	bridge_unaligned									
dakza		1	vedic	1	dcs	DATEABLE	61	47	joined	mw:89317:1	19	2	0.2235	8	dharmasastra	0.3158	attested	
dakza		2a	vedic	1	dcs	DATEABLE	17	16	bridge_unaligned									
dakza		2b	vedic	1	dcs	DATEABLE	12	11	bridge_unaligned									
dakza		2c	vedic	1	dcs+hand:class	DATEABLE	29	29	bridge_unaligned									
dakza		2d	vedic	1	dcs	DATEABLE	2	2	bridge_unaligned									
dakza		2e	vedic	1	dcs	DATEABLE	74	66	bridge_unaligned									
dakza		2g	vedic	1	dcs	DATEABLE	17	5	bridge_unaligned									
dakza		2f	epic-sutra	2	dharmamitra	DATEABLE-MARGINAL	1	1	bridge_unaligned									
dakza		2i	classical	3	dharmamitra	DATEABLE	4	2	bridge_unaligned									
dakza		2k	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dakza		3	early-medieval	4	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dakza		2l	late-medieval	5	hand:class	DATEABLE-MARGINAL	2	1	bridge_unaligned									
dakziRa		1b	vedic	1	dcs	DATEABLE	24	21	bridge_unaligned									
dakziRa		1c	vedic	1	dcs	DATEABLE	32	25	bridge_unaligned									
dakziRa		2	vedic	1	dcs	DATEABLE	6	6	bridge_unaligned									
dakziRa		3	vedic	1	dcs	DATEABLE	3	3	bridge_unaligned									
