verse	widx	gold_form	gold_lemma	gold_pos	gold_morph	dcs_forms	dcs_lemmas	dcs_upos	class	note
4.31	3	brahma	brahman	nominal	acc/sg/n	brahma	brahman	NOUN	OK	
4.31	4	sanātanam	sanātana	nominal	acc/sg/n	sanātanam	sanātana	ADJ	OK	
4.31	5	na	na	indeclinable		na	na	PART	OK	
ch7245						ayam	idam	PRON	UNALIGNED_DCS	extra DCS token
ch7245						loko	loka	NOUN	UNALIGNED_DCS	extra DCS token
4.31	6	āyam	idam	pronoun					UNALIGNED_GOLD	no DCS token matched
4.31	7	lokaḥ	loka	nominal					UNALIGNED_GOLD	no DCS token matched
4.31	8	asti	√as	verb	sg	asti	as	VERB	OK	
4.31	9	ayajñasya	a-yajña	nominal	gen/sg/m	ayajñasya	ayajña	ADJ	OK	
ch7245						kuto	kutas	ADV	UNALIGNED_DCS	extra DCS token
ch7245						'nyaḥ	anya	PRON	UNALIGNED_DCS	extra DCS token
4.31	10	kutaḥ	kutaḥ	indeclinable					UNALIGNED_GOLD	no DCS token matched
4.31	11	anyaḥ	anya	pronoun					UNALIGNED_GOLD	no DCS token matched
4.31	12	kuru-sattama	kuru-sattama	nominal	voc/sg/m	kurusattama	kurusattama	NOUN	OK	
4.32	1	evam	evam	indeclinable		evaṃ	evam	ADV	OK	
4.32	2	bahu-vidhāḥ	bahu-vidhā	nominal	nom/pl/m	bahuvidhā	bahuvidha	ADJ	LEMMA_DIFF	
4.32	3	yajñāḥ	yajña	nominal	nom/pl/m	yajñā	yajña	NOUN	OK	
4.32	4	vitatāḥ	vi-tata	participle	nom/pl/m	vitatā	vitan	VERB	LEMMA_DIFF	
ch7245						brahmaṇo	brahman	NOUN	UNALIGNED_DCS	extra DCS token
4.32	5	brahmaṇaḥ	brahman	nominal					UNALIGNED_GOLD	no DCS token matched
4.32	6	mukhe	mukha	nominal	loc/sg/n	mukhe	mukha	NOUN	OK	
4.32	7	karma-jān	karma-ja	nominal	acc/pl/m	karma + jān	karman + ja	NOUN + ADJ	LEMMA_DIFF	compound split 2 ways
4.32	8	viddhi	√vid	verb	sg	viddhi	vid	VERB	OK	
4.32	9	tān	tat	pronoun	acc/pl/m	tān	tad	PRON	LEMMA_DIFF	
4.32	10	sarvān	sarva	pronoun	acc/pl/n	sarvān	sarva	PRON	OK	
4.32	11	evam	evam	indeclinable		evaṃ	evam	ADV	OK	
4.32	12	jñātvā	√jñā			jñātvā	jñā	VERB	OK	
4.32	13	vimokṣyase	vi-√muc	verb	sg	vimokṣyase	vimuc	VERB	OK	
4.33	1	śreyān	śreyas	nominal	nom/sg/m	śreyān	śreyas	ADJ	OK	
4.33	2	dravya-mayāt	dravya-maya	nominal	abl/sg/m	dravya + mayāt	dravya + maya	NOUN + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
4.33	3	yajñāt	yajña	nominal	abl/sg/m	yajñāt	yajña	NOUN	OK	
4.33	4	jñāna-yajñaḥ	jñāna-yajña	nominal	nom/sg/m	jñāna + yajñaḥ	jñāna + yajña	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.33	5	paraṁtapa	param-tapa	nominal	voc/sg/m	paraṃtapa	paraṃtapa	ADJ	OK	
4.33	6	sarvam	sarva	pronoun	nom/sg/n	sarvaṃ	sarva	PRON	OK	
4.33	7	karma	karman	nominal	nom/sg/n	karma	karman	NOUN	OK	
4.33	8	akhilam	a-khila	nominal	nom/sg/n	akhilam	akhila	ADJ	OK	
4.33	9	pārtha	pārtha	nominal	voc/sg/m	pārtha	pārtha	NOUN	OK	
4.33	10	jñāne	jñāna	nominal	loc/sg/n	jñāne	jñāna	NOUN	OK	
4.33	11	parisamāpyate	pari-sam-√āp	verb	sg	parisamāpyate	parisamāp	VERB	OK	
4.34	1	tat	tat	pronoun	acc/sg/n	tat	tad	PRON	LEMMA_DIFF	
4.34	2	viddhi	√vid	verb	sg	viddhi	vid	VERB	OK	
4.34	3	praṇipātena	pra-ṇi-pāta	participle	ins/sg/m	praṇipātena	praṇipāta	NOUN	POS_DIFF	
4.34	4	paripraśnena	pari-praśna	nominal	ins/sg/m	paripraśnena	paripraśna	NOUN	OK	
4.34	5	sevayā	sevā	nominal	ins/sg/f	sevayā	sevā	NOUN	OK	
4.34	6	upadekṣyanti	upa-√diś	verb	pl	upadekṣyanti	upadiś	VERB	OK	
4.34	7	te	yuṣmat	pronoun	dat/sg	te	tvad	PRON	LEMMA_DIFF	
4.34	8	jñānam	jñāna	nominal	acc/sg/n	jñānaṃ	jñāna	NOUN	OK	
4.34	9	jñāninaḥ	jñānin	nominal	nom/pl/m	jñāninaḥ	jñānin	ADJ	OK	
4.34	10	tattva-darśinaḥ	tattva-darśin	nominal	nom/pl/m	tattva + darśinaḥ	tattva + darśin	NOUN + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
4.35	1	yat	yat	pronoun	acc/sg/n	yat	yad	PRON	LEMMA_DIFF	
4.35	2	jñātvā	√jñā			jñātvā	jñā	VERB	OK	
4.35	3	na	na	indeclinable		na	na	PART	OK	
ch7245						punar	punar	ADV	UNALIGNED_DCS	extra DCS token
4.35	4	punaḥ	punaḥ	indeclinable					UNALIGNED_GOLD	no DCS token matched
4.35	5	moham	moha	nominal	acc/sg/m	moham	moha	NOUN	OK	
4.35	6	evam	evam	indeclinable		evam	evam	ADV	OK	
4.35	7	yāsyasi	√yā	verb	sg	yāsyasi	yā	VERB	OK	
4.35	8	pāṇḍava	pāṇḍava	nominal	voc/sg/m	pāṇḍava	pāṇḍava	NOUN	OK	
4.35	9	yena	yat	pronoun	ins/sg/n	yena	yad	PRON	LEMMA_DIFF	
4.35	10	bhūtāni	bhūta	participle	acc/pl/n	bhūtāni	bhūta	NOUN	POS_DIFF	
4.35	11	aśeṣeṇa	aśeṣeṇa	indeclinable		aśeṣeṇa	aśeṣa	ADJ	LEMMA_DIFF_POS_DIFF	
4.35	12	drakṣyasi	√dṛś	verb	sg	drakṣyasi	dṛś	VERB	OK	
4.35	13	ātmani	ātman	nominal	loc/sg/m	ātmani	ātman	NOUN	OK	
4.35	14	atho	atho	indeclinable		atha + u	atha + u	ADV + PART	LEMMA_DIFF	compound split 2 ways
4.35	15	mayi	asmat	pronoun	loc/sg	mayi	mad	PRON	LEMMA_DIFF	
4.36	1	api	api	indeclinable		api	api	PART	OK	
ch7245						ced	ced	SCONJ	UNALIGNED_DCS	extra DCS token
4.36	2	cet	cet	indeclinable					UNALIGNED_GOLD	no DCS token matched
4.36	3	asi	√as	verb	sg	asi	as	VERB	OK	
4.36	4	pāpebhyaḥ	pāpa	nominal	gen/pl/m	pāpebhyaḥ	pāpa	ADJ	OK	
4.36	5	sarvebhyaḥ	sarva	pronoun	gen/pl/n	sarvebhyaḥ	sarva	PRON	OK	
4.36	6	pāpa-kṛttamaḥ	pāpa-kṛttama	nominal	nom/sg/m	pāpa + kṛttamaḥ	pāpa + kṛttama	NOUN + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
4.36	7	sarvam	sarva	pronoun	acc/sg/n	sarvaṃ	sarva	PRON	OK	
4.36	8	jñāna-plavena	jñāna-plava	nominal	ins/sg/m	jñāna + plavena	jñāna + plava	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.36	9	eva	eva	indeclinable		eva	eva	PART	OK	
4.36	10	vṛjinam	vṛjina	nominal	acc/sg/n	vṛjinaṃ	vṛjina	NOUN	OK	
4.36	11	saṁtariṣyasi	sam-√tṝ	verb	sg	saṃtariṣyasi	saṃtṛ	VERB	LEMMA_DIFF	
4.37	1	yathā	yathā	indeclinable		yathā	yathā	PART	OK	
4.37	2	edhāṁsi	edhas	nominal	acc/pl/n	edhāṃsi	edhas	NOUN	OK	
ch7245						samiddho	samindh	VERB	UNALIGNED_DCS	extra DCS token
4.37	3	samiddhaḥ	samiddha	participle					UNALIGNED_GOLD	no DCS token matched
4.37	4	agniḥ	agni	nominal	nom/sg/m	agniḥ	agni	NOUN	OK	
4.37	5	bhasmasāt	bhasmasāt	indeclinable		bhasmasāt	bhasmasāt	ADV	OK	
4.37	6	kurute	kṛ	verb	sg	kurute	kṛ	VERB	OK	
ch7245						'rjuna	arjuna	NOUN	UNALIGNED_DCS	extra DCS token
4.37	7	arjuna	arjuna	nominal					UNALIGNED_GOLD	no DCS token matched
4.37	8	jñānāgniḥ	jñāna-agni	nominal	nom/sg/m	jñāna + agniḥ	jñāna + agni	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.37	9	sarva-karmāṇi	sarva-karman	nominal	acc/pl/n	sarva + karmāṇi	sarva + karman	PRON + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.37	10	bhasmasāt	bhasmasāt	indeclinable		bhasmasāt	bhasmasāt	ADV	OK	
4.37	11	kurute	kṛ	verb	sg	kurute	kṛ	VERB	OK	
4.37	12	tathā	tathā	indeclinable		tathā	tathā	ADV	OK	
4.38	1	na	na	indeclinable		na	na	PART	OK	
4.38	2	hi	hi	indeclinable		hi	hi	PART	OK	
4.38	3	jñānena	jñāna	nominal	ins/sg/n	jñānena	jñāna	NOUN	OK	
4.38	4	sadṛśam	sa-dṛśa	nominal	nom/sg/n	sadṛśaṃ	sadṛśa	ADJ	OK	
4.38	5	pavitram	pavitra	nominal	nom/sg/n	pavitram	pavitra	NOUN	OK	
4.38	6	iha	iha	indeclinable		iha	iha	ADV	OK	
4.38	7	vidyate	√vid	verb	sg	vidyate	vid	VERB	OK	
4.38	8	tat	tat	pronoun	acc/sg/n	tat	tad	PRON	LEMMA_DIFF	
4.38	9	svayam	svayam	indeclinable		svayam	svayam	ADV	OK	
4.38	10	yoga-saṁsiddhaḥ	yoga-saṁsiddha	nominal	nom/sg/m	yoga + saṃsiddhaḥ	yoga + saṃsidh	NOUN + VERB	LEMMA_DIFF	compound split 2 ways
4.38	11	kālena	kāla	nominal	ins/sg/m	kālena	kāla	NOUN	OK	
4.38	12	ātmani	ātman	nominal	loc/sg/m	ātmani	ātman	NOUN	OK	
4.38	13	vindati	√vid	verb	sg	vindati	vid	VERB	OK	
4.39	1	śraddhā-vān	śraddhā-vant	nominal	nom/sg/m	śraddhāvān	śraddhāvat	ADJ	LEMMA_DIFF	
4.39	2	labhate	√labh	verb	sg	labhate	labh	VERB	OK	
4.39	3	jñānam	jñāna	nominal	acc/sg/n	jñānaṃ	jñāna	NOUN	OK	
ch7245						tad	tad	PRON	UNALIGNED_DCS	extra DCS token
ch7245						paraḥ	para	PRON	UNALIGNED_DCS	extra DCS token
4.39	4	tat-paraḥ	tat-para	nominal					UNALIGNED_GOLD	no DCS token matched
4.39	5	saṁyatendriyaḥ	saṁyata-indriya	nominal	nom/sg/m	saṃyata + indriyaḥ	saṃyam + indriya	VERB + NOUN	LEMMA_DIFF	compound split 2 ways
4.39	6	jñānam	jñāna	nominal	acc/sg/n	jñānaṃ	jñāna	NOUN	OK	
4.39	7	labdhvā	√labh			labdhvā	labh	VERB	OK	
4.39	8	parām	para	nominal	acc/sg/f	parāṃ	para	PRON	POS_DIFF	
4.39	9	śāntim	śānti	nominal	acc/sg/f	śāntim	śānti	NOUN	OK	
4.39	10	a-cireṇa	a-cireṇa	indeclinable		acireṇa	acireṇa	ADV	OK	
4.39	11	adhigacchati	adhi-√gam	verb	sg	adhigacchati	adhigam	VERB	OK	
4.40	1	ajñaḥ	a-jña	nominal	nom/sg/m	a + jñaḥ	a + jña	PART + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
4.40	2	ca	ca	indeclinable		ca	ca	CONJ	OK	
4.40	3	aśraddadhānaḥ	a-śrad-dadhāna	nominal	nom/sg/m	a + śraddadhānaḥ	a + śraddhā	PART + VERB	LEMMA_DIFF_POS_DIFF	compound split 2 ways
4.40	4	ca	ca	indeclinable		ca	ca	CONJ	OK	
4.40	5	saṁśayātmā	saṁśaya-ātman	nominal	nom/sg/m	saṃśaya + ātmā	saṃśaya + ātman	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.40	6	vinaśyati	vi-√naś	verb	sg	vinaśyati	vinaś	VERB	OK	
4.40	7	na	na	indeclinable		na	na	PART	OK	
4.40	8	ayaṁ	idam	pronoun	nom/sg/m	ayam	idam	PRON	OK	
ch7245						loko	loka	NOUN	UNALIGNED_DCS	extra DCS token
ch7245						'sti	as	VERB	UNALIGNED_DCS	extra DCS token
4.40	9	lokaḥ	loka	nominal					UNALIGNED_GOLD	no DCS token matched
4.40	10	asti	√as	verb					UNALIGNED_GOLD	no DCS token matched
4.40	11	na	na	indeclinable		na	na	PART	OK	
ch7245						paro	para	PRON	UNALIGNED_DCS	extra DCS token
4.40	12	paraḥ	para	nominal					UNALIGNED_GOLD	no DCS token matched
4.40	13	na	na	indeclinable		na	na	PART	OK	
4.40	14	sukham	sukha	nominal	nom/sg/n	sukhaṃ	sukha	NOUN	OK	
4.40	15	saṁśayātmanaḥ	saṁśaya-ātman	nominal	gen/sg/m	saṃśaya + ātmanaḥ	saṃśaya + ātman	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
4.41	1	yoga-saṁnyasta-karmāṇam	yoga-saṁnyasta-karman	nominal	acc/sg/m	yoga + saṃnyasta + karmāṇam	yoga + saṃnyas + karman	NOUN + VERB + NOUN	OK_COMPOUND_SPLIT	compound split 3 ways
4.41	2	jñāna-saṁchinna-saṁśayam	jñāna-saṁchinna-saṁśaya	nominal	acc/sg/m	jñāna + saṃchinna + saṃśayam	jñāna + saṃchid + saṃśaya	NOUN + VERB + NOUN	LEMMA_DIFF	compound split 3 ways
4.41	3	ātmavantam	ātmavant	nominal	acc/sg/m	ātmavantaṃ	ātmavat	ADJ	LEMMA_DIFF	
4.41	4	na	na	indeclinable		na	na	PART	OK	
4.41	5	karmāṇi	karman	nominal	nom/pl/n	karmāṇi	karman	NOUN	OK	
4.41	6	nibadhnanti	ni-√bandh	verb	pl	nibadhnanti	nibandh	VERB	OK	
4.41	7	dhanaṁjaya	dhanaṁ-jaya	nominal	voc/sg/m	dhanaṃjaya	dhanaṃjaya	NOUN	OK	
4.42	1	tasmāt	tasmāt	indeclinable		tasmāt	tasmāt	ADV	OK	
ch7245						ajñāna	ajñāna	NOUN	UNALIGNED_DCS	extra DCS token
ch7245						sambhūtam	sambhū	VERB	UNALIGNED_DCS	extra DCS token
ch7245						hṛd	hṛd	NOUN	UNALIGNED_DCS	extra DCS token
ch7245						stham	stha	ADJ	UNALIGNED_DCS	extra DCS token
4.42	2	ajñāna-saṁbhūtam	ajñāna-saṁbhūta	nominal					UNALIGNED_GOLD	no DCS token matched
4.42	3	hṛt-stham	hṛt-stha	nominal					UNALIGNED_GOLD	no DCS token matched
4.42	4	jñānāsinā	jñānāsi	nominal	ins/sg/m	jñāna + asinā	jñāna + asi	NOUN + NOUN	LEMMA_DIFF	compound split 2 ways
4.42	5	ātmanaḥ	ātman	nominal	gen/sg/m	ātmanaḥ	ātman	NOUN	OK	
4.42	6	chittvā	√chid			chittvā	chid	VERB	OK	
4.42	7	enam	etat	pronoun	acc/sg/m	enam	enad	PRON	LEMMA_DIFF	
4.42	8	saṁśayam	saṁśaya	nominal	acc/sg/m	saṃśayaṃ	saṃśaya	NOUN	OK	
4.42	9	yogam	yoga	nominal	acc/sg/m	yogam	yoga	NOUN	OK	
4.42	10	ātiṣṭha	ā-√sthā	verb	sg	ātiṣṭha	āsthā	VERB	OK	
4.42	11	uttiṣṭha	ut-√sthā	verb	sg	uttiṣṭha	utthā	VERB	LEMMA_DIFF	
4.42	12	bhārata	bhārata	nominal	voc/sg/m	bhārata	bhārata	NOUN	OK	
5.01	1	arjunaḥ	arjuna	nominal	nom/sg/m	arjuna	arjuna	NOUN	OK	
5.01	2	uvāca	√vac	verb	sg	uvāca	vac	VERB	OK	
5.01	3	saṁnyāsam	saṁnyāsa	nominal	acc/sg/m	saṃnyāsaṃ	saṃnyāsa	NOUN	OK	
5.01	4	karmaṇām	karman	nominal	gen/pl/n	karmaṇāṃ	karman	NOUN	OK	
5.01	5	kṛṣṇa	kṛṣṇa	nominal	voc/sg/m	kṛṣṇa	kṛṣṇa	NOUN	OK	
ch7248						punar	punar	ADV	UNALIGNED_DCS	extra DCS token
5.01	6	punaḥ	punaḥ	indeclinable					UNALIGNED_GOLD	no DCS token matched
5.01	7	yogam	yoga	nominal	acc/sg/m	yogam	yoga	NOUN	OK	
5.01	8	ca	ca	indeclinable		ca	ca	CONJ	OK	
5.01	9	śaṁsasi	√śaṁs	verb	sg	śaṃsasi	śaṃs	VERB	OK	
5.01	10	yat	yat	pronoun	nom/sg/n	yat	yad	PRON	LEMMA_DIFF	
5.01	11	śreyaḥ	śreyas	nominal	nom/sg/n	śreyaḥ	śreyas	ADJ	OK	
5.01	12	etayoḥ	etat	pronoun	gen/du/m	etayoḥ	etad	PRON	LEMMA_DIFF	
5.01	13	ekam	eka	pronoun	acc/sg/n	ekam	eka	NUM	POS_DIFF	
5.01	14	tat	tat	pronoun	acc/sg/n	tat	tad	PRON	LEMMA_DIFF	
5.01	15	me	asmat	pronoun	dat/sg	me	mad	PRON	LEMMA_DIFF	
5.01	16	brūhi	√brū	verb	sg	brūhi	brū	VERB	OK	
5.01	17	suniścitam	su-niścita	participle	acc/sg/n	su + niścitam	su + niścitam	ADV + ADV	LEMMA_DIFF_POS_DIFF	compound split 2 ways
5.02	1	śrī-bhagavān	śrī-bhagavant	nominal	nom/sg/m	śrī + bhagavān	śrī + bhagavant	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
5.02	2	uvāca	√vac	verb	sg	uvāca	vac	VERB	OK	
5.02	3	saṁnyāsaḥ	saṁnyāsa	nominal	nom/sg/m	saṃnyāsaḥ	saṃnyāsa	NOUN	OK	
5.02	4	karma-yogaḥ	karma-yoga	nominal	nom/sg/m	karma + yogaḥ	karman + yoga	NOUN + NOUN	LEMMA_DIFF	compound split 2 ways
5.02	5	ca	ca	indeclinable		ca	ca	CONJ	OK	
5.02	6	niḥśreyasa-karau	niḥśreyasa-kara	nominal	nom/du/m	niḥśreyasa + karau	niḥśreyasa + kara	NOUN + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
5.02	7	ubhau	ubha	pronoun	nom/du/m	ubhau	ubh	PRON	OK	
5.02	8	tayoḥ	tat	pronoun	gen/du/m	tayoḥ	tad	PRON	LEMMA_DIFF	
5.02	9	tu	tu	indeclinable		tu	tu	PART	OK	
5.02	10	karma-saṁnyāsāt	karma-saṁnyāsa	nominal	abl/sg/m	karma + saṃnyāsāt	karman + saṃnyāsa	NOUN + NOUN	LEMMA_DIFF	compound split 2 ways
5.02	11	karma-yogaḥ	karma-yoga	nominal	nom/sg/m	karma + yogaḥ	karman + yoga	NOUN + NOUN	LEMMA_DIFF	compound split 2 ways
5.02	12	viśiṣyate	vi-√śiṣ	verb	sg	viśiṣyate	viśiṣ	VERB	OK	
5.03	1	jñeyaḥ	jñeya	participle	nom/sg/m	jñeyaḥ	jñā	VERB	LEMMA_DIFF	
ch7248						sa	tad	PRON	UNALIGNED_DCS	extra DCS token
5.03	2	saḥ	tat	pronoun					UNALIGNED_GOLD	no DCS token matched
5.03	3	nitya-saṁnyāsī	nitya-saṁnyāsin	nominal	nom/sg/m	nitya + saṃnyāsī	nitya + saṃnyāsin	ADJ + ADJ	OK_COMPOUND_SPLIT	compound split 2 ways
ch7248						yo	yad	PRON	UNALIGNED_DCS	extra DCS token
5.03	4	yaḥ	yat	pronoun					UNALIGNED_GOLD	no DCS token matched
5.03	5	na	na	indeclinable		na	na	PART	OK	
5.03	6	dveṣṭi	√dviṣ	verb	sg	dveṣṭi	dviṣ	VERB	OK	
5.03	7	na	na	indeclinable		na	na	PART	OK	
5.03	8	kāṅkṣati	√kāṅkṣ	verb	sg	kāṅkṣati	kāṅkṣ	VERB	OK	
ch7248						nirdvaṃdvo	nirdvaṃdva	ADJ	UNALIGNED_DCS	extra DCS token
5.03	9	nirdvaṁdvaḥ	nir-dvaṁdva	nominal					UNALIGNED_GOLD	no DCS token matched
5.03	10	hi	hi	indeclinable		hi	hi	PART	OK	
5.03	11	mahābāho	mahā-bāhu	nominal	voc/sg/m	mahā + bāho	mahat + bāhu	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
5.03	12	sukham	sukham	indeclinable		sukhaṃ	sukham	ADV	OK	
5.03	13	bandhāt	bandha	nominal	abl/sg/m	bandhāt	bandha	NOUN	OK	
5.03	14	pramucyate	pra-√muc	verb	sg	pramucyate	pramuc	VERB	OK	
5.04	1	sāṁkhya-yogau	sāṁkhya-yoga	nominal	acc/du/m	sāṃkhya + yogau	sāṃkhya + yoga	NOUN + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
5.04	2	pṛthak	pṛthak	indeclinable		pṛthak	pṛthak	ADV	OK	
5.04	3	bālāḥ	bāla	nominal	nom/pl/m	bālāḥ	bāla	NOUN	OK	
5.04	4	pravadanti	pra-√vad	verb	pl	pravadanti	pravad	VERB	OK	
5.04	5	na	na	indeclinable		na	na	PART	OK	
5.04	6	paṇḍitāḥ	paṇḍita	nominal	nom/pl/m	paṇḍitāḥ	paṇḍita	NOUN	OK	
5.04	7	ekam	eka	pronoun	acc/sg/n	ekam	eka	NUM	POS_DIFF	
5.04	8	api	api	indeclinable		api	api	PART	OK	
5.04	9	āsthitaḥ	ā-sthita	participle	nom/sg/m	āsthitaḥ	āsthā	VERB	LEMMA_DIFF	
5.04	10	samyak	samyak	indeclinable		samyak	samyak	ADV	OK	
5.04	11	ubhayoḥ	ubha	pronoun	gen/du/m	ubhayoḥ	ubhaya	ADJ	LEMMA_DIFF_POS_DIFF	
5.04	12	vindate	√vid	verb	sg	vindate	vid	VERB	OK	
5.04	13	phalam	phala	nominal	acc/sg/n	phalam	phala	NOUN	OK	
5.05	1	yat	yat	pronoun	acc/sg/n	yat	yad	PRON	LEMMA_DIFF	
5.05	2	sāṁkhyaiḥ	sāṁkhya	nominal	ins/pl/m	sāṃkhyaiḥ	sāṃkhya	NOUN	OK	
5.05	3	prāpyate	pra-√āp	verb	sg	prāpyate	prāp	VERB	LEMMA_DIFF	
5.05	4	sthānam	sthāna	nominal	acc/sg/n	sthānaṃ	sthāna	NOUN	OK	
5.05	5	tat	tat	pronoun	acc/sg/n	tat	tad	PRON	LEMMA_DIFF	
5.05	6	yogaiḥ	yoga	nominal	ins/pl/m	yogaiḥ	yoga	NOUN	OK	
5.05	7	api	api	indeclinable		api	api	PART	OK	
5.05	8	gamyate	√gam	verb	sg	gamyate	gam	VERB	OK	
5.05	9	ekam	eka	pronoun	acc/sg/n	ekaṃ	eka	NUM	POS_DIFF	
5.05	10	sāṁkhyam	sāṁkhya	nominal	acc/sg/n	sāṃkhyaṃ	sāṃkhya	NOUN	OK	
5.05	11	ca	ca	indeclinable		ca	ca	CONJ	OK	
5.05	12	yogam	yoga	nominal	acc/sg/m	yogaṃ	yoga	NOUN	OK	
5.05	13	ca	ca	indeclinable		ca	ca	CONJ	OK	
5.05	14	yaḥ	yat	pronoun	nom/sg/m	yaḥ	yad	PRON	LEMMA_DIFF	
5.05	15	paśyati	√dṛś	verb	sg	paśyati	dṛś	VERB	OK	
ch7248						sa	tad	PRON	UNALIGNED_DCS	extra DCS token
5.05	16	saḥ	tat	pronoun					UNALIGNED_GOLD	no DCS token matched
5.05	17	paśyati	√dṛś	verb	sg	paśyati	dṛś	VERB	OK	
5.06	1	saṁnyāsaḥ	saṁnyāsa	nominal	nom/sg/m	saṃnyāsaḥ	saṃnyāsa	NOUN	OK	
5.06	2	tu	tu	indeclinable		tu	tu	PART	OK	
5.06	3	mahābāho	mahā-bāhu	nominal	voc/sg/m	mahā + bāho	mahat + bāhu	ADJ + NOUN	LEMMA_DIFF	compound split 2 ways
5.06	4	duḥkham	duḥkham	indeclinable		duḥkham	duḥkham	ADV	OK	
5.06	5	āptum	√āp			āptum	āp	VERB	OK	
5.06	6	a-yogataḥ	a-yogataḥ	indeclinable		a + yogataḥ	a + yoga	PART + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
5.06	7	yoga-yuktaḥ	yoga-yukta	nominal	nom/sg/m	yoga + yuktaḥ	yoga + yuj	NOUN + VERB	LEMMA_DIFF	compound split 2 ways
5.06	8	muniḥ	muni	nominal	nom/sg/m	muniḥ	muni	NOUN	OK	
5.06	9	brahma	brahman	nominal	acc/sg/n	brahma	brahman	NOUN	OK	
5.06	10	na-cireṇa	na-cireṇa	indeclinable		nacireṇa	nacireṇa	ADV	OK	
5.06	11	adhigacchati	adhi-√gam	verb	sg	adhigacchati	adhigam	VERB	OK	
5.07	1	yoga-yuktaḥ	yoga-yukta	nominal	nom/sg/m	yoga + yuktaḥ	yoga + yuj	NOUN + VERB	LEMMA_DIFF	compound split 2 ways
5.07	2	viśuddhātmā	viśuddha-ātman	nominal	nom/sg/m	viśuddha + ātmā	viśudh + ātman	VERB + NOUN	LEMMA_DIFF	compound split 2 ways
5.07	3	vijitātmā	vijita-ātman	nominal	nom/sg/m	vijita + ātmā	viji + ātman	VERB + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
5.07	4	jitendriyaḥ	jita-indriya	nominal	nom/sg/m	jita + indriyaḥ	ji + indriya	VERB + NOUN	OK_COMPOUND_SPLIT	compound split 2 ways
ch7248						sarva	sarva	PRON	UNALIGNED_DCS	extra DCS token
ch7248						bhūta	bhūta	NOUN	UNALIGNED_DCS	extra DCS token
ch7248						ātma	ātman	NOUN	UNALIGNED_DCS	extra DCS token
ch7248						bhūta	bhū	VERB	UNALIGNED_DCS	extra DCS token
ch7248						ātmā	ātman	NOUN	UNALIGNED_DCS	extra DCS token
5.07	5	sarva-bhūtātma-bhūtātmā	sarva-bhūta-ātma-bhūta-ātman	nominal					UNALIGNED_GOLD	no DCS token matched
5.07	6	kurvan	kurvant	participle	nom/sg/m	kurvan	kṛ	VERB	LEMMA_DIFF	
5.07	7	api	api	indeclinable		api	api	PART	OK	
5.07	8	na	na	indeclinable		na	na	PART	OK	
5.07	9	lipyate	√lip	verb	sg	lipyate	lip	VERB	OK	
5.08	1	na	na	indeclinable		na	na	PART	OK	
5.08	2	eva	eva	indeclinable		eva	eva	PART	OK	
ch7248						kiṃcid	kaścit	PRON	UNALIGNED_DCS	extra DCS token
5.08	3	kiṁ-cit	kiṁ-cit	pronoun					UNALIGNED_GOLD	no DCS token matched
5.08	4	karomi	√kṛ	verb	sg	karomi	kṛ	VERB	OK	
5.08	5	iti	iti	indeclinable		iti	iti	PART	OK	
ch7248						yukto	yuj	VERB	UNALIGNED_DCS	extra DCS token
5.08	6	yuktaḥ	yukta	participle					UNALIGNED_GOLD	no DCS token matched
5.08	7	manyeta	√man	verb	sg	manyeta	man	VERB	OK	
ch7248						tattva	tattva	NOUN	UNALIGNED_DCS	extra DCS token
ch7248						vid	vid	ADJ	UNALIGNED_DCS	extra DCS token
5.08	8	tattva-vit	tattva-vit	nominal					UNALIGNED_GOLD	no DCS token matched
5.08	9	paśyan	paśyant	participle	nom/sg/m	paśyan	dṛś	VERB	LEMMA_DIFF	
5.08	10	śṛṇvan	śṛṇvant	participle	nom/sg/m	śṛṇvan	śru	VERB	LEMMA_DIFF	
5.08	11	spṛśan	spṛśant	participle	nom/sg/m	spṛśan	spṛś	VERB	OK	
5.08	12	jighran	jighrant	participle	nom/sg	jighran	ghrā	VERB	LEMMA_DIFF	
5.08	13	aśnan	aśnant	participle	nom/sg/m	aśnan	aś	VERB	OK	
5.08	14	gacchan	gacchant	participle	nom/sg/m	gacchan	gam	VERB	LEMMA_DIFF	
5.08	15	svapan	svapant	participle	nom/sg/m	svapan	svap	VERB	OK	
5.08	16	śvasan	śvasant	participle	nom/sg/m	śvasan	śvas	VERB	OK	
