verse	widx	form	lemma	root	pos	case	number	gender	person	tense	voice	nonfinite	derivation	compound	raw_morph
2.64	6	ātma-vaśyaiḥ	ātma-vaśya	√vaś	nominal	ins	pl	n						tatpurusa	3n.3 n.
2.64	7	vidheyātmā	vidheya-ātman	√dhā	nominal	nom	sg	m						bahuvrihi	1n.1 m.
2.64	8	prasādam	prasāda	√sad	nominal	acc	sg	m							2n.1 m.
2.64	9	adhigacchati	adhi-√gam	√gam	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.65	1	prasāde	prasāda	√sad	nominal	loc	sg	m							7n.1 m. loc.abs.
2.65	2	sarva-duḥkhānām	sarva-duḥkha	√sthā;	nominal	gen	pl	n							6n.3 n.
2.65	3	hāniḥ	hāni	√han	nominal	nom	sg	f							1n.1 f.
2.65	4	asya	idam		pronoun	gen	sg	n							sn. 6n.1 n.
2.65	5	upajāyate	upa-√jan	√jan	verb		sg		3	present	atmanepada				Praes. Ā 1v.1
2.65	6	prasanna-cetasaḥ	prasanna-cetas	√sad	nominal	gen	sg	m						bahuvrihi	6n.1 m.
2.65	7	hi	hi		indeclinable										av.
2.65	8	āśu	āśu		indeclinable										av.
2.65	9	buddhiḥ	buddhi	√budh	nominal	nom	sg	f							1n.1 f.
2.65	10	paryavatiṣṭhate	pari-ava-√sthā	√sthā	verb		sg		3	present	atmanepada				Praes. Ā 1v.1
2.66	1	na	na		indeclinable										av.
2.66	2	asti	√as	√as	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.66	3	buddhiḥ	buddhi	√budh	nominal	nom	sg	f							1n.1 f.
2.66	4	ayuktasya	a-yukta	√yuj	participle	gen	sg	m				past-participle			PP 6n.1 m.
2.66	5	na	na		indeclinable										av.
2.66	6	ca	ca		indeclinable										av.
2.66	7	ayuktasya	a-yukta	√yuj	participle	gen	sg	m				past-participle			PP 6n.1 m.
2.66	8	bhāvanā	bhāvanā	√bhū	nominal	nom	sg	f							1n.1 f.
2.66	9	na	na		indeclinable										av.
2.66	10	ca	ca		indeclinable										av.
2.66	11	abhāvayataḥ	a-bhāvayant	√bhū	participle	gen	sg	m				present-participle			PPr 6n.1 m.
2.66	12	śāntiḥ	śānti	√śam	nominal	nom	sg	f							1n.1 f.
2.66	13	aśāntasya	a-śānta	√śam	nominal	gen	sg	m							6n.1 m.
2.66	14	kutaḥ	kutaḥ		indeclinable										av.
2.66	15	sukham	sukha	√sthā;	nominal	acc	sg	n							2n.1 n.
2.67	1	indriyāṇām	indriya	√ind	nominal	gen	pl	n							6n.3 n.
2.67	2	hi	hi		indeclinable										av.
2.67	3	caratām	carant	√car	participle	gen	pl	m				present-participle			PPr 6n.3 m.
2.67	4	yat	yat		pronoun	acc	sg	n							sn. 2n.1 n.
2.67	5	manaḥ	manas	√man	nominal	nom	sg	n							1n.1 n.
2.67	6	anuvidhīyate	anu-vi-√dhā	√dhā	verb		sg		3	present			passive		Praes. pass. 1v.1
2.67	7	tat	tat		pronoun	nom	sg	n							sn. 1n.1 n.
2.67	8	asya	idam		pronoun	gen	sg	n							sn. 6n.1 n.
2.67	9	harati	√hṛ	√hṛ	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.67	10	prajñām	prajñā	√jñā	nominal	acc	sg	f							2n.1 f.
2.67	11	vāyuḥ	vāyu	√vā	nominal	nom	sg	m							1n.1 m.
2.67	12	nāvam	nau		nominal	acc	sg	f							2n.1 f.
2.67	13	iva	iva		indeclinable										av.
2.67	14	ambhasi	ambhas		nominal	loc	sg	n							7n.1 n.
2.68	1	tasmāt	tasmāt		indeclinable										av.
2.68	2	yasya	yat		pronoun	gen	sg	m							sn. 6n.1 m.
2.68	3	mahā-bāho	mahā-bāhu	√mah	nominal	voc	sg	m						bahuvrihi	8n.1 m.
2.68	4	nigṛhītāni	nigṛhīta	√grah	participle	acc	pl	n				past-participle			PP 2n.3 n.
2.68	5	sarvaśaḥ	sarvaśaḥ		indeclinable										av.
2.68	6	indriyāṇi	indriya	√ind	nominal	acc	pl	n							2n.3 n.
2.68	7	indriyārthebhyaḥ	indriya-artha	√ind	nominal	abl	pl	m						tatpurusa	5n.3 m.
2.68	8	tasya	tat		pronoun	gen	sg	m							sn. 6n.1 m.
2.68	9	prajñā	prajñā	√jñā	nominal	nom	sg	f							1n.1 f.
2.68	10	pratiṣṭhitā	prati-ṣṭhita	√sthā	participle	nom	sg	f				past-participle			PP 1n.1 f.
2.69	1	yā	yat		pronoun	nom	sg	f							sn. 1n.1 f.
2.69	2	niśā	niśā		nominal	nom	sg	f							1n.1 f.
2.69	3	sarva-bhūtānām	sarva-bhūta	√bhū	nominal	gen	pl	m							6n.3 m.
2.69	4	tasyām	tat		pronoun	loc	sg	f							sn. 7n.1 f.
2.69	5	jāgarti	√jāgṛ	√jāgṛ	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.69	6	saṁyamī	saṁyamin	√yam	nominal	nom	sg	m							1n.1 m.
2.69	7	yasyām	yat		pronoun	loc	sg	f							sn. 7n.1 f.
2.69	8	jāgrati	√jāgṛ	√jāgṛ	verb		pl		3	present	parasmaipada				Praes. P 1v.3
2.69	9	bhūtāni	bhūta	√bhū	participle	nom	pl	n				past-participle			PP 1n.3 n.
2.69	10	sā	tat		pronoun	nom	sg	f							sn. 1n.1 f.
2.69	11	niśā	niśā		nominal	nom	sg	f							1n.1 f.
2.69	12	paśyataḥ	paśyant	√dṛś	participle	gen	sg					present-participle			PPr 6n.1
2.69	13	muneḥ	muni	√man	nominal	gen	sg	m							6n.1 m.
2.70	1	āpūryamāṇam	āpūryamāṇa	√pṝ	participle	acc	sg	m				present-participle			PPr 2n.1 m.
2.70	2	acala-pratiṣṭham	acala-pratiṣṭha	√cal	nominal	acc	sg	m						bahuvrihi	2n.1 m.
2.70	3	samudram	sam-udra		nominal	acc	sg	m							2n.1 m.
2.70	4	āpaḥ	ap		nominal	nom	pl	f							1n.3 f.
2.70	5	praviśanti	pra-√viś	√viś	verb		pl		3	present	parasmaipada				Praes. P 1v.3
2.70	6	yadvat	yadvat		indeclinable										av.
2.70	7	tadvat	tadvat		indeclinable										av.
2.70	8	kāmāḥ	kāma	√kam	nominal	nom	pl	m							1n.3 m.
2.70	9	yam	yat		pronoun	acc	sg	m							sn. 2n.1 m.
2.70	10	praviśanti	pra-√viś	√viś	verb		pl		3	present	parasmaipada				Praes. P 1v.3
2.70	11	sarve	sarva		pronoun	nom	pl	m							sn. 1n.3 m.
2.70	12	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
2.70	13	śāntim	śānti	√śam	nominal	acc	sg	f							2n.1 f.
2.70	14	āpnoti	√āp	√āp	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.70	15	na	na		indeclinable										av.
2.70	16	kāma-kāmī	kāma-kāmin	√kam	nominal	nom	sg	m						tatpurusa	1n.1 m.
2.71	1	vihāya	vi-√hā	√hā								absolutive			absol.
2.71	2	kāmān	kāma	√kam	nominal	acc	pl	m							2n.3 m.
2.71	3	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
2.71	4	sarvān	sarva		pronoun	acc	pl	m							sn. 2n.3 m.
2.71	5	pumān	puṁs		nominal	nom	sg	m							1n.1 m.
2.71	6	carati	√car	√car	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.71	7	niḥspṛhaḥ	nir-spṛha	√spṛh	nominal	nom	sg	m							1n.1 m.
2.71	8	nirmamaḥ	nir-mama		nominal	nom	sg	m							1n.1 m.
2.71	9	nirahaṁkāraḥ	nir-ahaṁ-kāra	√kṛ	nominal	nom	sg	m							1n.1 m.
2.71	10	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
2.71	11	śāntim	śānti	√śam	nominal	acc	sg	f							2n.1 f.
2.71	12	adhigacchati	adhi-√gam	√gam	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.72	1	eṣā	etat		pronoun	nom	sg	f							sn. 1n.1 f.
2.72	2	brāhmī	brāhmī	√bṛh	nominal	nom	sg	f							1n.1 f.
2.72	3	sthitiḥ	sthiti	√sthā	nominal	nom	sg	f							1n.1 f.
2.72	4	pārtha	pārtha	√pṛth	nominal	voc	sg	m							8n.1 m.
2.72	5	na	na		indeclinable										av.
2.72	6	enām	etat		pronoun	acc	sg	f							sn. 2n.1 f.
2.72	7	prāpya	pra-√āp	√āp								absolutive			absol.
2.72	8	vimuhyati	vi-√muh	√muh	verb		sg		3	present	parasmaipada				Praes. P 1v.1
2.72	9	sthitvā	√sthā	√sthā								absolutive			absol.
2.72	10	asyām	idam		pronoun	loc	sg	f							sn. 7n.1 f.
2.72	11	anta-kāle	anta-kāla	√kal	nominal	loc	sg	m						tatpurusa	7n.1 m.
2.72	12	api	api		indeclinable										av.
2.72	13	brahma-nirvāṇam	brahma-nirvāṇa	√bṛh	nominal	acc	sg	n						tatpurusa	2n.1 n.
2.72	14	ṛcchati	√ṛ	√ṛ	verb		sg		3	present	parasmaipada				Praes. P 1v.1
3.01	1	arjunaḥ	arjuna		nominal	nom	sg	m							1n.1 m.
3.01	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
3.01	3	jyāyasī	jyāyasī	√ji	nominal	nom	sg	f							1n.1 f.
3.01	4	cet	cet		indeclinable										av.
3.01	5	karmaṇaḥ	karman	√kṛ	nominal	abl	sg	n							5n.1 n.
3.01	6	te	yuṣmat		pronoun	gen	sg								sn. 6n.1
3.01	7	matā	matā	√man	participle	nom	sg	f				past-participle			PP 1n.1 f.
3.01	8	buddhiḥ	buddhi	√budh	nominal	nom	sg	f							1n.1 f.
3.01	9	janārdana	jana-ardana	√jan	nominal	voc	sg	m							8n.1 m.
3.01	10	tat	tat		pronoun	nom	sg	n							sn. 1n.1 n.
3.01	11	kim	kim		indeclinable										av.
3.01	12	karmaṇi	karman	√kṛ	nominal	loc	sg	n							7n.1 n.
3.01	13	ghore	ghora	√ghur	nominal	loc	sg	n							7n.1 n.
3.01	14	mām	asmat		pronoun	acc	sg								sn. 2n.1
3.01	15	niyojayasi	ni-√yuj	√yuj	verb		sg		2	present	parasmaipada		causative		Praes. caus. P 2v.1
3.01	17	keśava	keśa-va	√xīś	nominal	voc	sg	m							8n.1 m.
3.02	1	vyāmiśreṇa	vi-ā-miśra	√miśr	nominal	ins	sg	n							3n.1 n.
3.02	2	eva	eva		indeclinable										av.
3.02	3	vākyena	vākya	√vac	participle	ins	sg	n				future-participle			PF 3n.1 n.
3.02	4	buddhim	buddhi	√budh	nominal	acc	sg	f							2n.1 f.
3.02	5	mohayasi	√muh	√muh	verb		sg		2	present	parasmaipada		causative		Praes. caus. P 2v.1
3.02	6	iva	iva		indeclinable										av.
3.02	7	me	asmat		pronoun	gen	sg								sn. 6n.1
3.02	8	tat	tat		pronoun	acc	sg	n							sn. 2n.1 n.
3.02	9	ekam	eka		pronoun	acc	sg	n							sn. 2n.1 n.
3.02	10	vada	√vad	√vad	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
3.02	11	niścitya	niḥ-√ci	√ci								absolutive			absol.
3.02	12	yena	yat		pronoun	ins	sg	n							sn. 3n.1 n.
3.02	13	śreyaḥ	śreyas		nominal	acc	sg	n							2n.1 n.
3.02	14	aham	asmat		pronoun	nom	sg								sn. 1n.1
3.02	15	āpnuyām	√āp	√āp	verb		sg		1	optative	parasmaipada				Pot. P 3v.1
3.03	1	śrī-bhagavān	śrī-bhagavant	√bhaj	nominal	nom	sg	m						tatpurusa	1n.1 m.
3.03	2	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
3.03	3	loke	loka		nominal	loc	sg	m							7n.1 m.
3.03	4	asmin	idam		pronoun	loc	sg	m							sn. 7n.1 m.
3.03	5	dvi-vidhā	dvi-vidhā	√dhā	nominal	nom	sg	f							1n.1 f.
3.03	6	niṣṭhā	ni-ṣṭhā	√sthā	nominal	nom	sg	f							1n.1 f.
3.03	7	purā	purā	√pur	indeclinable										av.
3.03	8	proktā	proktā	√vac	participle	nom	sg	f				past-participle			PP 1n.1 f.
3.03	9	mayā	asmat		pronoun	ins	sg								sn. 3n.1
3.03	10	anagha	an-agha		nominal	voc	sg	m							8n.1 m.
3.03	11	jñāna-yogena	jñāna-yoga	√jñā	nominal	ins	sg	m						tatpurusa	3n.1 m.
3.03	12	sāṁkhyānām	sāṁkhya	√khyā	nominal	gen	pl	m							6n.3 m.
3.03	13	karma-yogena	karma-yoga	√kṛ	nominal	ins	sg	m						tatpurusa	3n.1 m.
3.03	14	yoginām	yogin	√yuj	nominal	gen	pl	m							6n.3 m.
3.04	1	na	na		indeclinable										av.
3.04	2	karmaṇām	karman	√kṛ	nominal	gen	pl	n							6n.3 n.
3.04	3	anārambhāt	an-ārambha	√rabh	nominal	abl	sg	m							5n.1 m.
3.04	4	naiṣkarmyam	naiṣ-karmya	√kṛ	nominal	acc	sg	n							2n.1 n.
3.04	5	puruṣaḥ	puruṣa	√pur	nominal	nom	sg	m							1n.1 m.
3.04	6	aśnute	√aś	√aś	verb		sg		3	present	atmanepada				Praes. Ā 1v.1
3.04	7	na	na		indeclinable										av.
3.04	8	ca	ca		indeclinable										av.
3.04	9	saṁnyasanād	saṁnyasana	√as	nominal	abl	sg	n							5n.1 n.
3.04	10	eva	eva		indeclinable										av.
3.04	11	siddhim	siddhi	√sidh	nominal	acc	sg	f							2n.1 f.
3.04	12	sam-adhi-gacchati	sam-adhi-√gam	√gam	verb		sg		3	present	parasmaipada				Praes. P 1v.1
3.05	1	na	na		indeclinable										av.
3.05	2	hi	hi		indeclinable										av.
3.05	3	kaś-cit	kim-cit		pronoun	nom	sg	m							sn. 1n.1 m.
3.05	4	kṣaṇam	kṣaṇa	√kṣan	nominal	acc	sg	n							2n.1 n.
3.05	5	api	api		indeclinable										av.
3.05	6	jātu	jātu		indeclinable										av.
3.05	7	tiṣṭhati	√sthā	√sthā	verb		sg		3		parasmaipada				Praes P 1v.1
3.05	8	akarma-kṛt	a-karma-kṛt	√kṛ	nominal	nom	sg	m							1n.1 m.
3.05	9	kāryate	√kṛ	√kṛ	verb		sg		3	present			passive		Praes. caus. pass. 1v.1
3.05	10	hi	hi		indeclinable										av.
3.05	11	avaśaḥ	avaśa	√vaś	nominal	nom	sg	m							1n.1 m.
3.05	12	karma	karman	√kṛ	nominal	acc	sg	n							2n.1 n.
3.05	13	sarvaḥ	sarva		pronoun	nom	sg	m							sn. 1n.1 m.
3.05	14	prakṛti-jaiḥ	prakṛti-ja	√kṛ	nominal	ins	pl	m							3n.3 m.
3.05	15	guṇaiḥ	guṇa	√grah	nominal	ins	pl	m							3n.3 m.
3.06	1	karmendriyāṇi	karma-indriya	√kṛ	nominal	acc	pl	n						tatpurusa	2n.3 n.
3.06	2	saṁyamya	sam-√yam	√yam								absolutive			absol.
3.06	3	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
3.06	4	āste	√ās	√ās	verb		sg		3		atmanepada				Praes Ā 1v.1
3.06	5	manasā	manas	√man	nominal	ins	sg	n							3n.1 n.
3.06	6	smaran	smarant	√smṛ	participle	nom	sg	m				present-participle			PPr 1n.1 m.
3.06	7	indriyārthān	indriya-artha	√ind	nominal	acc	pl	m						tatpurusa	2n.3 m.
3.06	8	vimūḍhātmā	vi-mūḍha-ātman	√muh	nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.06	9	mithyācāraḥ	mithyā-ācāra	√car	nominal	nom	sg	m							1n.1 m.
3.06	10	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
3.06	11	ucyate	√vac	√vac	verb		sg		3	present			passive		Praes. pass. 1v.1
3.07	1	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
3.07	2	tu	tu		indeclinable										av.
3.07	3	indriyāṇi	indriya	√ind	nominal	acc	pl	n							2n.3 n.
3.07	4	manasā	manas	√man	nominal	ins	sg	n							3n.1 n.
3.07	5	niyamya	ni-√yam	√yam								absolutive			absol.
3.07	6	ārabhate	ā-√rabh	√rabh	verb		sg		3		atmanepada				Praes Ā 1v.1
3.07	7	arjuna	arjuna		nominal	voc	sg	m							8n.1 m.
3.07	8	karmendriyaiḥ	karma-indriya	√kṛ	nominal	ins	pl	n						tatpurusa	3n.3 n.
3.07	9	karma-yogam	karma-yoga	√kṛ	nominal	acc	sg	m						tatpurusa	2n.1 m.
3.07	10	asaktaḥ	a-sakta	√sañj	participle	nom	sg	m				past-participle			PP 1n.1 m.
3.07	11	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
3.07	12	viśiṣyate	vi-√śiṣ	√śiṣ	verb		sg		3	present			passive		Praes. pass. 1v.1
3.08	1	niyatam	niyata	√yam	participle	acc	sg	n				past-participle			PP 2n.1 n.
3.08	2	kuru	√kṛ	√kṛ	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
3.08	3	karma	karman	√kṛ	nominal	acc	sg	n							2n.1 n.
3.08	4	tvam	yuṣmat		pronoun	nom	sg								sn. 1n.1
3.08	5	karma	karman	√kṛ	nominal	nom	sg	n							1n.1 n.
3.08	6	jyāyaḥ	jyāyaḥ	√ji	nominal	nom	sg	n							1n.1 n.
3.08	7	hi	hi		indeclinable										av.
3.08	8	akarmaṇaḥ	a-karman	√kṛ	nominal	abl	sg	n							5n.1 n.
3.08	9	śarīra-yātrā	śarīra-yātrā	√śṝ	nominal	nom	sg	f						tatpurusa	1n.1 f.
3.08	10	api	api		indeclinable										av.
3.08	11	ca	ca		indeclinable										av.
3.08	12	te	yuṣmat		pronoun	gen	sg								sn. 6n.1
3.08	13	na	na		indeclinable										av.
3.08	14	prasidhyet	pra-√sidh	√sidh	verb		sg		3	optative	parasmaipada				Pot. P 1v.1
3.08	15	akarmaṇaḥ	a-karman	√kṛ	nominal	abl	sg	n							5n.1 n.
3.09	1	yajñārthāt	yajña-artha	√yaj	nominal	abl	sg	n						bahuvrihi	5n.1 n.
3.09	2	karmaṇaḥ	karman	√kṛ	nominal	abl	sg	n							5n.1 n.
3.09	3	anyatra	anyatra		indeclinable										av.
3.09	4	lokaḥ	loka		nominal	nom	sg	m							1n.1 m.
3.09	5	ayam	idam		pronoun	nom	sg	m							sn. 1n.1 m.
3.09	6	karma-bandhanaḥ	karma-bandhana	√kṛ	nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.09	7	tad-artham	tad-artham	√arth	indeclinable										av.
3.09	8	karma	karman	√kṛ	nominal	nom	sg	n							1n.1 n.
3.09	9	kaunteya	kaunteya		nominal	voc	sg	m							8n.1 m.
3.09	10	mukta-saṅgaḥ	mukta-saṅga	√muc				m						bahuvrihi	1n.1m.
3.09	11	samācara	sam-ā-√car	√car	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
3.10	1	saha-yajñāḥ	saha-yajña	√yaj	nominal	acc	pl	f						bahuvrihi	2n.3 f.
3.10	2	prajāḥ	pra-jā	√jan	nominal	acc	pl	f							2n.3 f.
3.10	3	sṛṣṭvā	√sṛj	√sṛj								absolutive			absol.
3.10	4	purā	purā	√pur	indeclinable										av.
3.10	5	uvāca	√vac	√vac	verb		sg		3	perfect	parasmaipada				Perf. P 1v.1
3.10	6	prajā-patiḥ	prajā-pati	√jan	nominal	nom	sg	m							1n.1 m.
3.10	7	anena	idam		pronoun	ins	sg	m							sn. 3n.1 m.
3.10	8	prasaviṣyadhvam	pra-√sū	√sū	verb		pl		2	imperative	atmanepada				Fut. Imperat. Ā 2v.3
3.10	9	eṣaḥ	etad		pronoun	nom	sg	m							sn. 1n.1 m.
3.10	10	vaḥ	yuṣmat		pronoun	gen	pl								sn. 6n.3
3.10	11	astu	√as	√as	verb		sg		3	imperative	parasmaipada				Imperat. P 1v.1
3.10	12	iṣṭa-kāma-dhuk	iṣṭa-kāma-duḥ	√iṣ	nominal	nom	sg	m							1n.1 m.
3.11	1	devān	deva	√div	nominal	acc	pl	m							2n.3 m.
3.11	2	bhāvayata	√bhū	√bhū	verb		pl		2	imperative	parasmaipada		causative		Imperat. caus. P 2v.3
3.11	3	anena	idam		pronoun	ins	sg	m							sn. 3n.1 m.
3.11	4	te	tat		pronoun	nom	pl	m							sn. 1n.3 m.
3.11	5	devāḥ	deva	√div	nominal	nom	pl	m							1n.3 m.
3.11	6	bhāvayantu	√bhū	√bhū	verb		pl		3	imperative	parasmaipada		causative		Imperat. caus. P 1v.3
3.11	7	vaḥ	yuṣmat		pronoun	acc	pl								sn. 2n.3
3.11	8	paras-param	paras-param		indeclinable										av.
3.11	9	bhāvayantaḥ	bhāvayant	√bhū	participle	nom	pl	m				present-participle			PPr 1n.3 m.
3.11	10	śreyaḥ	śreyas		nominal	acc	sg	n							2n.1 n.
3.11	11	param	para		nominal	acc	sg	n							2n.1 n.
3.11	12	avāpsyatha	ava-√āp	√āp	verb		pl		2	future	atmanepada				Fut. Ā 2v.3
3.12	1	iṣṭān	iṣṭa	√iṣ	participle	acc	pl	m				past-participle			PP 2n.3 m.
3.12	2	bhogān	bhoga	√bhuj	nominal	acc	pl	m							2n.3 m.
3.12	3	hi	hi		indeclinable										av.
3.12	4	vaḥ	yuṣmat		pronoun										sn. 4i.3x
3.12	5	devāḥ	deva	√div	nominal	nom	pl	m							1n.3 m.
3.12	6	dāsyante	√dā	√dā	verb		pl		3	future	atmanepada				Fut. Ā 1v.3
3.12	7	yajña-bhāvitāḥ	yajña-bhāvita	√yaj	nominal	nom	pl	m							1n.3 m.
3.12	8	taiḥ	tat		pronoun	ins	pl	m							sn. 3n.3 m.
3.12	9	dattān	datta	√dā	participle	acc	pl	m				past-participle			PP 2n.3 m.
3.12	10	apradāya	pra-√dā	√dā								absolutive			absol.
3.12	11	ebhyaḥ	idam		pronoun			m							sn. 4i.3x m.
3.12	12	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
3.12	13	bhuṅkte	√bhuj	√bhuj	verb		sg		3	present	atmanepada				Praes. Ā 1v.1
3.12	14	stenaḥ	stena		nominal	nom	sg	m							1n.1 m.
3.12	15	eva	eva		indeclinable										av.
3.12	16	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
3.13	1	yajña-śiṣṭāśinaḥ	yajña-śiṣṭa-āśin	√yaj	nominal	nom	pl	m						tatpurusa	1n.3 m.
3.13	2	santaḥ	sant	√as	participle	nom	pl	m				present-participle			PPr 1n.3 m.
3.13	3	mucyante	√muc	√muc	verb		pl		3	present			passive		Praes. pass. 1v.3
3.13	4	sarva-kilbiṣaiḥ	sarva-kilbiṣa		nominal	ins	pl	n							3n.3 n.
3.13	5	bhuñjate	√bhuj	√bhuj	verb		pl		3	present	atmanepada				Praes. Ā 1v.3
3.13	6	te	tat		pronoun	nom	pl	m							sn. 1n.3 m.
3.13	7	tu	tu		indeclinable										av.
3.13	8	agham	agha		nominal	acc	sg	n							2n.1 n.
3.13	9	pāpāḥ	pāpa		nominal	nom	pl	m							1n.3 m.
3.13	10	ye	yat		pronoun	nom	pl	m							sn. 1n.3 m.
3.13	11	pacanti	√pac	√pac	verb		pl		3	present	parasmaipada				Praes. P 1v.3
3.13	12	ātma-kāraṇāt	ātma-kāraṇa	√kṛ	nominal	abl	sg	n						tatpurusa	5n.1 n.
3.14	1	annāt	anna	√ad	participle	abl	sg	n				past-participle			PP 5n.1 n.
3.14	2	bhavanti	√bhū	√bhū	verb		pl		3	present	parasmaipada				Praes. P 1v.3
3.14	3	bhūtāni	bhūta	√bhū	participle	nom	pl	n				past-participle			PP 1n.3 n.
3.14	4	parjanyāt	parjanya	√pṛc	nominal	abl	sg	m							5n.1 m.
3.14	5	anna-saṁbhavaḥ	anna-saṁbhava	√ad	nominal	nom	sg	m						tatpurusa	1n.1 m.
3.14	6	yajñāt	yajña	√yaj	nominal	abl	sg	m							5n.1 m.
3.14	7	bhavati	√bhū	√bhū	verb		sg		3	present	parasmaipada				Praes. P 1v.1
3.14	8	parjanyaḥ	parjanya	√pṛc	nominal	nom	sg	m							1n.1 m.
3.14	9	yajñaḥ	yajña	√yaj	nominal	nom	sg	m							1n.1 m.
3.14	10	karma-samudbhavaḥ	karma-samudbhava	√kṛ	nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.15	1	karma	karman	√kṛ	nominal	acc	sg	n							2n.1 n.
3.15	2	brahmodbhavam	brahma-udbhava	√bṛh	nominal	acc	sg	n							2n.1 n.
3.15	3	viddhi	√vid	√vid	verb		sg		2	imperative	parasmaipada				Imperat. P 2v.1
3.15	4	brahma	brahman	√bṛh	nominal	acc	sg	n							2n.1 n.
3.15	5	akṣara-samudbhavam	a-kṣara-samudbhava	√kṣar	nominal	acc	sg	m						bahuvrihi	2n.1 m.
3.15	6	tasmāt	tasmāt		indeclinable										av.
3.15	7	sarva-gatam	sarva-gata	√gam	nominal	nom	sg	n						tatpurusa	1n.1 n.
3.15	8	brahma	brahman	√bṛh	nominal	nom	sg	n							1n.1 n.
3.15	9	nityam	nityam		indeclinable										av.
3.15	10	yajñe	yajña	√yaj	nominal	loc	sg	m							7n.1 m.
3.15	11	pratiṣṭhitam	pratiṣṭhita	√sthā	participle	nom	sg	f				past-participle			PP 1n.1 f.
3.16	1	evam	evam		indeclinable										av.
3.16	2	pravartitam	pravartita	√vṛt	participle	acc	sg	n				past-participle	causative		caus. PP 2n.1 n.
3.16	3	cakram	cakra	√car	nominal	acc	sg	n							2n.1 n.
3.16	4	na	na		indeclinable										av.
3.16	5	anuvartayati	anu-√vṛt	√vṛt	verb		sg		3	present	parasmaipada		causative		Praes. caus. P 1v.1
3.16	6	iha	iha		indeclinable										av.
3.16	7	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
3.16	8	aghāyuḥ	agha-āyuḥ		nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.16	9	indriyārāmaḥ	indriya-ārāma	√ind	nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.16	10	mogham	mogham		indeclinable										av.
3.16	11	pārtha	pārtha	√pṛth	nominal	voc	sg	m							8n.1 m.
3.16	12	saḥ	tat		pronoun	nom	sg	m							sn. 1n.1 m.
3.16	13	jīvati	√jīv	√jīv	verb		sg		3		parasmaipada				Praes P 1v.1
3.17	1	yaḥ	yat		pronoun	nom	sg	m							sn. 1n.1 m.
3.17	2	tu	tu		indeclinable										av.
3.17	3	ātma-ratiḥ	ātma-rati	√ram	nominal	nom	sg	m						bahuvrihi	1n.1 m.
3.17	4	eva	eva		indeclinable										av.
3.17	5	syāt	√as	√as	verb		sg		3	optative	parasmaipada				Pot. P 1v.1
3.17	6	ātma-tṛptaḥ	ātma-tṛpta	√tṛp	nominal	nom	sg	m						tatpurusa	1n.1 m.
3.17	7	ca	ca		indeclinable										av.
3.17	8	mānavaḥ	mānava	√man	nominal	nom	sg	m							1n.1 m.
3.17	9	ātmani	ātman		nominal	loc	sg	m							7n.1 m.
3.17	10	eva	eva		indeclinable										av.
3.17	11	ca	ca		indeclinable										av.
3.17	12	saṁtuṣṭaḥ	saṁtuṣṭa	√tuṣ	participle	nom	sg	m				past-participle			PP 1n.1 m.
3.17	13	tasya	tat		pronoun	gen	sg	m							sn. 6n.1 m.
3.17	14	kāryam	kārya	√kṛ	participle	nom	sg	n				future-participle			PF 1n.1 n.
3.17	15	na	na		indeclinable										av.
3.17	16	vidyate	√vid	√vid	verb		sg		3	present	atmanepada				Praes. Ā 1v.1
3.18	1	na	na		indeclinable										av.
3.18	2	eva	eva		indeclinable										av.
3.18	3	tasya	tat		pronoun	gen	sg	m							sn. 6n.1 m.
3.18	4	kṛtena	kṛta	√kṛ	participle	ins	sg	n				past-participle			PP 3n.1 n.
3.18	5	arthaḥ	artha	√arth	nominal	nom	sg	m							1n.1 m.
3.18	6	na	na		indeclinable										av.
