verse	lemma	devanagari	iast	form_type	code	tense	pada	vclass	root	root_tr	prefix	stem_end	gender	compound	mark	rule	sandhi	verse_iast	gloss_en	gloss_ru
4.32	tat	तान्	tān		2n.3 m.	sn.						t	m						them	их
4.32	sarva	सर्वान्	sarvān		2n.3 n.	sn.						a	n						all	всех
4.32	evam	एवम्	evam			av.										m	m j → ṃ j		thus	так
4.32	√jñā	ज्ञात्वा	jñātvā			absol.			√jñā										after understanding	познав
4.32	vi-√muc	विमोक्ष्यसे	vimokṣyase		2v.1	Fut. pass.			√muc										you will be liberated	освободишься.
4.33	śreyas	श्रेयान्	śreyān		1n.1 m.							s	m					śreyān dravya-mayād yajñāj jñāna-yajñaḥ paraṃtapa	better, higher, perfect, the auspiciousness, the welfare	лучше
4.33	dravya-maya	द्रव्यमयात्	dravya-mayāt		5n.1 m.							a	m			t1	t y → d y		from that made of things	материальной собственности
4.33	yajña	यज्ञात्	yajñāt		5n.1 m.				√yaj			a	m			t2	t j → j j		from sacrifice, from worship	принесения в жертву
4.33	jñāna-yajña	ज्ञानयज्ञः	jñāna-yajñaḥ		1n.1 m.				√jñā			a	m	TP					sacrifice through knowledge	жертвоприношение, совершаемое с помощью знания
4.33	param-tapa	परञ्तप​	paraṁtapa		8n.1 m.				√tap			a	m						one who torments enemies	о покоритель врагов
4.33	sarva	सर्वम्	sarvam		1n.1 n.	sn.						a	n			m	m k → ṃ k	sarvaṃ karmākhilaṃ pārtha jñāne parisamāpyate	all, whole	вся
4.33	karman	कर्म​	karma		1n.1 n.				√kṛ			an	n			v1	a a → ā		activity	видов деятельности
4.33	a-khila	अखिलम्	akhilam		1n.1 n.							a	n			m	m p → ṃ p		whole, complete, without a gap	совокупность
4.33	pārtha	पार्थ​	pārtha		8n.1 m.				√pṛth			a	m						O son of Pṛthā	о сын Притхи
4.33	jñāna	ज्ञाने	jñāne		7n.1 n.				√jñā			a	n						in knwledge, in wisdom	в знании
4.33	pari-sam-√āp	परिसमाप्यते	parisamāpyate		1v.1	Praes. pass.			√āp										it is completed, it is contained	завершается.
4.34	tat	तत्	tat		2n.1 n.	sn.						t	n			t1	t v → d v	tad viddhi praṇipātena paripraśnena sevayā	that	то (знание о различных видах жертвоприношений)
4.34	√vid	विद्धि	viddhi		2v.1	Imperat. P			√vid										you must know	познай
4.34	pra-ṇi-pāta	प्रणिपातेन​	praṇipātena		3n.1 m.	PP			√pat			a	m						by falling down before the feet, by bowing down	обращением к духовному учителю
4.34	pari-praśna	परिप्रश्नेन​	paripraśnena		3n.1 m.				√prach			a	m						by asking	смиренными вопросами
4.34	sevā	सेवया	sevayā		3n.1 f.				√sev			ā	f						by serving	служением
4.34	upa-√diś	उपदेक्ष्यन्ति	upadekṣyanti		1v.3	Fut. P			√diś									upadekṣyanti te jñānaṃ jñāninas tattva-darśinaḥ	they will instruct, they will explain	посвятят
4.34	yuṣmat	ते	te		4n.1	sn.						t							to you	тебя
4.34	jñāna	ज्ञानम्	jñānam		2n.1 n.				√jñā			a	n			m	m j → ṃ j		knowledge, wisdom	в знание
4.34	jñānin	ज्ञानिनः	jñāninaḥ		1n.3 m.				√jñā			in	m			h5	ḥ t → s t		the wise persons	осознавшие себя
4.34	tattva-darśin	तत्त्वदर्शिनः	tattva-darśinaḥ		1n.3 m.				√dṛś			in	m	TP					those who see the truth	истину-те, кто видит.
4.35	yat	यत्	yat		2n.1 n.	sn.						t	n			t2	t j → j j	yaj jñātvā na punar moham evaṃ yāsyasi pāṇḍava	that which	которое
4.35	√jñā	ज्ञात्वा	jñātvā			absol.			√jñā										after understanding	познав
4.35	na	न​	na			av.													not	не
4.35	punaḥ	पुनः	punaḥ			av.										h4	ḥ m → r m		back, again	вновь
4.35	moha	मोहम्	moham		2n.1 m.				√muh			a	m						bewilderment, confusion	в иллюзию
4.35	evam	एवम्	evam			av.										m	m y → ṃ y		thus	эту
4.35	√yā	यास्यसि	yāsyasi		2v.1	Fut. P			√yā										you will attain	впадешь
4.35	pāṇḍava	पाण्डव​	pāṇḍava		8n.1 m.							a	m						O son of Pāṇḍu	о сын Панду
4.35	yat	येन​	yena		3n.1 n.	sn.						t	n					yena bhūtāny aśeṣeṇa drakṣyasy ātmany atho mayi	that by which, wherefore	которым
4.35	bhūta	भूतानि	bhūtāni		2n.3 n.	PP			√bhū			a	n			v7	i a → y a		beings, creatures	живые существа
4.35	aśeṣeṇa	अशेषेण​	aśeṣeṇa			av.			√śiṣ										completely, without remainder	все
4.35	√dṛś	द्रक्ष्यसि	drakṣyasi		2v.1	Fut. P			√dṛś							v7	i ā → y ā		you will see	увидишь
4.35	ātman	आत्मनि	ātmani		7n.1 m.							an	m			v7	i ā → y ā		in the self	в Высшей Душе
4.35	atho	अथो	atho			av.													now, likewise, next, therefore	иными словами
4.35	asmat	मयि	mayi		7n.1	sn.						t							in me	во Мне.
4.36	api	अपि	api			av.												api ced asi pāpebhyaḥ sarvebhyaḥ pāpa-kṛttamaḥ	although, moreover, besides, even	даже
4.36	cet	चेत्	cet			av.										t1	t a → d a		if	если
4.36	√as	असि	asi		2v.1	Praes. P			√as										you are	являешься
4.36	pāpa	पापेभ्यः	pāpebhyaḥ		6n.3 m.							a	m						among the sinners	из грешников
4.36	sarva	सर्वेभ्यः	sarvebhyaḥ		6n.3 n.	sn.						a	n						among all	всех
4.36	pāpa-kṛttama	पापकृत्तमः	pāpa-kṛttamaḥ		1n.1 m.				√kṛ			a	m						the greatest sinner	величайший грешник
4.36	sarva	सर्वम्	sarvam		2n.1 n.	sn.						a	n			m	m j → ṃ j	sarvaṃ jñāna-plavenaiva vṛjinaṃ saṃtariṣyasi	all, whole	все эти грехи
4.36	jñāna-plava	ज्ञानप्लवेन​	jñāna-plavena		3n.1 m.				√jñā			a	m	TP		v6	a e → ai		with the boat of knowledge	на корабле духовного знания
4.36	eva	एव​	eva			av.													certainly, just, merely	конечно
4.36	vṛjina	वृजिनम्	vṛjinam		2n.1 n.				√vṛj			a	n			m	m s → ṃ s		bent, crooked	океан страданий
4.36	sam-√tṝ	सञ्तरिष्यसि	saṁtariṣyasi		2v.1	Fut. P			√tṝ										you will cross over	пересечешь.
4.37	yathā	यथा	yathā			av.						ā				v6	ā e → ai	yathaidhāṃsi samiddho ‘gnir bhasmasāt kurute ‘rjuna	as	как
4.37	edhas	एधाञ्सि	edhāṁsi		2n.3 n.							s	n						fuel	дрова
4.37	samiddha	समिद्धः	samiddhaḥ		1n.1 m.	PP			√indh			a	m			h2	aḥ a → o '		blazing	ярко горящий
4.37	agni	अग्निः	agniḥ		1n.1 m.				√ag			i	m			h4	ḥ b → r b		fire	огонь
4.37	bhasmasāt	भस्मसात्	bhasmasāt			av.			√bhas										into ashes	в пепел
4.37	kṛ	कुरुते	kurute		1v.1	Praes. A						ṛ				v2	e a → e '		he does	превращает
4.37	arjuna	अर्जुन​	arjuna		8n.1 m.							a	m						white, clear, O Arjuna	о Арджуна
4.37	jñāna-agni	ज्ञानाग्निः	jñānāgniḥ		1n.1 m.				√jñā			i	m	TP				jñānāgniḥ sarva-karmāṇi bhasmasāt kurute tathā	fire of knowledge	огонь знания
4.37	sarva-karman	सर्वकर्माणि	sarva-karmāṇi		2n.3 n.				√kṛ			an	n	TP					all activities	все последствия материальной деятельности
4.37	bhasmasāt	भस्मसात्	bhasmasāt			av.			√bhas										into ashes	в пепел
4.37	kṛ	कुरुते	kurute		1v.1	Praes. A						ṛ							he does	превращает
4.37	tathā	तथा	tathā			av.						ā							in that manner, so, in like manner	также.
4.38	na	न​	na			av.												na hi jñānena sadṛśaṃ pavitram iha vidyate	not	не
4.38	hi	हि	hi			av.													because, just, indeed, surely	безусловно
4.38	jñāna	ज्ञानेन​	jñānena		3n.1 n.				√jñā			a	n						as knowledge, as wisdom	с этим знанием
4.38	sa-dṛśa	सदृशम्	sadṛśam		1n.1 n.				√dṛś			a	n			m	m p → ṃ p		similar to	сравнимое
4.38	pavitra	पवित्रम्	pavitram		1n.1 n.				√pū			a	n						means of purification, purity	освященное
4.38	iha	इह​	iha			av.													here	в этом мире
4.38	√vid	विद्यते	vidyate		1v.1	Praes. A			√vid										it is	существует
4.38	tat	तत्	tat		2n.1 n.	sn.						t	n					tat svayaṃ yoga-saṃsiddhaḥ kālenātmani vindati	that	то
4.38	svayam	स्वयम्	svayam			av.										m	m y → ṃ y		personally, on one’s own	сам
4.38	yoga-saṁsiddha	योगसञ्सिद्धः	yoga-saṁsiddhaḥ		1n.1 m.				√yuj			a	m						one perfected in yoga	в преданном служении-достигший зрелости
4.38	kāla	कालेन​	kālena		3n.1 m.							a	m			v1	a ā → ā		by time	со временем
4.38	ātman	आत्मनि	ātmani		7n.1 m.							an	m						in the self	в себе
4.38	√vid	विन्दति	vindati		1v.1	Praes. P			√vid										he obtains, he finds	испытывает.
4.39	śraddhā-vant	श्रद्धावान्	śraddhā-vān		1n.1 m.				√dhā			t	m			n2	n l → ṃl l	śraddhāvāṃl labhate jñānaṃ tat-paraḥ saṃyatendriyaḥ	who has faith	человек, обладающий верой
4.39	√labh	लभते	labhate		1v.1	Praes. A			√labh										he obtains	обретает
4.39	jñāna	ज्ञानम्	jñānam		2n.1 n.				√jñā			a	n			m	m t → ṃ t		knowledge, wisdom	знание
4.39	tat-para	तत्परः	tat-paraḥ		1n.1 m.							a	m						one for whom the supreme [object] is that	стремящийся обрести его
4.39	saṁyata-indriya	सञ्यतेन्द्रियः	saṁyatendriyaḥ		1n.1 m.				√yam			a	m	BV					whose senses are controlled	обузданы-тот, чьи чувства
4.39	jñāna	ज्ञानम्	jñānam		2n.1 n.				√jñā			a	n			m	m l → ṃ l	jñānaṃ labdhvā parāṃ śāntim acireṇādhigacchati	knowledge, wisdom	знание
4.39	√labh	लब्ध्वा	labdhvā			absol.			√labh										after obtaining	получив
4.39	para	पराम्	parām		2n.1 f.							a	f			m	m ś → ṃ ś		distant, final, the best, the supreme	трансцендентный
4.39	śānti	शान्तिम्	śāntim		2n.1 f.				√śam			i	f						tranquility, peace, satisfaction, end, death	покой
4.39	a-cireṇa	अचिरेण​	a-cireṇa			av.						a				v1	a a → ā		speedily, not for long	очень скоро
4.39	adhi-√gam	अधिगच्छति	adhigacchati		1v.1	Praes. P			√gam										he obtains	обретает.
4.40	a-jña	अज्ञः	ajñaḥ		1n.1 m.				√jñā			a	m			h5	ḥ c → ś c	ajñaś cāśraddadhānaś ca saṃśayātmā vinaśyati	ignorant	невежда, не знающий священных писаний
4.40	ca	च​	ca			av.						a				v1	a a → ā		and	и
4.40	a-śrad-dadhāna	अश्रद्दधानः	aśraddadhānaḥ		1n.1 m.				√dhā			a	m			h5	ḥ c → ś c		not having faith	не верящий словам шастр
4.40	ca	च​	ca			av.													and	и
4.40	saṁśaya-ātman	सञ्शयात्मा	saṁśayātmā		1n.1 m.				√śī			an	m	BV					whose self is doubtful	сомневающийся-человек
4.40	vi-√naś	विनश्यति	vinaśyati		1v.1	Praes. P			√naś										he perishes	падает
4.40	na	न​	na			av.						a				v1	a a → ā	nāyaṃ loko ‘sti na paro na sukhaṃ saṃśayātmanaḥ	not	не
4.40	idam	अयञ्	ayaṁ		1n.1 m.	sn.						m	m						that	этот
4.40	loka	लोकः	lokaḥ		1n.1 m.							a	m			h2	aḥ a → o '		world	мир
4.40	√as	अस्ति	asti		1v.1	Praes. P			√as										it is	существует
4.40	na	न​	na			av.													not	ни
4.40	para	परः	paraḥ		1n.1 m.							a	m			h3	aḥ n → o n		beyond, ancient, final, the best, the supreme	следующая (жизнь)
4.40	na	न​	na			av.													not	ни
4.40	sukha	सुखम्	sukham		1n.1 n.				√sthā;			a	n			m	m s → ṃ s		joy, happiness, comfort	счастье
4.40	saṁśaya-ātman	सञ्शयात्मनः	saṁśayātmanaḥ		6n.1 m.				√śī			an	m	BV					of one whose self is doubtful	сомневающегося-человека.
4.41	yoga-saṁnyasta-karman	योगसञ्न्यस्तकर्माणम्	yoga-saṁnyasta-karmāṇam		2n.1 m.				√yuj			an	m	BV		m	m j → ṃ j	yoga-saṃnyasta-karmāṇaṃ jñāna-saṃchinna-saṃśayam	one who renounced activities by yoga	благодаря преданному служению (карма-йоге)-отвергнуты-тот, чьи плоды труда
4.41	jñāna-saṁchinna-saṁśaya	ज्ञानसञ्छिन्नसञ्शयम्	jñāna-saṁchinna-saṁśayam		2n.1 m.				√jñā			a	m						whose doubts are destroyed by knowledge	знанием-разрублены-тот, чьи сомнения
4.41	ātmavant	आत्मवन्तम्	ātmavantam		2n.1 m.							t	m			m	m n → ṃ n	ātmavantaṃ na karmāṇi nibadhnanti dhanaṃjaya	having self, situated in the self, composed	постигшего свое истинное «я»
4.41	na	न​	na			av.													not	не
4.41	karman	कर्माणि	karmāṇi		1n.3 n.				√kṛ			an	n						activities	действия
4.41	ni-√bandh	निबध्नन्ति	nibadhnanti		1v.3	Praes. P			√bandh										they bind	связывают
4.41	dhanaṁ-jaya	धनञ्जय​	dhanaṁjaya		8n.1 m.				√ji			a	m						O winner of wealth, O Dhanaṁjaya	о завоеватель богатств.
4.42	tasmāt	तस्मात्	tasmāt			av.										t1	t a → d a	tasmād ajñāna-saṃbhūtaṃ hṛt-sthaṃ jñānāsinātmanaḥ	from that	поэтому
4.42	ajñāna-saṁbhūta	अज्ञानसञ्भूतम्	ajñāna-saṁbhūtam		2n.1 m.				√jñā			a	m	TP		m	m h → ṃ h		born from ignorance	порожденное невежеством
4.42	hṛt-stha	हृत्स्थम्	hṛt-stham		2n.1 m.				√sthā			a	m			m	m j → ṃ j		which is situated in the heart	находящееся в сердце
4.42	jñānāsi	ज्ञानासिना	jñānāsinā		3n.1 m.				√jñā			i	m	TP		v1	ā ā → ā		with a sword of knowledge	знания-мечом
4.42	ātman	आत्मनः	ātmanaḥ		6n.1 m.							an	m						of the self	души
4.42	√chid	छित्त्वा	chittvā			absol.			√chid							v6	ā e → ai	chittvainaṃ saṃśayaṃ yogam ātiṣṭhottiṣṭha bhārata	after cutting	разрубив
4.42	etat	एनम्	enam		2n.1 m.	sn.						t	m			m	m s → ṃ s		this	это
4.42	saṁśaya	सञ्शयम्	saṁśayam		2n.1 m.				√śī			a	m			m	m y → ṃ y		hesitation, doubt	сомнение
4.42	yoga	योगम्	yogam		2n.1 m.				√yuj			a	m						yoga, yoking, application, a means	в йогу
4.42	ā-√sthā	आतिष्ठ​	ātiṣṭha		2v.1	Imperat. P			√sthā							v5	a u → o		you must undertake	войди
4.42	ut-√sthā	उत्तिष्ठ​	uttiṣṭha		2v.1	Imperat. P			√sthā										you must stand up	встань (чтобы сражаться)
4.42	bhārata	भारत​	bhārata		8n.1 m.							a	m						O descendant of Bhārata	о потомок Бхараты.
5.01	arjuna	अर्जुनः	arjunaḥ		1n.1 m.							a	m			h1	ḥ u → Ø u	arjuna uvāca	white, clear, Arjuna	Арджуна
5.01	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
5.01	saṁnyāsa	सञ्न्यासम्	saṁnyāsam		2n.1 m.				√as			a	m			m	m k → ṃ k	saṃnyāsaṃ karmaṇāṃ kṛṣṇa punar yogaṃ ca śaṃsasi	laying aside, resignation, renunciation	отвержение
5.01	karman	कर्मणाम्	karmaṇām		6n.3 n.				√kṛ			an	n			m	m k → ṃ k		of activities	действий
5.01	kṛṣṇa	कृष्ण​	kṛṣṇa		8n.1 m.							a	m						O dark one, O Kṛṣṇa	о Кришна
5.01	punaḥ	पुनः	punaḥ			av.										h4	ḥ y → r y		back, again	снова
5.01	yoga	योगम्	yogam		2n.1 m.				√yuj			a	m			m	m c → ṃ c		yoga, yoking, application, a means, one of the schools of Hindu philosophy	преданное служение
5.01	ca	च​	ca			av.													and	также
5.01	√śaṁs	शञ्ससि	śaṁsasi		2v.1	Praes. P			√śaṁs										you praise	превозносишь
5.01	yat	यत्	yat		1n.1 n.	sn.						t	n			t6	t ś → c c	yac chreya etayor ekaṃ tan me brūhi suniścitam	that which	которое
5.01	śreyas	श्रेयः	śreyaḥ		1n.1 n.							s	n			h1	ḥ e → Ø e		better, higher, perfect, the auspiciousness, the welfare	благотворнее
5.01	etat	एतयोः	etayoḥ		6n.2 m.	sn.						t	m			h4	ḥ e → r e		of these two	из этих двух
5.01	eka	एकम्	ekam		2n.1 n.	sn.						a	n			m	m t → ṃ t		one	одно
5.01	tat	तत्	tat		2n.1 n.	sn.						t	n			t3	t m → n m		that	то
5.01	asmat	मे	me		4n.1	sn.						t							to me	мне
5.01	√brū	ब्रूहि	brūhi		2v.1	Imperat. P			√brū										you must speak	скажи
5.01	su-niścita	सुनिश्चितम्	suniścitam		2n.1 n.	PP			√ci			a	n						ascertained, settled,	определенно.
5.02	śrī-bhagavant	श्रीभगवान्	śrī-bhagavān		1n.1 m.				√bhaj			t	m	TP				śrī-bhagavān uvāca	the Lord united with majesty	Верховный Господь
5.02	√vac	उवाच​	uvāca		1v.1	Perf. P			√vac										he spoke	сказал
5.02	saṁnyāsa	सञ्न्यासः	saṁnyāsaḥ		1n.1 m.				√as			a	m					saṃnyāsaḥ karma-yogaś ca niḥśreyasa-karāv ubhau	laying aside, resignation, renunciation	отказ от деятельности
5.02	karma-yoga	कर्मयोगः	karma-yogaḥ		1n.1 m.				√kṛ			a	m	TP		h5	ḥ c → ś c		yoga of activity	деятельность в преданном служении
5.02	ca	च​	ca			av.													and	и
5.02	niḥśreyasa-kara	निःश्रेयसकरौ	niḥśreyasa-karau		1n.2 m.				√kṛ			a	m	TP		v9	au u → āv u		that makes perfection	ведущие к освобождению
5.02	ubha	उभौ	ubhau		1n.2 m.	sn.						a	m						both	оба
5.02	tat	तयोः	tayoḥ		6n.2 m.	sn.						t	m			h5	ḥ t → s t	tayos tu karma-saṃnyāsāt karma-yogo viśiṣyate	of these two	из тех (двух)
5.02	tu	तु	tu			av.													but, then, or, and	же
5.02	karma-saṁnyāsa	कर्मसञ्न्यासात्	karma-saṁnyāsāt		5n.1 m.				√kṛ			a	m	TP					than renouncing activity	отказа от кармической деятельности
5.02	karma-yoga	कर्मयोगः	karma-yogaḥ		1n.1 m.				√kṛ			a	m	TP		h3	aḥ v → o v		yoga of activity	деятельность в преданном служении
5.02	vi-√śiṣ	विशिष्यते	viśiṣyate		1v.1	Praes. pass.			√śiṣ										it is distinguished, the best	считается лучше.
5.03	jñeya	ज्ञेयः	jñeyaḥ		1n.1 m.	PF			√jñā			a	m					jñeyaḥ sa nitya-saṃnyāsī yo na dveṣṭi na kāṅkṣati	to be known, to be learnt	тот, которого следует считать
5.03	tat	सः	saḥ		1n.1 m.	sn.						t	m			h1	ḥ n → Ø n		he	он
5.03	nitya-saṁnyāsin	नित्यसञ्न्यासी	nitya-saṁnyāsī		1n.1 m.				√as			in	m						eternal renunciant	навсегда-отрекшийся
5.03	yat	यः	yaḥ		1n.1 m.	sn.						t	m			h3	aḥ n → o n		he who	который
5.03	na	न​	na			av.													not	не
5.03	√dviṣ	द्वेष्टि	dveṣṭi		1v.1	Praes. P			√dviṣ										he hates	ненавидит
5.03	na	न​	na			av.													not	не
5.03	√kāṅkṣ	काङ्क्षति	kāṅkṣati		1v.1	Praes. P			√kāṅkṣ										he desires, he expects	желает
5.03	nir-dvaṁdva	निर्द्वञ्द्वः	nirdvaṁdvaḥ		1n.1 m.							a	m			h3	aḥ h → o h	nirdvaṃdvo hi mahābāho sukhaṃ bandhāt pramucyate	without opposites	преодолевший влияние двойственности
5.03	hi	हि	hi			av.													because, just, indeed, surely	безусловно
5.03	mahā-bāhu	महाबाहो	mahābāho		8n.1 m.				√mah			u	m	BV					O you who have mighty arms	о могучерукий
5.03	sukham	सुखम्	sukham			av.			√sthā;							m	m b → ṃ b		easily, comfortably	счастливо
5.03	bandha	बन्धात्	bandhāt		5n.1 m.				√bandh			a	m						from fetters, from bondage	из плена
5.03	pra-√muc	प्रमुच्यते	pramucyate		1v.1	Praes. pass.			√muc										he is released	полностью освобождается.
5.04	sāṁkhya-yoga	साञ्ख्ययोगौ	sāṁkhya-yogau		2n.2 m.				√khyā			a	m					sāṃkhya-yogau pṛthag bālāḥ pravadanti na paṇḍitāḥ	sāṁkhya and yoga	аналитическое изучение материального мира-и деятельность в преданном служении
5.04	pṛthak	पृथक्	pṛthak			av.			√pṛth							k	k b → g b		separately, one by one	различно
5.04	bāla	बालाः	bālāḥ		1n.3 m.							a	m						children, ignorants, immature	неразумные
5.04	pra-√vad	प्रवदन्ति	pravadanti		1v.3	Praes. P			√vad										they declare	говорят
5.04	na	न​	na			av.													not	не
5.04	paṇḍita	पण्डिताः	paṇḍitāḥ		1n.3 m.							a	m						the learned, wise	сведущие
5.04	eka	एकम्	ekam		2n.1 n.	sn.						a	n					ekam apy āsthitaḥ samyag ubhayor vindate phalam	one	к одному
5.04	api	अपि	api			av.										v7	i ā → y ā		although, moreover, besides, even	даже
5.04	ā-sthita	आस्थितः	āsthitaḥ		1n.1 m.	PP			√sthā			a	m						having undertaken	пришедший
5.04	samyak	सम्यक्	samyak			av.			√añc							k	k u → g u		properly, entirely, the same	полностью
5.04	ubha	उभयोः	ubhayoḥ		6n.2 m.	sn.						a	m			h4	ḥ v → r v		of these two	обоих
5.04	√vid	विन्दते	vindate		1v.1	Praes. A			√vid										he obtains, he finds	обретает
5.04	phala	फलम्	phalam		2n.1 n.				√phal			a	n						fruit, result	результат.
5.05	yat	यत्	yat		2n.1 n.	sn.						t	n					yat sāṃkhyaiḥ prāpyate sthānaṃ tad yogair api gamyate	that which	которое
5.05	sāṁkhya	सञ्ख्यैः	sāṁkhyaiḥ		3n.3 m.				√khyā			a	m						by followers of sāṁkhya	философией санкхьи
5.05	pra-√āp	प्राप्यते	prāpyate		1v.1	Praes. pass.			√āp										it is obtained	достигается
5.05	sthāna	स्थानम्	sthānam		2n.1 n.				√sthā			a	n			m	m t → ṃ t		state, place, position	место
5.05	tat	तत्	tat		2n.1 n.	sn.						t	n			t1	t y → d y		that	то
5.05	yoga	योगैः	yogaiḥ		3n.3 m.				√yuj			a	m			h4	ḥ a → r a		by followers of yoga	преданным служением
5.05	api	अपि	api			av.													although, moreover, besides, even	также
5.05	√gam	गम्यते	gamyate		1v.1	Praes. pass.			√gam										it is reached	достигается
5.05	eka	एकम्	ekam		2n.1 n.	sn.						a	n			m	m s → ṃ s	ekaṃ sāṃkhyaṃ ca yogaṃ ca yaḥ paśyati sa paśyati	one	одно
5.05	sāṁkhya	साञ्ख्यम्	sāṁkhyam		2n.1 n.				√khyā			a	n			m	m c → ṃ c		sāmkhya	аналитическое изучение материального мира
5.05	ca	च​	ca			av.													and	и
5.05	yoga	योगम्	yogam		2n.1 m.				√yuj			a	m			m	m c → ṃ c		yoga, yoking, application, a means, one of the schools of Hindu philosophy	деятельность в преданном служении
5.05	ca	च​	ca			av.													and	и
5.05	yat	यः	yaḥ		1n.1 m.	sn.						t	m						he who	который
5.05	√dṛś	पश्यति	paśyati		1v.1	Praes. P			√dṛś										he sees	видит
5.05	tat	सः	saḥ		1n.1 m.	sn.						t	m			h1	ḥ n → Ø n		he	тот
5.05	√dṛś	पश्यति	paśyati		1v.1	Praes. P			√dṛś										he sees	видит.
5.06	saṁnyāsa	सञ्न्यासः	saṁnyāsaḥ		1n.1 m.				√as			a	m			h5	ḥ t → s t	saṃnyāsas tu mahābāho duḥkham āptum ayogataḥ	laying aside, resignation, renunciation	жизнь в отречении от мира
5.06	tu	तु	tu			av.													but, then, or, and	но
5.06	mahā-bāhu	महाबाहो	mahābāho		8n.1 m.				√mah			u	m	BV					O you who have mighty arms	о могучерукий
5.06	duḥkham	दुःखम्	duḥkham			av.			√sthā;										with difficulty	несчастье
5.06	√āp	आप्तुम्	āptum			inf.			√āp										to obtain	(может) принести
5.06	a-yogataḥ	अयोगतः	a-yogataḥ			av.			√yuj			ḥ							because of lack of yoga	лишенного преданного служения
5.06	yoga-yukta	योगयुक्तः	yoga-yuktaḥ		1n.1 m.				√yuj			a	m	TP		h3	aḥ m → o m	yoga-yukto munir brahma nacireṇādhigacchati	engaged in yoga	тот, кто занят преданным служением
5.06	muni	मुनिः	muniḥ		1n.1 m.				√man			i	m			h4	ḥ b → r b		sage, saint, seer	мудрец
5.06	brahman	ब्रह्म​	brahma		2n.1 n.				√bṛh			an	n						spirit	Всевышнего
5.06	na-cireṇa	नचिरेण​	na-cireṇa			av.						a				v1	a a → ā		speedily, not for long	без промедления
5.06	adhi-√gam	अधिगच्छति	adhigacchati		1v.1	Praes. P			√gam										he obtains	достигает.
5.07	yoga-yukta	योगयुक्तः	yoga-yuktaḥ		1n.1 m.				√yuj			a	m	TP		h3	aḥ v → o v	yoga-yukto viśuddhātmā vijitātmā jitendriyaḥ	engaged in yoga	занятый преданным служением
5.07	viśuddha-ātman	विशुद्धात्मा	viśuddhātmā		1n.1 m.				√śudh			an	m	BV					whose self is purified	очистившаяся душа
5.07	vijita-ātman	विजितात्मा	vijitātmā		1n.1 m.				√ji			an	m	BV					whose self is conquered	умеющий владеть собой
5.07	jita-indriya	जितेन्द्रियः	jitendriyaḥ		1n.1 m.				√ji			a	m	BV					who conquered his senses	тот, чьи чувства обузданы
5.07	sarva-bhūta-ātma-bhūta-ātman	सर्वभूतात्मभूतात्मा	sarva-bhūtātma-bhūtātmā		1n.1 m.				√bhū			an	m	BV				sarva-bhūtātma-bhūtātmā kurvann api na lipyate	whose self became the self of all creatures	ко всем живым существам-испытывающий сострадание
5.07	kurvant	कुर्वन्	kurvan		1n.1 m.	PPr			√kṛ			t	m			n1	n a → nn a		[while] doing, [while] working	действующий
5.07	api	अपि	api			av.													although, moreover, besides, even	хотя и
5.07	na	न​	na			av.													not	не
5.07	√lip	लिप्यते	lipyate		1v.1	Praes. pass.			√lip										he is smeared, he is stained	опутывается.
5.08	na	न​	na			av.						a				v6	a e → ai	naiva kiṃ-cit karomīti yukto manyeta tattva-vit	not	не
5.08	eva	एव​	eva			av.													certainly, just, merely	конечно
5.08	kiṁ-cit	किञ्चित्	kiṁ-cit		2n.1 n.	sn.						t	n						something	что-либо
5.08	√kṛ	करोमि	karomi		3v.1	Praes. P			√kṛ							v1	i i → ī		I do	делаю
5.08	iti	इति	iti			av.													thus	так
5.08	yukta	युक्तः	yuktaḥ		1n.1 m.	PP			√yuj			a	m			h3	aḥ m → o m		yoked, endowed with, engaged, suitable	действующий (в божественном сознании)
5.08	√man	मन्येत​	manyeta		1v.1	Pot. A			√man										he would think	станет думать
5.08	tattva-vit	तत्त्ववित्	tattva-vit		1n.1 m.				√vid			t	m						who knows the truth	тот, кто познал истину
5.08	paśyant	पश्यन्	paśyan		1n.1 m.	PPr			√dṛś			t	m			n4	n ś → ñ ś	paśyañ śṛṇvan spṛśañ jighrann aśnan gacchan svapañ śvasan	[while] seeing	видящий
5.08	śṛṇvant	शृण्वन्	śṛṇvan		1n.1 m.	PPr			√śru			t	m						[while] hearing	слышащий
5.08	spṛśant	स्पृशन्	spṛśan		1n.1 m.	PPr			√spṛś			t	m			n2	n j → ñ j		[while] touching	касающийся
5.08	jighrant	जिघ्रन्	jighran		1n.1	PPr			√ghrā			t				n1	n a → nn a		[while] smelling	ощущающий запахи
5.08	aśnant	अश्नन्	aśnan		1n.1 m.	PPr			√aś			t	m						[while] eating	принимающий пищу
5.08	gacchant	गच्छन्	gacchan		1n.1 m.	PPr			√gam			t	m						[while] going	ходящий
5.08	svapant	स्वपन्	svapan		1n.1 m.	PPr			√svap			t	m			n4	n ś → ñ ś		[while] sleeping	спящий
5.08	śvasant	श्वसन्	śvasan		1n.1 m.	PPr			√śvas			t	m						[while] breathing	дышащий
5.09	pra-lapant	प्रलपन्	pralapan		1n.1 m.	PPr			√lap			t	m					pralapan visṛjan gṛhṇann unmiṣan nimiṣann api	[while] speaking	говорящий
