attested_form	dcs_lemma	dcs_upos	verdict	cell	cell_occ	generator_has	evidence_count	target_locus
anulomanām	anulomana	ADJ	coverage-hole	f.acc.sg	6		10	dcs:27693
anusāriṇya	anusārin	ADJ	coverage-hole	f.nom.pl	1		10	dcs:708925
aparavaktram	aparavaktrā	NOUN	coverage-hole	n.acc.sg	3		10	dcs:629598
asmākāsaḥ	asmāka	ADJ	slot-conflict	m.nom.pl	6	asmākāḥ	10	dcs:647493
avabhāsāni	avabhāsa	NOUN	coverage-hole	n.nom.pl	5		10	dcs:61618
aṇīyāṃsam	aṇīyas	ADJ	coverage-hole	m.acc.sg	5		10	dcs:727417_1
balataḥ	bala	NOUN	slot-conflict	n.abl.sg	8	balāt	10	dcs:30630
bhiyaṃ	bhī	NOUN	slot-conflict	f.acc.sg	4	bhīm	10	dcs:649027
bhāmāsaḥ	bhāma	NOUN	slot-conflict	m.nom.pl	5	bhāmāḥ	10	dcs:659806_1
biḍa	viḍa	NOUN	slot-conflict	m.nom.sg	2	viḍaḥ	10	dcs:465294
bṛhannaḍāṃ	bṛhannaḍa	NOUN	coverage-hole	f.acc.sg	2		10	dcs:212535
chatreṇa	chattra	NOUN	slot-conflict	n.instr.sg	9	chattreṇa	10	dcs:769831
chāṇakāni	chāṇaka	NOUN	coverage-hole	n.acc.pl	4		10	dcs:100514
citikam	citikā	NOUN	coverage-hole	n.nom.sg	5		10	dcs:756339
cātanīḥ	cātana	ADJ	coverage-hole	f.nom.pl	5		10	dcs:647928
devayuvam	devayu	ADJ	slot-conflict	f.acc.sg	3	devayum	10	dcs:714738
dhruvāsaḥ	dhruva	ADJ	slot-conflict	m.nom.pl	6	dhruvāḥ	10	dcs:636282
durgahā	durgaha	NOUN	slot-conflict	n.acc.pl	4	durgahāni	10	dcs:598311
duṣvapnyāt	duḥṣvapnya	NOUN	slot-conflict	n.abl.sg	6	duḥṣvapnyāt	10	dcs:634469
ekataraṃ	ekatara	ADJ	coverage-hole	n.acc.sg	2		10	dcs:352955
gauryam	gaurī	NOUN	slot-conflict	f.acc.sg	5	gaurīm	10	dcs:424913
ghoṇaḥ	ghoṇā	NOUN	coverage-hole	m.nom.sg	5		10	dcs:478235
grāvāṇā	grāvan	NOUN	slot-conflict	m.nom.du	5	grāvāṇau	10	dcs:650333_1
gāyatriyai	gāyatrī	NOUN	slot-conflict	f.dat.sg	7	gāyatryai	10	dcs:701920_1
hastāsaḥ	hasta	NOUN	slot-conflict	m.nom.pl	6	hastāḥ	10	dcs:688872_1
hrasīyasam	hrasīyas	ADJ	coverage-hole	f.acc.sg	8		10	dcs:43245
ic	id	PART	coverage-hole	m.nom.sg	1		10	dcs:647788
itihāsāni	itihāsa	NOUN	coverage-hole	n.nom.pl	4		10	dcs:87219
iṣṭakaiḥ	iṣṭakā	NOUN	coverage-hole	n.instr.pl	2		10	dcs:657355
jyotiṣ	jyotis	NOUN	slot-conflict	n.acc.sg	7	jyotiḥ	10	dcs:647755
jāmātāram	jāmātṛ	NOUN	slot-conflict	m.acc.sg	9	jāmātaram	10	dcs:577669
jātīni	jāti	NOUN	coverage-hole	n.nom.pl	5		10	dcs:229377
karaṭāmukhāḥ	karaṭāmukha	NOUN	coverage-hole	m.nom.pl	5		10	dcs:213733
keki	kekin	NOUN	compound-member		4		10	dcs:589938
krayaṇāḥ	krayaṇa	ADJ	coverage-hole	m.nom.pl	5		10	dcs:670652
kālima	kāliman	NOUN	compound-member		5		10	dcs:381928
kīdṛṅ	kīdṛś	ADJ	slot-conflict	m.nom.sg	6	kīdṛk	10	dcs:524686
kṣayaṇīḥ	kṣayaṇa	ADJ	coverage-hole	f.acc.pl	2		10	dcs:70416
maghavānā	maghavan	ADJ	slot-conflict	m.voc.du	4	maghavānau	10	dcs:595648
maraṇāḥ	maraṇa	NOUN	coverage-hole	m.nom.pl	4		10	dcs:527290
mūrdhataḥ	mūrdhan	NOUN	slot-conflict	m.abl.sg	7	mūrdhnaḥ	10	dcs:638721
nidrasya	nidrā	NOUN	coverage-hole	m.gen.sg	4		10	dcs:521109
niścayām	niścaya	NOUN	coverage-hole	f.acc.sg	5		10	dcs:630685
niṣyandaḥ	nisyanda	NOUN	slot-conflict	m.nom.sg	2	nisyandaḥ	10	dcs:643425
padayā	pada	NOUN	coverage-hole	f.instr.sg	5		10	dcs:652421
padāsu	pada	NOUN	coverage-hole	f.loc.pl	5		10	dcs:662501
paridhīṃr	paridhi	NOUN	slot-conflict	m.acc.pl	6	paridhīn	10	dcs:566389
parikham	parikhā	NOUN	coverage-hole	m.acc.sg	2		10	dcs:667840
pariṇā	pari	NOUN	coverage-hole	f.nom.sg	4		10	dcs:551917
parvāṇam	parvan	NOUN	coverage-hole	m.acc.sg	5		10	dcs:691909
patniyai	patnī	NOUN	slot-conflict	f.dat.sg	5	patnyai	10	dcs:728617
patrī	pattrin	NOUN	slot-conflict	m.nom.sg	9	pattrī	10	dcs:76114
patākāni	patākā	NOUN	coverage-hole	n.nom.pl	3		10	dcs:767443
paśve	paśu	NOUN	slot-conflict	m.dat.sg	4	paśave	10	dcs:696828
pippalīkam	pippalīkā	NOUN	coverage-hole	n.nom.sg	3		10	dcs:33508
pratimau	pratimā	NOUN	coverage-hole	m.nom.du	5		10	dcs:248308
pratyakṣataḥ	pratyakṣatas	ADV	coverage-hole	n.abl.sg	4		10	dcs:464207
pravāhikam	pravāhikā	NOUN	coverage-hole	n.acc.sg	3		10	dcs:31555
pravāhikaḥ	pravāhikā	NOUN	coverage-hole	m.nom.sg	5		10	dcs:30691
punarnavebhiḥ	punarnavā	NOUN	coverage-hole	n.instr.pl	5		10	dcs:30108
retasau	retas	NOUN	coverage-hole	f.nom.du	4		10	dcs:684939
sadṛṅṅ	sadṛś	ADJ	slot-conflict	m.nom.sg	7	sadṛk	10	dcs:540691
sahīyāṃsam	sahīyas	ADJ	coverage-hole	m.acc.sg	5		10	dcs:641259_1
sakthyoḥ	sakthi	NOUN	slot-conflict	n.loc.du	4	sakthinoḥ	10	dcs:553957
sami	sam	ADP	coverage-hole	m.loc.sg	4		10	dcs:552332
sasmin	tad	PRON	coverage-hole	n.loc.sg	5		10	dcs:593020
saṃjñikam	saṃjñikā	NOUN	coverage-hole	n.nom.sg	3		10	dcs:328615
saṃpratyaya	sampratyaya	NOUN	slot-conflict	m.nom.sg	1	sampratyayaḥ	10	dcs:387296
saṃpādana	sampādana	NOUN	compound-member		5		10	dcs:630381
saṃśrayāṇi	saṃśraya	NOUN	coverage-hole	n.acc.pl	3		10	dcs:63570
sraktinā	srakti	NOUN	coverage-hole	n.instr.sg	5		10	dcs:728732
svebhiḥ	sva	ADJ	slot-conflict	m.instr.pl	5	svaiḥ	10	dcs:636872_1
svātma	svātman	NOUN	compound-member		5		10	dcs:90335
svāyaṃbhuvaḥ	svāyambhuva	ADJ	slot-conflict	m.nom.sg	10	svāyambhuvaḥ	10	dcs:690393
tandrīṃ	tandrā	NOUN	slot-conflict	f.acc.sg	8	tandrām	10	dcs:90441
trāmā	trāman	NOUN	coverage-hole	m.nom.sg	5		10	dcs:641694
tāmasām	tāmasa	ADJ	coverage-hole	f.acc.sg	7		10	dcs:579083
udayām	udaya	NOUN	coverage-hole	f.acc.sg	5		10	dcs:39503
ugrataḥ	ugra	NOUN	slot-conflict	m.abl.sg	5	ugrāt	10	dcs:437162
upadha	upadhā	NOUN	compound-member		3		10	dcs:552310
uttarīyāḥ	uttarīya	NOUN	coverage-hole	m.nom.pl	1		10	dcs:67729
vadanau	vadana	NOUN	coverage-hole	m.nom.du	4		10	dcs:656932
vartmānam	vartman	NOUN	coverage-hole	m.acc.sg	5		10	dcs:635030
vikriyam	vikriyā	NOUN	coverage-hole	m.acc.sg	3		10	dcs:88786
viṣṇavi	viṣṇu	NOUN	slot-conflict	m.loc.sg	5	viṣṇau	10	dcs:726830
voḍhāram	voḍhṛ	NOUN	coverage-hole	m.acc.sg	5		10	dcs:202316
vāsasau	vāsas	NOUN	coverage-hole	m.nom.du	5		10	dcs:93794
yauvanau	yauvana	NOUN	coverage-hole	m.nom.du	5		10	dcs:626988
yāvāṇā	yāvan	NOUN	slot-conflict	m.acc.du	2	yāvānau	10	dcs:713770
ābharaṇau	ābharaṇa	NOUN	coverage-hole	m.nom.du	3		10	dcs:215874
ādhārāṇi	ādhāra	NOUN	coverage-hole	n.nom.pl	3		10	dcs:450691
āgasam	āgas	NOUN	coverage-hole	m.acc.sg	5		10	dcs:177694
ākhyebhyaḥ	ākhyā	NOUN	coverage-hole	m.abl.pl	3		10	dcs:553228
śriyau	śrī	NOUN	slot-conflict	f.nom.du	5	śryau	10	dcs:64235
śīrṣāṇaḥ	śīrṣan	NOUN	coverage-hole	m.nom.pl	5		10	dcs:748650_1
achidrayā	acchidra	ADJ	coverage-hole	f.instr.sg	6		9	dcs:687546
adabdhebhiḥ	adabdha	ADJ	slot-conflict	m.instr.pl	6	adabdhaiḥ	9	dcs:641281_1
ahobhyāṃ	ahar	NOUN	slot-conflict	n.instr.du	1	ahārbhyām	9	dcs:590182
ajarebhiḥ	ajara	ADJ	slot-conflict	m.instr.pl	6	ajaraiḥ	9	dcs:687715
asthnā	asthi	NOUN	slot-conflict	n.instr.sg	5	asthinā	9	dcs:647292
ayasmayām	ayasmaya	ADJ	coverage-hole	f.acc.sg	9		9	dcs:200345
balīyāḥ	balīyas	ADJ	coverage-hole	m.nom.sg	7		9	dcs:464128_1
balīyāṃsaḥ	balīyas	ADJ	coverage-hole	m.nom.pl	5		9	dcs:650358_2
bhāllabeyaḥ	bhāllaveya	NOUN	slot-conflict	m.nom.sg	6	bhāllaveyaḥ	9	dcs:663089
brāhmaṇāsaḥ	brāhmaṇa	NOUN	slot-conflict	m.nom.pl	4	brāhmaṇāḥ	9	dcs:519854
caturthām	caturtha	ADJ	coverage-hole	f.acc.sg	6		9	dcs:43244
dehataḥ	deha	NOUN	slot-conflict	n.abl.sg	5	dehāt	9	dcs:94394
dyauṣ	div	NOUN	lexicon-gap	m.nom.sg	5		9	dcs:646216
hīnataḥ	hīna	ADJ	slot-conflict	m.abl.sg	3	hīnāt	9	dcs:166991
itarāya	itara	PRON	slot-conflict	n.dat.sg	4	itarasmai	9	dcs:96702
jānuvoḥ	jānu	NOUN	slot-conflict	m.loc.du	4	jānvoḥ	9	dcs:518655_1
lobhataḥ	lobha	NOUN	slot-conflict	m.abl.sg	6	lobhāt	9	dcs:653675
maghono	maghavan	ADJ	slot-conflict	m.acc.pl	4	maghavnaḥ	9	dcs:641408
mahīyān	mahīyas	ADJ	coverage-hole	m.nom.sg	7		9	dcs:95989
matsarāsaḥ	matsara	ADJ	slot-conflict	m.nom.pl	5	matsarāḥ	9	dcs:592056_2
mānavām	mānava	ADJ	coverage-hole	f.acc.sg	7		9	dcs:91478
mūrcchayā	mūrchā	NOUN	slot-conflict	f.instr.sg	6	mūrchayā	9	dcs:642286
nañaḥ	nañ	NOUN	coverage-hole	m.abl.sg	4		9	dcs:553907
omāsaḥ	oma	NOUN	slot-conflict	m.nom.pl	5	omāḥ	9	dcs:748691
parasparataḥ	paraspara	PRON	coverage-hole	m.abl.sg	5		9	dcs:464318
patreṣu	pattra	NOUN	slot-conflict	m.loc.pl	5	pattreṣu	9	dcs:65047
patriṇāṃ	pattrin	NOUN	slot-conflict	m.gen.pl	3	pattriṇām	9	dcs:359367
pañcamāyām	pañcama	ADJ	coverage-hole	f.loc.sg	6		9	dcs:472867_1
putrataḥ	putra	NOUN	slot-conflict	m.abl.sg	5	putrāt	9	dcs:644215
pṛkṣāsaḥ	pṛkṣa	ADJ	slot-conflict	m.nom.pl	5	pṛkṣāḥ	9	dcs:596773
rājbhyaḥ	rājan	NOUN	slot-conflict	m.dat.pl	4	rājabhyaḥ	9	dcs:527496
satriṇaḥ	sattrin	NOUN	slot-conflict	m.nom.pl	5	sattriṇaḥ	9	dcs:651507
saṃbhāṣām	sambhāṣā	NOUN	slot-conflict	f.acc.sg	4	sambhāṣām	9	dcs:435137
saṃbādhe	sambādha	NOUN	slot-conflict	m.loc.sg	8	sambādhe	9	dcs:465916
saṃvvatsaram	saṃvatsara	NOUN	slot-conflict	n.acc.sg	3	saṃvatsaram	9	dcs:565235_6
svasa	svasṛ	NOUN	slot-conflict	f.voc.sg	1	svasar	9	dcs:636584
svatavadbhyaḥ	svatavas	ADJ	slot-conflict	m.dat.pl	5	svatavobhyaḥ	9	dcs:673521
sālvaṃ	śālva	NOUN	slot-conflict	m.acc.sg	7	śālvam	9	dcs:761263
sāṃparāyikam	sāmparāyika	NOUN	slot-conflict	n.nom.sg	3	sāmparāyikam	9	dcs:76785
tado	tad	NOUN	coverage-hole	m.abl.sg	1		9	dcs:553736
tanuve	tanū	NOUN	slot-conflict	f.dat.sg	5	tanvai	9	dcs:389843
varīyāḥ	varīyas	ADJ	coverage-hole	m.nom.sg	7		9	dcs:529687
vārtayā	vārttā	NOUN	slot-conflict	f.instr.sg	5	vārttayā	9	dcs:89112
yūnoḥ	yuvan	NOUN	coverage-hole	m.gen.du	4		9	dcs:619285
ūrmā	ūrmi	NOUN	slot-conflict	f.loc.sg	3	ūrmau ūrmyām	9	dcs:592372
ṛtāṣāh	ṛtāṣah	ADJ	slot-conflict	m.nom.sg	7	ṛtāṣaṭ	9	dcs:424844_1
ṛṣvebhiḥ	ṛṣva	ADJ	slot-conflict	m.instr.pl	6	ṛṣvaiḥ	9	dcs:592402
abhiṣekām	abhiṣeka	NOUN	coverage-hole	f.acc.sg	4		8	dcs:568404
achidraḥ	acchidra	ADJ	slot-conflict	m.nom.sg	2	acchidraḥ	8	dcs:650909
achidrā	acchidra	ADJ	slot-conflict	n.acc.pl	2	acchidrāṇi	8	dcs:650909
adasaḥ	adas	NOUN	coverage-hole	m.gen.sg	5		8	dcs:551568
agnīṃr	agni	NOUN	slot-conflict	m.acc.pl	4	agnīn	8	dcs:650172_1
agruvai	agrū	NOUN	slot-conflict	f.dat.sg	4	agrvai	8	dcs:649245
ahobhya	ahar	NOUN	slot-conflict	n.dat.pl	3	ahārbhyaḥ	8	dcs:698124
ajrāṁ	ajra	NOUN	slot-conflict	m.acc.pl	4	ajrān	8	dcs:597931
ambhasam	ambhas	NOUN	coverage-hole	f.acc.sg	2		8	dcs:521848
antarātma	antarātman	NOUN	compound-member		4		8	dcs:584351
antaḥpurāḥ	antaḥpura	NOUN	coverage-hole	m.nom.pl	4		8	dcs:324388
anulepanām	anulepana	NOUN	coverage-hole	f.acc.sg	4		8	dcs:484367
anupānāḥ	anupāna	NOUN	coverage-hole	m.nom.pl	3		8	dcs:33360
anuvāsanān	anuvāsana	NOUN	coverage-hole	m.acc.pl	4		8	dcs:35791
apadānāḥ	apadāna	NOUN	coverage-hole	m.nom.pl	4		8	dcs:183526
asmākebhiḥ	asmāka	ADJ	slot-conflict	m.instr.pl	5	asmākaiḥ	8	dcs:593889
atyayataḥ	atyaya	NOUN	slot-conflict	m.abl.sg	4	atyayāt	8	dcs:653129
aṃśukām	aṃśuka	NOUN	coverage-hole	f.acc.sg	4		8	dcs:574904
aṅkurāṇi	aṅkura	NOUN	coverage-hole	n.acc.pl	3		8	dcs:619882
aṣṭacatvāriṃśatī	aṣṭacatvāriṃśat	NUM	slot-conflict	f.nom.sg	4	aṣṭacatvāriṃśat	8	dcs:58302
aṭṭahāsinīm	aṭṭahāsin	ADJ	coverage-hole	f.acc.sg	4		8	dcs:761723
bandhuni	bandhu	NOUN	coverage-hole	n.loc.sg	3		8	dcs:553845
bhiṣaṅmātrī	bhiṣaṅmātṛ	NOUN	slot-conflict	f.nom.sg	6	bhiṣaṅmātā	8	dcs:437873
bubhukṣaḥ	bubhukṣā	NOUN	coverage-hole	m.nom.sg	4		8	dcs:27721
camasāṁ	camasa	NOUN	slot-conflict	m.acc.pl	4	camasān	8	dcs:595141_2
caturthāyām	caturtha	ADJ	coverage-hole	f.loc.sg	7		8	dcs:464587
cintaḥ	cintā	NOUN	coverage-hole	m.nom.sg	4		8	dcs:556218
daṃsāḥ	daṃsas	NOUN	coverage-hole	m.nom.sg	3		8	dcs:593193
dhanasaṃmatasya	dhanasammata	NOUN	slot-conflict	m.gen.sg	4	dhanasammatasya	8	dcs:654457
dāraṇām	dāraṇa	ADJ	coverage-hole	f.acc.sg	6		8	dcs:580615
ekasyai	eka	NUM	coverage-hole	f.dat.sg	4		8	dcs:651146
ekādaśāsaḥ	ekādaśa	ADJ	slot-conflict	m.nom.pl	4	ekādaśāḥ	8	dcs:697343_2
eṇas	eṇa	NOUN	slot-conflict	m.nom.sg	1	eṇaḥ	8	dcs:43982
eṣṭrī	eṣṭṛ	ADJ	slot-conflict	f.nom.pl	1	eṣṭāraḥ	8	dcs:727961
gantārā	gantṛ	ADJ	slot-conflict	m.acc.du	2	gantārau	8	dcs:592100
gomāṁ	gomat	ADJ	slot-conflict	m.nom.sg	4	gomān	8	dcs:701228
hvaḥ	hvā	NOUN	coverage-hole	m.abl.sg	2		8	dcs:551734
jyeṣṭhasām	jyeṣṭhasāman	NOUN	slot-conflict	n.acc.sg	5	jyeṣṭhasāma	8	dcs:543367
jyeṣṭhebhiḥ	jyeṣṭha	ADJ	slot-conflict	m.instr.pl	4	jyeṣṭhaiḥ	8	dcs:595388
jātīn	jāti	NOUN	coverage-hole	m.acc.pl	4		8	dcs:180376
kalaṅkām	kalaṅka	NOUN	coverage-hole	f.acc.sg	4		8	dcs:577871
kathaiḥ	kathā	NOUN	coverage-hole	m.instr.pl	4		8	dcs:477824
kautūhalāḥ	kautūhala	NOUN	coverage-hole	m.nom.pl	3		8	dcs:531869
kimaḥ	kim	NOUN	coverage-hole	m.abl.sg	4		8	dcs:553618
kramataḥ	kramatas	ADV	coverage-hole	m.gen.sg	2		8	dcs:589976
kratumāṁ	kratumat	ADJ	slot-conflict	m.nom.sg	4	kratumān	8	dcs:593203
kratvaḥ	kratu	NOUN	slot-conflict	f.nom.pl	2	kratavaḥ	8	dcs:716538
kuṭumbi	kuṭumbin	NOUN	compound-member		4		8	dcs:522498
kālataḥ	kālatas	ADV	coverage-hole	m.abl.sg	6		8	dcs:614319
kūlān	kūla	NOUN	coverage-hole	m.acc.pl	3		8	dcs:646501
laghima	laghiman	NOUN	compound-member		4		8	dcs:385250
lasīkāni	lasīkā	NOUN	coverage-hole	n.nom.pl	4		8	dcs:61618
lataḥ	latā	NOUN	coverage-hole	m.nom.sg	4		8	dcs:486201
lepayā	lepa	NOUN	coverage-hole	f.instr.sg	4		8	dcs:329223
majjanoḥ	majjan	NOUN	slot-conflict	m.gen.du	4	majjñoḥ	8	dcs:43199
marmāṇaḥ	marman	NOUN	coverage-hole	m.nom.pl	4		8	dcs:232534
martāṁ	marta	NOUN	slot-conflict	m.acc.pl	4	martān	8	dcs:637363
mūrdhnīḥ	mūrdhan	NOUN	coverage-hole	f.nom.pl	2		8	dcs:637664_2
mṛttikam	mṛttikā	NOUN	coverage-hole	m.acc.sg	2		8	dcs:763175
navyasīṃ	navyas	ADJ	slot-conflict	f.acc.sg	3	navyasam	8	dcs:651690
nidram	nidrā	NOUN	coverage-hole	m.acc.sg	4		8	dcs:37636
nirodhikā	nirodhaka	ADJ	coverage-hole	f.nom.sg	2		8	dcs:644911
niviḍa	nibiḍa	ADJ	compound-member		4		8	dcs:365835
niyutvāṁ	niyutvat	ADJ	slot-conflict	m.nom.sg	4	niyutvān	8	dcs:650809
nyāyāni	nyāya	NOUN	coverage-hole	n.acc.pl	2		8	dcs:726955_1
nābhitaḥ	nābhi	NOUN	slot-conflict	f.abl.sg	6	nābheḥ nābhyāḥ	8	dcs:32331
nāmakām	nāmaka	ADJ	coverage-hole	f.acc.sg	4		8	dcs:78685
nāmsu	nāman	NOUN	slot-conflict	n.loc.pl	5	nāmasu	8	dcs:549766
odanām	odana	NOUN	coverage-hole	f.acc.sg	4		8	dcs:638912
parijmānam	parijman	ADJ	coverage-hole	m.acc.sg	4		8	dcs:592156_1
patiyoḥ	pati	NOUN	slot-conflict	m.gen.du	4	patyoḥ	8	dcs:522095
patniyā	patnī	NOUN	slot-conflict	f.instr.sg	2	patnyā	8	dcs:706498
patrabhaṅga	pattrabhaṅga	NOUN	compound-member		4		8	dcs:629543
pittān	pitta	NOUN	slot-conflict	n.abl.sg	4	pittāt	8	dcs:27394
pittāḥ	pitta	NOUN	coverage-hole	m.nom.pl	1		8	dcs:31431
prahāvarīḥ	prahāvat	ADJ	coverage-hole	f.nom.pl	4		8	dcs:736167
pramātāraṃ	pramātṛ	ADJ	slot-conflict	m.acc.sg	3	pramātaram	8	dcs:45084
pratikriyaḥ	pratikriyā	NOUN	coverage-hole	m.nom.sg	3		8	dcs:520959
praśaṃsaḥ	praśaṃsā	NOUN	coverage-hole	m.nom.sg	1		8	dcs:564382
praṇidhānāḥ	praṇidhāna	NOUN	coverage-hole	m.nom.pl	1		8	dcs:723801
preyāḥ	preyas	ADJ	coverage-hole	m.nom.sg	6		8	dcs:102865
pruṣaḥ	pruṣ	ADJ	lexicon-gap	f.nom.pl	3		8	dcs:718068
punaryuvā	punaryuvan	ADJ	coverage-hole	m.nom.sg	4		8	dcs:64462
purolāśeṣu	puroḍāśa	NOUN	slot-conflict	m.loc.pl	4	puroḍāśeṣu	8	dcs:697127_1
pāṣāṇabhedi	pāṣāṇabhedin	NOUN	compound-member		4		8	dcs:434441
pūrvebhiḥ	pūrva	PRON	slot-conflict	m.instr.pl	5	pūrvaiḥ	8	dcs:470086
pṛśniyai	pṛśni	NOUN	slot-conflict	f.dat.sg	4	pṛśnaye pṛśnyai	8	dcs:672013
pṛṣṭhau	pṛṣṭha	NOUN	coverage-hole	m.nom.du	3		8	dcs:528801
raghudruvaḥ	raghudru	ADJ	slot-conflict	m.nom.pl	2	raghudravaḥ	8	dcs:684876
rajasas	rajas	NOUN	slot-conflict	n.gen.sg	6	rajasaḥ	8	dcs:465
rakṣitrī	rakṣitṛ	ADJ	slot-conflict	f.nom.sg	4	rakṣitā	8	dcs:648436
ratīn	rati	NOUN	coverage-hole	m.acc.pl	4		8	dcs:641953
raśanam	raśanā	NOUN	coverage-hole	n.acc.sg	3		8	dcs:670067_1
reṣma	reṣman	NOUN	compound-member		4		8	dcs:649241
rodhas	rodha	NOUN	compound-member		3		8	dcs:31867
rudhaḥ	rudh	NOUN	lexicon-gap	m.abl.sg	1		8	dcs:552239
rājikebhiḥ	rājikā	NOUN	coverage-hole	n.instr.pl	4		8	dcs:328437
rātriyai	rātri	NOUN	slot-conflict	f.dat.sg	4	rātraye rātryai	8	dcs:718835_1
rūpataḥ	rūpa	NOUN	slot-conflict	n.abl.sg	7	rūpāt	8	dcs:94560
sanoḥ	san	NOUN	lexicon-gap	m.loc.du	3		8	dcs:551796
saptamām	saptama	ADJ	coverage-hole	f.acc.sg	8		8	dcs:63705
sarparājñiyā	sarparājñī	NOUN	slot-conflict	f.gen.sg	4	sarparājñyāḥ	8	dcs:719446
satrasya	sattra	NOUN	slot-conflict	n.gen.sg	5	sattrasya	8	dcs:574482
saṃbhavena	sambhava	NOUN	slot-conflict	m.instr.sg	3	sambhavena	8	dcs:388956
saṃbhedaḥ	sambheda	NOUN	slot-conflict	m.nom.sg	4	sambhedaḥ	8	dcs:654220
saṃbhrame	sambhrama	NOUN	slot-conflict	m.loc.sg	7	sambhrame	8	dcs:763292
saṃbhāvanā	sambhāvanā	NOUN	slot-conflict	f.nom.sg	5	sambhāvanā	8	dcs:523328
saṃbhāṣaṇaḥ	sambhāṣaṇa	NOUN	coverage-hole	m.nom.sg	2		8	dcs:629749
saṃbhāṣā	sambhāṣā	NOUN	slot-conflict	f.nom.sg	3	sambhāṣā	8	dcs:698401
saṃbodhaye	sambodhi	NOUN	slot-conflict	f.dat.sg	4	sambodhaye sambodhyai	8	dcs:645596
saṃhārāṇi	saṃhāra	NOUN	coverage-hole	n.nom.pl	2		8	dcs:658602
saṃmodanīṃ	sammodana	ADJ	coverage-hole	f.acc.sg	4		8	dcs:654580
saṃmudaḥ	sammud	NOUN	coverage-hole	m.nom.pl	3		8	dcs:636928
saṃmukhā	sammukha	ADJ	slot-conflict	m.nom.pl	3	sammukhāḥ	8	dcs:728670
saṃmārjanaṃ	sammārjana	NOUN	slot-conflict	n.acc.sg	6	sammārjanam	8	dcs:543627
saṃpradānena	sampradāna	NOUN	slot-conflict	n.instr.sg	7	sampradānena	8	dcs:382125
saṃprahāraḥ	samprahāra	NOUN	slot-conflict	m.nom.sg	8	samprahāraḥ	8	dcs:580525
saṃprakāśana	samprakāśana	NOUN	compound-member		4		8	dcs:723818
saṃprāptiḥ	samprāpti	NOUN	slot-conflict	f.nom.sg	6	samprāptiḥ	8	dcs:61807
saṃpuṭa	sampuṭa	NOUN	compound-member		3		8	dcs:629838
saṃpāte	sampāta	NOUN	slot-conflict	m.loc.sg	4	sampāte	8	dcs:519835
saṃrādhanyai	saṃrādhana	ADJ	coverage-hole	f.dat.sg	4		8	dcs:434884
saṃrājaṃ	samrāj	NOUN	slot-conflict	m.acc.sg	4	samrājam	8	dcs:437180
sme	sma	NOUN	coverage-hole	m.loc.sg	4		8	dcs:552443
smṛtinā	smṛti	NOUN	coverage-hole	m.instr.sg	4		8	dcs:645086
srotasam	srotas	NOUN	coverage-hole	f.acc.sg	4		8	dcs:629604
svagākṛtyai	svagākṛti	NOUN	coverage-hole	f.dat.sg	4		8	dcs:718788_1
svāyaṃbhuvasya	svāyambhuva	NOUN	slot-conflict	m.gen.sg	7	svāyambhuvasya	8	dcs:758423
sāhīm	sah	ADJ	slot-conflict	f.acc.sg	4	saham	8	dcs:669477_1
sāyaṃprātar	sāyamprātar	ADV	indeclinable		5		8	dcs:634318
sītam	sītā	NOUN	coverage-hole	m.acc.sg	2		8	dcs:737940
sītaḥ	sītā	NOUN	coverage-hole	m.nom.sg	4		8	dcs:484278
tanutrāṇāḥ	tanutrāṇa	NOUN	coverage-hole	m.nom.pl	4		8	dcs:172648
tvotāsaḥ	tvota	ADJ	slot-conflict	m.nom.pl	6	tvotāḥ	8	dcs:591907
tṛṣvīm	tṛṣu	ADJ	slot-conflict	f.acc.sg	4	tṛṣum	8	dcs:648919
tṛṣṇasya	tṛṣṇā	NOUN	coverage-hole	m.gen.sg	4		8	dcs:478693
udarkāṇi	udarka	NOUN	coverage-hole	n.acc.pl	3		8	dcs:97158
ukthāyuvaṃ	ukthāyu	ADJ	slot-conflict	m.acc.sg	3	ukthāyum	8	dcs:671852
unmukhām	unmukha	ADJ	coverage-hole	f.acc.sg	4		8	dcs:617838
upacārām	upacāra	NOUN	coverage-hole	f.acc.sg	4		8	dcs:58825
upadham	upadhā	NOUN	coverage-hole	n.nom.sg	2		8	dcs:530284
upadhasya	upadhā	NOUN	coverage-hole	m.gen.sg	4		8	dcs:554055
upadohām	upadoha	NOUN	coverage-hole	f.acc.sg	4		8	dcs:308921
upakaraṇāḥ	upakaraṇa	NOUN	coverage-hole	m.nom.pl	4		8	dcs:194594
upāt	upa	NOUN	coverage-hole	m.abl.sg	6		8	dcs:551729
us	ṛ	NOUN	coverage-hole	m.nom.sg	2		8	dcs:551607
utpādikaḥ	utpādikā	NOUN	coverage-hole	m.nom.sg	4		8	dcs:464793
vaiṇavām	vaiṇava	ADJ	coverage-hole	f.acc.sg	7		8	dcs:458105
vakṣassu	vakṣas	NOUN	slot-conflict	n.loc.pl	4	vakṣaḥsu	8	dcs:593230_2
varpasam	varpas	NOUN	coverage-hole	f.acc.sg	2		8	dcs:633193_1
vasīyāṃsam	vasīyas	ADJ	coverage-hole	m.acc.sg	4		8	dcs:705022
vaṃśām	vaṃśa	NOUN	coverage-hole	f.acc.sg	4		8	dcs:123339
