mandala	sukta	verse	pada_letter	pratika	full_citation
1	46	5	a	ādāro vāṃ matīnām	RV.1.46.5a
1	46	5	b	nāsatyā matavacasā	RV.1.46.5b
1	46	5	c	pātaṃ somasya dhṛṣṇuyā	RV.1.46.5c
1	46	6	a	yā naḥ pīparad aśvinā	RV.1.46.6a; AVŚ.19.40.4a; AVP.11.15.5a
1	46	6	b	jyotiṣmatī tamas tiraḥ	RV.1.46.6b; AVŚ.19.40.4b; AVP.11.15.5b
1	46	6	c	tām asme rāsathām (AVP. rāsetām) iṣam	RV.1.46.6c; AVŚ.19.40.4c; AVP.11.15.5c
1	46	7	a	ā no nāvā matīnām	RV.1.46.7a
1	46	7	b	yātaṃ pārāya gantave	RV.1.46.7b
1	46	7	c	yuñjāthām aśvinā ratham	RV.1.46.7c; 8.73.1b
1	46	8	a	aritraṃ vāṃ divas pṛthu	RV.1.46.8a
1	46	8	b	tīrthe sindhūnāṃ rathaḥ	RV.1.46.8b
1	46	8	c	dhiyā yuyujra indavaḥ	RV.1.46.8c
1	46	9	a	divas kaṇvāsa indavaḥ	RV.1.46.9a
1	46	9	b	vasu sindhūnāṃ pade	RV.1.46.9b
1	46	9	c	svaṃ vavriṃ kuha dhitsathaḥ	RV.1.46.9c
1	46	10	a	abhūd u bhā u aṃśave	RV.1.46.10a
1	46	10	b	hiraṇyaṃ prati sūryaḥ	RV.1.46.10b
1	46	10	c	vy akhyaj jihvayāsitaḥ	RV.1.46.10c
1	46	11	a	abhūd u pāram etave	RV.1.46.11a
1	46	11	b	panthā ṛtasya sādhuyā	RV.1.46.11b
1	46	11	c	adarśi vi srutir divaḥ	RV.1.46.11c
1	46	12	a	tat-tad id aśvinor avaḥ	RV.1.46.12a. P: tat-tat VHDh.6.52,131; 7.155
1	46	12	b	jaritā prati bhūṣati	RV.1.46.12b
1	46	12	c	made somasya pipratoḥ	RV.1.46.12c
1	46	13	a	vāvasānā vivasvati	RV.1.46.13a
1	46	13	b	somasya pītyā girā	RV.1.46.13b
1	46	13	c	manuṣvac chaṃbhū ā gatam	RV.1.46.13c
1	46	14	a	yuvor uṣā anu śriyam	RV.1.46.14a
1	46	14	b	parijmanor upācarat	RV.1.46.14b
1	46	14	c	ṛtā vanatho aktubhiḥ	RV.1.46.14c
1	46	15	a	ubhā pibatam aśvinā	RV.1.46.15a; VS.34.28a; AB.1.22.3; 4.11.17; AŚ.4.7.4; 6.5.24. P: ubhā pibatam ŚŚ.5.10.18; 9.20.32. Cf. asya pibatam
1	46	15	b	ubhā naḥ śarma yachatam	RV.1.46.15b; VS.34.28b
1	46	15	c	avidriyābhir ūtibhiḥ	RV.1.46.15c; VS.34.28c
1	47	1	a	ayaṃ vāṃ madhumattamaḥ	RV.1.47.1a; SV.1.306a; ŚŚ.6.6.8; 9.20.16. P: ayaṃ vām AŚ.4.15.2
1	47	1	b	sutaḥ soma ṛtāvṛdhā	RV.1.47.1b; 2.41.4b; SV.2.260b; VS.7.9b; TS.1.4.5.1b; MS.1.3.7b: 32.16; KS.4.2b; ŚB.4.1.4.7b
1	47	1	c	tam aśvinā pibataṃ tiroahnyam	RV.1.47.1c; SV.1.306c
1	47	1	d	dhattaṃ ratnāni dāśuṣe	RV.1.47.1d; 8.35.22e–24e; SV.1.306d
1	47	2	a	trivandhureṇa trivṛtā supeśasā	RV.1.47.2a
1	47	2	b	rathenā yātam aśvinā	RV.1.47.2b; 8.8.11b,14d; 73.2b; 85.8b
1	47	2	c	kaṇvāso vāṃ brahma kṛṇvanty adhvare	RV.1.47.2c
1	47	2	d	teṣāṃ su śṛṇutaṃ havam	RV.1.47.2d
1	47	3	a	aśvinā madhumattamam	RV.1.47.3a
1	47	3	b	pātaṃ somam ṛtāvṛdhā	RV.1.47.3b,5d; 3.62.18c; 7.66.19c; 8.87.5d; SV.2.15c
1	47	3	c	athādya dasrā vasu bibhratā rathe	RV.1.47.3c
1	47	3	d	dāśvāṃsam upa gachatam	RV.1.47.3d; 4.46.5b
1	47	4	a	triṣadhasthe barhiṣi viśvavedasā	RV.1.47.4a
1	47	4	b	madhvā yajñaṃ mimikṣatam	RV.1.47.4b
1	47	4	c	kaṇvāso vāṃ sutasomā abhidyavaḥ	RV.1.47.4c
1	47	4	d	yuvāṃ havante aśvinā	RV.1.47.4d; 8.5.17c
1	47	5	a	yābhiḥ kaṇvam abhiṣṭibhiḥ	RV.1.47.5a
1	47	5	b	prāvataṃ yuvam aśvinā	RV.1.47.5b
1	47	5	c	tābhiḥ ṣv asmāṃ avataṃ śubhas patī	RV.1.47.5c
1	47	6	a	sudāse dasrā vasu bibhratā rathe	RV.1.47.6a
1	47	6	b	pṛkṣo vahatam aśvinā	RV.1.47.6b
1	47	6	c	rayiṃ samudrād uta vā divas pari	RV.1.47.6c
1	47	6	d	asme dhattaṃ puruspṛham	RV.1.47.6d
1	47	7	a	yan nāsatyā parāvati	RV.1.47.7a; 8.8.14a
1	47	7	b	yad vā stho adhi turvaśe	RV.1.47.7b. Cf. next
1	47	7	c	ato rathena suvṛtā na ā gatam	RV.1.47.7c
1	47	7	d	sākaṃ sūryasya raśmibhiḥ	RV.1.47.7d; 137.2e; 5.79.8c; 8.101.2d; AVP.7.13.2b; 15.19.2b; GB.2.3.13d
1	47	8	a	arvāñcā vāṃ saptayo’dhvaraśriyaḥ	RV.1.47.8a. Cf. arvāñcaṃ tvā sa°
1	47	8	b	vahantu savaned upa	RV.1.47.8b; 8.4.14d
1	47	8	c	iṣaṃ pṛñcantā sukṛte sudānave	RV.1.47.8c. Cf. iṣaṃ vahantīḥ
1	47	8	d	ā barhiḥ sīdataṃ narā	RV.1.47.8d; 8.87.2b
1	47	9	a	tena nāsatyā gatam	RV.1.47.9a; 8.22.5d
1	47	9	b	rathena sūryatvacā	RV.1.47.9b; 8.8.2b; VS.33.33b,73b; ŚŚ.7.10.12b
1	47	9	c	yena śaśvad ūhathur dāśuṣe vasu	RV.1.47.9c
1	47	9	d	madhvaḥ somasya pītaye	RV.1.47.9d; 8.85.1c–9c
1	47	10	a	ukthebhir arvāg avase purūvasū	RV.1.47.10a
1	47	10	b	arkaiś ca ni hvayāmahe	RV.1.47.10b
1	47	10	c	śaśvat kaṇvānāṃ sadasi priye hi kam	RV.1.47.10c
1	47	10	d	somaṃ papathur aśvinā	RV.1.47.10d
1	48	1	a	saha vāmena na uṣaḥ	RV.1.48.1a. P: saha vāmena AŚ.4.14.2; ŚŚ.6.5.8. Cf. BṛhD.3.113
1	48	1	b	vy uchā duhitar divaḥ	RV.1.48.1b; 5.79.3b,9a; SV.2.1092b. Cf. under vyuchantī duhitā
1	48	1	c	saha dyumnena bṛhatā vibhāvari	RV.1.48.1c
1	48	1	d	rāyā devi dāsvatī	RV.1.48.1d
1	48	2	a	aśvāvatīr gomatīr viśvasuvidaḥ	RV.1.48.2a
1	48	2	b	bhūri cyavanta vastave	RV.1.48.2b
1	48	2	c	ud īraya prati mā sūnṛtā uṣaḥ	RV.1.48.2c
1	48	2	d	coda rādho maghonām	RV.1.48.2d; 7.96.2d
1	48	3	a	uvāsoṣā uchāc ca nu	RV.1.48.3a
1	48	3	b	devī jīrā rathānām	RV.1.48.3b
1	48	3	c	ye asyā ācaraṇeṣu dadhrire	RV.1.48.3c
1	48	3	d	samudre na śravasyavaḥ	RV.1.48.3d
1	48	4	a	uṣo ye te pra yāmeṣu yuñjate	RV.1.48.4a
1	48	4	b	mano dānāya sūrayaḥ	RV.1.48.4b
1	48	4	c	atrāha tat kaṇva eṣāṃ kaṇvatamaḥ	RV.1.48.4c
1	48	4	d	nāma gṛṇāti nṛṇām	RV.1.48.4d
1	48	5	a	ā ghā yoṣeva sūnarī	RV.1.48.5a
1	48	5	b	uṣā yāti prabhuñjatī	RV.1.48.5b
1	48	5	c	jarayantī vṛjanaṃ padvad īyate	RV.1.48.5c
1	48	5	d	ut pātayati pakṣiṇaḥ	RV.1.48.5d
1	48	6	a	vi yā sṛjati samanaṃ vy arthinaḥ	RV.1.48.6a
1	48	6	b	padaṃ na vety odatī	RV.1.48.6b
1	48	6	c	vayo nakiṣ ṭe paptivāṃsa āsate	RV.1.48.6c
1	48	6	d	vyuṣṭau vājinīvati	RV.1.48.6d
1	48	7	a	eṣāyukta parāvataḥ	RV.1.48.7a
1	48	7	b	sūryasyodayanād adhi	RV.1.48.7b
1	48	7	c	śataṃ rathebhiḥ subhagoṣā iyam	RV.1.48.7c
1	48	7	d	vi yāty abhi mānuṣān	RV.1.48.7d
1	48	8	a	viśvam asyā nānāma cakṣase jagat	RV.1.48.8a
1	48	8	b	jyotiṣ kṛṇoti sūnarī	RV.1.48.8b; 7.81.1d; SV.1.303d; 2.101d; TB.3.1.3.2d
1	48	8	c	apa dveṣo maghonī duhitā divaḥ	RV.1.48.8c
1	48	8	d	uṣā uchad apa sridhaḥ	RV.1.48.8d; 7.81.6d
1	48	9	a	uṣa ā bhāhi bhānunā	RV.1.48.9a
1	48	9	b	candreṇa duhitar divaḥ	RV.1.48.9b. Cf. ā vahā duhitar
1	48	9	c	āvahantī bhūry asmabhyaṃ saubhagam	RV.1.48.9c
1	48	9	d	vyuchantī diviṣṭiṣu	RV.1.48.9d
1	48	10	a	viśvasya hi prāṇanaṃ jīvanaṃ tve	RV.1.48.10a
1	48	10	b	vi yad uchasi sūnari	RV.1.48.10b
1	48	10	c	sā no rathena bṛhatā vibhāvari	RV.1.48.10c
1	48	10	d	śrudhi citrāmaghe havam	RV.1.48.10d
1	48	11	a	uṣo vājaṃ hi vaṃsva	RV.1.48.11a
1	48	11	b	yaś citro mānuṣe jane	RV.1.48.11b
1	48	11	c	tenā vaha sukṛto adhvarāṃ upa	RV.1.48.11c
1	48	11	d	ye tvā gṛṇanti vahnayaḥ	RV.1.48.11d
1	48	12	a	viśvān devāṃ ā vaha somapītaye	RV.1.48.12a
1	48	12	b	antarikṣād uṣas tvam	RV.1.48.12b
1	48	12	c	sāsmāsu dhā gomad aśvavad ukthyam	RV.1.48.12c
1	48	12	d	uṣo vājaṃ suvīryam	RV.1.48.12d
1	48	13	a	yasyā ruśanto arcayaḥ	RV.1.48.13a
1	48	13	b	prati bhadrā adṛkṣata	RV.1.48.13b; 4.52.5a
1	48	13	c	sā no rayiṃ viśvavāraṃ supeśasam (AVŚ. °vāraṃ ni yachāt)	RV.1.48.13c; AVŚ.7.47.1c
1	48	13	d	uṣā dadātu sugmyam	RV.1.48.13d
1	48	14	a	ye cid dhi tvām ṛṣayaḥ pūrva ūtaye	RV.1.48.14a
1	48	14	b	juhūre’vase mahi (RV.8.8.6b, narā)	RV.1.48.14b; 8.8.6b
1	48	14	c	sā na stomāṃ abhi gṛṇīhi rādhasā	RV.1.48.14c
1	48	14	d	uṣaḥ śukreṇa śociṣā	RV.1.48.14d; 4.52.7c. Cf. under agniḥ śukreṇa
1	48	15	a	uṣo yad adya bhānunā	RV.1.48.15a
1	48	15	b	vi dvārāv ṛṇavo divaḥ	RV.1.48.15b
1	48	15	c	pra no yachatād avṛkaṃ pṛthu chardiḥ	RV.1.48.15c
1	48	15	d	pra devi gomatīr iṣaḥ	RV.1.48.15d
1	48	16	a	saṃ no rāyā bṛhatā viśvapeśasā	RV.1.48.16a
1	48	16	b	mimikṣvā sam iḍābhir ā	RV.1.48.16b
1	48	16	c	saṃ dyumnena viśvaturoṣo mahi	RV.1.48.16c
1	48	16	d	saṃ vājair vājinīvati	RV.1.48.16d
1	49	1	a	uṣo bhadrebhir ā gahi	RV.1.49.1a. P: uṣo bhadrebhiḥ AŚ.4.14.2; ŚŚ.6.5.4
1	49	1	b	divaś cid rocanād adhi	RV.1.49.1b; 5.56.1d; 8.8.7a
1	49	1	c	vahantv aruṇapsavaḥ	RV.1.49.1c
1	49	1	d	upa tvā somino gṛham	RV.1.49.1d
1	49	2	a	supeśasaṃ sukhaṃ ratham	RV.1.49.2a
1	49	2	b	yam adhyasthā uṣas tvam	RV.1.49.2b
1	49	2	c	tenā suśravasaṃ janam	RV.1.49.2c
1	49	2	d	prāvādya duhitar divaḥ	RV.1.49.2d
1	49	3	a	vayaś cit te patatriṇaḥ	RV.1.49.3a; SV.1.367a
1	49	3	b	dvipac catuṣpad (SV. dvipāc catuṣpād) arjuni	RV.1.49.3b; SV.1.367b
1	49	3	c	uṣaḥ prārann ṛtūṃr anu	RV.1.49.3c; SV.1.367c
1	49	3	d	divo antebhyas (KS. ’nte°) pari	RV.1.49.3d; 8.88.5b; SV.1.367d; KS.16.13b. See divaḥ sadobhyas
1	49	4	a	vyuchantī hi raśmibhiḥ	RV.1.49.4a
1	49	4	b	viśvam ā bhāsi rocanam (AVŚ.13.2.19c, rocana)	RV.1.49.4b; 50.4c; ArS.5.9c; AVŚ.13.2.19c; 20.47.16c; VS.33.36c; TS.1.4.31.1c; MS.4.10.6c: 158.13; KS.10.13c; TA.3.16.1c; MahānU.20.7c. Cf. prec
1	49	4	c	tāṃ tvām uṣar vasūyavaḥ	RV.1.49.4c
1	49	4	d	gīrbhiḥ kaṇvā ahūṣata	RV.1.49.4d
1	50	1	a	ud u tyaṃ jātavedasam	RV.1.50.1a; AVŚ.13.2.16a; 20.47.13a; SV.1.31a; VS.7.41a; 8.41a; 33.31a; TS.1.2.8.2a; 4.43.1a; 2.3.8.2; 4.14.4; 6.1.11.4; MS.1.3.37a: 43.6; KS.4.9a; 11.1; 30.5a; AB.4.9.10; ṢB.5.12; AdB.12; ŚB.4.3.4.9a; 6.2.2a; KA.1.198.1a,19a; 3.198,238; AŚ.6.5.18; ŚŚ.9.20.21; 18.2.2,3,5; Vait.33.5; 39.16; ApŚ.10.27.10; 19.23.4; 21.21.7; MŚ.2.4.5.4; 7.2.5.3; ŚG.4.6.4; MG.1.2.4; 19.4; JG.1.4a; N.7.20; 12.15a; ŚaṅkhaDh.9.17. Ps: ud u tyam TS.2.2.12.1; 5.12.1; 3.1.11.8; KS.9.19; 10.13; 13.16; 21.14; MS.4.9.11: 132.10; 4.9.12: 134.3; TB.3.1.3.3; 7.11.2; TA.4.11.8; 20.3; 5.9.11; KŚ.10.2.5; 13.2.12; Vait.21.23; ApŚ.3.11.2; 9.8.7; 12.3; 13.5.7; 15.16.10; 17.12; HG.1.9.9; BDh.2.5.8.12; 10.17.39; 18.7; LVyāsaDh.2.26; BṛhPDh.2.53,58; ut Rvidh.1.19.1. Cf. BṛhD.3.113
1	50	1	b	devaṃ vahanti ketavaḥ	RV.1.50.1b; AVŚ.13.2.16b; 20.47.13b; SV.1.31b; VS.7.41b; 8.41b; 33.31b; TS.1.2.8.2b; 4.43.1b; MS.1.3.37b: 43.6; KS.4.9b; 30.5b; ŚB.4.3.4.9b; 6.2.2b; KA.1.198.1b,19b; JG.1.4b; N.12.15b
1	50	1	c	dṛśe viśvāya sūryam (JG. adds svāhā)	RV.1.50.1c; AVŚ.13.2.16c; 20.47.13c; SV.1.31c; VS.7.41c; 8.41c; 33.31c; TS.1.2.8.2c; 4.43.1c; KS.4.9c; 30.5c; MS.1.3.37c: 43.7; ŚB.4.3.4.9c; 6.2.2c; KA.1.198.1c,19c; JG.1.4c; N.12.15c
1	50	2	a	apa tye tāyavo yathā	RV.1.50.2a; AVŚ.13.2.17a; 20.47.14a; ArS.5.7a
1	50	2	b	nakṣatrā yanty aktubhiḥ	RV.1.50.2b; AVŚ.13.2.17b; 20.47.14b; ArS.5.7b
1	50	2	c	sūrāya viśvacakṣase	RV.1.50.2c; AVŚ.13.2.17c; 20.47.14c; ArS.5.7c
1	50	3	a	adṛśram (AVŚ.13.2.18a, ArS.MS.KS.MŚ. adṛśrann) asya ketavaḥ	RV.1.50.3a; AVŚ.13.2.18a; 20.47.15a; ArS.5.8a; VS.8.40a; MS.1.3.33a: 41.7; KS.4.11a; ŚB.4.5.4.11a; ApŚ.16.12.1a; MŚ.7.2.2.26. P: adṛśram KŚ.12.3.2
1	50	3	b	vi raśmayo janāṃ anu	RV.1.50.3b; AVŚ.13.2.18b; 20.47.15b; ArS.5.8b; VS.8.40b; MS.1.3.33b: 41.7; KS.4.11b; ŚB.4.5.4.11b; ApŚ.16.12.1b
1	50	3	c	bhrājanto agnayo yathā	RV.1.50.3c; AVŚ.13.2.18c; 20.47.15c; ArS.5.8c; VS.8.40c; MS.1.3.33c: 41.8; KS.4.11c; ŚB.4.5.4.11c; ApŚ.16.12.1c; N.3.15
1	50	4	a	taraṇir viśvadarśataḥ	RV.1.50.4a; AVŚ.13.2.19a; 20.47.16a; ArS.5.9a; VS.33.36a; TS.1.4.31.1a; MS.4.10.6a: 158.12; 4.12.4: 190.12; KS.10.13a; TA.3.16.1a; MahānU.20.7a; AŚ.9.8.3; ŚŚ.3.18.6; ApŚ.16.12.1. P: taraṇiḥ ApŚ.12.15.10
1	50	4	b	jyotiṣkṛd asi sūrya	RV.1.50.4b; AVŚ.13.2.19b; 20.47.16b; ArS.5.9b; VS.33.36b; TS.1.4.31.1b; MS.4.10.6b: 158.12; KS.10.13b; TA.3.16.1b; MahānU.20.7b
1	50	5	a	pratyaṅ devānāṃ viśaḥ	RV.1.50.5a; AVŚ.13.2.20a; 20.47.17a; ArS.5.10a; N.12.24a
1	50	5	b	pratyaṅṅ ud eṣi mānuṣān (AVŚ.13.2.20b, mānuṣīḥ)	RV.1.50.5b; AVŚ.13.2.20b; 20.47.17b; ArS.5.10b; N.12.24b
1	50	5	c	pratyaṅ viśvaṃ svar dṛśe	RV.1.50.5c; AVŚ.13.2.20c; 20.47.17c; ArS.5.10c; N.12.24c
1	50	6	a	yenā pāvaka cakṣasā	RV.1.50.6a; AVŚ.13.2.21a; 20.47.18a; ArS.5.11a; VS.33.32a; N.12.22a–25a. Cf. BṛhD.3.113
1	50	6	b	bhuraṇyantaṃ janāṃ anu	RV.1.50.6b; AVŚ.13.2.21b; 20.47.18b; ArS.5.11b; VS.33.32b; N.12.22b–25b
1	50	6	c	tvaṃ varuṇa paśyasi	RV.1.50.6c; AVŚ.13.2.21c; 20.47.18c; ArS.5.11c; VS.33.22c; N.12.22c–25c
1	50	7	a	vi dyām eṣi rajas pṛthu	RV.1.50.7a; AVŚ.13.2.22a; 20.47.19a; N.12.23a. See ud dyām etc
1	50	7	b	ahā (AVŚ.13.2.22b, ahar) mimāno aktubhiḥ	RV.1.50.7b; AVŚ.13.2.22b; 20.47.19b; ArS.5.12b; N.12.23b
1	50	7	c	paśyañ (AVŚ. °yaṃ) janmāni sūrya	RV.1.50.7c; AVŚ.13.2.22c; 20.47.19c; ArS.5.12c; N.12.23c
1	50	8	a	sapta tvā harito rathe	RV.1.50.8a; ArS.5.14a; AVŚ.13.2.23a; 20.47.20a; TS.2.3.8.2; 4.14.4a; MS.4.10.6a: 158.10; 4.12.4: 190.11; KS.9.19a; 11.1; ApŚ.19.23.4
1	50	8	b	vahanti deva sūrya	RV.1.50.8b; AVŚ.13.2.23b; 20.47.20b; ArS.5.14b; TS.2.4.14.4b; MS.4.10.6b: 158.10; KS.9.19b
1	50	8	c	śociṣkeśaṃ vicakṣaṇa (AVŚ.13.2.23c, °ṇam)	RV.1.50.8c; ArS.5.14c; AVŚ.13.2.23c; 20.47.20c; TS.2.4.14.4c; KS.9.19c. Cf. śociṣkeśaṃ puru°
1	50	9	a	ayukta sapta śundhyuvaḥ	RV.1.50.9a; AVŚ.13.2.24a; 20.47.21a; ArS.5.13a; KS.9.19a; 11.1; TB.2.4.5.4a
1	50	9	b	sūro rathasya naptyaḥ (ArS. naptryaḥ; TB. naptriyaḥ)	RV.1.50.9b; AVŚ.13.2.24b; 20.47.21b; ArS.5.13b; KS.9.19b; TB.2.4.5.4b
1	50	9	c	tābhir yāti svayuktibhiḥ	RV.1.50.9c; AVŚ.13.2.24c; 20.47.21c; ArS.5.13c; KS.9.19c; TB.2.4.5.4c
1	50	10	a	ud vayaṃ tamasas pari	RV.1.50.10a; AVŚ.7.53.7a; AVP.5.6.9a; VS.20.21a; 27.10a; 35.14a; 38.24a; TS.4.1.7.4a; 5.1.8.6; MS.2.12.5a: 149.12; 3.4.6: 51.19; 4.9.27a: 140.5; KS.18.16a; 22.1; 38.5a; JB.2.68a; TB.2.4.4.9a; 6.6.4a; 3.7.11.2; ŚB.12.9.2.8; 13.8.4.7; 14.3.1.28; AA.3.2.4.8; TA.4.11.8; 20.3; 6.3.2a; 4.2; 9.2; KA.1.198.20a; ChU.3.17.7a; AŚ.6.13.15; LŚ.2.12.10a; ApŚ.3.11.2; 8.8.18; 9.8.7; 12.3; 13.22.5; 15.16.10; 17.12; 16.7.7; 19.10.5; MŚ.4.3.41; –4.6.5; JG.1.4a; 1.13; BDh.2.5.8.12; 10.18.11; Svidh.2.4.9; 5.3. P: ud vayam ŚŚ.4.13.1; Vait.24.4; KŚ.10.9.7; 26.7.38; Kauś.24.32
1	50	10	b	jyotiṣ paśyanta uttaram	RV.1.50.10b; AVP.5.6.9b; KS.18.16b; 22.1; KA.1.198.20b; ChU.3.17.7b. See under jyotiḥ etc
1	50	10	c	devaṃ devatrā sūryam	RV.1.50.10c; AVŚ.7.53.7c; AVP.5.6.9c; VS.20.21c; 27.10c; 35.14c; 38.24c; TS.4.1.7.4c; MS.2.12.5c: 149.13; 4.9.27c: 140.6; KS.18.16c; 38.5c; JB.2.68c; ŚB.12.9.2.8; 14.3.1.28; TB.2.4.4.9c; 6.6.4c; TA.6.3.2c; KA.1.198.20c; LŚ.2.12.10d; ChU.3.17.7d; JG.1.4c
1	50	10	d	aganma jyotir uttamam (TB.2.4.4.9d in text, and once in commentary, uttaram; JG. adds svāhā)	RV.1.50.10d; AVŚ.7.53.7d; 18.3.64e; AVP.5.6.9d; VS.20.21d; 27.10d; 35.14d; 38.24d; TS.4.1.7.4d; 5.1.8.6; MS.2.12.5d: 149.13; 4.9.27d: 140.6; KS.18.16d; 38.5d; TB.2.4.4.9d; 6.6.4d; ŚB.12.9.2.8; 14.3.1.28; JB.2.68d; TA.6.3.2d; KA.1.198.20d; LŚ.2.12.10e; ChU.3.17.7e; JG.1.4d
1	50	11	a	udyann adya mitramahaḥ	RV.1.50.11a; TB.3.7.6.21a,22a; ApŚ.4.15.1a (bis). Cf. BṛhD.3.114; Rvidh.1.19.3. Cf. prec., and anu sūryam
1	50	11	b	ārohann uttarāṃ divam	RV.1.50.11b; TB.3.7.6.22b; ApŚ.4.15.1b
1	50	11	c	hṛdrogaṃ mama sūrya	RV.1.50.11c; TB.3.7.6.22c; ApŚ.4.15.1c. Cf. hṛddyoto
1	50	11	d	harimāṇaṃ ca nāśaya	RV.1.50.11d; TB.3.7.6.22d; ApŚ.4.15.1d. Cf. atho aharito, and atho’harito
1	50	12	a	śukeṣu me (AVP. te) harimāṇam	RV.1.50.12a; AVP.1.28.4a; TB.3.7.6.22a; ApŚ.4.15.1a. See sukeṣu
1	50	12	b	ropāṇākāsu dadhmasi	RV.1.50.12b; AVŚ.1.22.4b; TB.3.7.6.22b; ApŚ.4.15.1b. Cf. prapaṇākāsu
1	50	12	c	atho hāridraveṣu me (AVŚ.AVP. te)	RV.1.50.12c; AVŚ.1.22.4c; AVP.1.28.4c; TB.3.7.6.23c; ApŚ.4.15.1c
1	50	12	d	harimāṇaṃ ni dadhmasi	RV.1.50.12d; AVŚ.1.22.4d; AVP.1.28.4d; TB.3.7.6.23d; ApŚ.4.15.1d
1	50	13	a	ud agād ayam ādityaḥ	RV.1.50.13a; AVŚ.17.1.24a; TB.3.7.6.23a; ApŚ.4.15.1a
1	50	13	b	viśvena sahasā (AVŚ. tapasā) saha	RV.1.50.13b; AVŚ.17.1.24b; TB.3.7.6.23b; ApŚ.4.15.1b
1	50	13	c	dviṣantaṃ mahyaṃ (TB.ApŚ. mama) randhayan	RV.1.50.13c; TB.3.7.6.23c; ApŚ.4.15.1c. P: dviṣantam Rvidh.1.19.2,4
1	50	13	d	mo ahaṃ dviṣate (TB.ApŚ. °to) radham	RV.1.50.13d; TB.3.7.6.23d; ApŚ.4.15.1d
1	51	1	a	abhi tyaṃ meṣaṃ puruhūtam ṛgmiyam	RV.1.51.1a; SV.1.376a; AB.5.17.3; KB.25.6; 26.9. P: abhi tyaṃ meṣam AŚ.6.4.10; 8.6.12; ŚŚ.9.7.4; 10.9.13; 11.14.9; Svidh.1.7.13; 3.6.9. Designated as sāvyam (sc. sūktam) ŚŚ.11.14.25,27
1	51	1	b	indraṃ gīrbhir madatā vasvo arṇavam	RV.1.51.1b; SV.1.376b
1	51	1	c	yasya dyāvo na vicaranti mānuṣā (SV. °ṣam)	RV.1.51.1c; SV.1.376c
1	51	1	d	bhuje maṃhiṣṭham abhi vipram arcata	RV.1.51.1d; SV.1.376d
1	51	2	a	abhīm avanvan svabhiṣṭim ūtayaḥ	RV.1.51.2a
1	51	2	b	antarikṣaprāṃ taviṣībhir āvṛtam	RV.1.51.2b
1	51	2	c	indraṃ dakṣāsa ṛbhavo madacyutam	RV.1.51.2c
1	51	2	d	śatakratuṃ javanī sūnṛtāruhat	RV.1.51.2d
1	51	3	a	tvaṃ gotram aṅgirobhyo’vṛṇor apa	RV.1.51.3a
1	51	3	b	utātraye śatadureṣu gātuvit	RV.1.51.3b
1	51	3	c	sasena cid vimadāyāvaho vasu	RV.1.51.3c
1	51	3	d	ājāv adriṃ vāvasānasya nartayan	RV.1.51.3d
1	51	4	a	tvam apām apidhānāvṛṇor apa	RV.1.51.4a
1	51	4	b	adhārayaḥ parvate dānumad vasu	RV.1.51.4b
1	51	4	c	vṛtraṃ yad indra śavasāvadhīr ahim	RV.1.51.4c
1	51	4	d	ād it sūryaṃ divy ārohayo dṛśe	RV.1.51.4d; KB.25.7
1	51	5	a	tvaṃ māyābhir apa māyino’dhamaḥ	RV.1.51.5a
1	51	5	b	svadhābhir ye adhi śuptāv ajuhvata	RV.1.51.5b
1	51	5	c	tvaṃ pipror nṛmaṇaḥ prārujaḥ puraḥ	RV.1.51.5c
1	51	5	d	pra ṛjiśvānaṃ dasyuhatyeṣv āvitha	RV.1.51.5d
1	51	6	a	tvaṃ kutsaṃ śuṣṇahatyeṣv āvitha	RV.1.51.6a
1	51	6	b	arandhayo’tithigvāya śambaram	RV.1.51.6b
1	51	6	c	mahāntaṃ cid arbudaṃ ni kramīḥ padā	RV.1.51.6c
1	51	6	d	sanād eva dasyuhatyāya jajñiṣe	RV.1.51.6d
1	51	7	a	tve viśvā taviṣī sadhryag ghitā	RV.1.51.7a
1	51	7	b	tava rādhaḥ somapīthāya harṣate	RV.1.51.7b
1	51	7	c	tava vajraś cikite bāhvor hitaḥ	RV.1.51.7c
1	51	7	d	vṛścā śatror ava viśvāni vṛṣṇyā	RV.1.51.7d
1	51	8	a	vi jānīhy āryān ye ca dasyavaḥ	RV.1.51.8a
1	51	8	b	barhiṣmate randhayā śāsad avratān	RV.1.51.8b
1	51	8	c	śākī bhava yajamānasya coditā	RV.1.51.8c
1	51	8	d	viśvet tā te sadhamādeṣu cākana	RV.1.51.8d
1	51	9	a	anuvratāya randhayann apavratān	RV.1.51.9a
1	51	9	b	ābhūbhir indraḥ śnathayann anābhuvaḥ	RV.1.51.9b
1	51	9	c	vṛddhasya cid vardhato dyām inakṣataḥ	RV.1.51.9c
1	51	9	d	stavāno vamro vi jaghāna saṃdihaḥ	RV.1.51.9d
1	51	10	a	takṣad yat ta uśanā sahasā sahaḥ	RV.1.51.10a
1	51	10	b	vi rodasī majmanā bādhate śavaḥ	RV.1.51.10b
1	51	10	c	ā tvā vātasya nṛmaṇo manoyujaḥ	RV.1.51.10c
1	51	10	d	ā pūryamāṇam avahann abhi śravaḥ	RV.1.51.10d
1	51	11	a	mandiṣṭa yad uśane kāvye sacā	RV.1.51.11a
1	51	11	b	indro vaṅkū vaṅkutarādhi tiṣṭhati	RV.1.51.11b
