k1	status	pw_entries	pwg_entries	pw_blocks	pwg_blocks	matched_blocks	cut_blocks	pwg_extra_blocks	cut_gloss_sample
GftacyutA	shared	1	1	1	2	0	1	2	<div> 39 chars, no gloss
Gftaduh	shared	1	1	1	1	0	1	1	Ghee melkend
GftakOSika	shared	1	1	1	1	0	1	1	sein Geschlecht
GftakeSa	shared	1	1	1	1	0	1	1	dessen Haar von Ghee trieft
GftapAvan	shared	1	1	1	1	0	1	1	Ghee trinkend
GftapU	shared	1	1	1	1	0	1	1	Ghee klärend
GftapUra	shared	1	2	1	2	0	1	2	eine Art Gebäck
Gftapa	shared	1	1	1	1	0	1	1	nur Ghee Trinkend,
Gftapfc	shared	1	1	1	1	0	1	1	Ghee reichlich schenkend
GftaprI	shared	1	1	1	1	0	1	1	an Ghee sich ergötzend
GftapratIka	shared	1	1	1	1	0	1	1	dessen Antlitz mit Ghee bestrichen ist
Gftaprayas	shared	1	1	1	1	0	1	1	mit fetten Leckerbissen versehen
GftarOQIya	shared	1	1	1	1	0	1	1	einer best. Schule
GftasTalA	shared	1	1	1	2	0	1	2	<div> 40 chars, no gloss
Gftasad	shared	1	1	1	1	0	1	1	in Ghee sitzend
GftasnA	shared	1	1	1	1	0	1	1	in Ghee getaucht
Gftavara	shared	1	1	1	2	0	1	2	eine Art Gebäck
Gftayoni	shared	1	1	1	1	0	1	1	Ghee im Schoosse habend, Segen —, Wohlfahrt verleihend
Gfteyu	shared	1	1	1	1	0	1	1	<div> 50 chars, no gloss
GnI	shared	1	1	1	1	0	1	1	<div> 25 chars, no gloss
Gonasa	shared	1	1	1	1	0	1	1	<div> 29 chars, no gloss
GoqAcolin	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
GoqeSvaratIrTa	shared	1	1	1	1	0	1	1	<div> 44 chars, no gloss
Goracakzas	shared	1	1	1	1	0	1	1	grausig aussehend oder — blickend
GorarAsana	shared	1	1	1	1	0	1	1	<div> 47 chars, no gloss
GorarAsin	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
GoravASin	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
GozAtakI	shared	1	1	1	2	0	1	2	eine best. Pflanze
Gozad	shared	1	2	1	2	0	1	2	Geld oder Stoff
Gozamati	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
Gozavasu	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
Gozi	shared	1	1	1	1	0	1	1	laut ertönend
GrARapAka	shared	1	1	1	1	0	1	1	eine best. Krankheit der Nase
GrARaskanda	shared	1	2	1	2	0	1	2	das Schnäuzen der Nase
GraRR	shared	1	1	1	2	0	1	2	<div> 40 chars, no gloss
GuMz	shared	1	1	1	1	0	1	1	<div> 43 chars, no gloss
GuR	shared	1	1	1	2	0	1	2	<div> 52 chars, no gloss
GuRAkzara	shared	1	2	1	2	0	1	2	ein durch Holzwürmer hervorgebrachter Einschnitt im Holze, der zufälligerweise wie Schrift aussieht;
GuRR	shared	1	1	1	2	0	1	2	<div> 39 chars, no gloss
GuSmeSaliNga	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
GulaYca	shared	1	1	1	1	0	1	1	Coix barbata
Gum	shared	1	1	1	1	0	1	1	<div> 17 chars, no gloss
Guq	shared	1	1	1	1	0	1	1	<div> 47 chars, no gloss
GuraRa	shared	1	1	1	1	0	1	1	ein best. Laut
INKaya	shared	1	1	1	1	0	1	1	in Bewegung setzend
IRmant	shared	1	1	1	1	0	1	1	<div> 32 chars, no gloss
ISADyAya	shared	1	1	1	1	0	1	1	<div> 34 chars, no gloss
ISAnacandra	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
ISAnadevI	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
ISAnaja	shared	1	1	1	1	0	1	1	eine best. Götterordnung
ISAnya	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
ISAvAsya	shared	1	2	1	2	0	1	2	<div> 34 chars, no gloss
ISagItA	shared	1	1	1	2	0	1	2	<div> 60 chars, no gloss
ISahfdaya	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
ISasaKi	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
ISay	shared	1	1	1	1	0	1	1	<div> 60 chars, no gloss
ISitA	shared	1	2	1	2	0	1	2	Allmacht
ISopanizad	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
ISvarAnanda	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
ISvarItantra	shared	1	1	1	1	0	1	1	<div> 86 chars, no gloss
ISvaracandrarAya	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
ISvaradatta	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
ISvarakfzRa	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
ISvaramInanATasaMvAda	shared	1	1	1	1	0	1	1	<div> 49 chars, no gloss
ISvarapratyaBijYA	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
ISvarasUri	shared	1	1	1	1	0	1	1	<div> 42 chars, no gloss
ISvaratIrTAcArya	shared	1	1	1	1	0	1	1	Lehrers
ISvaratva	shared	1	1	1	1	0	1	1	Herrschaft, Oberherrschaft
ISvaravAda	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
ISvaravarman	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
IjAna	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
Ijika	shared	1	1	1	1	0	1	1	<div> 51 chars, no gloss
Ili	shared	1	1	1	1	0	1	1	eine Art Schwert
Int	shared	1	1	1	2	0	1	2	<div> 36 chars, no gloss
Ips	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
Iqya	shared	1	1	1	1	0	1	1	zu preisen, preisenswerth
IrAmA	shared	1	2	1	2	0	1	2	<div> 50 chars, no gloss
Irin	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
Irkzy	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
IrmAnta	shared	1	1	1	1	0	1	1	deren Büge dicht bei einander stehen
Irman	shared	1	1	1	1	0	1	1	<div> 44 chars, no gloss
Irts	shared	1	1	1	1	0	1	1	<div> 42 chars, no gloss
IrugapadaRqanATa	shared	1	1	1	1	0	1	1	<div> 52 chars, no gloss
IrvAru	shared	1	2	1	2	0	1	2	<div> 32 chars, no gloss
IrzA	shared	1	2	1	2	0	1	2	<div> 95 chars, no gloss
Irzyaka	shared	1	1	1	1	0	1	1	eine Art Schwächling
IsarAPa	shared	1	1	1	1	0	1	1	des 4ten
IyivaMs	shared	1	1	1	1	0	1	1	<div> 59 chars, no gloss
Izat	shared	1	2	1	2	0	1	2	annähernd, obenhin, leichthin, ein wenig, etwas
Izma	shared	1	1	1	1	0	1	1	<div> 25 chars, no gloss
Izva	shared	1	1	1	1	0	1	1	Lehrer
JAbuka	shared	1	1	1	1	0	1	1	Tamarindenbaum
JAlA	shared	1	1	1	1	0	1	1	Grille, Heimchen
JAvu	shared	1	2	1	2	0	1	2	Tamarix indica
JAwAmalA	shared	1	1	1	1	0	1	1	Flacourtia cataphracta
JAwala	shared	1	1	1	1	0	1	1	Bignonia suaveolens
JAwikA	shared	1	1	1	1	0	1	1	Flacourtia cataphracta
JOlika	shared	1	1	1	1	0	1	1	Säckchen
JUz	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
JaMkArin	shared	1	1	1	1	0	1	1	klirrend, rieselnd, summend
JaMkfta	shared	1	1	1	1	0	1	1	<div> 50 chars, no gloss
JaRaJaRAy	shared	1	1	1	1	0	1	1	klingen, klirren, rasseln; klingend, rasselnd
JaRwISa	shared	1	1	1	1	0	1	1	<div> 26 chars, no gloss
JaRwi	shared	1	1	1	1	0	1	1	<div> 25 chars, no gloss
JaYJA	shared	1	2	1	2	0	1	2	Gebrause; ein brausender Windstoss
JalaJalAy	shared	1	1	1	1	0	1	1	<div> 68 chars, no gloss
JalajJalA	shared	1	2	1	2	0	1	2	eine best. Geräusches
Jali	shared	1	1	1	1	0	1	1	Arecanuss
Jam	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
JanajJanA	shared	1	2	1	2	0	1	2	<div> 42 chars, no gloss
JanatkAra	shared	1	1	1	1	0	1	1	<div> 34 chars, no gloss
JarJarita	shared	1	1	1	1	0	1	1	zerschlagen, zerschossen; mitgenommen, welk geworden, verdorrt
Jarc	shared	1	1	1	1	0	1	1	<div> 129 chars, no gloss
JazANka	shared	1	1	1	1	0	1	1	<div> 57 chars, no gloss
JazASana	shared	1	1	1	1	0	1	1	Delphinus gangeticus
JazodarI	shared	1	1	1	1	0	1	1	<div> 60 chars, no gloss
JiNgAka	shared	1	1	1	1	0	1	1	Luffa acutangula
JiRwi	shared	1	1	1	1	0	1	1	Barleria cristata
Jillin	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
Jumari	shared	1	1	1	1	0	1	1	eine best.
Jyu	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KADUyA	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KARqa	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KARqavAyana	shared	1	1	1	1	0	1	1	<div> 58 chars, no gloss
KARqavIraRa	shared	1	1	1	1	0	1	1	<div> 86 chars, no gloss
KARqavaka	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KARqavaprasTa	shared	1	2	1	2	0	1	2	<div> 60 chars, no gloss
KARqavika	shared	1	1	1	1	0	1	1	<div> 28 chars, no gloss
KARqikIya	shared	1	1	1	1	0	1	1	<div> 94 chars, no gloss
KARqiti	shared	1	1	1	1	0	1	1	<div> 53 chars, no gloss
KASi	shared	1	1	1	2	0	1	2	<div> 53 chars, no gloss
KASmarI	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
KAYjAla	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KAYjAra	shared	1	1	1	1	0	1	1	<div> 58 chars, no gloss
KAdUraka	shared	1	1	1	1	0	1	1	<div> 43 chars, no gloss
KAdatamodatA	shared	1	1	1	1	0	1	1	beständiges Essen und Fröhlichsein
KAdihasta	shared	1	1	1	1	0	1	1	Ringe an den Händen habend
KAdirAyaRa	shared	1	1	1	1	0	1	1	<div> 43 chars, no gloss
KAdiragfhya	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAdiraka	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KAdireya	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KAgi	shared	1	1	1	1	0	1	1	<div> 54 chars, no gloss
KAlika	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
KAlitya	shared	1	1	1	1	0	1	1	Kahlköpfigkeit
KAlyakAyani	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
KAnArAya	shared	1	2	1	2	0	1	2	<div> 37 chars, no gloss
KAni	shared	1	2	1	2	0	1	2	Grube, Mine, Fundort von
KAnya	shared	1	1	1	2	0	1	2	was gegraben —, was ausgegraben wird
KApagA	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KApara	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAqAyanIya	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAqAyana	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAqAyanaBakta	shared	1	1	1	1	0	1	1	von; bewohnt
KAqAyanaka	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAqI	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KAqUreya	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KAqiki	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KAqonmatteya	shared	1	1	1	1	0	1	1	<div> 49 chars, no gloss
KAra	shared	1	1	1	1	0	1	1	ein best. Hohlmaass
KAraSatika	shared	1	1	1	1	0	1	1	hundert; enthaltend
KAranAdi	shared	1	1	1	1	0	1	1	<div> 44 chars, no gloss
KArapAyaRa	shared	1	1	1	1	0	1	1	<div> 43 chars, no gloss
KArgali	shared	1	2	1	2	0	1	2	<div> 62 chars, no gloss
KAri	shared	1	1	1	1	0	1	1	<div> 32 chars, no gloss
KAriMDama	shared	1	1	1	2	0	1	2	<div> 35 chars, no gloss
KAriMpaca	shared	1	1	1	1	0	1	1	das Quantum einer; kochend
KArjUrAyaRa	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
KArjUra	shared	1	1	1	1	0	1	1	von der Phoenix sylvestris kommend, daraus bereitet
KArjurakarRa	shared	1	1	1	1	0	1	1	<div> 51 chars, no gloss
KAsatA	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KAt	shared	1	1	1	2	0	1	2	<div> 31 chars, no gloss
KAw	shared	1	1	1	2	0	1	2	sich räuspern
KElAyana	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KIra	shared	1	1	1	1	0	1	1	<div> 36 chars, no gloss
KaBrAnti	shared	1	1	1	1	0	1	1	Falco cheela
KaKolka	shared	1	2	1	2	0	1	2	die Sonne
KaNKa	shared	1	1	1	1	0	1	1	<div> 34 chars, no gloss
KaNkara	shared	1	1	1	1	0	1	1	Haarlocke
KaRaKaRAy	shared	1	1	1	1	0	1	1	klirren, knacken, krachen; klirrend
KaRq	shared	1	1	1	2	0	1	2	<div> 58 chars, no gloss
KaRqAmalaka	shared	1	1	1	1	0	1	1	Eingemachtes von zerstückelten Myrobalanen
KaRqIya	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KaRqaKAwwaka	shared	1	1	1	1	0	1	1	<div> 83 chars, no gloss
KaRqaKaRqA	shared	1	1	1	1	0	1	1	<div> 64 chars, no gloss
KaRqaSAKA	shared	1	1	1	1	0	1	1	eine best. Schlingpflanze
KaRqadeva	shared	1	2	1	2	0	1	2	<div> 38 chars, no gloss
KaRqadravya	shared	1	1	1	1	0	1	1	<div> 51 chars, no gloss
KaRqagiri	shared	1	1	1	1	0	1	1	Berges
KaRqakAlu	shared	1	1	1	1	0	1	1	ein best. Knollengewächs
KaRqakaTA	shared	1	1	1	1	0	1	1	Quasi-Erzählung,; einer best. [Page2-135-b] Art von Erzählungen
KaRqameru	shared	1	1	1	1	0	1	1	ein best. musikalisches Schema
KaRqanIya	shared	1	1	1	1	0	1	1	zu zerstückeln, zu zerschneiden
KaRqanaKaRqaKAdya	shared	1	1	1	1	0	1	1	<div> 56 chars, no gloss
KaRqapARi	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KaRqapraSasti	shared	1	1	1	2	0	1	2	<div> 63 chars, no gloss
KaRqasaMsTApaka	shared	1	1	1	1	0	1	1	Zuckerbäcker
KaRqava	shared	1	1	1	1	0	1	1	<div> 82 chars, no gloss
KaRqavawaka	shared	1	1	1	1	0	1	1	<div> 60 chars, no gloss
KaRqendu	shared	1	1	1	1	0	1	1	Mondsichel
KaRqerAya	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
KaRqiman	shared	1	1	1	1	0	1	1	<div> 44 chars, no gloss
KaRqitavftta	shared	1	1	1	1	0	1	1	bescholten
KaRqu	shared	1	1	1	2	0	1	2	<div> 31 chars, no gloss
KaSIra	shared	1	1	1	2	0	1	2	<div> 56 chars, no gloss
KaSa	shared	1	2	1	5	0	1	5	<div> 75 chars, no gloss
KaSewa	shared	1	1	1	1	0	1	1	<div> 54 chars, no gloss
KaYjAra	shared	1	1	1	1	0	1	1	<div> 55 chars, no gloss
KaYjabAhu	shared	1	1	1	1	0	1	1	<div> 58 chars, no gloss
KaYjanarata	shared	1	1	1	1	0	1	1	der geheim gehaltene Beischlaf der Asketen
KaYjarIwaka	shared	1	1	1	1	0	1	1	Bachstelze
Kacamasa	shared	1	1	1	1	0	1	1	der Mond
Kacaratva	shared	1	1	1	2	0	1	2	<div> 65 chars, no gloss
Kacitra	shared	1	1	1	1	0	1	1	ein Gemälde in der Luft,; ein Unding
KadUraka	shared	1	1	1	2	0	1	2	<div> 38 chars, no gloss
KadUravAsinI	shared	1	1	1	1	0	1	1	<div> 49 chars, no gloss
KadirIya	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KadirasvAmin	shared	1	1	1	1	0	1	1	<div> 46 chars, no gloss
KadiravaRika	shared	1	1	1	1	0	1	1	<div> 78 chars, no gloss
Kadiravarman	shared	1	1	1	1	0	1	1	<div> 42 chars, no gloss
KagABirAma	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KagADipa	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KagaRa	shared	1	1	1	1	0	1	1	<div> 48 chars, no gloss
KagaSatru	shared	1	1	1	1	0	1	1	Hemionitis cordifolia
KagaYja	shared	1	1	1	1	0	1	1	<div> 36 chars, no gloss
Kagapati	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KagarBa	shared	1	2	1	2	0	1	2	<div> 42 chars, no gloss
KagasTAna	shared	1	1	1	1	0	1	1	Baumhöhle
Kagati	shared	1	2	1	2	0	1	2	ein best. Metrum
Kagavaktra	shared	1	1	1	1	0	1	1	{{Artocarpus locucha->Artocarpus lacucha||20241207|Jim Funderburk, Thomas Malten|https://github.com/
KageSvara	shared	1	1	1	1	0	1	1	Geier
Kaggaqa	shared	1	1	1	2	0	1	2	Saccharum spontaneum
Kagoqa	shared	1	1	1	1	0	1	1	Saccharum spontaneum
Kaj	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
Kajakft	shared	1	1	1	1	0	1	1	ein Schlachtgewühl bewirkend
Kajala	shared	1	1	1	1	0	1	1	Nebel
Kajyotis	shared	1	1	1	2	0	1	2	Leuchtfliege; Käfer
Kakuntala	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
Kal	shared	1	1	1	2	0	1	2	<div> 45 chars, no gloss
KalAjina	shared	1	1	1	1	0	1	1	<div> 57 chars, no gloss
Kalaja	shared	1	1	1	1	0	1	1	in der Scheuer entstanden
Kalaka	shared	1	1	1	1	0	1	1	Bdellion
Kalakula	shared	1	1	1	1	0	1	1	Dolichos uniflorus
KalapU	shared	1	1	1	1	0	1	1	der da kehrt
KaleDAnI	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KaleSa	shared	1	1	1	2	0	1	2	<div> 65 chars, no gloss
Kaleyavam	shared	1	1	1	1	0	1	1	zur Zeit, wenn die Gerste in die Scheuer gebracht wird
KaliSa	shared	1	1	1	2	0	1	2	Trichopodus golisa; Esox kankila
KallAtaka	shared	1	1	1	1	0	1	1	<div> 61 chars, no gloss
KallIwa	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KalliSa	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
Kalvala	shared	1	1	1	1	0	1	1	eine best. Schule
KalyakA	shared	1	1	1	1	0	1	1	ein Frauenname
Kam	shared	1	1	1	2	0	1	2	<div> 17 chars, no gloss
KamUli	shared	1	1	1	1	0	1	1	Pistia stratiotes
KamaRi	shared	1	2	1	2	0	1	2	die Sonne
Kamb	shared	1	1	1	1	0	1	1	<div> 36 chars, no gloss
KanaKanAy	shared	1	1	1	1	0	1	1	<div> 71 chars, no gloss
KanapAna	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
Kaninetra	shared	1	1	1	1	0	1	1	<div> 57 chars, no gloss
KaqatU	shared	1	1	1	1	0	1	1	ein am Arm und am; getragener Schmuck
Kaqavant	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
KaqgAmiza	shared	1	1	1	1	0	1	1	Rhinocerosfleisch
KaqgaDArA	shared	1	1	1	1	0	1	1	Schwertklinge; ein über die Maassen schwieriges Vorhaben
KaqgaPala	shared	1	2	1	2	0	1	2	Schwertklinge
KaqgamAlAtantra	shared	1	1	1	2	0	1	2	<div> 43 chars, no gloss
Kaqgaroman	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
Kaqgawa	shared	1	1	1	1	0	1	1	eine best. Rohrart
KaqgimAra	shared	1	1	1	1	0	1	1	Scirpus maximus
Kaqika	shared	1	1	1	2	0	1	2	<div> 34 chars, no gloss
KaqonmattA	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KaqqukA	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
KaqukA	shared	1	1	1	1	0	1	1	<div> 31 chars, no gloss
KarARqaka	shared	1	1	1	1	0	1	1	<div> 58 chars, no gloss
KarASvA	shared	1	1	1	1	0	1	1	Celosia cristata und *verschiedene andere Pflanzen
KarAgarI	shared	1	1	1	1	0	1	1	Andropogon serratus
KarIjaNGa	shared	1	1	1	1	0	1	1	sein Geschlecht
KarIvizARa	shared	1	1	1	1	0	1	1	Eselshorn,; ein Unding
KaraDvaMsin	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KaraGAtana	shared	1	1	1	1	0	1	1	Mesua ferrea
KaraRas	shared	1	1	1	1	0	1	1	<div> 46 chars, no gloss
KaraSAlA	shared	1	1	1	1	0	1	1	Eselsstall
KaradaRqa	shared	1	1	1	2	0	1	2	Lotusblüthe
KaradalA	shared	1	1	1	1	0	1	1	Ficus oppositifolia
KarajaNGA	shared	1	1	1	1	0	1	1	<div> 63 chars, no gloss
KarakAzWikA	shared	1	1	1	1	0	1	1	Sida cordifolia
KarakarRI	shared	1	1	1	1	0	1	1	<div> 63 chars, no gloss
Karaketu	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
Karakomala	shared	1	1	1	1	0	1	1	der Monat
KaramaYjari	shared	1	1	1	1	0	1	1	Achyranthes aspera
KaranAla	shared	1	1	1	2	0	1	2	Lotusblüthe
KaranaKara	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
KaranarAya	shared	1	1	1	2	0	1	2	<div> 39 chars, no gloss
KarapAdAQya	shared	1	1	1	1	0	1	1	Feronia elephantum
Karapa	shared	1	1	1	1	0	1	1	sein Geschlecht
Kararoman	shared	1	1	1	1	0	1	1	<div> 48 chars, no gloss
KaravallikA	shared	1	1	1	1	0	1	1	Uraria lagopodioides
Karba	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
KariMDama	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
KarikA	shared	1	1	1	1	0	1	1	eine Art Moschus
Karja	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
KarjurakarRa	shared	1	1	1	1	0	1	1	<div> 61 chars, no gloss
Karjya	shared	1	1	1	1	0	1	1	<div> 45 chars, no gloss
KarozwI	shared	1	1	1	1	0	1	1	eine best. Art zu schreiben
KartaragacCa	shared	1	1	1	1	0	1	1	<div> 66 chars, no gloss
Karv	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
KarvaSAKa	shared	1	1	1	1	0	1	1	zwerghaft
Karvaka	shared	1	1	1	1	0	1	1	ein noch nicht ganz ausgebildeter Vollmond
Karvawa	shared	1	2	1	2	0	1	2	Bergdorf
KarvurA	shared	1	1	1	1	0	1	1	eine best. stachelige Pflanze
Karya	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
KasAka	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
KasIka	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
KasPawika	shared	1	1	1	2	0	1	2	<div> 86 chars, no gloss
KasUci	shared	1	1	1	1	0	1	1	eine in die Luft gestochenen Nadel; Grammatiker stets Böcke schiessend
Kasakanda	shared	1	1	1	1	0	1	1	eine best. Pflanze
KasarpaRa	shared	1	1	1	1	0	1	1	<div> 40 chars, no gloss
Kasatila	shared	1	1	1	1	0	1	1	Mohnsamen
Katta	shared	1	1	1	1	0	1	1	<div> 53 chars, no gloss
Kav	shared	1	1	1	1	0	1	1	<div> 58 chars, no gloss
KawaKawAy	shared	1	2	1	2	0	1	2	knistern
KawakAsya	shared	1	1	1	1	0	1	1	<div> 24 chars, no gloss
KawakAvarDamAna	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
KawakawAhaka	shared	1	1	1	1	0	1	1	Spucknapf
Kawika	shared	1	1	1	5	0	1	5	<div> 65 chars, no gloss
KawukI	shared	1	1	1	1	0	1	1	Fleischverkäuferin
KawvAkA	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
KawvApluta	shared	1	1	1	1	0	1	1	sich ungebührlich benehmend
KawvIy	shared	1	1	1	1	0	1	1	<div> 47 chars, no gloss
KawvakA	shared	1	1	1	1	0	1	1	<div> 38 chars, no gloss
KawvikA	shared	1	1	1	2	0	1	2	<div> 31 chars, no gloss
Kaww	shared	1	1	1	1	0	1	1	<div> 42 chars, no gloss
KawwANga	shared	1	1	1	1	0	1	1	<div> 42 chars, no gloss
Kayoga	shared	1	1	1	1	0	1	1	bestimmter Constellationen
Kaz	shared	1	1	1	2	0	1	2	<div> 38 chars, no gloss
KeSaya	shared	1	1	1	1	0	1	1	in der Luft liegend
KedANgasAra	shared	1	1	1	1	0	1	1	<div> 36 chars, no gloss
Keditavya	shared	1	1	1	1	0	1	1	animo cadendum
KemakarRa	shared	1	1	1	1	0	1	1	<div> 53 chars, no gloss
Keq	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
Keqa	shared	1	2	1	2	0	1	2	<div> 43 chars, no gloss
KeqitAla	shared	1	1	1	1	0	1	1	<div> 33 chars, no gloss
Kev	shared	1	1	1	2	0	1	2	<div> 36 chars, no gloss
KewapiRqa	shared	1	1	1	1	0	1	1	ein Klumpen Schleim,; etwas ganz Unnützes
Kewika	shared	1	1	1	1	0	1	1	<div> 35 chars, no gloss
Kewin	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
KewitAla	shared	1	2	1	2	0	1	2	<div> 63 chars, no gloss
KiNga	shared	1	2	1	2	0	1	2	<div> 27 chars, no gloss
KilIkAra	shared	1	1	1	1	0	1	1	das Bringen um alle Macht
Kindaka	shared	1	1	1	1	0	1	1	<div> 54 chars, no gloss
KirahiwwI	shared	1	1	1	1	0	1	1	eine best. Pflanze
Kiw	shared	1	1	1	1	0	1	1	<div> 46 chars, no gloss
Kol	shared	1	1	1	2	0	1	2	<div> 34 chars, no gloss
Koq	shared	1	1	1	1	0	1	1	<div> 34 chars, no gloss
Kor	shared	1	1	1	2	0	1	2	<div> 34 chars, no gloss
KorI	shared	1	1	1	1	0	1	1	<div> 28 chars, no gloss
Kori	shared	1	1	1	1	0	1	1	<div> 25 chars, no gloss
Kow	shared	1	1	1	1	0	1	1	<div> 77 chars, no gloss
Kozadaha	shared	1	1	1	1	0	1	1	<div> 37 chars, no gloss
Ku	shared	1	1	1	1	0	1	1	<div> 34 chars, no gloss
KuRq	shared	1	1	1	2	0	1	2	<div> 73 chars, no gloss
Kuj	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KujjAka	shared	1	1	1	1	0	1	1	Lepeocercis serrata
Kulaka	shared	1	1	1	1	0	1	1	<div> 30 chars, no gloss
KullatAta	shared	1	1	1	1	0	1	1	<div> 36 chars, no gloss
Kum	shared	1	1	1	1	0	1	1	<div> 17 chars, no gloss
Kunamuza	shared	1	1	1	1	0	1	1	<div> 53 chars, no gloss
Kuq	shared	1	1	1	1	0	1	1	<div> 39 chars, no gloss
Kuqa	shared	1	1	1	1	0	1	1	Gicht, Rheumatismus
Kur	shared	1	1	1	1	0	1	1	<div> 52 chars, no gloss
KurAka	shared	1	1	1	1	0	1	1	Thier
KurAlika	shared	1	1	1	1	0	1	1	<div> 41 chars, no gloss
KuraKurAy	shared	1	1	1	1	0	1	1	<div> 61 chars, no gloss
KuralI	shared	1	1	1	2	0	1	2	Uebungen im Bogenschiessen; ein abgesteckter Platz für Kriegsübungen
Kurd	shared	1	1	1	1	0	1	1	<div> 49 chars, no gloss
KyAtavirudDatA	shared	1	1	1	1	0	1	1	<div> 51 chars, no gloss
