lemma_slp1	group_id	status	shape	method	score	witnesses	flags	failure_class	pwg_sense_ids	pwg_gloss	mw_sense_ids	mw_gloss	apte_sense_ids	apte_gloss	skd_sense_ids	skd_gloss	vcp_sense_ids	vcp_gloss	note	stratum	stratum_census	stratum_population	population_share	sample_weight
ISvara	ISvara#1	aligned	1-1-2-0-0	gloss+ls	0.750	av h hit r			pwg:10551:3	Herr, Gebieter, Fürst, König; der Weltgegenden; Landesfürst, König; ein hochstehender, vornehmer, reicher Herr	mw:29881:1	mfn. able to do, capable of (with gen. of Vedic inf. , or with common inf. ), liable, exposed to, ; ; ; ; ; &amp;c	ap90:7532:2; ap90:7532:7	1 Powerful, able, capable of (with inf. ) ‖ 3 A rich or great man; ; ; ; ; cf. “To carry coals to Newcastle.”					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
dahana	dahana#1	aligned	2-2-1-0-0	gloss+ls	0.950	bhartr hariv horas kaus mbh r	granularity-many-to-many		pwg:32382:3; pwg:32382:6	verbrennend; der Verbrenner von; versengend, zu Grunde richtend ‖ Feuer; der Gott des Feuers; Feuer; der Zahl drei	mw:91168:1; mw:91170:1	mf( )n. burning, consuming by fire, scorching, destroying (chiefly ifc. ) ‖ m. fire (of three kinds), Agni , ; &amp;c. ( ifc. f( ). , )	ap90:15287:13	1 Burning, consuming by fire ( fig. also)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
divya	divya#1	aligned	1-1-2-0-0	gloss+ls	1.000	av kaus mbh r rv			pwg:33024:1	himmlisch; himmlische, göttliche; menschlichen; das Messen der Zeit nach Tagen und Jahren der Götter; das über Raum und Zeit hinwegsehende Auge des Sehers; himmlisch; wunderbar, magisch; himmlisch schön, prachtvoll	mw:92382:1	2. ( , ), mfn. divine, heavenly, celestial ( opp. to , or ), ; ; ; ; &amp;c	ap90:15438:2; ap90:15438:35	1 Divine, heavenly, celestial ‖ 1 having divine vision, heavenly-eyed					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
jyotis	jyotis#1	aligned	1-1-2-0-0	gloss+ls	1.000	gobh h satr			pwg:28023:4	die Gestirne; der Lauf der Gestirne, die Regeln [Page3-0164] darüber, das; Sonne und Mond; auffallende Erscheinungen an Sonne und Mond; die beiden Fürsten unter den Gestirnen, Sonne und Mond	mw:80779:1	du. sun and moon	ap90:14106:6; ap90:14106:8	5 A heavenly body, a luminary (planet, star &amp;c.) ‖ 7 The sun and moon (dual)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
kamala	kamala#1	aligned	1-2-2-0-0	gloss+ls	1.000	bhartr n sak susr	granularity-many-to-many		pwg:15001:8	Lotus; lieblich, schön	mw:43801:1; mw:43811:1	( , ), m n. a lotus, lotus-flower, Nelumbium , ; ; &amp;c ‖ water	ap90:10298:10; ap90:10298:11	1 A lotus; ; so , &amp;c ‖ 2 Water					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
krUra	krUra#2	aligned	1-1-2-0-0	gloss+ls	0.833	pancat r sak			pwg:19915:4	blutig, grausam; roh, hart; gräulich, furchtbar, schrecklich; furchtbar; ungünstig; auf eine schreckliche Weise	mw:58349:1	hard, solid	ap90:11759:2; ap90:11759:11	1 Cruel, wicked, hard-hearted, pitiless ‖ 10 Hard, solid, hardened					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
mAnasa	mAnasa#1	aligned	1-2-1-0-0	gloss+ls	0.700	ghat hariv r			pwg:59860:13	geistigen Badeplatz, das Bad der Seele	mw:162934:1; mw:162942:1	of the worlds of the Soma-pa ‖ (with or scil. , or ) N. of a sacred lake and place of pilgrimage on mount Kailāsa (the native place of the wild geese, which migrate to it every year at the breeding season)	ap90:22995:10	2 N. of a sacred lake on the mountain Kailāsa; ( ( pb ) ; it is said to be the native place of swans, who are described as migrating to its shores every year at the commencement of the breeding season or the monsoons; , ; ; see ; also)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
mAtra	mAtra#1	aligned	1-1-2-0-0	gloss+ls	0.819	h hit kath laty pancat r			pwg:59685:8	nur so viel als das vorangehende Wort besagt; nichts als Lust, nur Lust, blosse Lust; durch blosses Hören; nach dem blossen Angriffe, sobald der Angriff erfolgt ist; wenn nur eine Zahl bezeichnet ist, so sind Rinder das gemeinte Opfergeschenk; nur in Büchern;…	mw:161711:1	( ifc. ) measure, quantity, sum, size, duration, measure of any kind (whether of height, depth, breadth, length, distance, time or number, e.g. , a finger's breadth, ; , a certain sum of money, ; , at the distance of a Kos, ; , in a month, ; , a hundred in nu…	ap90:22943:3; ap90:22943:5	1 A measure, whether of length, breadth, height, size, space, distance or number; usually at the end of comp. i. e. a ‘finger's breadth’; ‘to some distance’; ‘at the distance of a Krośa’, ‘even the breadth of a line, as much as a line’; ; so ‘the space of an … ‖ 3 The simple measure of anything, the one thing and no more, often translateable by ‘mere,’ ‘only’, ‘even’; ‘by mere caste’; ‘by a mere wag-tail’, ‘merely by words’; so ; used with past participles may be translated by ‘as soon as’, ‘no sooner than’, ‘just’; …					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
pUraRa	pUraRa#2	aligned	1-1-2-0-0	gloss+ls	0.750	mbh r			pwg:46676:12	das Vollmachen, Ausfüllen, Anfüllen, Aufblähen; das Ausfüllen; das Einbringen von Flüssigkeiten oder anderen Stoffen; das Vollmachen des Bogens; das Spannen desselben; das Durchlaufen; das Versehen, Ausschmücken mit; das Erfüllen, Befriedigen	mw:127585:1	(with ) drawing or bending a bow to the full	ap90:19245:16; ap90:19245:25	2 Filling up, completing ‖ 11 Drawing, bending (as a bow)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
puras	puras#1	aligned	1-2-1-0-0	gloss+ls	1.000	amar br mbh r vs			pwg:46007:1	voran, vorn, nach vorn, davor, vor den Augen, vor sich, vor Jemand; den; vor sich habend; im Osten, nach Osten; nach Südosten; vorher, zuerst; bevorstehen; man spannt nicht den Esel vor das Ross; vor; vor sich	mw:125903.1:1; mw:125903.3:1	(as prep. ) before (of place and time), in the presence or before the eyes of ( gen. abl. acc. or comp. ), &amp;c. &amp;c ‖ in or from or towards the east, eastward, ; &amp;c. ( , towards the south-east, )	ap90:19129:2	1 Before(in time or space), in front, in the presence of, ( pb ) before the eyes of (by itself or with gen. ); ; ; ; ; ; often used with (see below)					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
suKa	suKa#1	aligned	1-1-2-0-0	gloss+ls	1.000	m naigh			pwg:109803:15	Wohlbefinden, Wohlbehagen, Lust, angenehme Empfindung, Genuss, Freude; Freude an; wohlthun, frommen	mw:245622:1	n. water	ap90:30355:12; ap90:30355:16	3 Well-being, welfare, health ‖ 7 Water					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
tarala	tarala#1	aligned	1-1-2-0-0	gloss+ls	1.000	git r ragh sak			pwg:28907:3	sich hinundherbewegend, zuckend, zitternd; funkelnd; Blitz; flüssig; unstät, unbeständig, vergänglich; liederlich, wollüstig	mw:83215:1	glittering	ap90:14450:2; ap90:14450:4	1 trembling, waving, shaking, tremulous ‖ 3 Splendid, sparkling, glittering					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
vAma	vAma#1	aligned	1-2-2-0-0	gloss+ls	1.000	git kir	granularity-many-to-many		pwg:89972:4	schief, verkehrt; seitwärts; in entgegengesetzter Richtung —, anders verfahrend; widerstrebend, widerspänstig, widerwärtig; spröde; ein widerwärtiges Geschick; Widerwärtiges, Unheil; hart, grausam; verkehrt; schlecht, böse	mw:191035:1; mw:191040:1	reverse, adverse, contrary, opposite, unfavourable ‖ vile, wicked, base, low, bad	ap90:25443:4; ap90:25443:5	3 ( a ) Reverse, contrary, opposite, adverse, unfavourable; ; , ( b ) Acting contrary, of an opposite nature; ( e ) Perverse, crooked-natured, refractory ‖ 4 Vile, wicked, base, low, bad					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
vilAsin	vilAsin#1	aligned	2-1-1-0-0	gloss+ls	0.700	dhurtas r ragh			pwg:92963:5; pwg:92963:16	munter, ein Freund der Fröhlichkeit, sich gern vergnügend, Genüsse liebend; seine Freude habend an; sich vergnügend mit ‖ ein munteres Frauenzimmer, ein anmuthiges Weib, Weib; Geliebte; ein leichtfertiges Frauenzimmer; Gattin; Concubine	mw:199700:1	wanton, sportive, playful, dallying with or fond of ( comp. )	ap90:26421:1	a. ( f. ) Sportive, playful, dallying, wanton, coquettish					shared literary witness, weighted 1/df within the lemma	gloss+ls|hi >=0.70|m2m	yes	16	0.005310	0.0398
Gana	Gana#4	aligned	1-1-1-0-0	gloss+ls	0.367	hariv mbh			pwg:23947:12	eine compacte Masse, Klumpen u. s. w.; Fötus im zweiten Monat; ganz, nichts als; ganz Erkennen	mw:69439:1	a cloud, &amp;c. ( ifc. f( ). , )	ap90:12876:14	1 A cloud					shared literary witness, weighted 1/df within the lemma	gloss+ls|lo <0.40|clean	no	17	0.005642	0.2257
Sukra	Sukra#1	aligned	1-1-1-0-0	gloss+ls	0.333	av rv vs			pwg:100127:4	klar, lauter; der lautere	mw:218927:1	clear, pure	ap90:28060:3	2 White, pure					shared literary witness, weighted 1/df within the lemma	gloss+ls|lo <0.40|clean	no	17	0.005642	0.2257
amfta	amfta#5	aligned	1-1-1-0-0	gloss+ls	0.333	naigh			pwg:5200:37	Wasser	mw:14198.56:1	unsolicited alms, and , water	ap90:3852:25	8 Unsolicited alms, alms got without solicitation					shared literary witness, weighted 1/df within the lemma	gloss+ls|lo <0.40|clean	no	17	0.005642	0.2257
citra	citra#6	aligned	1-1-1-0-0	gloss+ls	0.500	megh			pwg:25410:46	Sectenzeichen auf der Stirn	mw:73680:1	n. a picture, sketch, delineation, ; ( mfn. = ), ; &amp;c. ( ifc. f( ). , )	ap90:13334:17	1 A picture, painting, delineation; ; ( pb ) , , &amp;c					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|clean	no	138	0.045802	1.8321
laGu	laGu#1	aligned	1-1-1-0-0	gloss+ls	0.500	av			pwg:85738:4	leicht; nicht schwer; gering geachtet; einen leichten Unterleib —, nicht viel im Magen habend; leicht zu verdauen, nicht schwer im Magen liegend; leicht; sich leicht fühlend, keine Last empfindend; leicht; ohne Gefolge; leicht zu vollbringen; leicht von Statt…	mw:180779:1	light, easy, not heavy or difficult, &amp;c. &amp;c	ap90:24408:11	10 Easy, not difficult					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|clean	no	138	0.045802	1.8321
tAra	tAra#1	aligned	1-1-1-0-0	gloss+ls	0.667	amar kathas			pwg:29355:2	hinüberdringend, hinüberschallend; hoch, laut, laut tönend, gellend; ein lauter, hoher, [Page3-0305] gellender Ton; ganz laut	mw:84232:1	( fr. ?) shining, radiant	ap90:14598:4	3 Shining, radiant, clear; (regarded as an interpolation in by )					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|clean	no	138	0.045802	1.8321
BIma	BIma#1	aligned	2-1-1-0-0	gloss+ls	0.500	r rv			pwg:54947:2; pwg:54947:12	furchtbar, schrecklich ‖ N. pr. einer Apsaras	mw:150996:1	mf( )n. fearful, terrific, terrible, awful, formidable, tremendous, &amp;c. &amp;c. ( ibc. , fearfully &amp;c.)	ap90:22205:1	a. [ ] Fearful, terrific, terrible, dreadful, formidable					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
Druva	Druva#1	aligned	1-2-2-0-0	gloss+ls	0.667	av chan rv	granularity-many-to-many		pwg:37147:3	am Ort verharrend, feststehend; bleibend, dauernd; beständig, unveränderlich; bei Jmd bleibend; ein Glied, ein Theil des Körpers, der feststeht, unbeweglich ist; eine beim Melken stillhaltende Kuh; der Fusspunkt; der bleibende; aufbewahrte; ein festes, starke…	mw:102286:1; mw:102288:1	mf( )n. ( prob. fr. √ , but cf. √ and ) fixed, firm, immovable, unchangeable, constant, lasting, permanent, eternal, &amp;c. &amp;c. ( e.g. the earth, a mountain, a pillar, a vow &amp;c.; with n. an inseparable member of the body, ; with f. a cow which stands… ‖ settled, certain, sure, ; ; &amp;c	ap90:16216:2; ap90:16216:4	1 ( a ) Fixed, firm, immovable, stable, permanent, constant, unchangeable; ( b ) Perpetual, everlasting, eternal ‖ 3 Certain, sure, inevitable; ( pb )					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
SiKarin	SiKarin#1	aligned	2-2-2-0-0	gloss+ls	0.583	mbh r satr	granularity-many-to-many		pwg:99253:2; pwg:99253:5	mit Spitzen —, mit Zacken versehen, spitzig; des Metrums ‖ N. pr. eines Berges ( ) , Schol	mw:216721:1; mw:216724:1	mfn. pointed, peaked, crested, tufted, ; &amp;c ‖ N. of a mountain, , Sch	ap90:27933:2; ap90:27933:5	1 Crested, tufted ‖ 1 A mountain					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
aja	aja#1	aligned	1-2-1-0-0	gloss+ls	0.600	av r rv			pwg:872:5	Bock; Ziege; behende, agilis; Ziegen; Ziegen und Schafe	mw:2034:1; mw:2035:1	2. mfn. not born, existing from all eternity ‖ m. N. of the first uncreated being	ap90:352:1	a. [ . . .] Unborn, existing from all eternity					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
asita	asita#2	aligned	1-2-1-0-0	gloss+ls	0.500	r santi			pwg:7381:1	dunkelfarbig, schwarz; Schwärze; das dunkle Volk; die Geister des Dunkels; die dunkle, abnehmende Hälfte des Mondes	mw:20964:1; mw:20970:1	2. mf( ; Ved. )n. ( , ‘white’, appears to have been formed from this word, which is probably original, and not a compound of and ; cf. and ), dark-coloured, black, &amp;c ‖ of a son of Bharata	ap90:5537:3	2 [ ] Not white, black, dark-blue, dark-coloured; ; ; , &amp;c					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
brAhma	brAhma#1	aligned	1-1-2-0-0	gloss+ls	0.500	av r			pwg:53627:2	heilig, göttlich; auf das; den; die Brahmanen bezüglich, dazu gehörig; ein best. Theil der Hand; den Brahmanen günstig; des Brahmanen Macht; aus Brahmanen bestehend	mw:147279:1	mf( )n. ( fr. , for which it is also the Vṛddhi form in comp. ) relating to Brahmă or Brahmā , holy, sacred, divine, &amp;c. &amp;c	ap90:21873:2; ap90:21873:6	1 Relating to Brahman or the creator, or to the Supreme Spirit ‖ 5 Holy, sacred, divine					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
gOra	gOra#2	aligned	1-1-2-0-0	gloss+ls	0.500	caurap r			pwg:23542:2	weisslich, gelblich, röthlich; die weissliche Farbe u. s. w.; glänzend, rein, schön	mw:68233:1	shining, brilliant, clean, beautiful	ap90:12754:2; ap90:12754:5	1 White ‖ 4 Shining, brilliant					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
kalpa	kalpa#2	aligned	1-1-2-0-0	gloss+ls	0.476	av m mbh			pwg:15750:6	Satzung, Regel, Ordnung, Brauch; Verfahren, Art und Weise; eine vor allen andern geltende Regel; ein Verfahren, welches vor allen andern den Vorzug verdient; dafür haben wir zunächst zu sorgen, dass; Regel in Betreff der Verunreinigung durch einen Todten; auf…	mw:46071:1	m. a sacred precept, law, rule, ordinance (= , ), manner of acting, proceeding, practice ( esp. that prescribed by the Veda s), ; ; -	ap90:10517:7; ap90:10517:8	1 A sacred precept or rule, law, ordinance ‖ 2 A prescribed rule, a prescribed alternative, optional rule; ‘able to follow the prescribed rule to be observed in preference to all others’; a very good (or best) alternative					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
mADava	mADava#3	aligned	1-2-1-0-0	gloss+ls	0.500	git hariv mbh r			pwg:59737:9	ein Sohn; Nachkomme; ein Mann aus; Geschlecht	mw:162533:1; mw:162538:1	representing Kṛṣṇa (as a picture) ‖ a son or descendant of Madhu , a man of the race of Yadu ( sg. esp. N. of Kṛṣṇa - Viṣṇu or of Paraśu-rāma as an incarnation of this god; pl. the Yādava s or Vṛṣṇi s)	ap90:22960:7	1 N. of Kṛṣṇa					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
nAgara	nAgara#2	aligned	1-2-2-0-0	gloss+ls	0.500	mbh santi	granularity-many-to-many		pwg:38204:3	städtisch, zur Stadt gehörig; Städter; zur Stadt in Beziehung stehend, die Stadt betreffend; in der Stadt gesprochen; eines besonderen Schriftcharakters	mw:105221:1; mw:105227:1	mf( )n. ( fr. ) town-born, t˚ -bred, relating or belonging to a t˚ or city, t˚ -like, civic, ; &amp;c ‖ m. a citizen, &amp;c	ap90:16446:2; ap90:16446:10	1 Town-born, town-bred ‖ 1 A citizen ( )					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
nAman	nAman#2	aligned	1-2-1-0-0	gloss+ls	0.525	av m r rv vs			pwg:38462:3	Name, Benennung; ist nicht beim Namen zu nennen; den Namen nennen; der einen Namen bekommen hat, genannt; einen Namen tragen, haben; die führen nur den Namen (sind es aber nicht in Wirklichkeit); einen Namen beilegen; mit einem nach dir gebildeten Namen; eine…	mw:105825:1; mw:105826:1	n. ( prob. neither fr. √ nor fr. √ [ cf. ]; ifc. f. either = m. or ) a characteristic mark or sign, form, nature, kind, manner ‖ name, appellation, &amp;c. &amp;c	ap90:16503:29	1 a name, appellation					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
pAwala	pAwala#1	aligned	1-2-2-0-0	gloss+ls	0.600	git kaus	granularity-many-to-many		pwg:44067:2	blassroth; die blassrothe Farbe	mw:121313:1; mw:121315:1	mf( )n. pale red, pink, pallid ‖ m. a pale red hue, rose colour	ap90:18597:2; ap90:18597:3	1 Palered, of a pink or pale-red colour ‖ The pale-red or pink colour					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
sADu	sADu#1	aligned	1-1-2-0-0	gloss+ls	0.500	m mbh pancat			pwg:108217:9	gut, edel; Biedermann, Ehrenmann, ein vortrefflicher Mann; treu, brav; eine biedere, treue Frau	mw:241640:1	well, enough of, away with ( instr. ) !	ap90:30054:16; ap90:30054:17	1 Well, welldone, very nice, bravo ‖ 2 Enough, away with					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
tAra	tAra#2	aligned	1-1-2-0-0	gloss+ls	0.500	git susr			pwg:29355:8	das reine Wasser einer Perle; eine Perle von reinem Wasser; Perle	mw:84242:1	m. [ n. &amp; ( ), f. , ] the clearness or transparency of a pearl, clear pearl	ap90:14598:9; ap90:14598:10	2 The clearness of a pearl ‖ 3 A beautiful or big pearl					shared literary witness, weighted 1/df within the lemma	gloss+ls|mid 0.40-0.69|m2m	yes	14	0.004647	0.0398
Kara	Kara#7	aligned	0-1-1-0-0	gloss	1.000						mw:61355:1	a quadrangular mound of earth for receiving the sacrificial vessels ( cf. ἐσχάρα )	ap90:12093:16	6 A quadrangular mound of earth for receiving the sacrificial vessels					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
dA	dA#4	aligned	0-1-1-0-0	gloss	0.750						mw:91212:8	to pay ( , ‘a fine’, ; , ‘a debt’, ; )	ap90:15299:3	2 To pay (as debt, fine &amp;c.)					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
karRika	karRika#1	aligned	0-1-1-0-0	gloss	1.000						mw:45024:1	having a helm	ap90:10394:3	2 Having a helm					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
sTira	sTira#1	aligned	0-1-1-0-0	gloss	1.000						mw:255712:1	stern, relentless, hard-hearted	ap90:30879:13	12 Stern, relentless, hard-hearted					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
sah	sah#2	aligned	0-1-1-0-0	gloss	1.000						mw:240101:2	to be pleased	ap90:29936:3	2 To be pleased					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
velA	velA#1	aligned	0-1-1-0-0	gloss	1.000						mw:206281:1	the gums	ap90:26971:12	10 The gums					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
vftta	vftta#4	aligned	0-1-1-0-0	gloss	1.000						mw:204354:1	deceased, dead	ap90:26852:8	7 Dead, deceased					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
yA	yA#1	aligned	0-1-1-0-0	gloss	1.000						mw:171018:19	to find out, discover	ap90:23738:14	13 To find out, discover					shared literary witness, weighted 1/df within the lemma	gloss|hi >=0.70|clean	no	630	0.209094	3.1364
DAraRa	DAraRa#6	aligned	0-1-1-0-0	gloss	0.312						mw:100954:1	mf( )n. holding, bearing, keeping (in remembrance), retention, preserving, protecting, maintaining, possessing, having ( ifc. or with gen. )	ap90:16032:1	a. ( f. ) [ ] Holding, bearing, carrying, preserving, sustaining, protecting, having, assuming, &amp;c					shared literary witness, weighted 1/df within the lemma	gloss|lo <0.40|clean	no	310	0.102887	2.4693
i	i#12	aligned	0-1-1-0-0	gloss	0.300						mw:28533:1	1. the third vowel of the alphabet, corresponding to i short, and pronounced as that letter in kill &amp;c	ap90:7284:1	The third letter of the Devanāgarī alphabet					shared literary witness, weighted 1/df within the lemma	gloss|lo <0.40|clean	no	310	0.102887	2.4693
suvarRa	suvarRa#12	aligned	0-1-1-0-0	gloss	0.385						mw:249827:1	m. (rarely n. ) a partic. weight of gold (= 1 Karṣa , = 16 Māṣa s, = 80 Raktikā s, = about 175 grains troy), ; &amp;c	ap90:30402:20	3 A weight of gold equal to 16 Māṣas or about 175 grains Troy ( m. also)					shared literary witness, weighted 1/df within the lemma	gloss|lo <0.40|clean	no	310	0.102887	2.4693
tAra	tAra#10	aligned	0-1-1-0-0	gloss	0.333						mw:84235:1	m. ‘crossing’, see	ap90:14598:15	8 Crossing, passing over					shared literary witness, weighted 1/df within the lemma	gloss|lo <0.40|clean	no	310	0.102887	2.4693
vasu	vasu#13	aligned	0-1-1-0-0	gloss	0.333						mw:188721:1	of a son of Kṛṣṇa	ap90:25279:48	N. of the father of Kṛṣṇa and son of Śūra, a descendant of Yadu					shared literary witness, weighted 1/df within the lemma	gloss|lo <0.40|clean	no	310	0.102887	2.4693
Badra	Badra#7	aligned	0-1-1-0-0	gloss	0.429						mw:148265:1	excellent, fair, beautiful, lovely, pleasant, dear	ap90:21960:7	6 Pleasant, enjoyable, lovely, beautiful					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
Siva	Siva#10	aligned	0-1-1-0-0	gloss	0.400						mw:217532:1	final emancipation	ap90:27998:81	final emancipation ( lit. unification with Śiva)					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
dakziRa	dakziRa#9	aligned	0-1-1-0-0	gloss	0.400						mw:89389.08:1	(with ) the southern sacred text (of the Tāntrika s)	ap90:15136:17	5 The southern sacred fire					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
gam	gam#2	aligned	0-1-1-0-0	gloss	0.500						mw:63409:20	to send away	ap90:12317:13	5 To send to					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
hA	hA#6	aligned	0-1-1-0-0	gloss	0.500						mw:262501:8	Desid	ap90:31352:1	I. 3 A. ( ; pass. ; desid. )					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
hari	hari#5	aligned	0-1-1-0-0	gloss	0.500						mw:260898:1	m. yellow or reddish brown or green (the colour)	ap90:31276:25	20 The tawny green or yellow colour					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
nivartana	nivartana#6	aligned	0-1-1-0-0	gloss	0.500						mw:110366:1	turning back (the hair)	ap90:17117:3	2 Turning back, ceasing					shared literary witness, weighted 1/df within the lemma	gloss|mid 0.40-0.69|clean	no	569	0.188848	3.2374
aNka	aNka#1	aligned	1-1-0-0-0	ls	1.000	tbr ts			pwg:62690:6	ein best. Theil des Wagens	mw:1410:1	part of a chariot (used in the dual)							shared literary witness, weighted 1/df within the lemma	ls|hi >=0.70|clean	no	189	0.062728	1.8818
darSana	darSana#9	aligned	1-1-0-0-0	ls	0.810	ragh sak vet			pwg:32151:4	das Sehen, Erblicken, Wahrnehmen; das Sichtbarwerden oder -sein, zum-Vorschein Kommen; Wahrnehmungen durch das Auge; Sehkraft; der die goldene Stadt gesehen hätte; die man schwer zu Gesicht bekommt; durch das Erblicken, das Zusammentreffen mit; zum Empfange d…	mw:90627:1	audience, meeting (with gen. ; instr. with or without , ; in comp. )							shared literary witness, weighted 1/df within the lemma	ls|hi >=0.70|clean	no	189	0.062728	1.8818
ganDa	ganDa#1	aligned	1-1-0-0-0	ls	1.000	av mbh vs			pwg:21648:2	Geruch, Duft; wohlriechendes Wasser	mw:62971:1	m. smell, odour (nine kinds are enumerated, viz. , , , , , , , , , ; a tenth kind is called , ), ; ; &amp;c. ( ifc. f( ). , ; )							shared literary witness, weighted 1/df within the lemma	ls|hi >=0.70|clean	no	189	0.062728	1.8818
kandala	kandala#1	aligned	1-1-0-0-0	ls	1.000	bhartr ragh			pwg:14772:16	Pilz	mw:43280:1	n. the flower of the Kandalī tree, ; &amp;c							shared literary witness, weighted 1/df within the lemma	ls|hi >=0.70|clean	no	189	0.062728	1.8818
KaRqa	KaRqa#3	aligned	1-1-0-0-0	ls	0.333	ganit			pwg:72244:8	Erdtheil	mw:61081:1	a continent							shared literary witness, weighted 1/df within the lemma	ls|lo <0.40|clean	no	326	0.108198	2.5967
sTita	sTita#6	aligned	1-1-0-0-0	ls	0.333	sarvad			pwg:114028:19	feststehend; allgemein angenommen, — geltend; feststehend; beschlossen	mw:255634:1	turned or directed to, fixed upon ( loc. or comp. )							shared literary witness, weighted 1/df within the lemma	ls|lo <0.40|clean	no	326	0.108198	2.5967
sah	sah#8	aligned	1-1-0-0-0	ls	0.392	av bhatt r rv			pwg:107462:2	bewältigen, gewinnen; Jmd; Gewalt anthun; siegreich sein; bewältigend, siegreich	mw:239967:3	to overcome, vanquish, conquer, defeat (enemies), gain, win (battles)							shared literary witness, weighted 1/df within the lemma	ls|lo <0.40|clean	no	326	0.108198	2.5967
