attested_form	form_key	dcs_lemma	dcs_upos	target_locus	source_dataset	evidence_count	tense_caveat	attested_via	triage_class
tarpayāmi	tarpayāmi	tarpay	VERB	dcs:633784	dcs	608	0	surface+unsandhied	lexicon_gap
modiṣīṣṭhāḥ	modiṣīṣṭhā	mud	VERB	dcs:633784	dcs	2	1	surface+unsandhied	paradigm_gap
mathāyati	mathāyati	mathāy	VERB	dcs:633789_1	dcs	4	0	surface+unsandhied	lexicon_gap
bhagāsaḥ	bhagāsa	bhaga	NOUN	dcs:633791_1	dcs	2	0	surface+unsandhied	paradigm_gap
agmata	agmata	gam	VERB	dcs:633791_1	dcs	35	1	surface+unsandhied	paradigm_gap
gacchatāt	gacchatāt	gam	VERB	dcs:633793_1	dcs	28	0	surface+unsandhied	paradigm_gap
krimer	krimer	krimi	NOUN	dcs:633798	dcs	1	0	surface	lexicon_gap
krimeḥ	krime	krimi	NOUN	dcs:633798	dcs	3	0	surface+unsandhied	lexicon_gap
pinaṣmi	pinaṣmi	piṣ	VERB	dcs:633799	dcs	4	0	surface+unsandhied	paradigm_gap
krimīn	krimīn	krimi	NOUN	dcs:633799	dcs	94	0	surface+unsandhied	lexicon_gap
atṛham	atṛham	tṛh	VERB	dcs:633800	dcs	4	1	surface+unsandhied	lexicon_gap
algaṇḍūnt	alganḍūnt	algaṇḍu	NOUN	dcs:633801	dcs	1	0	surface	lexicon_gap
algaṇḍūn	alganḍūn	algaṇḍu	NOUN	dcs:633801	dcs	3	0	surface+unsandhied	lexicon_gap
ucchiṣātai	ucchiṣātai	ucchiṣ	VERB	dcs:633803	dcs	2	0	surface+unsandhied	lexicon_gap
anvāntryaṃ	anvāntryan	anvāntrya	ADJ	dcs:633804	dcs	1	0	surface	paradigm_gap
pārṣṭeyaṃ	pārṣṭeyan	pārṣṭeya	ADJ	dcs:633804	dcs	1	0	surface	paradigm_gap
avaskavaṃ	avaskavan	avaskava	NOUN	dcs:633805	dcs	1	0	surface	paradigm_gap
vyadhvaraṃ	vyadhvaran	vyadhvara	ADJ	dcs:633805	dcs	1	0	surface	paradigm_gap
vaneṣv	vaneṣv	vana	NOUN	dcs:633806	dcs	10	0	surface	paradigm_gap
āviviśuḥ	āviviśu	āviś	VERB	dcs:633807	dcs	29	1	surface+unsandhied	lexicon_gap
krimayo	krimayo	krimi	NOUN	dcs:633809	dcs	10	0	surface	lexicon_gap
krimiṃ	krimin	krimi	NOUN	dcs:633810	dcs	5	0	surface	lexicon_gap
krimim	krimim	krimi	NOUN	dcs:633810	dcs	7	0	surface+unsandhied	lexicon_gap
pinaṣmy	pinaṣmy	piṣ	VERB	dcs:633813	dcs	2	0	surface	paradigm_gap
sthapatir	sthapatir	sthapati	NOUN	dcs:633814	dcs	4	0	surface	paradigm_gap
krimir	krimir	krimi	NOUN	dcs:633815	dcs	4	0	surface	lexicon_gap
vitudāyasi	vitudāyasi	vitudāy	VERB	dcs:633818	dcs	2	0	surface+unsandhied	lexicon_gap
kuṣumbhaṃ	kuṣumbhan	kuṣumbha	NOUN	dcs:633819	dcs	1	0	surface	paradigm_gap
karṇābhyāṃ	karnābhyān	karṇa	NOUN	dcs:633820	dcs	25	0	surface	paradigm_gap
chubukād	chubukād	chubuka	NOUN	dcs:633820	dcs	2	0	surface	paradigm_gap
mastiṣkāj	mastiṣkāj	mastiṣka	NOUN	dcs:633821	dcs	2	0	surface	paradigm_gap
vṛhāmi	vṛhāmi	vṛh	VERB	dcs:633821	dcs	22	0	surface+unsandhied	lexicon_gap
aṃsābhyāṃ	ansābhyān	aṃsa	NOUN	dcs:633823	dcs	1	0	surface	paradigm_gap
plāśer	plāśer	plāśi	NOUN	dcs:633827	dcs	1	0	surface	paradigm_gap
bhāsadaṃ	bhāsadan	bhāsada	NOUN	dcs:633829	dcs	1	0	surface	paradigm_gap
tvacasyaṃ	tvacasyan	tvacasya	ADJ	dcs:633833	dcs	1	0	surface	paradigm_gap
viṣvañcaṃ	viṣvancan	viṣvañc	ADJ	dcs:633833	dcs	3	0	surface	paradigm_gap
niṣkrītaḥ	niṣkrīta	niṣkrī	VERB	dcs:633835	dcs	7	0	surface+unsandhied	lexicon_gap
pramuñcanto	pramuncanto	pramuc	VERB	dcs:633836	dcs	1	0	surface	lexicon_gap
pramuñcantaḥ	pramuncanta	pramuc	VERB	dcs:633836	dcs	3	0	surface+unsandhied	lexicon_gap
gātuṃ	gātun	gātu	NOUN	dcs:633836	dcs	44	0	surface	paradigm_gap
upākṛtaṃ	upākṛtan	upākṛ	VERB	dcs:633837	dcs	2	0	surface	lexicon_gap
śaśamānaṃ	śaśamānan	śam	VERB	dcs:633837	dcs	2	1	surface	paradigm_gap
badhyamānam	badhyamānam	bandh	VERB	dcs:633838	dcs	19	0	surface+unsandhied	paradigm_gap
anvaikṣanta	anvaikṣanta	anvīkṣ	VERB	dcs:633838	dcs	6	0	surface+unsandhied	lexicon_gap
mumoktu	mumoktu	muc	VERB	dcs:633839	dcs	15	1	surface+unsandhied	paradigm_gap
vāyuṣ	vāyuṣ	vāyu	NOUN	dcs:633841	dcs	5	0	surface	paradigm_gap
prajānantaḥ	prajānanta	prajñā	VERB	dcs:633842	dcs	23	0	surface+unsandhied	paradigm_gap
ācarantam	ācarantam	ācar	VERB	dcs:633842	dcs	6	0	surface+unsandhied	lexicon_gap
nirbhaktaṃ	nirbhaktan	nirbhakta	ADJ	dcs:633846	dcs	1	0	surface	paradigm_gap
anutapyamānam	anutapyamānam	anutap	VERB	dcs:633846	dcs	2	0	surface+unsandhied	lexicon_gap
mathavyānt	mathavyānt	mathavya	ADJ	dcs:633847	dcs	1	0	surface	lexicon_gap
mathavyān	mathavyān	mathavya	ADJ	dcs:633847	dcs	1	0	unsandhied	lexicon_gap
naṣ	naṣ	mad	PRON	dcs:633847	dcs	1	0	surface	paradigm_gap
ṭebhiḥ	ṭebhi	tad	PRON	dcs:633847	dcs	1	0	surface	paradigm_gap
adānyānt	adānyānt	adānya	ADJ	dcs:633848	dcs	1	0	surface	paradigm_gap
vidvānt	vidvānt	vid	VERB	dcs:633848	dcs	23	1	surface	paradigm_gap
muñcā	muncā	muc	VERB	dcs:633849	dcs	3	0	surface+unsandhied	paradigm_gap
saṃbhalo	sanbhalo	sambhala	NOUN	dcs:633854	dcs	2	0	surface	paradigm_gap
saṃbhalaḥ	sanbhala	sambhala	NOUN	dcs:633854	dcs	2	0	unsandhied	paradigm_gap
kumārīṃ	kumārīn	kumārī	NOUN	dcs:633854	dcs	24	0	surface	paradigm_gap
valgur	valgur	valgu	ADJ	dcs:633855	dcs	4	0	surface	paradigm_gap
oṣaṃ	oṣan	oṣam	ADV	dcs:633855	dcs	2	0	surface	paradigm_gap
aryamnā	aryamnā	aryaman	NOUN	dcs:633856	dcs	9	0	surface+unsandhied	lexicon_gap
saṃbhṛtaṃ	sanbhṛtan	sambhṛ	VERB	dcs:633856	dcs	30	0	surface	lexicon_gap
saṃbhṛtam	sanbhṛtam	sambhṛ	VERB	dcs:633856	dcs	110	1	surface+unsandhied	lexicon_gap
videṣṭa	videṣṭa	vid	VERB	dcs:633858	dcs	2	1	surface+unsandhied	paradigm_gap
suvānā	suvānā	sū	VERB	dcs:633859	dcs	8	1	surface+unsandhied	paradigm_gap
maghavaṃś	maghavanś	maghavan	ADJ	dcs:633860	dcs	1	0	surface	paradigm_gap
mṛgāṇāṃ	mṛgānān	mṛga	NOUN	dcs:633860	dcs	28	0	surface	paradigm_gap
saṃpriyā	sanpriyā	sampriya	ADJ	dcs:633861	dcs	4	0	surface+unsandhied	paradigm_gap
virādhayantī	virādhayantī	virādhay	VERB	dcs:633861	dcs	2	0	surface+unsandhied	lexicon_gap
anupadasvatīm	anupadasvatīm	anupadasvat	ADJ	dcs:633862	dcs	4	0	surface+unsandhied	lexicon_gap
upapratāraya	upapratāraya	upapratāray	VERB	dcs:633863	dcs	2	0	surface+unsandhied	lexicon_gap
āmanasaṃ	āmanasan	āmanas	ADJ	dcs:633864	dcs	1	0	surface	paradigm_gap
gulgulv	gulgulv	gulgulu	NOUN	dcs:633866	dcs	1	0	surface	paradigm_gap
aukṣo	aukṣo	aukṣa	ADJ	dcs:633866	dcs	1	0	surface	paradigm_gap
patibhyas	patibhyas	pati	NOUN	dcs:633867	dcs	1	0	surface	paradigm_gap
pratidahan	pratidahan	pratidah	VERB	dcs:633869_1	dcs	3	0	surface+unsandhied	lexicon_gap
mohayatu	mohayatu	mohay	VERB	dcs:633870_1	dcs	6	0	surface+unsandhied	lexicon_gap
mṛṇata	mṛnata	mṛṇ	VERB	dcs:633871_2	dcs	2	0	surface+unsandhied	lexicon_gap
amīmṛṇan	amīmṛnan	mṛṇ	VERB	dcs:633872_1	dcs	2	1	surface+unsandhied	lexicon_gap
śatrūyatīm	śatrūyatīm	śatrūy	VERB	dcs:633874_1	dcs	2	0	surface+unsandhied	lexicon_gap
anūcaḥ	anūca	anvañc	ADJ	dcs:633876_1	dcs	8	0	surface+unsandhied	lexicon_gap
mohaya	mohaya	mohay	VERB	dcs:633877_1	dcs	24	0	surface+unsandhied	lexicon_gap
cakṣūṃsi	cakṣūnsi	cakṣus	NOUN	dcs:633880_1	dcs	2	0	surface+unsandhied	paradigm_gap
pratidahann	pratidahann	pratidah	VERB	dcs:633881	dcs	1	0	surface	lexicon_gap
nirhastāṃś	nirhastānś	nirhasta	ADJ	dcs:633882	dcs	1	0	surface	paradigm_gap
kṛṇavaj	kṛnavaj	kṛ	VERB	dcs:633882	dcs	1	0	surface	paradigm_gap
amūmuhad	amūmuhad	muh	VERB	dcs:633883	dcs	1	1	surface	paradigm_gap
amūmuhat	amūmuhat	muh	VERB	dcs:633883	dcs	4	1	surface+unsandhied	paradigm_gap
dhamatv	dhamatv	dham	VERB	dcs:633884	dcs	1	0	surface	paradigm_gap
mohayann	mohayann	mohay	VERB	dcs:633885	dcs	10	0	surface	lexicon_gap
mohayan	mohayan	mohay	VERB	dcs:633885	dcs	63	0	surface+unsandhied	lexicon_gap
pratimohayantī	pratimohayantī	pratimohay	VERB	dcs:633889_1	dcs	2	0	surface+unsandhied	lexicon_gap
aity	aity	e	VERB	dcs:633891	dcs	4	0	surface	paradigm_gap
aiti	aiti	e	VERB	dcs:633891	dcs	36	0	surface+unsandhied	paradigm_gap
spardhamānā	spardhamānā	spṛdh	VERB	dcs:633891	dcs	28	0	surface+unsandhied	paradigm_gap
acikradat	acikradat	krand	VERB	dcs:633893	dcs	41	1	surface+unsandhied	paradigm_gap
aruṣāsa	aruṣāsa	aruṣa	ADJ	dcs:633895	dcs	13	0	surface+unsandhied	paradigm_gap
cyāvayantu	cyāvayantu	cyāvay	VERB	dcs:633895	dcs	5	0	surface+unsandhied	lexicon_gap
dadhṛṣanta	dadhṛṣanta	dhṛṣ	VERB	dcs:633896	dcs	2	0	surface+unsandhied	paradigm_gap
nayatv	nayatv	nī	VERB	dcs:633899	dcs	4	0	surface	paradigm_gap
abhisaṃviśadhvam	abhisanviśadhvam	abhisaṃviś	VERB	dcs:633900	dcs	9	0	surface+unsandhied	lexicon_gap
avṛṣata	avṛṣata	vṛ	VERB	dcs:633901	dcs	4	1	surface+unsandhied	paradigm_gap
vivadat	vivadat	vivad	VERB	dcs:633903	dcs	2	0	surface+unsandhied	lexicon_gap
sajāto	sajāto	sajāta	ADJ	dcs:633903	dcs	8	0	surface	paradigm_gap
apāñcam	apāncam	apāñc	ADJ	dcs:633904	dcs	2	0	surface+unsandhied	lexicon_gap
gan	gan	gam	VERB	dcs:633905_1	dcs	32	1	surface+unsandhied	paradigm_gap
carātai	carātai	car	VERB	dcs:633909_2	dcs	2	0	surface+unsandhied	paradigm_gap
paśyāsai	paśyāsai	paś	VERB	dcs:633910_2	dcs	2	0	surface+unsandhied	paradigm_gap
bhajā	bhajā	bhaj	VERB	dcs:633912	dcs	7	0	surface+unsandhied	paradigm_gap
paramasyāḥ	paramasyā	parama	ADJ	dcs:633913	dcs	20	0	surface+unsandhied	paradigm_gap
ajñāsthā	ajnāsthā	jñā	VERB	dcs:633915	dcs	2	1	surface+unsandhied	paradigm_gap
kalpayad	kalpayad	kalpay	VERB	dcs:633916	dcs	1	0	surface	lexicon_gap
kalpayat	kalpayat	kalpay	VERB	dcs:633916	dcs	5	0	surface+unsandhied	lexicon_gap
dhārayatāt	dhārayatāt	dhāray	VERB	dcs:633921_1	dcs	2	0	surface+unsandhied	lexicon_gap
nidadhuḥ	nidadhu	nidhā	VERB	dcs:633924_1	dcs	15	1	surface+unsandhied	paradigm_gap
bhartave	bhartave	bhṛ	VERB	dcs:633924_1	dcs	6	0	surface+unsandhied	paradigm_gap
bhriyāsām	bhriyāsām	bhṛ	VERB	dcs:633926_1	dcs	2	1	surface+unsandhied	paradigm_gap
ārukṣat	ārukṣat	āruh	VERB	dcs:633927_1	dcs	10	1	surface+unsandhied	paradigm_gap
aryamṇaḥ	aryamna	aryaman	NOUN	dcs:633927_1	dcs	50	0	surface+unsandhied	lexicon_gap
parijāto	parijāto	parijan	VERB	dcs:633935	dcs	1	0	surface	lexicon_gap
'śvatthaḥ	'śvattha	aśvattha	NOUN	dcs:633935	dcs	7	0	surface	paradigm_gap
khadirād	khadirād	khadira	NOUN	dcs:633935	dcs	2	0	surface	paradigm_gap
'ntar	'ntar	antar	ADV	dcs:633939	dcs	44	0	surface	paradigm_gap
mahaty	mahaty	mahat	ADJ	dcs:633939	dcs	17	0	surface	paradigm_gap
bhaṅgdhi	bhangdhi	bhañj	VERB	dcs:633940	dcs	6	0	surface+unsandhied	paradigm_gap
sahamānaś	sahamānaś	sah	VERB	dcs:633941	dcs	1	0	surface	paradigm_gap
sapatnānt	sapatnānt	sapatna	NOUN	dcs:633942	dcs	3	0	surface	paradigm_gap
sahiṣīmahi	sahiṣīmahi	sah	VERB	dcs:633942	dcs	2	1	surface+unsandhied	paradigm_gap
sinātv	sinātv	si	VERB	dcs:633943	dcs	1	0	surface	paradigm_gap
sinātu	sinātu	si	VERB	dcs:633943	dcs	1	0	unsandhied	paradigm_gap
pāśair	pāśair	pāśa	NOUN	dcs:633943	dcs	31	0	surface	paradigm_gap
kṛṇuṣe	kṛnuṣe	kṛ	VERB	dcs:633945	dcs	12	0	surface+unsandhied	paradigm_gap
śatror	śatror	śatru	NOUN	dcs:633946	dcs	46	0	surface	paradigm_gap
viṣvag	viṣvag	viṣvañc	ADJ	dcs:633946	dcs	10	0	surface	paradigm_gap
'dharāñcaḥ	'dharānca	adharāñc	ADJ	dcs:633947	dcs	3	0	surface	lexicon_gap
adharāñcaḥ	adharānca	adharāñc	ADJ	dcs:633947	dcs	3	0	unsandhied	lexicon_gap
plavantāṃ	plavantān	plu	VERB	dcs:633947	dcs	2	0	surface	paradigm_gap
padbhiś	padbhiś	pad	NOUN	dcs:633953	dcs	5	0	surface	paradigm_gap
caturbhir	caturbhir	catur	NUM	dcs:633953	dcs	83	0	surface	lexicon_gap
avarocate	avarocate	avaruc	VERB	dcs:633955	dcs	2	0	surface+unsandhied	lexicon_gap
nāśayāmi	nāśayāmi	nāśay	VERB	dcs:633962	dcs	38	0	surface+unsandhied	lexicon_gap
upasaṃyantu	upasanyantu	upasami	VERB	dcs:633972_2	dcs	2	0	surface+unsandhied	lexicon_gap
namāmasi	namāmasi	nam	VERB	dcs:633973_1	dcs	4	0	surface+unsandhied	paradigm_gap
namayāmasi	namayāmasi	namay	VERB	dcs:633974_1	dcs	4	0	surface+unsandhied	lexicon_gap
gṛbhṇāmi	gṛbhnāmi	grah	VERB	dcs:633975_1	dcs	33	0	surface+unsandhied	paradigm_gap
abhicakra	abhicakra	abhikṛ	VERB	dcs:633978	dcs	2	1	surface+unsandhied	lexicon_gap
aśreṣmāṇo	aśreṣmāno	aśreṣman	ADJ	dcs:633979	dcs	1	0	surface	paradigm_gap
adhārayan	adhārayan	dhāray	VERB	dcs:633979	dcs	56	1	surface+unsandhied	lexicon_gap
muṣkābarho	muṣkābarho	muṣkābarha	NOUN	dcs:633980	dcs	1	0	surface	paradigm_gap
khṛgalaṃ	khṛgalan	khṛgala	NOUN	dcs:633981	dcs	1	0	surface	paradigm_gap
śravasyuṃ	śravasyun	śravasyu	ADJ	dcs:633982	dcs	1	0	surface	paradigm_gap
kābavaṃ	kābavan	kābava	NOUN	dcs:633982	dcs	1	0	surface	paradigm_gap
śravasyavaś	śravasyavaś	śravasyu	ADJ	dcs:633983	dcs	1	0	surface	paradigm_gap
dūṣaṇo	dūṣano	dūṣaṇa	ADJ	dcs:633984	dcs	4	0	surface	paradigm_gap
dūṣayiṣyāmi	dūṣayiṣyāmi	dūṣay	VERB	dcs:633985	dcs	6	0	surface+unsandhied	lexicon_gap
āśavo	āśavo	āśu	ADJ	dcs:633986	dcs	8	0	surface	paradigm_gap
śapathebhiḥ	śapathebhi	śapatha	NOUN	dcs:633986	dcs	2	0	surface+unsandhied	paradigm_gap
sariṣyatha	sariṣyatha	sṛ	VERB	dcs:633986	dcs	2	0	surface+unsandhied	paradigm_gap
jaharuḥ	jaharu	hṛ	VERB	dcs:633988_1	dcs	2	1	surface+unsandhied	paradigm_gap
vyaucchad	vyaucchad	vivas	VERB	dcs:633995	dcs	3	0	surface	lexicon_gap
mahānto	mahānto	mahat	ADJ	dcs:633996	dcs	29	0	surface	paradigm_gap
mahimāno	mahimāno	mahiman	NOUN	dcs:633996	dcs	2	0	surface	paradigm_gap
yajñānt	yajnānt	yajña	NOUN	dcs:634003	dcs	2	0	surface	paradigm_gap
saṃbhuñjatī	sanbhunjatī	sambhuj	VERB	dcs:634003	dcs	4	0	surface+unsandhied	lexicon_gap
agant	agant	gam	VERB	dcs:634004	dcs	4	1	surface	paradigm_gap
ṛtubhyaṣ	ṛtubhyaṣ	ṛtu	NOUN	dcs:634008	dcs	1	0	surface	paradigm_gap
pūraya	pūraya	pūray	VERB	dcs:634015_1	dcs	16	0	surface+unsandhied	lexicon_gap
gṛhṇāhi	gṛhnāhi	grah	VERB	dcs:634015_2	dcs	4	0	surface+unsandhied	paradigm_gap
grāhir	grāhir	grāhi	NOUN	dcs:634017	dcs	1	0	surface	paradigm_gap
yadī	yadī	yadi	SCONJ	dcs:634017	dcs	91	0	surface+unsandhied	paradigm_gap
gātam	gātam	gā	VERB	dcs:634026	dcs	2	1	surface+unsandhied	paradigm_gap
neṣṭa	neṣṭa	nī	VERB	dcs:634029	dcs	12	1	surface+unsandhied	paradigm_gap
minomi	minomi	mi	VERB	dcs:634033_1	dcs	4	0	surface+unsandhied	paradigm_gap
ukṣamāṇā	ukṣamānā	ukṣ	VERB	dcs:634033_2	dcs	28	0	surface+unsandhied	paradigm_gap
āspandamānāḥ	āspandamānā	āspand	VERB	dcs:634038_1	dcs	2	0	surface+unsandhied	lexicon_gap
minotu	minotu	mi	VERB	dcs:634039_1	dcs	18	0	surface+unsandhied	paradigm_gap
tanotu	tanotu	tan	VERB	dcs:634040_2	dcs	12	0	surface+unsandhied	paradigm_gap
virājann	virājann	virāj	VERB	dcs:634043	dcs	2	0	surface	paradigm_gap
vṛṅkṣva	vṛnkṣva	vṛj	VERB	dcs:634043	dcs	6	0	surface+unsandhied	paradigm_gap
jīvema	jīvema	jīv	VERB	dcs:634044	dcs	48	0	surface+unsandhied	paradigm_gap
kumāras	kumāras	kumāra	NOUN	dcs:634045	dcs	10	0	surface	paradigm_gap
kalaśair	kalaśair	kalaśa	NOUN	dcs:634046	dcs	5	0	surface	paradigm_gap
saṃbhṛtām	sanbhṛtām	sambhṛ	VERB	dcs:634047	dcs	19	0	surface+unsandhied	lexicon_gap
aṅgdhi	angdhi	añj	VERB	dcs:634048	dcs	6	0	surface+unsandhied	paradigm_gap
rakṣāty	rakṣāty	rakṣ	VERB	dcs:634048	dcs	1	0	surface	paradigm_gap
rakṣāti	rakṣāti	rakṣ	VERB	dcs:634048	dcs	1	0	unsandhied	paradigm_gap
bharāmy	bharāmy	bhṛ	VERB	dcs:634049	dcs	7	0	surface	paradigm_gap
sīdāmy	sīdāmy	sad	VERB	dcs:634050	dcs	3	0	surface	paradigm_gap
saṃprayatīr	sanprayatīr	sampre	VERB	dcs:634051	dcs	3	0	surface	lexicon_gap
saṃprayatīḥ	sanprayatī	sampre	VERB	dcs:634051	dcs	3	0	unsandhied	lexicon_gap
ahāv	ahāv	ahi	NOUN	dcs:634051	dcs	1	0	surface	paradigm_gap
anadatā	anadatā	nad	VERB	dcs:634051	dcs	2	0	surface	paradigm_gap
samavalgata	samavalgata	saṃvalg	VERB	dcs:634053	dcs	4	0	surface+unsandhied	lexicon_gap
yatīs	yatīs	i	VERB	dcs:634054	dcs	2	0	surface	paradigm_gap
apakāmaṃ	apakāman	apakāma	NOUN	dcs:634055	dcs	3	0	surface	paradigm_gap
avīvarata	avīvarata	vṛ	VERB	dcs:634055	dcs	4	1	surface+unsandhied	paradigm_gap
śaktibhir	śaktibhir	śakti	NOUN	dcs:634056	dcs	7	0	surface	paradigm_gap
āniṣur	āniṣur	an	VERB	dcs:634058	dcs	1	1	surface	paradigm_gap
mahīr	mahīr	mahi	ADJ	dcs:634058	dcs	29	0	surface	paradigm_gap
āsann	āsann	as	VERB	dcs:634059	dcs	42	0	surface	paradigm_gap
bibhraty	bibhraty	bhṛ	VERB	dcs:634059	dcs	5	0	surface	paradigm_gap
tīvro	tīvro	tīvra	ADJ	dcs:634060	dcs	12	0	surface	paradigm_gap
paśyāmy	paśyāmy	paś	VERB	dcs:634061	dcs	43	0	surface	paradigm_gap
śṛṇomy	śṛnomy	śru	VERB	dcs:634061	dcs	4	0	surface	paradigm_gap
bhejāno	bhejāno	bhaj	VERB	dcs:634062	dcs	2	1	surface	paradigm_gap
bhejānaḥ	bhejāna	bhaj	VERB	dcs:634062	dcs	2	1	unsandhied	paradigm_gap
śakvarīr	śakvarīr	śakvarī	NOUN	dcs:634064	dcs	6	0	surface	paradigm_gap
sṛjāmasi	sṛjāmasi	sṛj	VERB	dcs:634066	dcs	4	0	surface+unsandhied	paradigm_gap
sṛjatv	sṛjatv	sṛj	VERB	dcs:634067	dcs	2	0	surface	paradigm_gap
dhanaṃjayo	dhananjayo	dhanaṃjaya	ADJ	dcs:634068	dcs	34	0	surface	paradigm_gap
saṃjagmānā	sanjagmānā	saṃgam	VERB	dcs:634069	dcs	2	1	surface+unsandhied	lexicon_gap
bibhyuṣīḥ	bibhyuṣī	bhī	VERB	dcs:634069	dcs	4	1	surface+unsandhied	paradigm_gap
jāyadhvaṃ	jāyadhvan	jan	VERB	dcs:634072	dcs	2	0	surface	paradigm_gap
goṣṭho	goṣṭho	goṣṭha	NOUN	dcs:634073	dcs	6	0	surface	paradigm_gap
śāriśākā	śāriśākā	śāriśākā	NOUN	dcs:634073	dcs	2	0	surface+unsandhied	lexicon_gap
jīvantīr	jīvantīr	jīv	VERB	dcs:634076	dcs	4	0	surface	paradigm_gap
vaṇijaṃ	vanijan	vaṇij	NOUN	dcs:634077	dcs	18	0	surface	paradigm_gap
codayāmi	codayāmi	coday	VERB	dcs:634077	dcs	10	0	surface+unsandhied	lexicon_gap
nudann	nudann	nud	VERB	dcs:634078	dcs	1	0	surface	paradigm_gap
nudan	nudan	nud	VERB	dcs:634078	dcs	16	0	surface+unsandhied	paradigm_gap
paripanthinaṃ	paripanthinan	paripanthin	ADJ	dcs:634078	dcs	1	0	surface	paradigm_gap
mṛgaṃ	mṛgan	mṛga	NOUN	dcs:634078	dcs	32	0	surface	paradigm_gap
panthāno	panthāno	pathin	NOUN	dcs:634079	dcs	17	0	surface	lexicon_gap
icchamāno	icchamāno	iṣ	VERB	dcs:634081	dcs	5	0	surface	paradigm_gap
icchamānaḥ	icchamāna	iṣ	VERB	dcs:634081	dcs	41	0	surface+unsandhied	paradigm_gap
vandamāna	vandamāna	vand	VERB	dcs:634082	dcs	21	0	surface+unsandhied	paradigm_gap
mīmṛṣo	mīmṛṣo	mṛṣ	VERB	dcs:634083	dcs	4	1	surface	paradigm_gap
śunaṃ	śunan	śuna	NOUN	dcs:634084	dcs	38	0	surface	paradigm_gap
prapaṇo	prapano	prapaṇa	NOUN	dcs:634084	dcs	1	0	surface	paradigm_gap
vikrayaś	vikrayaś	vikraya	NOUN	dcs:634084	dcs	3	0	surface	paradigm_gap
phalinaṃ	phalinan	phalin	ADJ	dcs:634084	dcs	3	0	surface	paradigm_gap
juṣethāṃ	juṣethān	juṣ	VERB	dcs:634085	dcs	11	0	surface	paradigm_gap
utthitaṃ	utthitan	utthita	NOUN	dcs:634085	dcs	22	0	surface	paradigm_gap
prapaṇaṃ	prapanan	prapaṇa	NOUN	dcs:634086	dcs	4	0	surface	paradigm_gap
kanīyo	kanīyo	kanīyas	ADJ	dcs:634087	dcs	25	0	surface	paradigm_gap
ghnas	ghnas	han	VERB	dcs:634087	dcs	2	0	surface+unsandhied	paradigm_gap
ṣedha	ṣedha	sidh	VERB	dcs:634087	dcs	3	0	surface+unsandhied	paradigm_gap
stumaḥ	stuma	stu	VERB	dcs:634090	dcs	3	0	surface+unsandhied	paradigm_gap
maghavant	maghavant	maghavan	ADJ	dcs:634101	dcs	4	0	surface	paradigm_gap
yunakta	yunakta	yuj	VERB	dcs:634110	dcs	10	0	surface+unsandhied	paradigm_gap
tanota	tanota	tan	VERB	dcs:634110	dcs	4	0	surface+unsandhied	paradigm_gap
suśīmaṃ	suśīman	suśīma	ADJ	dcs:634112	dcs	1	0	surface	paradigm_gap
prasthāvad	prasthāvad	prasthāvat	ADJ	dcs:634113	dcs	4	0	surface	lexicon_gap
prasthāvat	prasthāvat	prasthāvat	ADJ	dcs:634113	dcs	4	0	unsandhied	lexicon_gap
rathavāhanaṃ	rathavāhanan	rathavāhana	NOUN	dcs:634113	dcs	3	0	surface	paradigm_gap
pībarīṃ	pībarīn	pīvara	ADJ	dcs:634113	dcs	1	0	surface	paradigm_gap
tośamānā	tośamānā	tuś	VERB	dcs:634117	dcs	6	0	surface+unsandhied	lexicon_gap
badhyantāṃ	badhyantān	bandh	VERB	dcs:634119	dcs	1	0	surface	paradigm_gap
iṅgaya	ingaya	iṅgay	VERB	dcs:634119	dcs	4	0	surface+unsandhied	lexicon_gap
cakrathuḥ	cakrathu	kṛ	VERB	dcs:634121_1	dcs	35	1	surface+unsandhied	paradigm_gap
abhyāvavṛtsva	abhyāvavṛtsva	abhyāvṛt	VERB	dcs:634125	dcs	10	1	surface+unsandhied	lexicon_gap
khanāmy	khanāmy	khan	VERB	dcs:634126	dcs	1	0	surface	paradigm_gap
saṃvindate	sanvindate	saṃvid	VERB	dcs:634127	dcs	4	0	surface+unsandhied	paradigm_gap
uttared	uttared	uttṛ	VERB	dcs:634132	dcs	1	0	surface	lexicon_gap
uttaret	uttaret	uttṛ	VERB	dcs:634132	dcs	12	0	surface+unsandhied	lexicon_gap
'dhāṃ	'dhān	dhā	VERB	dcs:634136	dcs	2	1	surface	paradigm_gap
pṛtanyān	pṛtanyān	pṛtany	VERB	dcs:634142_1	dcs	2	0	surface+unsandhied	lexicon_gap
kṣiṇāmi	kṣināmi	kṣi	VERB	dcs:634143_1	dcs	2	0	surface+unsandhied	paradigm_gap
tīkṣṇīyāṃsaḥ	tīkṣnīyānsa	tīkṣṇīyas	ADJ	dcs:634144_1	dcs	4	0	surface+unsandhied	paradigm_gap
ṛtviyo	ṛtviyo	ṛtviya	ADJ	dcs:634155	dcs	7	0	surface	paradigm_gap
jānann	jānann	jñā	VERB	dcs:634156	dcs	43	0	surface	paradigm_gap
agnibhir	agnibhir	agni	NOUN	dcs:634163	dcs	15	0	surface	paradigm_gap
codaya	codaya	coday	VERB	dcs:634164	dcs	100	1	surface+unsandhied	lexicon_gap
saṃgatyāṃ	sangatyān	saṃgati	NOUN	dcs:634166	dcs	2	0	surface	paradigm_gap
