k1	pw_L	hom	sense_ord	div_n	marker	gloss	witnesses	pw_entry_blocks	pwg_entry_blocks
DA	55032	1	176	1	11〉	zu Ende gegangen, abgelaufen	mbh	468	358
DA	55032	1	180					468	358
DA	55032	1	181	1	1〉	hinzulegen	man.grhy,man.sr	468	358
DA	55032	1	182	1	2〉	anlegen, schüren, entzünden; angelegt, entzündet	apast,gaut,samhitopan	468	358
DA	55032	1	183	1	3〉	aufstellen, an seinen Platz stellen		468	358
DA	55032	1	184					468	358
DA	55032	1	186	1	2〉	wieder an seinen Platz setzen, in Ordnung bringen, wieder herstellen; w. hergestellt		468	358
DA	55032	1	187	1	3〉	verbessern, beseitigen	samk.zubadar	468	358
DA	55032	1	188					468	358
DA	55032	1	191	1	3〉	aussetzen; ausgesetzt		468	358
DA	55032	1	192					468	358
DA	55032	1	193	1	1〉	auflegen, anlegen, aufsetzen, legen auf; stellen; unter Etwas; stecken —, setzen in; auf das Feuer setzen, anlegen,; anschirren; inʼs Herz schliessen,; beherzig	chr,sulbas	468	358
DA	55032	1	195	1	3〉	sich legen auf; dem Etwas; vorhergeht		468	358
DA	55032	1	197	1	5〉	Jmd; Etwas beibringen, lehren		468	358
DA	55032	1	198	1	6〉	hinzuthun, hinzufügen, — zu, verbinden mit; sich anschliessend an; verbunden mit	malav,sulbas	468	358
DA	55032	1	199	1	7〉	anwenden; auf eine gute Sache verwendete Mühe		468	358
DA	55032	1	200	1	8〉	voraussetzen, supponiren; vorausgesetzt, bedingt durch	chr	468	358
DA	55032	1	201	1	9〉			468	358
DA	55032	1	202	2	a〉	herbeigeschafft, -geführt, zugeführt		468	358
DA	55032	1	203	2	b〉	unternommen	mbh	468	358
DA	55032	1	204	2	c〉	verführt, verleitet oder angeführt		468	358
DA	55032	1	205			hinterher anlegen, — auflegen		468	358
DA	55032	1	206					468	358
DA	55032	1	207	1	1〉	hinzusetzen, hinzulegen		468	358
DA	55032	1	209	1	3〉	zugleich mit aufsetzen		468	358
DA	55032	1	211					468	358
DA	55032	1	212					468	358
DA	55032	1	213	1	1〉	niedersetzen, niederlegen, [Page3-153-b] ablegen, hinlegen, hinsetzen, hinstellen, — auf, an oder in; hineinlegen, — in; Etwas vor Jmd; hinlegen; in die Erde, i	apast,chr,r	468	358
DA	55032	1	214	1	2〉	richten auf; richten auf; beschliessen; Mühe wenden an		468	358
DA	55032	1	215	1	3〉	Niederlegen zur Aufbewahrung, aufbewahren in; im Herzen bewahren,; dem Herzen einprägen, im Gedächtniss behalten; für sich aufbewahren		468	358
DA	55032	1	216	1	4〉	verstecken in; im Herzen verbergen		468	358
DA	55032	1	217	1	5〉	Jmd einsetzen als; anstellen zu		468	358
DA	55032	1	218	1	6〉	Jmdm; übergeben, anvertrauen, schenken; sich Jmd; anvertrauen; Jmd; sein Herz schenken		468	358
DA	55032	1	219	1	7〉	zurücklassen		468	358
DA	55032	1	220	1	8〉	niederlegen,; niederhalten, zurückhalten, beseitigen, unterdrücken		468	358
DA	55032	1	222	1	10〉	tief ausgesprochen		468	358
DA	55032	1	223	1	11〉		bhag.p	468	358
DA	55032	1	224					468	358
DA	55032	1	225	1	1〉	hinsetzen lassen; auf; hineinlegen lassen in	hemadri,vaitan	468	358
DA	55032	1	228			niederzusetzen beabsichtigen	nais	468	358
DA	55032	1	229			sich festsetzen	maitr.s,vs	468	358
DA	55032	1	230					468	358
DA	55032	1	232	1	2〉	Jmdm; verleihen		468	358
DA	55032	1	233					468	358
DA	55032	1	235	1	2〉	bei Seite setzen		468	358
DA	55032	1	237					468	358
DA	55032	1	238	1	1〉	auflegen auf, hineinlegen in; sich Etwas auflegen	ind.st	468	358
DA	55032	1	239	1	2〉	berühren, nahe kommen mit; an; berührt		468	358
DA	55032	1	240	1	3〉	mit einander verschmelzen		468	358
DA	55032	1	242					468	358
DA	55032	1	243	1	1〉	daneben setzen, — stellen,; Etwas vorsetzen		468	358
DA	55032	1	244	1	2〉	sich nähernd legen auf	asv.grhy	468	358
DA	55032	1	245	1	3〉	niederlegen, vergraben		468	358
DA	55032	1	247	1	5〉	herbeiführen, -bringen		468	358
DA	55032	1	248	1	6〉	herbeiführen, bewirken		468	358
DA	55032	1	250					468	358
DA	55032	1	253	1	3〉	berühren, nahe kommen mit		468	358
DA	55032	1	254	1	4〉	heften —, richten auf; beschliessen; man vergegenwärtige sich; gerichtet auf; eine wohlangebrachte Rede	hariv	468	358
DA	55032	1	255	1	5〉	Jmd; Etwas überlassen, übergeben	balar	468	358
DA	55032	1	256	1	6〉	bringen —, versetzen in		468	358
DA	55032	1	257	1	7〉	aussenden; ausgesandt		468	358
DA	55032	1	258	1	8〉	spähen —, spioniren lassen durch		468	358
DA	55032	1	259	1	9〉	alle seine Gedanken —, seine ganze Aufmerksamkeit auf Etwas richten, Etwas; überlegen; ganz in Etwas; vertieft, ganz bei einer Sache seiend, in einem Gedanken g	apast	468	358
DA	55032	1	260	1	10〉	herausbringen, dahinterkommen, — dass ist;; herausgebracht, anʼs Tageslicht gebracht	mbh	468	358
DA	55032	1	261					468	358
DA	55032	1	262	1	1〉	Jmd zurücklassen in		468	358
DA	55032	1	264					468	358
DA	55032	1	267					468	358
DA	55032	1	272	1	5〉	Jmd einsetzen in; eingesetzt	rajat	468	358
DA	55032	1	273	1	6〉	mit Jmd auseinandergehend, — nicht übereinstimmend	apast	468	358
DA	55032	1	274	1	7〉		mbh	468	358
DA	55032	1	275					468	358
DA	55032	1	277	1	2〉	in der Nähe —, neben sich hinstellen	gaut	468	358
DA	55032	1	278	1	3〉	sich vorfinden —, vorhanden sein bei	dasak	468	358
DA	55032	1	279	1	4〉	das Auge heften auf; das Herz auf einen Punkt richten sich sammeln		468	358
DA	55032	1	280	1	5〉	Jmd zu Etwas ansetzen, Jmd Etwas übertragen		468	358
DA	55032	1	282					468	358
DA	55032	1	284	1	2〉	sich Jmd; in der Nähe zeigen, sich manifestiren		468	358
DA	55032	1	286				ind.st	468	358
DA	55032	1	287					468	358
DA	55032	1	288	1	1〉	herumlegen, -setzen, umlegen; herumgesetzt, -gestellt, -stehend		468	358
DA	55032	1	290	1	3〉	umlegen, umgeben, bekleiden, — mit; umzingeln; umlegt, umgeben		468	358
DA	55032	1	292	1	5〉		hariv,ind.st	468	358
DA	55032	1	293					468	358
DA	55032	1	295	1	2〉	umgeben, — bekleiden mit		468	358
DA	55032	1	299					468	358
DA	55032	1	300					468	358
DA	55032	1	301					468	358
DA	55032	1	303	1	2〉	aussenden	rv	468	358
DA	55032	1	304	1	3〉	sich einer Sache; hingeben	lalit	468	358
DA	55032	1	305				mbh	468	358
DA	55032	1	306					468	358
DA	55032	1	307	1	1〉	ansetzen, wie der ansetzen, einsetzen		468	358
DA	55032	1	308	1	2〉	anlegen; zielen		468	358
DA	55032	1	312	1	6〉	geben, wiedergeben		468	358
DA	55032	1	316	1	10〉	anheben, anfangen, anbrechen, eintreten		468	358
DA	55032	1	318					468	358
DA	55032	1	321	1	3〉	ein theilen, ordnen		468	358
DA	55032	1	322	1	4〉	zertheilen		468	358
DA	55032	1	323	1	5〉	anordnen, vorschreiben, festsetzen, bestimmen; bestimmt sein für; gelten für; er ist von den Göttern mir zum Gatten bestimmt worden	chr	468	358
DA	55032	1	324	1	6〉	an den Tag legen, zeigen	chr	468	358
DA	55032	1	325	1	7〉	finden, ausfindig machen	chr,mbh,r	468	358
DA	55032	1	327	1	9〉	zurechtmachen, herbeischaffen	chr	468	358
DA	55032	1	328	1	10〉	vollbringen, verrichten, bewerkstelligen, bereiten, verursachen, einrichten, machen, thun; Rath halten;; die Herrschaft führen, sich der H. bemächtigen, regiere		468	358
DA	55032	1	330	1	12〉	mit Etwas oder Jmd; es so machen —, dahin bringen, dass	mbh,r	468	358
DA	55032	1	334	1	16〉	ausgestattet —, versehen mit		468	358
DA	55032	1	335	1	17〉		mark.p,mbh,pancad	468	358
DA	55032	1	336			hinlegen lassen		468	358
DA	55032	1	339	1	3〉	ausfindig machen wollen		468	358
DA	55032	1	340	1	4〉	daran denken sich Etwas zu verschaffen	spr	468	358
DA	55032	1	341	1	5〉	beabsichtigen zu vollbringen, — bewerkstelligen, beabsichtigen; bestimmte Zwecke verfolgend, selbstsüchtig		468	358
DA	55032	1	342	1	6〉	daran denken Jmd zu Etwas zu machen,		468	358
DA	55032	1	344			vertheilen über Etwas hin		468	358
DA	55032	1	345					468	358
DA	55032	1	346	1	1〉	der Reihe nach anreihen		468	358
DA	55032	1	350	1	5〉	bewirken, bewerkstelligen	chr	468	358
DA	55032	1	351	1	6〉	Etwas; zur Richtschnur nehmen, sich leiten lassen durch; sich richten nach; sich richtend nach	harsac	468	358
DA	55032	1	352					468	358
DA	55032	1	355					468	358
DA	55032	1	357	1	2〉	auf Etwas bedacht sein		468	358
DA	55032	1	358	1	3〉	Jmd alle mögliche Aufmerksamkeit bezeigen		468	358
DA	55032	1	359					468	358
DA	55032	1	362	1	3〉	entgegenarbeiten; was wirst du dagegen thun?	kad	468	358
DA	55032	1	363	1	4〉	einer Conclusion entgegentreten	samk.zubadar	468	358
DA	55032	1	364					468	358
DA	55032	1	365					468	358
DA	55032	1	367	1	2〉	Jmd beordern		468	358
DA	55032	1	369	1	4〉	den Geist aufrecht erhalten, guten Muths sein	spr	468	358
DA	55032	1	374	1	9〉		ed.bomb,mbh	468	358
DA	55032	1	375			Jmd Sorge tragen —, walten lassen	kad	468	358
DA	55032	1	376					468	358
DA	55032	1	377	1	1〉	zusammensetzen, -reihen, -knüpfen, -nähen, vereinigen, verbinden, — mit; schliessen; den Bogen mit dem Pfeile verbinden;; zielen; sich vereinigen, sich verbinde	apast,rv	468	358
DA	55032	1	378	1	2〉	herstellen, wieder —, wieder gut machen		468	358
DA	55032	1	379	1	3〉	niederlegen in oder bei; hinstellen, zusammenlegen auf; legen		468	358
DA	55032	1	381	1	5〉	zusammen verleihen, vereinigen auf; geben, schenken; Jmd; einen Namen geben; Glauben schenken einer Sache		468	358
DA	55032	1	382	1	6〉	schliessen		468	358
DA	55032	1	383	1	7〉	zusammenführen,; versöhnen		468	358
DA	55032	1	384	1	8〉	in freundschaftlichem Verhältniss stehend mit	mbh	468	358
DA	55032	1	386	1	10〉	gefasst —, gehalten werden in		468	358
DA	55032	1	389	1	13〉	Gebrauch machen von		468	358
DA	55032	1	390	1	14〉		kam.nitis,mbh	468	358
DA	55032	1	392					468	358
DA	55032	1	393	1	1〉	Jmd schmähen	gaut	468	358
DA	55032	1	395	1	3〉	Jmd oder Etwas in Schatten stellen, übertreffen, — in Betreff von; einer Sache Abbruch thun;	balar	468	358
DA	55032	1	397					468	358
DA	55032	1	400	1	3〉	sich sammeln, sich fassen; sich sammelnd		468	358
DA	55032	1	402					468	358
DA	55032	1	403	1	1〉	zusammen-, hineinschnappen in		468	358
DA	55032	1	404	1	2〉	verbinden,; legen		468	358
DA	55032	1	405	1	3〉	richten auf; zielen —, gerichtet sein auf; gerichtet auf		468	358
DA	55032	1	407	1	5〉	Jmd gemeinsam anerkennen, anerkennen; von aller Welt anerkannt	mbh	468	358
DA	55032	1	411	1	9〉	sich anschliessen an, sich verbünden mit		468	358
DA	55032	1	412	1	10〉	Jmd bestimmen zu, einsetzen als;		468	358
DA	55032	1	414					468	358
DA	55032	1	415	1	1〉	hineinstecken in		468	358
DA	55032	1	416	1	2〉	Etwas; beabsichtigen		468	358
DA	55032	1	417	1	3〉		mbh	468	358
DA	55032	1	418					468	358
DA	55032	1	420	1	2〉	vermehren		468	358
DA	55032	1	421	1	3〉	verbinden mit		468	358
DA	55032	1	422	1	4〉	Jmd mit Etwas; verbinden,; theilhaftig werden lassen; verbunden —, versehen mit, begleitet —, umgeben von; schwarzgefärbt; Ort und Zeit entsprechend		468	358
DA	55032	1	427					468	358
DA	55032	1	432	1	5〉	eine Einsicht erlangen in	prab	468	358
DA	55032	1	433	1	6〉	gerichtet auf oder gegen		468	358
DA	55033	2	435					468	358
DA	55033	2	436	1	1〉			468	358
DA	55033	2	437	1	2〉			468	358
DA	55033	2	438	2	a〉			468	358
DA	55033	2	439	2	b〉			468	358
DA	55033	2	440	1	3〉			468	358
DA	55034	3	441			saugen an Etwas; Etwas; trinken; aussaugen; einsaugen,; ganz sich zu eigen machen; säugen, ernähren		468	358
DA	55034	3	444					468	358
DA	55034	3	446			aussaugen		468	358
DA	55034	3	447					468	358
DA	55034	3	448			saugen lassen an	man.grhy	468	358
DA	55034	3	449					468	358
DA	204917	1	451			sich bemühen um	kir	468	358
DA	207491	1	452					468	358
DA	207491	1	453		3〉			468	358
DA	207491	1	454		1〉			468	358
DA	209028	1	455			gedämpft, unterdrückt		468	358
DA	209028	1	456		6〉	keine Aufmerksamkeit Jmd; schenkend		468	358
DA	209028	1	457					468	358
DA	218476	1	458					468	358
DA	218476	1	459				apast.sr,grhy	468	358
DA	218476	1	460			in eine andachtsvolle Stimmung gerathen	mahavy	468	358
DA	218476	1	461					468	358
DA	218476	1	462			nacheinander geordnet	maitr.s	468	358
DA	218476	1	463					468	358
DA	218476	1	464			schliessen	divyavad	468	358
DA	218476	1	466					468	358
DA	218476	1	467					468	358
DA	218476	1	468					468	358
DARaka	55040		1					3	5
DARaka	55040		2	1	1〉	eine best. Münze;		3	5
DARaka	55040		3	1	2〉	die weibliche Scham; eine Schwangere	comm.zuts	3	5
DARikI	55041		1					1	0
DAka	55036		1					5	4
DAka	55036		4	1	3〉	Speise		5	4
DAmADipa	55228		1			die Sonne	prab	1	0
DAmArga	55229		1			eine best. Pflanze	caraka	1	0
DAmArgava	55230		1					4	4
DAmArgava	55230		2	1	1〉	Luffa foetida oder eine andere Species		4	4
DAmArgava	55230		3	1	2〉	Achyranthes aspera		4	4
DAmArgava	55230		4	1	3〉			4	4
DAma	55214		1					3	3
DAmaDA	55218		1			Gründer der Wohnstätten		1	1
DAmacCad	55217		1					3	4
DAmacCad	55217		2	1	1〉	seine Wohnstätte verhüllend,		3	4
DAmakeSin	55216		1			Strahlen zum Haupthaar habend		1	1
DAmamAnin	55225		1			an eine Stätte; an eine materielle Existenz glaubend	bhag.p	1	0
DAman	55219	1	1					15	21
DAman	55219	1	2	1	1〉			15	21
DAman	55219	1	4	2	b〉			15	21
DAman	55219	1	5	3		die gewohnte Heimat, Lieblingsstätte		15	21
DAman	55219	1	11	2	g〉	Glanz, Licht, Glanzerscheinung		15	21
DAman	55219	1	12	1	2〉			15	21
DAman	55220	2	13		1〉			15	21
DAman	209030	1	14				kuhnsz,ludwig	15	21
DAman	218484	1	15					15	21
DAmanI	55223		1					3	1
DAmanI	55223		2	1	1〉	Hemionitis cordifolia		3	1
DAmanI	55223		3	1	2〉			3	1
DAmanikA	55221		1			{{Solanum jacquini->Solanum jacquinii||20241207|Jim Funderburk, Thomas Malten|https://github.com/sanskrit-lexicon/PWK/issues/111|}}		1	1
DAmasac	55227		1			an die bestimmte Stätte sich haltend		1	0
DAmavant	204919		1			mächtig, kräftig	kir	2	0
DAmavant	218485		2					2	0
DAnA	55141		1					4	2
DAnA	55141		3	1	2〉	Koriander	bhavapr	4	2
DAnA	55141		4	1	3〉	ein junger Schoss		4	2
DAnAcUrRa	55143		1			Mehl von gerösteter Gerste		1	0
DAnAka	55142		1					4	3
DAnAka	55142		2	1	1〉			4	3
DAnAka	55142		3	1	2〉			4	3
DAnAka	55142		4	1	3〉		ars.br	4	3
DAnAntarvant	55144		1			eines		1	1
DAnAruha	55145		1			aus einem Korn wachsend		1	0
DAnAsoma	55147		1			Getreidekörner und	apast.sr	1	1
DAnDya	55157		1			Unwohlsein		1	1
DAna	55133	2	2					9	6
DAna	55133	2	3	1	1〉			9	6
DAna	55133	2	4	2	a〉	enthaltend		9	6
DAna	55133	2	6	1	2〉			9	6
DAna	55133	2	8	2	b〉	Koriander		9	6
DAna	55133	2	9	2	c〉			9	6
DAnaMjayya	55136		1					3	1
DAnaMjayya	55136		2	1	1〉			3	1
DAnaSrI	55139		1			ein best.	s.s.s	1	0
DAnada	55137		1					1	1
DAnakA	55135		1					1	1
DAnaka	55134		1					3	1
DAnaka	55134		2	1	1〉	eine best. Münze von best. Gewicht	caraka,hemadri	3	1
DAnapata	55138		1					1	1
DAnasI	55140		1			eine best.	s.s.s	1	0
DAnikA	55148		1		1〉			1	2
DAnin	55149		1			Careya arborea; Salvadora persica		1	0
DAnta	55155		1			des Lautes		1	2
DAnurveda	55151		1				hem.par	3	0
DAnurveda	209029		2					3	0
DAnurveda	218478		3					3	0
DAnuzka	55152		1					3	3
DAnuzka	55152		3	1	2〉	Achyranthes aspera		3	3
DAnuzya	55153		1			Bambusrohr		1	1
DAnva	55206		1					3	1
DAnva	55206		2	1	1〉		caraka	3	1
DAnva	55206		3	1	2〉			3	1
DAnvana	55207	1	1		2〉			5	3
DAnvana	55209	3	3					5	3
DAnvana	55209	3	4	1	1〉	vom Baume; kommend		5	3
DAnvana	55209	3	5	1	2〉	die Frucht von	caraka	5	3
DAnvantarIya	55211		1					3	1
DAnvantarIya	55211		2	1	1〉	von; verfasst	verz.d.oxf.h	3	1
DAnvantarIya	55211		3	1	2〉	Zur Schule des; gehörig	caraka	3	1
DAnvantara	55210		1			in Beziehung stehend		1	1
DAnvantarya	55212		1			dem; geweiht		1	1
DAnvapata	55213		1					1	1
DAnyABra	55197		1			ein best. Praeparat aus Talk	bhavapr,mat.med	1	0
DAnyAMSa	55194		1			Getreidekorn	chr	1	0
DAnyAda	55196		1			Korn fressend		1	1
DAnyAkft	55195		1			Kornbauer		1	1
DAnyArGa	55201		1			Kornpreis		1	0
DAnyArTa	55202		1			durch Getreide erworbener Reichthum	l.k	1	0
DAnyAri	55200		1			Maus		1	1
DAnyAyana	55199		1					1	1
DAnya	55158	1	1			das Reichsein	dhatup	10	9
DAnya	55159	2	2					10	9
DAnya	55159	2	4	1	2〉			10	9
DAnya	55159	2	5	2	a〉	Getreide, Getreideart		10	9
DAnya	55159	2	6	2	b〉	ein best. Gewicht,; 4 Sesamkörner		10	9
DAnya	55159	2	8	2	d〉	Cyperus rotundus		10	9
DAnya	55159	2	9	2	e〉	eine Art Haus	gal	10	9
DAnyaDana	55171		1			Korn und Reichthümer	m	1	0
DAnyaKala	55164		1			Korntenne	katy.sr	1	0
DAnyaSUka	55191		1			Granne am Getreide		1	1
DAnyaSrezWa	55192		1			eine Art Reis		1	1
DAnyabIja	55178		1			Koriander	rajan	1	0
DAnyacArin	55167		1			Körner fressend	bhavapr	1	0
DAnyagava	55165		1			Korn in Gestalt eines Rindes aufgestapelt	p	1	0
DAnyajIvin	218480		1			von Körnern lebend;; ein solcher Vogel	r.ed.bomb	1	0
DAnyakUwa	55161		1			Kornspeicher	varah.brh.s	1	0
DAnyaka	55160		1					4	3
DAnyaka	55160		2	1	1〉			4	3
DAnyaka	55160		3	1	2〉			4	3
DAnyakawaka	207492		1				burgessarchaeol.surveyofsouthernindiano,hiouenthsang,j.r.a.s	2	0
DAnyakawaka	218479		2					2	0
DAnyakoSa	55162		1					3	0
DAnyakoSa	55162		2	1	1〉	Kornvorrath	r	3	0
DAnyakoSa	55162		3	1	2〉	Kornähre	gal	3	0
DAnyamAna	55181		1			soviel Getreide als ein Mann zu einer Zeit essen kann	vp	1	0
DAnyamAtar	55180		1			Getreidemesser (der das Getreide misst)		1	1
DAnyamAya	55182		1					3	1
DAnyamAya	55182		2	1	1〉			3	1
DAnyamAza	55183		1			ein best. Gewicht	caraka	1	0
DAnyamaya	55179		1			aus Korn bestehend, — gebildet	hemadri	1	0
DAnyamiSrA	55184		1			ein Gemisch verschiedener Kornarten	desin	1	0
DAnyamiSra	205776		1			Korn mischend, — fälschend	yajn	2	0
DAnyamiSra	218482		2					2	0
DAnyapAla	55177		1					1	1
DAnyapAtra	55176		1			ein Gefäss für oder mit Korn	laty	1	0
DAnyapUla	204918		1			ein Büschel Getraide	comm.zuasv.sr	2	0
DAnyapUla	218481		2					2	0
DAnyapaYcaka	55173		1			die fünf Körnerfrüchte		1	0
DAnyapata	55174		1					1	0
DAnyapati	55175		1					1	1
DAnyarAja	55185		1			Gerste		4	1
DAnyarAja	205777		2				mit	4	1
DAnyarAja	207493		3				nachtr,visnus	4	1
DAnyarAja	218483		4					4	1
DAnyatA	55168		1				say.zurv	1	0
DAnyavIra	55189		1			Phaseolus radiatus		1	1
DAnyavani	55186		1			ein Haufen Getreide		1	1
DAnyeya	55204		1			Koriander	gal	1	0
DAnyottama	55205		1			Reis		1	1
DAqunftya	55039		1			ein best. Tanz	s.s.s	1	0
DArA	55271	1	1		2〉	Strom		15	30
DArA	55272	2	2					15	30
DArA	55272	2	3	1	1〉	Schneide, Schärfe; Klinge eines schneidenden Werkzeuges		15	30
DArA	55272	2	4	1	2〉	Radkranz		15	30
DArA	55272	2	8	1	6〉	Bergrand		15	30
DArA	55273	3	10					15	30
DArADarAgama	55288		1			die Regenzeit	kad	1	0
DArADarAtyaya	55289		1			Herbst	caraka	1	0
DArADarodyAna	55290		1			Lustgartens	priy	1	0
DArAGoza	55279		1			das Geräusch beim Hereinfliessen der gemolkenen Milch in der Eimer	apast.sr	1	0
DArANkura	55280		1					4	4
DArANkura	55280		3	1	2〉	feiner Regen, herabfallende Tropfen		4	4
DArAPala	55298		1			ein best. Baum,		1	1
DArASIta	55312		1			nach dem Melken kalt geworden	bhavapr	1	0
DArASru	55313		1			Thränensrom	kathas	1	1
DArAYcala	55284		1			Schneide	prasannar	1	0
DArAgra	55277		1			eine breite scharfe Pfeilspitze	halay	1	0
DArAgraha	55278		1			ein aus dem fliessenen; gefüllter Becher	katy.sr,say.zuait.br	1	0
DArAjala	55283		1			von der Klinge —, von der Schneide triefendes Blut	kad,nachtr,prasannar	1	0
DArAkadamba	55274		1					3	3
DArAkadamba	55274		3	1	2〉			3	3
DArAkadambaka	55275		1			eine Art		1	0
DArAla	55304		1					1	1
DArAmBas	55299		1				prasannar	1	0
DArAntaracara	55294		1			zwischen Klingen sich bewegend,; in unverschämter Weise Andern auf den Leib rückend		1	2
DArAnuyAja	55293		1			ein mit einer Gussspende verbundenes Nachopfer	comm.zukaty.sr	1	0
DArApaTa	55295		1			der Bereich einer Klinge; Jmd durch Jmds; Schwert umkommen lassen	venis	2	0
DArApaTa	218491		2			Radspur	dharmasarm	2	0
DArApayas	55296		1				vikramankac	1	0
DArAsUra	55316		1					1	1
DArAsalila	218492		1				dharmasarm	1	0
DArAsnuhI	55317		1			eine best. Pflanze		1	1
DArAvAsa	55310		1				pancad	1	0
DArAvant	55306		1					3	2
DArAvant	55306		3	1	2〉			3	2
DArAvara	55307		1			Regengüsse habend, — bringend		1	3
DArAvarta	55308		1			fliessend, schnell	hemadri	1	0
DArAviza	55311		1			Schwert		1	1
DArAwa	55285		1					5	5
DArAyAja	55303		1			ein mit einer Gussspende verbundenes Opfer	comm.zukaty.sr	1	0
DArAyantragfha	55302		1			ein Badezimmer mit Springbrunnen oder Spritzen		1	1
DAra	55239	1	1					25	12
DAra	55239	1	3	1	2〉			25	12
DAra	55239	1	4	2	a〉	der Erhalter		25	12
DAra	55240	2	6					25	12
DAra	55240	2	7	1	1〉	Strom, Guss		25	12
DAra	55240	2	8	1	2〉			25	12
DAra	55240	2	9	2	a〉	Strom, Guss, Regenguss, Strahl, Tropfen; etwas wie Regen Niederfallendes; Erguss des Gutes		25	12
DAra	55240	2	10	3		eine best. Libation		25	12
DAra	55240	2	11	3		ein best. Wallfahrtsort		25	12
DAra	55240	2	12	3		Gattin		25	12
DAra	55240	2	13	2	b〉	Sprung, Leck in einem Wasserkruge		25	12
DAra	55240	2	14	2	c〉	Gang eines Pferdes; Carriere		25	12
DAra	55240	2	15	2	d〉			25	12
DAra	55240	2	16	3				25	12
DAra	55240	2	17	3				25	12
DAra	55242	4	19					25	12
DAra	55242	4	20	1	1〉	eine Steinart		25	12
DAra	207494	1	23		1〉		man.grhy	25	12
DAra	218488	1	24					25	12
DAra	218489	2	25		2〉		dharmasarm	25	12
DAraRAmaya	55254		1			in der Sammlung des Gemüths bestehend		1	1
DAraRAnvita	55252		1			mit einem guten Gedächtniss ausgestattet	kam.nitis	1	0
DAraRAtmaka	55251		1					3	0
DAraRAtmaka	55251		2	1	1〉	dessen Wesen darin besteht, dass es sich selbst trägt,	suryas	3	0
DAraRAtmaka	55251		3	1	2〉	der sich leicht sammelt, — fasst	susr	3	0
DAraRImati	55257		1			ein best.		1	1
DAraRImuKasarvajagatpraRiDisaMDAraRagarBa	55258		1					1	1
DAraRIrAja	55260		1					1	1
DAraRIyA	55259		1			best Knollengewächs	rajan	1	0
DAraRa	55246		1					39	31
DAraRa	55246		2	1	1〉			39	31
DAraRa	55246		3	2	a〉	tragend, in sich fassend		39	31
DAraRa	55246		4	2	b〉	innehabend, besitzend		39	31
DAraRa	55246		5	2	c〉	erhaltend, aufrechterhaltend		39	31
DAraRa	55246		6	2	d〉	Jmds; Gestalt annehmend		39	31
DAraRa	55246		7	1	2〉			39	31
DAraRa	55246		9	2	b〉			39	31
DAraRa	55246		10	1	3〉			39	31
DAraRa	55246		11	2	a〉	das Tragen		39	31
DAraRa	55246		12	2	b〉	das Festhalten, Zurückhalten		39	31
DAraRa	55246		15	2	e〉	Gedächtniss, ein gutes G.		39	31
DAraRa	55246		19	2	i〉	der achte, neunte, zehnte und eilfte Tag in der lichten Hälfte; des		39	31
DAraRa	55246		20	1	4〉			39	31
DAraRa	55246		21	2	a〉	ein röhrenartiges Gefäss im Leibe, Ader		39	31
DAraRa	55246		22	2	b〉	die Erde	gal	39	31
DAraRa	55246		23	2	c〉	ein best. Knollengewächs	gal	39	31
DAraRa	55246		26	2	f〉			39	31
DAraRa	55246		27	1	5〉			39	31
DAraRa	55246		29	2	b〉	das Tragen		39	31
DAraRa	55246		31	2	d〉	das Ansichbehalten, Aufsichbehalten		39	31
DAraRa	55246		32	2	e〉	das Beisichbehalten		39	31
DAraRa	55246		35	2	h〉	das Ertragen, Aushalten;		39	31
DAraRa	55246		36	2	i〉	das Richten —, Gerichtethaben; auf Etwas		39	31
DAraRa	55246		38	2	l〉	das Festhalten, Zurückhalten, Anhalten		39	31
DAraRaka	55247		1					3	4
DAraRaka	55247		2	1	1〉	in sich tragend, enthaltend, bestehend aus		3	4
DAraRamAtfkA	55249		1			eine der 64 Künste	comm.zubhag.p	1	1
DAraRapAtra	55248		1			ein best. Gefäss		1	1
DAraRayantra	55250		1			eine Art Amulet		1	1
DAraRi	55256		1					1	1
DAraka	55243	1	1					7	7
DAraka	55243	1	2	1	1〉			7	7
DAraka	55243	1	3	2	a〉	haltend, tragend		7	7
DAraka	55243	1	4	2	b〉	im Gedächtniss bewahrend,	karand	7	7
DAraka	55243	1	6	1	3〉	Stütze, Pfeiler	hemadri	7	7
DAralopaka	207495		1			eine best. Begehung	verz.d.oxf.h	2	0
DAralopaka	218490		2					2	0
DArapUta	55261		1			rein wie ein Wasserstrahl		1	1
DAravAka	55270		1			dessen Lieder sich wie ein Wasserstrahl ergiessen		1	1
DAraya	55262		1			Jmd; Etwas; schuldend		1	3
DArayitar	55266		1					6	5
DArayitar	55266		2	1	1〉			6	5
DArayitar	55266		5	2	c〉	der Jmd zurückhält, im Zaum hält		6	5
DArayitavya	55267		1					4	4
DArayizRu	55268		1					3	1
DArayizRu	55268		2	1	1〉	zu tragen pflegend,		3	1
DAri	55318		1					3	1
DAri	55318		3	1	2〉	des; von	chr	3	1
DArin	55321	1	1					21	14
DArin	55321	1	2	1	1〉			21	14
DArin	55321	1	3	2	a〉	tragend, haltend,; tragend		21	14
DArin	55321	1	4	2	b〉	innehabend, habend, besitzend		21	14
DArin	55321	1	5	2	c〉	bewahrend, verwahrend		21	14
DArin	55321	1	6	2	d〉	im Gedächtniss bewahrend		21	14
