slp1	hom	n_leaf_senses	n_loci_senses	n_ls	dcs_evidence	dcs_attested
daMSa		9	9	54	157	1
viSoka	2	9	9	54	107	1
mArIca		9	9	53	107	1
vAyasa	1	9	8	53	179	1
Uti	1	9	9	52	517	1
kakzya	2	9	8	52	7	1
saMniveSa		9	9	52	82	1
pariGa		9	9	51	281	1
pUra		9	9	50	53	1
waNka		9	9	50	92	1
ijya		9	7	49	3	1
pIta	2	9	9	49	1010	1
kzetrajYa		9	9	48	209	1
Sukta		9	8	47	91	1
aYjana	2	9	9	47	714	1
kakuB		9	7	47	136	1
mudrA		9	9	47	316	1
umA		9	8	47	383	1
viDu	2	9	9	47	40	1
liNgin		9	9	46	61	1
nEgama		9	9	46	50	1
pattrin		9	8	46	181	1
raYjana		9	9	46	194	1
puzkarin		9	8	45	10	1
gara		9	8	44	150	1
kAntAra		9	7	44	108	1
mahAbala		9	9	44	61	1
parivarta		9	9	44	58	1
saMsTiti		9	9	44	85	1
surUpa		9	9	43	105	1
kakuBa		9	9	42	51	1
SeKara		9	9	41	92	1
mahApadma		9	9	41	58	1
saMnati		9	9	41	64	1
sugrIva		9	7	41	666	1
sunanda		9	9	41	9	1
vinata		9	9	41	10	1
azAQa		9	9	40	19	1
barhis		9	9	40	889	1
cAndra		9	8	40	20	1
kUpa		9	6	40	322	1
kfti	2	9	9	40	107	1
leKana		9	8	40	176	1
mAhendra		9	9	40	115	1
vimarda		9	8	40	82	1
Danvin		9	8	39	278	1
siMhanAda		9	9	39	214	1
durDara		9	9	38	60	1
rasika		9	7	38	37	1
saMkrama		9	9	38	83	1
tEjasa		9	9	38	119	1
vAqava		9	9	38	1	1
mecaka		9	7	37	41	1
catuzpada		9	9	36	223	1
golaka		9	9	36	337	1
sAmudra	1	9	9	36	118	1
Dvaja		9	9	35	1067	1
balaBadra		9	8	35	71	1
suvftta		9	9	35	2	1
aDastAt		9	9	34	374	1
cawaka		9	9	34	38	1
rAkzasa		9	8	34	2586	1
sTeya		9	9	34	1	1
sUci		9	8	34	164	1
sumaNgala		9	9	34	15	1
mahAvIrya		9	9	33	10	1
tApasa		9	8	33	320	1
azwApada		9	9	32	44	1
rOhiRa		9	9	32	39	1
vA	1	9	4	32	25488	1
catuzka		9	8	31	85	1
harzaRa		9	9	31	196	1
kAra	1	9	7	31	188	1
maRqalin		9	9	31	47	1
Dvajin		9	6	30	33	1
hArya		9	9	30	4	1
kUrca		9	9	30	133	1
leKya		9	9	30	120	1
sev		9	3	30	1328	1
SuRqa		9	8	29	3	1
aNgaja		9	9	29	15	1
kalApin		9	9	29	27	1
matkuRa		9	9	29	41	1
varUTa		9	9	29	97	1
abja		9	9	28	177	1
gaYja		9	9	28	4	1
kAliNga		9	7	28	29	1
mahAnIla		9	9	28	31	1
suzama	2	9	9	28	8	1
varRin		9	8	28	43	1
kutra		9	9	27	142	1
vawa		9	9	27	202	1
kzepa		9	8	26	125	1
meGanAda	2	9	9	26	80	1
gorakza		9	7	25	22	1
hema		9	9	25	32	1
veDa		9	7	25	342	1
vezwana		9	9	25	46	1
kozWa		9	8	24	372	1
kuRqalin		9	9	24	52	1
Agraha		9	4	23	19	1
jImUta		9	9	23	170	1
kzemaMkara		9	9	23	18	1
piYja		9	9	23	2	1
DIra	3	9	9	22	684	1
druRa		9	9	22	1	1
kUrcaka		9	6	22	7	1
nibanDa		9	9	22	39	1
Akarza		9	8	20	21	1
bAhuka		9	9	20	64	1
hAraka		9	9	20	23	1
saMtAnaka		9	7	20	15	1
SAbara		9	8	19	7	1
lambakarRa		9	9	18	3	1
nAkula		9	8	18	5	1
tapa		9	8	18	41	1
jyotizka		9	9	16	58	1
kalikA		9	7	16	36	1
agniSiKa		9	9	15	25	1
Avartana		9	8	14	29	1
romaSa		9	7	14	55	1
ganDaPala		9	5	12	3	1
citraPala		9	5	10	4	1
mAdana		9	6	10	18	1
ganDAQya		9	5	9	5	1
Ra		9	4	8	19	1
jYA	1	8	8	1027	5059	1
tan	1	8	8	448	759	1
plu		8	8	434	299	1
sPur		8	8	296	358	1
svap	1	8	8	287	1101	1
vaSa	1	8	8	276	1463	1
as	1	8	8	262	35763	1
nu	1	8	8	213	1970	1
cud		8	8	197	31	1
viSeza		8	8	191	2017	1
yukti		8	8	189	553	1
iqA		8	8	173	650	1
laNG		8	8	169	32	1
bAla		8	8	165	1819	1
vizama		8	8	164	680	1
kratu		8	8	162	1086	1
snigDa		8	8	160	1512	1
saMjYA		8	8	159	1516	1
budDi		8	8	157	3003	1
pratyaya		8	8	157	824	1
svara		8	8	155	824	1
uttama		8	7	155	4951	1
vega		8	8	152	1671	1
vfdDi		8	8	152	1084	1
indriya		8	8	150	3362	1
sPuw		8	8	150	154	1
stamBa		8	8	147	562	1
vizRu		8	7	147	3782	1
banDana		8	8	141	679	1
kzaRa		8	7	141	1757	1
Barata		8	8	136	2165	1
saMgama		8	8	133	399	1
bIja		8	8	131	2244	1
vEzRava		8	8	131	618	1
kal	2	8	8	128	1	1
tapas		8	7	128	4981	1
sPuwa		8	8	123	326	1
vAdin		8	8	123	1060	1
SUla		8	7	121	1550	1
mUrC		8	8	121	189	1
baBru		8	8	120	238	1
Syena		8	8	119	374	1
tad		8	7	119	197087	1
karRa	1	8	8	117	3248	1
muni		8	8	116	4567	1
ati		8	7	110	4036	1
SiSira		8	8	107	381	1
vapus		8	8	107	927	1
kzatra		8	8	105	1403	1
rucira		8	7	101	293	1
mAna	2	8	8	100	1294	1
pakva		8	8	99	926	1
vAsana	2	8	8	99	13	1
vilAsa		8	8	98	167	1
vinA		8	8	98	1134	1
vimAna	1	8	8	97	703	1
SaWa		8	5	96	132	1
fkza	2	8	8	94	435	1
sADaka		8	8	93	472	1
BAvin		8	8	92	265	1
nyAsa		8	8	91	292	1
samAgama		8	8	91	338	1
salila		8	8	90	927	1
Sakala		8	8	89	253	1
kaliNga		8	8	85	206	1
meDA		8	5	85	443	1
prApti		8	8	85	361	1
yAma	3	8	8	85	864	1
sarpa		8	7	84	1041	1
vizARa	2	8	8	84	140	1
Bakta		8	6	83	1035	1
Sabala		8	7	83	88	1
gaBIra		8	6	83	74	1
sUri		8	8	83	226	1
dAruRa		8	8	82	967	1
karAla		8	8	82	126	1
sOra	2	8	7	82	144	1
saMtati		8	8	82	354	1
vAla	1	8	5	82	171	1
vfnda		8	8	82	182	1
arbuda		8	8	81	241	1
lAGava		8	8	81	273	1
skanda		8	8	79	290	1
vanya	2	8	8	79	187	1
harit		8	8	78	78	1
nivftti		8	8	78	308	1
dfzwi		8	8	76	998	1
kawaka		8	7	76	91	1
SArdUla		8	8	75	628	1
kzam	1	8	8	75	473	1
pattra		8	8	75	2190	1
pIlu		8	8	74	75	1
kUrma		8	8	73	333	1
nAqI		8	8	72	466	1
trika		8	8	72	121	1
viwa		8	6	72	49	1
PAlguna		8	6	71	100	1
Samana		8	8	71	405	1
hfdya		8	8	71	332	1
dala		8	8	70	541	1
tanaya		8	8	70	694	1
dUzaRa		8	8	69	220	1
manTara		8	8	69	66	1
sUkara		8	8	69	97	1
Ceda		8	7	68	306	1
kawu		8	8	68	980	1
maGa		8	8	67	76	1
a	3	8	8	66	15354	1
karuRa		8	8	66	186	1
svaDA	1	8	6	66	613	1
arvan	1	8	8	65	47	1
nemi		8	8	65	152	1
pIWa		8	8	65	208	1
palita		8	8	65	329	1
BaraRa		8	8	64	68	1
anna		8	8	64	4639	1
reKa		8	6	64	2	1
rucaka		8	8	64	45	1
vasumant		8	8	64	17	1
DftarAzwra		8	8	63	1088	1
ISAna		8	8	63	514	1
SravaRa	2	8	6	63	555	1
SoBa		8	8	62	16	1
saMyama		8	8	62	123	1
subAhu		8	8	62	62	1
tapasvin		8	8	62	458	1
vfjina		8	8	62	89	1
nibanDana		8	8	61	92	1
parRa		8	7	61	514	1
puRqra		8	8	61	125	1
sfzwi		8	8	61	421	1
azwaka		8	7	60	345	1
nidAna		8	7	60	212	1
virocana		8	8	60	81	1
parihAra		8	8	59	101	1
saMkara		8	8	58	211	1
yena		8	8	58	498	1
adri		8	8	57	508	1
caraka		8	8	57	64	1
kam	1	8	7	57	82	1
praBAsa		8	8	57	101	1
kawuka		8	8	56	550	1
rUpya		8	8	55	321	1
aDizWAna		8	8	54	284	1
avyakta		8	8	54	821	1
cala		8	8	54	328	1
Urja		8	8	53	40	1
aSvatTa		8	8	53	278	1
kAmboja		8	7	53	119	1
lalana		8	8	53	6	1
meGa		8	8	53	951	1
vESAKa		8	8	53	61	1
ADAra		8	8	52	296	1
aRu		8	8	52	409	1
kadamba		8	8	52	155	1
KarjUra		8	8	51	94	1
atyaya		8	8	51	208	1
jina		8	8	51	96	1
kuSika		8	8	51	88	1
tamAla		8	8	51	71	1
zawpada		8	6	51	67	1
Ama	1	8	8	50	595	1
BAvya		8	8	50	17	1
vyavasTA		8	8	50	678	1
kalya		8	8	49	64	1
SaMsa		8	8	48	139	1
aDikAra		8	8	48	285	1
cAra		8	7	48	266	1
markawa		8	7	48	58	1
nizaDa		8	8	48	93	1
vEdeha		8	6	48	70	1
SfNgAwaka		8	8	47	80	1
praBAkara		8	8	47	27	1
sevya		8	8	47	17	1
udDAra		8	7	47	91	1
Sarvara		8	6	46	1	1
dAkzAyaRa		8	7	46	9	1
ja	1	8	7	46	4125	1
Palguna		8	8	45	337	1
citraBAnu		8	8	45	42	1
grAmaRI		8	6	45	69	1
caYcala		8	7	44	103	1
saMDay		8	8	44	4	1
samudaya		8	7	44	60	1
guYja		8	7	43	6	1
Akzepa		8	8	42	93	1
cIna		8	8	42	48	1
vEkuRWa		8	5	42	89	1
pramada	2	8	8	41	34	1
vegavant		8	8	41	30	1
arDacandra		8	8	40	88	1
mukunda		8	8	40	52	1
vizRupada		8	8	40	12	1
BujaMga		8	7	39	173	1
Sala		8	8	39	63	1
cakzuzya		8	8	39	224	1
daRqin		8	8	39	87	1
ezaRa		8	8	39	12	1
kArttika		8	8	39	82	1
taviza		8	7	39	25	1
ADAna		8	7	38	121	1
DfzRu		8	8	38	78	1
Kaga		8	8	38	239	1
rama		8	6	38	11	1
javana	1	8	7	37	76	1
arha		8	8	36	500	1
kapAlin		8	8	36	52	1
pravartana		8	8	36	95	1
ajira		8	7	35	175	1
Sleza		8	8	34	14	1
kuwi		8	6	34	9	1
Kewa		8	8	33	9	1
ketumant		8	8	33	43	1
tripad		8	8	33	1	1
udDaraRa		8	7	33	77	1
SUka		8	8	32	36	1
aMSu		8	8	32	489	1
catura	2	8	8	32	81	1
kuzmARqa		8	7	32	22	1
pARqara		8	7	31	42	1
parAga		8	6	31	24	1
pawwaka		8	8	31	19	1
vasuMDara		8	8	31	1	1
arRa		8	8	30	66	1
sarvaga		8	8	30	86	1
Bedin		8	8	29	166	1
cakrANga		8	8	29	8	1
malimluca		8	7	29	7	1
piYjara		8	7	29	32	1
anirudDa		8	8	28	141	1
arAla		8	6	28	7	1
gundra		8	8	28	1	1
PAla		8	7	27	46	1
mahApaTa		8	6	27	40	1
pUrRa		8	8	27	646	1
samucCraya		8	8	27	49	1
kaRika		8	7	26	2	1
nirAkfti		8	8	26	19	1
vIraBadra		8	7	26	51	1
yApana		8	8	26	29	1
Ayurveda		8	2	25	126	1
rohit		8	7	25	19	1
saMvara	3	8	4	25	15	1
GarGara		8	8	24	12	1
SaNkukarRa		8	8	24	24	1
lohitaka		8	8	24	14	1
raktAkza		8	7	24	10	1
sulocana		8	8	24	12	1
suparvan		8	7	24	11	1
KaRqana		8	7	23	28	1
anuzaNga		8	8	23	28	1
cUlika		8	8	23	1	1
kUpaka		8	8	23	12	1
kuhara		8	5	23	31	1
kuwa		8	8	23	10	1
pAcana		8	8	23	302	1
praboDana		8	8	23	31	1
lohitAkza	2	8	8	22	18	1
amala		8	8	21	383	1
dyotana		8	7	21	10	1
kOSika	2	8	7	21	643	1
kumBaka		8	5	21	73	1
kIla		8	8	20	47	1
sUcImuKa	2	8	8	20	11	1
mahodara	2	8	8	19	76	1
anuttara		8	6	18	540	1
karRin		8	8	18	39	1
kzepaRa		8	8	18	35	1
Aryaka		8	8	17	34	1
Kawa		8	7	17	2	1
kramaRa		8	8	16	22	1
pacana		8	7	16	50	1
rohaRa		8	8	16	14	1
varANga	2	8	8	16	35	1
cyuti		8	8	15	50	1
pAkala		8	6	14	6	1
tamAlaka		8	7	14	6	1
agnimuKa		8	7	13	5	1
kAmika		8	8	12	19	1
kalApaka		8	7	12	3	1
kuhana		8	6	12	1	1
praharzaRa		8	7	12	13	1
sutAra		8	7	12	8	1
uddAna		8	4	10	7	1
dIpta		8	5	9	12	1
vAmanaka		8	6	9	12	1
Ja		8	4	8	29	1
ava	1	8	3	8	474	1
dIrGamUla	2	8	5	7	8	1
dIrGaPala		8	4	6	6	1
nfpapriya		8	3	6	5	1
Ta		8	3	4	21	1
gucCaPala		8	2	4	3	1
buD	1	7	7	651	1120	1
karz	1	7	7	414	1	1
vac		7	7	372	33950	1
Seza		7	7	358	2003	1
yaj	1	7	7	354	6777	1
mad	1	7	7	328	63834	1
raB		7	7	328	67	1
iz	3	7	7	292	5402	1
cakz		7	7	283	103	1
kAla	2	7	7	272	8488	1
Uh	1	7	7	270	98	1
rAD		7	7	255	242	1
ci	1	7	7	243	769	1
star	1	7	7	240	8	1
vezw		7	5	226	43	1
brahman	1	7	7	218	10475	1
vyasana	1	7	7	190	547	1
hvA	1	7	6	180	987	1
yoni		7	7	176	2315	1
eka		7	7	175	13492	1
sahas		7	7	172	908	1
iva		7	7	162	20322	1
juz	1	7	7	155	1278	1
Sruta		7	7	153	418	1
ftu		7	7	153	1754	1
ah	2	7	7	152	9447	1
nitya		7	7	152	1541	1
vikAra	1	7	7	149	981	1
yatas		7	7	148	2012	1
paScAt		7	6	144	2092	1
su	4	7	7	140	14088	1
antar		7	7	134	2108	1
praT	1	7	7	133	365	1
rUpay		7	7	130	9	1
SAsana		7	7	129	638	1
yAtrA		7	7	128	340	1
Bojana		7	7	126	1162	1
vic	1	7	7	126	10	1
varga		7	7	122	695	1
yaSas	1	7	7	122	1891	1
Bakti		7	7	120	1478	1
vyaya		7	7	120	229	1
mAnuza		7	7	116	1493	1
Dana		7	7	115	2528	1
kula		7	7	114	3394	1
kOSika	1	7	7	113	643	1
kaRWa		7	7	112	976	1
mAna	1	7	7	111	1294	1
veDas		7	7	111	183	1
virAj	1	7	7	110	1100	1
mahendra		7	7	109	183	1
sAhasa		7	7	109	276	1
paSu	1	7	7	108	5301	1
kadA		7	7	107	178	1
saha	1	7	6	107	7215	1
gaRay		7	7	105	164	1
marIci		7	7	104	278	1
yakza	1	7	7	103	989	1
srotas		7	7	102	509	1
BAjana		7	7	100	405	1
Ardra		7	7	99	544	1
ayana		7	7	96	269	1
krOYca		7	7	95	170	1
Sakawa		7	7	94	180	1
buDa		7	6	94	933	1
kowi		7	6	94	1316	1
pitrya		7	6	94	251	1
aDika		7	7	93	1509	1
dEva		7	7	92	1226	1
Sabara		7	7	91	104	1
gocara		7	7	91	421	1
sUnfta		7	7	91	52	1
sahasra		7	7	91	5224	1
SaMkara	1	7	7	90	959	1
nirvARa	2	7	6	90	274	1
traya		7	6	90	1612	1
SIGra		7	6	89	478	1
sOBAgya		7	7	89	303	1
niDana		7	7	88	774	1
raTya		7	7	88	41	1
puwa		7	7	87	1493	1
svad	1	7	7	87	81	1
Buvana		7	7	86	894	1
saMnipAta		7	6	86	362	1
vyUha	1	7	7	85	324	1
BAj		7	7	84	480	1
cakzus		7	7	84	2335	1
matsara		7	7	84	163	1
vimuKa		7	7	84	177	1
jAmi		7	7	83	142	1
vivara		7	7	83	178	1
yazwi	1	7	7	83	192	1
Silpa	2	7	7	82	193	1
naraka		7	7	82	810	1
loha		7	7	81	1995	1
praBA		7	7	81	1430	1
kAvya	2	7	7	80	366	1
niDi		7	7	79	458	1
saMgati		7	7	79	88	1
gAnDarva		7	6	78	185	1
pfSni		7	7	78	194	1
gozWa		7	7	77	232	1
arvAYc		7	7	76	259	1
maNgalya		7	7	76	94	1
svayam		7	7	76	2837	1
SacI		7	7	74	195	1
kali	1	7	7	74	584	1
kirAta		7	7	74	115	1
aBaya	1	7	7	73	570	1
cetana		7	7	73	148	1
gar	3	7	7	73	1	1
trita		7	7	73	116	1
BAskara		7	7	72	589	1
dvitIya	1	7	7	72	1874	1
jaWara		7	7	72	290	1
gomant	1	7	7	71	2	1
niroDa		7	7	71	253	1
guhya		7	6	70	393	1
kroqa		7	6	70	68	1
pradeSa		7	7	70	338	1
sArvaBOma		7	7	70	59	1
draviRa		7	7	69	331	1
kAzWA		7	7	69	173	1
kIrti		7	7	69	707	1
mAlava		7	6	69	79	1
sArTa		7	7	68	132	1
musala		7	7	66	305	1
Danus	1	7	7	65	1718	1
jizRu		7	7	65	204	1
naya		7	7	65	223	1
Kala		7	6	64	141	1
dvija		7	7	64	2940	1
vAsizWa		7	7	64	72	1
mAra		7	6	63	207	1
kzAra		7	7	62	1133	1
parikara		7	6	62	28	1
saMcAra		7	7	62	88	1
gupti		7	7	61	118	1
hiMsra		7	7	61	56	1
vidaTa		7	7	61	161	1
pravAda		7	6	60	88	1
saMdarSana		7	7	60	113	1
utsarga		7	7	60	170	1
vali		7	7	60	97	1
SudDi		7	7	59	800	1
kAya	2	7	6	59	1358	1
kala		7	7	59	151	1
raNga		7	6	59	273	1
jara		7	6	58	11	1
vaSin		7	6	58	223	1
DUmra		7	7	57	131	1
candana		7	7	57	804	1
kambala		7	7	57	115	1
sfgAla		7	7	57	41	1
tyAga		7	7	57	448	1
Palgu		7	7	56	54	1
SAri		7	7	56	3	1
prapaYca		7	7	56	127	1
sa	2	7	7	56	14890	1
vAmadeva	1	7	5	56	172	1
ATarvaRa		7	7	55	82	1
antareRa		7	7	55	326	1
devadatta		7	7	55	120	1
BIzaRa		7	7	54	140	1
gfhya	2	7	7	54	82	1
kOmAra		7	7	54	84	1
pramuKa		7	7	54	461	1
ahi		7	5	53	489	1
