anchor_key_slp1	anchor_iast	dcs_lemma_id	dcs_lemma_iast	evidence_count	pre_classification	rationale	axis	n_diff	first_diff_pos	word_len
SaRWa	śaṇṭha	218007	ṣaṇṭha	8	likely-spurious	Single mid-word sibilant difference (position 0 of 5) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	5
SaSAda	śaśāda	202839	sasāda	1	likely-spurious	2 differing positions (sibilant) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant	2	0	6
SaSikara	śaśikara	175904	sasīkara	2	likely-spurious	3 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	3	0	8
Sabalaka	śabalaka	173463	sabalāka	2	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	8
Sak	śak	214893	sak	1	likely-spurious	Short word (3 chars) with a sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	sibilant	1	0	3
Sakaca	śakaca	217001	sakaca	1	likely-spurious	Single mid-word sibilant difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	6
SakalIkfti	śakalīkṛti	215218	sakalīkṛti	1	likely-spurious	Single mid-word sibilant difference (position 0 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	10
Sakan	śakan	215516	ṣākan	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	5
SakrAhva	śakrāhva	166259	śakrāhvā	6	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
SaktIvat	śaktīvat	213939	śaktivat	1	likely-spurious	Single mid-word vowel-length difference (position 4 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	4	8
Sakunaka	śakunaka	176958	śākunaka	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	8
Sakunta	śakunta	208163	śākunta	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	7
Samopya	śamopya	221035	samopya	1	likely-spurious	Single mid-word sibilant difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	7
SapaTa	śapatha	174481	sapāṭha	1	likely-spurious	3 differing positions (other+sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	other+sibilant+vowel-length	3	0	6
SaraPala	śaraphala	210738	sāraphala	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	8
SaraSAstra	śaraśāstra	218048	sāraśāstra	3	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	10
SarabanDa	śarabandha	204335	sārabandha	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	9
SatAnIka	śatānīka	217786	sātānika	1	likely-spurious	3 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	3	0	8
SatAvarta	śatāvarta	209669	śatāvartā	1	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
SatadrukA	śatadrukā	216874	śatadruka	1	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
SataprAsa	śataprāsa	210427	śataprāśa	1	likely-spurious	Single mid-word sibilant difference (position 7 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	7	9
SatasA	śatasā	167027	satasā	1	likely-spurious	Single mid-word sibilant difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	6
SevAlI	śevālī	170314	sevālī	1	likely-spurious	Single mid-word sibilant difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	6
SfNKalika	śṛṅkhalika	166017	śṛṅkhalikā	13	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
Sici	śici	215306	sici	1	likely-spurious	Short word (4 chars) with a sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	sibilant	1	0	4
SilAdAna	śilādāna	208538	śilādana	1	likely-spurious	Single mid-word vowel-length difference (position 5 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	8
SilAsana	śilāsana	208518	śilāśana	3	likely-spurious	Single mid-word sibilant difference (position 4 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	4	8
Silina	śilina	209066	śīlīna	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	1	6
SiloYCa	śiloñcha	224694	śiloñchā	3	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
SitipAda	śitipāda	222195	śitipada	4	likely-spurious	Single mid-word vowel-length difference (position 5 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	8
SivAnanda	śivānanda	175645	śivānandā	2	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
SivAwikA	śivāṭikā	205910	sivātikā	1	likely-spurious	2 differing positions (other+sibilant) -- multiple diacritic axes differ, consistent with two distinct lexemes.	other+sibilant	2	0	8
SivaBakta	śivabhakta	204919	śivābhakta	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	9
SivatIrTa	śivatīrtha	208005	śīvatīrtha	1	likely-spurious	Single mid-word vowel-length difference (position 1 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	1	9
Sivi	śivi	205676	śivī	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	3	4
SlAGana	ślāghana	41111	ślāghanā	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
SlaTAy	ślathāy	205384	ślathay	3	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	6
SoBAy	śobhāy	157511	śobhay	325	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 3) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	3	5
SoBika	śobhika	216548	śobhikā	2	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
SoDaka	śodhaka	216585	soḍhāka	1	likely-spurious	3 differing positions (other+sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	other+sibilant+vowel-length	3	0	6
SoPa	śopha	167277	śophā	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	3	4
Som	śom	213093	soṃ	3	likely-spurious	Short word (3 chars) with a other+sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	other+sibilant	2	0	3
SrAvaRaSIrzaka	śrāvaṇaśīrṣaka	169149	śravaṇaśīrṣakā	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	2	14
SrIDara	śrīdhara	209656	śrīdharā	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
SrIkArI	śrīkārī	209657	śrīkarī	1	likely-spurious	Single mid-word vowel-length difference (position 4 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	4	7
SrIniketana	śrīniketana	172025	śrīniketanā	1	worth-a-closer-look	Single word-final vowel-length difference on a 11-char word (position 10) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	10	11
SrIpA	śrīpā	201391	śrīpa	1	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
SrOzwi	śrauṣṭi	221078	śrauṣṭī	1	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
SrUzA	śrūṣā	223509	śruṣa	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	2	5
SraTAy	śrathāy	219719	śrathay	9	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	6
SrutadevI	śrutadevī	176449	śrutādevī	2	likely-spurious	Single mid-word vowel-length difference (position 4 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	4	9
SuBAna	śubhāna	211962	subhāna	1	likely-spurious	Single mid-word sibilant difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	6
SudDAyU	śuddhāyū	223628	śuddhāyu	5	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
Suk	śuk	214933	ṣuk	3	likely-spurious	Short word (3 chars) with a sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	sibilant	1	0	3
Suktaka	śuktaka	208492	sūktaka	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	7
SunIra	śunīra	172950	sunīrā	1	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	0	6
Suzka	śuṣka	206645	śuṣkā	2	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
Svanara	śvanara	214085	svanara	1	likely-spurious	Single mid-word sibilant difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	7
Svayana	śvayana	217125	svayana	1	likely-spurious	Single mid-word sibilant difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	0	7
SvetaPalA	śvetaphalā	210716	śvetaphala	1	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
Syan	śyan	213531	ṣyaṅ	3	likely-spurious	Short word (4 chars) with a nasal+sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	nasal+sibilant	2	0	4
Syan	śyan	215837	ṣyañ	1	likely-spurious	Short word (4 chars) with a nasal+sibilant difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	nasal+sibilant	2	0	4
SyenapAta	śyenapāta	215723	śyenapātā	5	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
Un	ūn	213868	uñ	3	likely-spurious	Short word (2 chars) with a nasal+vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	nasal+vowel-length	2	0	2
Un	ūn	215572	uṇ	2	likely-spurious	Short word (2 chars) with a nasal+vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	nasal+vowel-length	2	0	2
UrDvapAtanayantra	ūrdhvapātanayantra	176697	ūrdhvapātanāyantra	3	likely-spurious	Single mid-word vowel-length difference (position 10 of 17) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	10	17
UrRavABi	ūrṇavābhi	222027	ūrṇāvabhi	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	3	8
UrzA	ūrṣā	199581	ūrṣa	1	likely-spurious	Short word (4 chars) with a vowel-length difference -- high collision risk, per the Q1 golden sample's confirmed pattern (relaxed tier wrong 3/3).	vowel-length	1	3	4
aBAvanA	abhāvanā	22066	abhāvana	3	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
aBAvanA	abhāvanā	170646	abhavana	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	2	7
aBakti	abhakti	222746	ābhakti	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
aBiBava	abhibhava	221225	abhībhava	1	likely-spurious	Single mid-word vowel-length difference (position 2 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	2	7
aBiSravaRa	abhiśravaṇa	225211	abhiśrāvaṇa	4	likely-spurious	Single mid-word vowel-length difference (position 5 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	10
aBigF	abhigṝ	158602	abhigṛ	14	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
aBilAzika	abhilāṣika	208181	ābhilāṣika	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	9
aBimAda	abhimāda	212321	abhimada	1	likely-spurious	Single mid-word vowel-length difference (position 4 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	4	7
aBimanAy	abhimanāy	201716	abhimānay	2	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	4	8
aBinizWiv	abhiniṣṭhiv	158729	abhiniṣṭhīv	2	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	9
aBinu	abhinu	223141	abhinū	2	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
aBipF	abhipṝ	199615	abhipṛ	8	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
aBipiS	abhipiś	221100	abhipiṣ	2	likely-spurious	Single mid-word sibilant difference (position 5 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	5	6
aBipradF	abhipradṝ	158803	abhipradṛ	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aBipratigF	abhipratigṝ	158793	abhipratigṛ	1	worth-a-closer-look	Single word-final vowel-length difference on a 10-char word (position 9) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	9	10
aBisaMgF	abhisaṃgṝ	159117	abhisaṃgṛ	3	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aBisaMtF	abhisaṃtṝ	159127	abhisaṃtṛ	2	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aBisambuD	abhisambudh	199298	abhisaṃbudh	148	likely-spurious	Single mid-word other difference (position 5 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	other	1	5	9
aBitF	abhitṝ	158635	abhitṛ	2	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
aBivIkzA	abhivīkṣā	222697	abhivikśā	3	likely-spurious	2 differing positions (sibilant+vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	sibilant+vowel-length	2	4	8
aBiviSF	abhiviśṝ	159001	abhiviśṛ	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
aBivijYA	abhivijñā	168110	abhivijña	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aBivyakta	abhivyakta	209237	abhivyaktā	1	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
aBizWiv	abhiṣṭhiv	159081	abhiṣṭhīv	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	7
aBizeRa	abhiṣeṇa	221226	abhīṣeṇa	1	likely-spurious	Single mid-word vowel-length difference (position 2 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	2	7
aBraka	abhraka	201327	ābhraka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
aBrama	abhrama	218495	ābhrama	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	6
aByAtF	abhyātṝ	159301	abhyātṛ	3	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
aByUhanA	abhyūhanā	218017	abhyūhana	1	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aByaYj	abhyañj	223789	abhyāñj	2	likely-spurious	Single mid-word vowel-length difference (position 3 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	6
aByavakF	abhyavakṝ	159261	abhyavakṛ	38	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aByupAhf	abhyupāhṛ	224167	abhyupahṛ	1	likely-spurious	Single mid-word vowel-length difference (position 5 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	8
aByupagam	abhyupagam	172254	abhyupāgam	12	likely-spurious	Single mid-word vowel-length difference (position 5 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	9
aByuttF	abhyuttṝ	159336	abhyuttṛ	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
aDIvAsas	adhīvāsas	212475	adhivāsas	1	likely-spurious	Single mid-word vowel-length difference (position 2 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	2	8
aDarIkf	adharīkṛ	172756	ādhārīkṛ	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	7
aDarakaRwaka	adharakaṇṭaka	205934	adharakaṇṭakā	1	worth-a-closer-look	Single word-final vowel-length difference on a 12-char word (position 11) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	11	12
aDaray	adharay	209984	ādhāray	4	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	0	6
aDidanta	adhidanta	225514	adhidānta	1	likely-spurious	Single mid-word vowel-length difference (position 4 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	4	8
aDidevatA	adhidevatā	223106	adhidevata	27	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
aDikAraka	adhikāraka	211940	ādhikāraka	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	9
aDiprajYA	adhiprajñā	217458	adhiprajña	1	worth-a-closer-look	Single word-final vowel-length difference on a 9-char word (position 8) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	8	9
aDyAvApa	adhyāvāpa	226374	adhyāvapa	1	likely-spurious	Single mid-word vowel-length difference (position 5 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	5	8
aDyasTa	adhyastha	211513	adhyāsthā	1	likely-spurious	2 differing positions (vowel-length) -- multiple diacritic axes differ, consistent with two distinct lexemes.	vowel-length	2	3	7
aDyavasAna	adhyavasāna	225212	adhyavasana	1	likely-spurious	Single mid-word vowel-length difference (position 7 of 10) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	7	10
aDyayana	adhyayana	169654	adhyāyana	2	likely-spurious	Single mid-word vowel-length difference (position 3 of 8) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	8
aGAtuka	aghātuka	224791	āghātuka	1	likely-spurious	Single mid-word vowel-length difference (position 0 of 7) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	7
aGahAra	aghahāra	223213	aghahārā	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
aMSaka	aṃśaka	210559	aṃsaka	3	likely-spurious	Single mid-word sibilant difference (position 2 of 6) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	sibilant	1	2	6
aMSika	aṃśika	174356	aṃśikā	17	worth-a-closer-look	Single word-final vowel-length difference on a 6-char word (position 5) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	5	6
aNgadIya	aṅgadīya	206914	aṅgadīyā	2	worth-a-closer-look	Single word-final vowel-length difference on a 8-char word (position 7) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	7	8
aNguzWa	aṅguṣṭha	213070	aṅguṣṭhā	1	worth-a-closer-look	Single word-final vowel-length difference on a 7-char word (position 6) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	6	7
aNkaloqya	aṅkaloḍya	173766	aṅkāloḍya	1	likely-spurious	Single mid-word vowel-length difference (position 3 of 9) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	3	9
aRImARqavya	aṇīmāṇḍavya	201875	āṇīmāṇḍavya	2	likely-spurious	Single mid-word vowel-length difference (position 0 of 11) -- the exact axis the golden sample found semantically wrong (e.g. vikarṣaṇa/vikarśana).	vowel-length	1	0	11
aSAKA	aśākhā	176931	aśākha	1	worth-a-closer-look	Single word-final vowel-length difference on a 5-char word (position 4) -- the one pattern plausibly explained by a dictionary-citation-form vs corpus-lemma stem convention rather than two distinct lexemes; still NOT pre-approved.	vowel-length	1	4	5
