attested_form	form_key	dcs_lemma	dcs_upos	target_locus	evidence_count	tense_caveat
gotrataḥ	gotrata	gotra	NOUN	dcs:94515	5	0
haritālāyāḥ	haritālāyā	haritāla	NOUN	dcs:101166	5	0
hrasīyāḥ	hrasīyā	hrasīyas	ADJ	dcs:42374	5	0
iyanta	iyanta	iyat	ADJ	dcs:364617	5	0
jyāyāṃsaḥ	jyāyānsa	jyāyas	ADJ	dcs:652723_2	5	0
jñānān	jnānān	jñāna	NOUN	dcs:175971	5	0
kaniṣṭhikātaḥ	kaniṣṭhikāta	kaniṣṭhikā	NOUN	dcs:727845	5	0
kāpotām	kāpotām	kāpota	ADJ	dcs:584509	5	0
kārtikeya	kārtikeya	kārttikeya	NOUN	dcs:577954	5	0
kārṣṇāyasām	kārṣnāyasām	kārṣṇāyasa	ADJ	dcs:543798	5	0
kṣattriyaḥ	kṣattriya	kṣatriya	NOUN	dcs:578168	5	0
liṅgataḥ	lingata	liṅga	NOUN	dcs:63111	5	0
manastaḥ	manasta	manas	NOUN	dcs:645853	5	0
mithunāsaḥ	mithunāsa	mithuna	ADJ	dcs:638207	5	0
mitrāsaḥ	mitrāsa	mitra	NOUN	dcs:595009_1	5	0
māheśvarām	māheśvarām	māheśvara	ADJ	dcs:525864	5	0
mṛgāsaḥ	mṛgāsa	mṛga	NOUN	dcs:647316_2	5	0
mṛṇmayām	mṛnmayām	mṛṇmaya	ADJ	dcs:355719	5	0
mṛṣaḥ	mṛṣa	mṛṣ	NOUN	dcs:551651	5	0
nahaḥ	naha	nah	NOUN	dcs:552507	5	0
navanītā	navanītā	navanīta	NOUN	dcs:40331	5	0
naūnām	naūnām	nau	NOUN	dcs:382839	5	0
payasvāṁ	payasvām	payasvat	ADJ	dcs:670335	5	0
phalataḥ	phalata	phala	NOUN	dcs:70686_1	5	0
prabhavataḥ	prabhavata	prabhava	NOUN	dcs:573087	5	0
priyamedhāsaḥ	priyamedhāsa	priyamedha	NOUN	dcs:603873_1	5	0
prātassavanāt	prātassavanāt	prātaḥsavana	NOUN	dcs:665101	5	0
purīṣyāsaḥ	purīṣyāsa	purīṣya	ADJ	dcs:683028	5	0
pāpmnaḥ	pāpmna	pāpman	NOUN	dcs:568801_1	5	0
pāpīyan	pāpīyan	pāpīyas	ADJ	dcs:656976	5	0
pūrvāsaḥ	pūrvāsa	pūrva	PRON	dcs:641423	5	0
raim	raim	rai	NOUN	dcs:540462	5	0
rathirāsaḥ	rathirāsa	rathira	ADJ	dcs:605787	5	0
rayivas	rayivas	rayivat	ADJ	dcs:700181	5	0
raśmīṃr	raśmīnr	raśmi	NOUN	dcs:594083	5	0
samīcīnāsaḥ	samīcīnāsa	samīcīna	ADJ	dcs:603855_1	5	0
satrāt	satrāt	sattra	NOUN	dcs:770014	5	0
satyāsaḥ	satyāsa	satya	ADJ	dcs:641667	5	0
saṃrādhanīṃ	sanrādhanīm	saṃrādhana	ADJ	dcs:434883	5	0
saṃvvatsarasya	sanvvatsarasya	saṃvatsara	NOUN	dcs:565358	5	0
sindhutaḥ	sindhuta	sindhu	NOUN	dcs:647446	5	0
sparśataḥ	sparśata	sparśa	NOUN	dcs:644778	5	0
sthavīyān	sthavīyān	sthavīyas	ADJ	dcs:771013	5	0
sugebhiḥ	sugebhi	suga	NOUN	dcs:469513	5	0
surabhā	surabhā	surabhi	ADJ	dcs:683000	5	0
svatavān	svatavān	svatavas	ADJ	dcs:555363	5	0
sūrpa	sūrpa	śūrpa	NOUN	dcs:772568	5	0
sṛkkiṇī	sṛkkinī	sṛkviṇī	NOUN	dcs:76357	5	0
tadaḥ	tada	tad	NOUN	dcs:553732	5	0
udo	udo	ud	NOUN	dcs:551728	5	0
upacārataḥ	upacārata	upacāra	NOUN	dcs:44241	5	0
upālin	upālin	upāli	NOUN	dcs:656910	5	0
varṣīyāṃsa	varṣīyānsa	varṣīyas	ADJ	dcs:689217	5	0
vasīyāṃsaḥ	vasīyānsa	vasīyas	ADJ	dcs:648226_1	5	0
vidvasi	vidvasi	vidvas	ADJ	dcs:285850	5	0
vīrebhiḥ	vīrebhi	vīra	NOUN	dcs:596307_1	5	0
vīryebhiḥ	vīryebhi	vīrya	NOUN	dcs:715889	5	0
yajuḥsu	yajuḥsu	yajus	NOUN	dcs:219297	5	0
yajñāsaḥ	yajnāsa	yajña	NOUN	dcs:599248	5	0
āmalakāyāḥ	āmalakāyā	āmalaka	NOUN	dcs:21893	5	0
śrutitaḥ	śrutita	śruti	NOUN	dcs:291571	5	0
śīrṣaṇaḥ	śīrṣana	śīrṣan	NOUN	dcs:90754	5	0
abhidhānān	abhidhānān	abhidhāna	NOUN	dcs:131285	4	0
abhisaṃdhasya	abhisandhasya	abhisaṃdhā	NOUN	dcs:323225	4	0
abhyasūyam	abhyasūyam	abhyasūyā	NOUN	dcs:367865	4	0
abhīrvaḥ	abhīrva	abhīru	NOUN	dcs:36368	4	0
achāvākāya	achāvākāya	acchāvāka	NOUN	dcs:652486	4	0
acām	acām	ac	NOUN	dcs:554802	4	0
adaso	adaso	adas	NOUN	dcs:551568	4	0
adhikārām	adhikārām	adhikāra	NOUN	dcs:546300	4	0
adhvnaḥ	adhvna	adhvan	NOUN	dcs:364426	4	0
aghniye	aghniye	aghnyā	NOUN	dcs:673025	4	0
agnicityam	agnicityam	agnicityā	NOUN	dcs:672807	4	0
agnitaḥ	agnita	agni	NOUN	dcs:655467	4	0
aindrām	aindrām	aindra	ADJ	dcs:440465	4	0
aindrāvaruṇyā	aindrāvarunyā	aindrāvaruṇa	ADJ	dcs:652455	4	0
aindrāvaruṇī	aindrāvarunī	aindrāvaruṇa	ADJ	dcs:652452	4	0
ajirāsaḥ	ajirāsa	ajira	ADJ	dcs:594849	4	0
akṣāsaḥ	akṣāsa	akṣa	NOUN	dcs:609987_1	4	0
ambum	ambum	ambu	NOUN	dcs:15314	4	0
amunī	amunī	adas	PRON	dcs:89699	4	0
amṛtāsaṅgā	amṛtāsangā	amṛtāsaṅga	NOUN	dcs:438639	4	0
analām	analām	anala	NOUN	dcs:527595	4	0
anamīvāsa	anamīvāsa	anamīva	ADJ	dcs:696848	4	0
anarvāṇaḥ	anarvāna	anarvan	ADJ	dcs:690392	4	0
anavadyāsaḥ	anavadyāsa	anavadya	ADJ	dcs:602970	4	0
antaryāmi	antaryāmi	antaryāmin	NOUN	dcs:68832	4	0
antarātmanau	antarātmanau	antarātman	NOUN	dcs:487683	4	0
anubalau	anubalau	anubala	ADJ	dcs:32909	4	0
anukartri	anukartri	anukartṛ	ADJ	dcs:467851	4	0
anulepanān	anulepanān	anulepana	NOUN	dcs:243423	4	0
anupalabdhitaḥ	anupalabdhita	anupalabdhi	NOUN	dcs:645193	4	0
anurodhataḥ	anurodhata	anurodha	NOUN	dcs:613295	4	0
anusaraṇām	anusaranām	anusaraṇa	NOUN	dcs:367463	4	0
anuśāsanī	anuśāsanī	anuśāsana	ADJ	dcs:643432	4	0
anuśāsanīm	anuśāsanīm	anuśāsana	ADJ	dcs:643808	4	0
anuṣṭhātri	anuṣṭhātri	anuṣṭhātṛ	ADJ	dcs:648437	4	0
anyebhiḥ	anyebhi	anya	PRON	dcs:637444	4	0
anyonyeṣu	anyonyeṣu	anyonya	PRON	dcs:723989	4	0
anyonyān	anyonyān	anyonya	PRON	dcs:487821	4	0
anūyājavat	anūyājavat	anuyājavat	ADJ	dcs:706107	4	0
aparāsa	aparāsa	apara	PRON	dcs:641423	4	0
aparītāsa	aparītāsa	aparīta	ADJ	dcs:436184	4	0
apasas	apasas	apas	NOUN	dcs:691658	4	0
apatyau	apatyau	apatya	NOUN	dcs:71746	4	0
apekṣasya	apekṣasya	apekṣā	NOUN	dcs:45427	4	0
apekṣau	apekṣau	apekṣā	NOUN	dcs:257937	4	0
apsāḥ	apsā	apsas	NOUN	dcs:594472	4	0
apūpāni	apūpāni	apūpa	NOUN	dcs:389911	4	0
aratniyoḥ	aratniyo	aratni	NOUN	dcs:63320	4	0
aratnīm	aratnīm	aratni	NOUN	dcs:434839	4	0
arddhe	arddhe	ardha	NOUN	dcs:749259_1	4	0
ardhapañcāśatī	ardhapancāśatī	ardhapañcāśat	NOUN	dcs:81280	4	0
arkām	arkām	arka	NOUN	dcs:366940_2	4	0
arthayā	arthayā	artha	NOUN	dcs:762232	4	0
arthābhiḥ	arthābhi	artha	NOUN	dcs:314980	4	0
asattam	asattam	asattā	NOUN	dcs:480092	4	0
atichandasam	atichandasam	aticchandas	NOUN	dcs:753144_1	4	0
atidūrataḥ	atidūrata	atidūra	NOUN	dcs:766534	4	0
ativiṣebhiḥ	ativiṣebhi	ativiṣā	NOUN	dcs:33770	4	0
atīrokān	atīrokān	atiroka	NOUN	dcs:773413	4	0
auśanasām	auśanasām	auśanasa	ADJ	dcs:195298	4	0
avadhānāḥ	avadhānā	avadhāna	NOUN	dcs:329906	4	0
avalambanayā	avalambanayā	avalambana	NOUN	dcs:656940	4	0
avalambikayā	avalambikayā	avalambaka	ADJ	dcs:654857	4	0
avalambikā	avalambikā	avalambaka	ADJ	dcs:654801	4	0
avaśeṣau	avaśeṣau	avaśeṣa	NOUN	dcs:489547	4	0
avaśeṣām	avaśeṣām	avaśeṣa	NOUN	dcs:372132	4	0
avaśeṣān	avaśeṣān	avaśeṣa	NOUN	dcs:579963	4	0
avitārā	avitārā	avitṛ	ADJ	dcs:595595	4	0
avivecanam	avivecanam	avivecanā	NOUN	dcs:31160	4	0
ayāsā	ayāsā	ayās	ADJ	dcs:70181	4	0
ayāsām	ayāsām	ayās	ADJ	dcs:595424	4	0
ayātayāmniyā	ayātayāmniyā	ayātayāman	ADJ	dcs:670619	4	0
aśmāni	aśmāni	aśman	NOUN	dcs:29715	4	0
aśvatthāmn	aśvatthāmn	aśvatthāman	NOUN	dcs:252729	4	0
aśvāni	aśvāni	aśva	NOUN	dcs:659210	4	0
aṅgakā	angakā	aṅgaka	NOUN	dcs:393951	4	0
aṅgamantrāṇi	angamantrāni	aṅgamantra	NOUN	dcs:384508	4	0
aṣṭāpadyā	aṣṭāpadyā	aṣṭāpada	ADJ	dcs:499217	4	0
aṭṭahāsinī	aṭṭahāsinī	aṭṭahāsin	ADJ	dcs:406578	4	0
bahiṣpavamānābhiḥ	bahiṣpavamānābhi	bahiṣpavamāna	ADJ	dcs:565516_1	4	0
bandhayitrī	bandhayitrī	bandhayitṛ	ADJ	dcs:49066	4	0
bhadrebhiḥ	bhadrebhi	bhadra	ADJ	dcs:696922	4	0
bharttā	bharttā	bhartṛ	NOUN	dcs:381497	4	0
bhaṅgataḥ	bhangata	bhaṅga	NOUN	dcs:620476	4	0
bhikṣam	bhikṣam	bhikṣā	NOUN	dcs:666683	4	0
bhrātṛvyāṁ	bhrātṛvyām	bhrātṛvya	NOUN	dcs:649821	4	0
bhāgavatām	bhāgavatām	bhāgavata	ADJ	dcs:87422	4	0
bhārām	bhārām	bhāra	NOUN	dcs:523684	4	0
bhāvayā	bhāvayā	bhāva	NOUN	dcs:488889	4	0
bhāṣasya	bhāṣasya	bhāṣā	NOUN	dcs:179180	4	0
bhāṣyā	bhāṣyā	bhāṣya	NOUN	dcs:645511	4	0
bhūmanā	bhūmanā	bhūman	NOUN	dcs:594098	4	0
bhūmitaḥ	bhūmita	bhūmi	NOUN	dcs:465968	4	0
bhūyasībhiḥ	bhūyasībhi	bhūyas	ADJ	dcs:650675_1	4	0
bhūyasīnām	bhūyasīnām	bhūyas	ADJ	dcs:475449	4	0
budhnām	budhnām	budhna	NOUN	dcs:434265	4	0
bāhudanti	bāhudanti	bāhudantin	NOUN	dcs:464198_1	4	0
bāṣpām	bāṣpām	bāṣpa	NOUN	dcs:576358	4	0
camvi	camvi	camū	NOUN	dcs:686340	4	0
caruṣṭhālī	caruṣṭhālī	carusthālī	NOUN	dcs:753501	4	0
caturthābhiḥ	caturthābhi	caturtha	ADJ	dcs:430781_3	4	0
caturthābhyaḥ	caturthābhya	caturtha	ADJ	dcs:430941	4	0
caṇḍavarma	canḍavarma	caṇḍavarman	NOUN	dcs:487699	4	0
chatre	chatre	chattra	NOUN	dcs:246545	4	0
chatrākaṃ	chatrākam	chattrāka	NOUN	dcs:437250	4	0
chavīm	chavīm	chavi	NOUN	dcs:720115	4	0
chuvukena	chuvukena	chubuka	NOUN	dcs:748757_1	4	0
chāyebhiḥ	chāyebhi	chāyā	NOUN	dcs:525039	4	0
cintanā	cintanā	cintana	NOUN	dcs:383321	4	0
cāpalā	cāpalā	cāpala	NOUN	dcs:619935	4	0
dakṣiṇāsaḥ	dakṣināsa	dakṣiṇā	NOUN	dcs:610533	4	0
datrāṇi	datrāni	dattra	NOUN	dcs:605756_1	4	0
datī	datī	dat	NOUN	dcs:734872	4	0
dauṣvapnyaṃ	dauṣvapnyam	dauḥṣvapnya	NOUN	dcs:634622	4	0
daśāni	daśāni	daśā	NOUN	dcs:436065	4	0
daṃsasam	dansasam	daṃsas	NOUN	dcs:595840_1	4	0
daṃṣṭrāṇi	danṣṭrāni	daṃṣṭra	NOUN	dcs:386651	4	0
devamātrī	devamātrī	devamātṛ	NOUN	dcs:453029	4	0
deṣṇāḥ	deṣnā	deṣṇa	NOUN	dcs:595368	4	0
dhaivatāḥ	dhaivatā	dhaivata	NOUN	dcs:75444	4	0
dhanutrīḥ	dhanutrī	dhanutṛ	ADJ	dcs:597254	4	0
dharmām	dharmām	dharma	NOUN	dcs:627163	4	0
dhase	dhase	dhā	ADJ	dcs:634184	4	0
dhebhiḥ	dhebhi	dhā	ADJ	dcs:598690	4	0
dhiyas	dhiyas	dhī	NOUN	dcs:592226_1	4	0
dhiṣṇyāsaḥ	dhiṣnyāsa	dhiṣṇya	ADJ	dcs:468351	4	0
dhātuvoḥ	dhātuvo	dhātu	NOUN	dcs:479347	4	0
dhṛṣaḥ	dhṛṣa	dhṛṣ	NOUN	dcs:551650	4	0
digdanti	digdanti	digdantin	NOUN	dcs:524453	4	0
divisadaṃ	divisadam	diviṣad	ADJ	dcs:715906	4	0
divyāsaḥ	divyāsa	divya	ADJ	dcs:594354	4	0
drvam	drvam	dru	NOUN	dcs:602609	4	0
drāghīyāṃsaṃ	drāghīyānsam	drāghīyas	ADJ	dcs:745727	4	0
durevāsaḥ	durevāsa	dureva	ADJ	dcs:635025	4	0
durāśīr	durāśīr	durāśir	ADJ	dcs:603764_1	4	0
duṣṣṭutaṃ	duṣṣṭutam	duḥṣṭuta	NOUN	dcs:665432	4	0
duṣṭutaṃ	duṣṭutam	duḥṣṭuta	NOUN	dcs:651265	4	0
dvaitāḥ	dvaitā	dvaita	NOUN	dcs:532601	4	0
dvayām	dvayām	dvaya	NOUN	dcs:51903	4	0
dvipātsu	dvipātsu	dvipad	ADJ	dcs:437230	4	0
dvitīyasyai	dvitīyasyai	dvitīya	ADJ	dcs:665361	4	0
dyumnebhiḥ	dyumnebhi	dyumna	NOUN	dcs:593680	4	0
dānunas	dānunas	dānu	NOUN	dcs:594777	4	0
dārvihomikīṃ	dārvihomikīm	dārvihomika	ADJ	dcs:519242	4	0
dīrghajihviyam	dīrghajihviyam	dīrghajihvī	NOUN	dcs:661701	4	0
dīrghikam	dīrghikam	dīrghikā	NOUN	dcs:477611	4	0
dūṣikān	dūṣikān	dūṣikā	NOUN	dcs:40350	4	0
dṛṃhaṇīḥ	dṛnhanī	dṛṃhaṇa	ADJ	dcs:646434	4	0
ekaikasmāt	ekaikasmāt	ekaika	PRON	dcs:430475_1	4	0
ekaikasyai	ekaikasyai	ekaika	PRON	dcs:660827	4	0
elāpatraḥ	elāpatra	elāpattra	NOUN	dcs:654416	4	0
gajāni	gajāni	gaja	NOUN	dcs:179328	4	0
gaṇḍakāni	ganḍakāni	gaṇḍaka	NOUN	dcs:449986	4	0
ghasām	ghasām	ghas	NOUN	dcs:554655	4	0
goṣātā	goṣātā	goṣāti	NOUN	dcs:606596	4	0
gulphidaṃ	gulphidam	gulphita	NOUN	dcs:729503	4	0
gātri	gātri	gātra	ADJ	dcs:622863	4	0
gātryām	gātryām	gātra	ADJ	dcs:760457	4	0
gāvā	gāvā	go	NOUN	dcs:597302_1	4	0
haitukām	haitukām	haituka	ADJ	dcs:293440	4	0
hanūbhyāṃ	hanūbhyām	hanu	NOUN	dcs:646464	4	0
haridrebhiḥ	haridrebhi	haridrā	NOUN	dcs:39576	4	0
hariśarma	hariśarma	hariśarman	NOUN	dcs:622924	4	0
harṣaṇīm	harṣanīm	harṣaṇa	ADJ	dcs:647139	4	0
haso	haso	hasa	NOUN	dcs:639580	4	0
haviṣṭaḥ	haviṣṭa	havis	NOUN	dcs:741388_1	4	0
helam	helam	helā	NOUN	dcs:487450	4	0
hiraṇmayām	hiranmayām	hiraṇmaya	ADJ	dcs:382797	4	0
hrasīyāṃsam	hrasīyānsam	hrasīyas	ADJ	dcs:708463	4	0
hrasīyāṃsaḥ	hrasīyānsa	hrasīyas	ADJ	dcs:689217	4	0
iccham	iccham	icchā	NOUN	dcs:37647	4	0
ihā	ihā	iha	ADV	dcs:598067	4	0
imasya	imasya	idam	PRON	dcs:722953	4	0
indrakān	indrakān	indraka	NOUN	dcs:644018	4	0
indranīlāni	indranīlāni	indranīla	NOUN	dcs:342773	4	0
indrayavān	indrayavān	indrayava	NOUN	dcs:34720	4	0
janmnaḥ	janmna	janman	NOUN	dcs:357831	4	0
janmānam	janmānam	janman	NOUN	dcs:753908	4	0
janmānau	janmānau	janman	NOUN	dcs:677456	4	0
jantumātāraḥ	jantumātāra	jantumātṛ	NOUN	dcs:59907	4	0
jaḍima	jaḍima	jaḍiman	NOUN	dcs:367746	4	0
jyotsnam	jyotsnam	jyotsnā	NOUN	dcs:522521	4	0
jñānataḥ	jnānata	jñāna	NOUN	dcs:625484	4	0
jāgatī	jāgatī	jāgata	ADJ	dcs:701137	4	0
jāmātārau	jāmātārau	jāmātṛ	NOUN	dcs:452125	4	0
kabarī	kabarī	kavara	NOUN	dcs:76368	4	0
kacchapām	kacchapām	kacchapa	NOUN	dcs:242174	4	0
kalmāṣām	kalmāṣām	kalmāṣa	NOUN	dcs:252450	4	0
kampayā	kampayā	kampa	NOUN	dcs:623067	4	0
kamvati	kamvati	kaṃvat	ADJ	dcs:699714_1	4	0
kaniṣṭhāsaḥ	kaniṣṭhāsa	kaniṣṭha	ADJ	dcs:600116	4	0
kaphāni	kaphāni	kapha	NOUN	dcs:4107	4	0
kapolabhittinā	kapolabhittinā	kapolabhitti	NOUN	dcs:629618	4	0
karajām	karajām	karaja	NOUN	dcs:447422	4	0
karmṇaḥ	karmna	karman	NOUN	dcs:115114	4	0
kartrīm	kartrīm	kartṛ	ADJ	dcs:620666	4	0
karṇataḥ	karnata	karṇa	NOUN	dcs:638142	4	0
kathān	kathān	kathā	NOUN	dcs:260993	4	0
kavandham	kavandham	kabandha	NOUN	dcs:604125	4	0
kaṇṭhām	kanṭhām	kaṇṭha	NOUN	dcs:455281	4	0
kaṭhillayā	kaṭhillayā	kaṭhilla	NOUN	dcs:153465	4	0
khalvāṁ	khalvām	khalva	NOUN	dcs:633799	4	0
khādyakāni	khādyakāni	khādyaka	NOUN	dcs:655664	4	0
kikidīvyā	kikidīvyā	kikidīvi	NOUN	dcs:649998	4	0
kiṭṭau	kiṭṭau	kiṭṭa	NOUN	dcs:28032	4	0
kopataḥ	kopata	kopa	NOUN	dcs:392979	4	0
koṣataḥ	koṣata	kośa	NOUN	dcs:625118	4	0
kramāṇi	kramāni	krama	NOUN	dcs:46379	4	0
kriyāṇi	kriyāni	kriyā	NOUN	dcs:486438	4	0
kukṣā	kukṣā	kukṣi	NOUN	dcs:608512	4	0
kutrā	kutrā	kutra	ADV	dcs:702110	4	0
kālaparvatāni	kālaparvatāni	kālaparvata	NOUN	dcs:724023	4	0
kāmāsaḥ	kāmāsa	kāma	NOUN	dcs:604720_1	4	0
kāntīni	kāntīni	kānti	NOUN	dcs:619681	4	0
kāpālām	kāpālām	kāpāla	ADJ	dcs:224827	4	0
kāṇvīm	kānvīm	kāṇva	ADJ	dcs:696781	4	0
kṛcchrataḥ	kṛcchrata	kṛcchra	NOUN	dcs:439866	4	0
kṛṣṇavartma	kṛṣnavartma	kṛṣṇavartman	NOUN	dcs:350933	4	0
kṣatrau	kṣatrau	kṣatra	NOUN	dcs:600257	4	0
kṣatrām	kṣatrām	kṣatra	NOUN	dcs:636673	4	0
kṣayaṃkarām	kṣayankarām	kṣayaṃkara	ADJ	dcs:540825	4	0
kṣemāsaḥ	kṣemāsa	kṣema	NOUN	dcs:597719	4	0
laghīyān	laghīyān	laghīyas	ADJ	dcs:630857	4	0
lakṣmāṇaḥ	lakṣmāna	lakṣman	NOUN	dcs:364122	4	0
lalāmyaṃ	lalāmyam	lalāmī	NOUN	dcs:633341	4	0
lalāṭām	lalāṭām	lalāṭa	NOUN	dcs:630190	4	0
lasīkam	lasīkam	lasīkā	NOUN	dcs:31791	4	0
laulyām	laulyām	laulya	NOUN	dcs:584708	4	0
lepanām	lepanām	lepana	NOUN	dcs:767590	4	0
lepām	lepām	lepa	NOUN	dcs:329506	4	0
lodhrāṇi	lodhrāni	lodhra	NOUN	dcs:36879	4	0
lokāni	lokāni	loka	NOUN	dcs:724023	4	0
lokāṁ	lokām	loka	NOUN	dcs:639985	4	0
lombhiḥ	lombhi	loman	NOUN	dcs:59363	4	0
loṣṭhaṃ	loṣṭham	loṣṭa	NOUN	dcs:469120	4	0
madhuchandasaḥ	madhuchandasa	madhucchandas	NOUN	dcs:748676_2	4	0
madhyamasyām	madhyamasyām	madhyama	ADJ	dcs:594069	4	0
madhyamāṅgulyā	madhyamāngulyā	madhyamāṅguli	NOUN	dcs:1164	4	0
madhūyuvā	madhūyuvā	madhūyu	ADJ	dcs:600308_1	4	0
maghonā	maghonā	maghavan	NOUN	dcs:94399	4	0
mahimanaḥ	mahimana	mahiman	NOUN	dcs:601102	4	0
mahājyotīḥ	mahājyotī	mahājyotis	NOUN	dcs:459997	4	0
mahākarambhāni	mahākarambhāni	mahākarambha	NOUN	dcs:10717	4	0
mahānāma	mahānāma	mahānāman	NOUN	dcs:656654	4	0
mahīyuvaḥ	mahīyuva	mahīyu	ADJ	dcs:608146	4	0
maitriyā	maitriyā	maitrī	NOUN	dcs:703443	4	0
mandārakāṇi	mandārakāni	mandāraka	NOUN	dcs:656710	4	0
manotarā	manotarā	manotṛ	NOUN	dcs:592848	4	0
mantumas	mantumas	mantumat	ADJ	dcs:592768	4	0
manuṣyataḥ	manuṣyata	manuṣya	NOUN	dcs:645853	4	0
manuṣyebhiḥ	manuṣyebhi	manuṣya	NOUN	dcs:628368	4	0
manyutaḥ	manyuta	manyu	NOUN	dcs:648005	4	0
maraṭāṁ	maraṭām	maraṭa	NOUN	dcs:647967	4	0
matasnau	matasnau	matasna	NOUN	dcs:670224	4	0
matsyapittena	matsyapittena	matsyapittā	NOUN	dcs:156052	4	0
mittrāvasunā	mittrāvasunā	mitrāvasu	NOUN	dcs:619541	4	0
mrakṣāsaḥ	mrakṣāsa	mrakṣa	ADJ	dcs:659806_1	4	0
mādanāsaḥ	mādanāsa	mādana	ADJ	dcs:651919	4	0
māraṇā	māranā	māraṇa	NOUN	dcs:387282	4	0
mātuṣ	mātuṣ	mātṛ	NOUN	dcs:598059	4	0
mūrchaiḥ	mūrchai	mūrchā	NOUN	dcs:31078	4	0
mūrdhanau	mūrdhanau	mūrdhan	NOUN	dcs:520963	4	0
mṛgāṇi	mṛgāni	mṛga	NOUN	dcs:358621	4	0
mṛtyuni	mṛtyuni	mṛtyu	NOUN	dcs:298751	4	0
nairṛtām	nairṛtām	nairṛta	ADJ	dcs:558569	4	0
naiyyagrodhaḥ	naiyyagrodha	naiyagrodha	ADJ	dcs:752088	4	0
nalakau	nalakau	nalaka	NOUN	dcs:63320	4	0
navagvāsaḥ	navagvāsa	navagva	NOUN	dcs:697171_1	4	0
navyasīnām	navyasīnām	navyas	ADJ	dcs:599992	4	0
navārcīḥ	navārcī	navārcis	NOUN	dcs:590128	4	0
nayutāni	nayutāni	nayuta	NOUN	dcs:667445	4	0
naūḥ	naū	nau	NOUN	dcs:522540	4	0
nibandhanām	nibandhanām	nibandhana	NOUN	dcs:613157	4	0
nirarthakām	nirarthakām	nirarthaka	ADJ	dcs:202234	4	0
nirṇejanān	nirnejanān	nirṇejana	NOUN	dcs:82896	4	0
nisaḥ	nisa	nis	NOUN	dcs:555438	4	0
nityāsaḥ	nityāsa	nitya	ADJ	dcs:684873	4	0
nivāsāni	nivāsāni	nivāsa	NOUN	dcs:380043	4	0
niṣeddhā	niṣeddhā	niṣeddhṛ	ADJ	dcs:661375	4	0
nyaṅgāni	nyangāni	nyaṅga	NOUN	dcs:691638	4	0
nādayā	nādayā	nāda	NOUN	dcs:208902	4	0
nāśanām	nāśanām	nāśana	ADJ	dcs:33652	4	0
nīrā	nīrā	nīra	NOUN	dcs:562871	4	0
nṛttāḥ	nṛttā	nṛtta	NOUN	dcs:630357	4	0
ojīyān	ojīyān	ojīyas	ADJ	dcs:600956	4	0
ojīyāṃsaḥ	ojīyānsa	ojīyas	ADJ	dcs:650358_2	4	0
oṣadhīn	oṣadhīn	oṣadhi	NOUN	dcs:336195	4	0
paittikām	paittikām	paittika	ADJ	dcs:59735	4	0
pakṣmāṇaḥ	pakṣmāna	pakṣman	NOUN	dcs:573808	4	0
paraspī	paraspī	paraspā	ADJ	dcs:436618	4	0
parijmano	parijmano	parijman	ADJ	dcs:728744	4	0
paryavasānāḥ	paryavasānā	paryavasāna	NOUN	dcs:668989	4	0
parāṅmukhām	parānmukhām	parāṅmukha	ADJ	dcs:102876	4	0
parī	parī	pari	NOUN	dcs:551885	4	0
patragupta	patragupta	pattragupta	NOUN	dcs:666969	4	0
patrasya	patrasya	pattra	NOUN	dcs:666470	4	0
pattaḥ	patta	pad	NOUN	dcs:649975	4	0
paurvikām	paurvikām	paurvika	ADJ	dcs:450171	4	0
paurvāhṇikyā	paurvāhnikyā	paurvāhṇika	ADJ	dcs:698605	4	0
pavitrebhiḥ	pavitrebhi	pavitra	NOUN	dcs:608687_1	4	0
pañcamūlāyāḥ	pancamūlāyā	pañcamūla	NOUN	dcs:3239	4	0
paśumānti	paśumānti	paśumat	ADJ	dcs:608760	4	0
paśvā	paśvā	paśu	NOUN	dcs:593254	4	0
paśūni	paśūni	paśu	NOUN	dcs:672901	4	0
paṅktyau	panktyau	paṅkti	NOUN	dcs:729949	4	0
paṇyāndhaḥ	panyāndha	paṇyāndhā	NOUN	dcs:20504	4	0
phāṇitām	phānitām	phāṇita	NOUN	dcs:34909	4	0
pitāraḥ	pitāra	pitṛ	NOUN	dcs:520294	4	0
pitṛpaitāmahām	pitṛpaitāmahām	pitṛpaitāmaha	ADJ	dcs:304137	4	0
piñcholābhiḥ	pincholābhi	piccholā	NOUN	dcs:672930	4	0
piśaṅgayā	piśangayā	piśaṅga	NOUN	dcs:575614	4	0
piṇḍataḥ	pinḍata	piṇḍa	NOUN	dcs:653095	4	0
piṣaḥ	piṣa	piṣ	NOUN	dcs:552724	4	0
pluvoḥ	pluvo	plu	NOUN	dcs:552563	4	0
plīhaṃ	plīham	plīhan	NOUN	dcs:427502	4	0
prabhāvāni	prabhāvāni	prabhāva	NOUN	dcs:61934	4	0
prajñāpanā	prajnāpanā	prajñāpana	NOUN	dcs:464959	4	0
prajñāpāramitātaḥ	prajnāpāramitāta	prajñāpāramitā	NOUN	dcs:644247	4	0
prakṛtīni	prakṛtīni	prakṛti	NOUN	dcs:474590	4	0
pramātāraḥ	pramātāra	pramātṛ	ADJ	dcs:532717	4	0
prapāṇā	prapānā	prapāṇa	NOUN	dcs:726789	4	0
prasiddhitaḥ	prasiddhita	prasiddhi	NOUN	dcs:622963	4	0
