rank	root_iast	dcs_lemma	grammar_class	dcs_status	attested_count	coverage_pct	top_attested_forms
94	muh	muh	4	matched	1103	84.2112	mūḍha:244; mūḍhaḥ:88; mūḍho:77; mūḍhāḥ:64; mugdha:53; muhyati:49; mūḍhā:47; muhyanti:45; mumoha:45; mugdhe:37; mūḍhasya:20; mūḍhaṃ:19; mugdhā:17; mūḍham:16; muhyāmi:14
95	svap	svap	1	matched	1100	84.4114	supta:111; suptā:95; suptaṃ:77; svapiti:74; suptaḥ:58; suṣvāpa:51; suptasya:42; supto:35; supte:31; suptvā:31; svapet:30; suptam:28; svapan:27; suptān:22; supteṣu:17
96	yach / yam	yam	6	homonym_shared	1093	84.6103	yaccha:206; yata:180; yacchati:98; yacchatu:30; yacchata:28; yacchantu:26; yacchet:23; yataḥ:22; yacchanti:22; yacchatam:22; ayāmi:19; yemire:19; yacchaty:17; yantum:12; yaṃsat:12
97	mad	mad	3	matched	1085	84.8077	matta:284; madema:48; mattaḥ:48; madanti:46; mattā:39; matto:38; mattam:34; mattāḥ:33; amīmadanta:32; mattena:18; mattaṃ:17; madanty:16; matsva:16; mattau:15; matsi:15
98	dru	dru	9	matched	1073	85.003	drutaṃ:132; drute:120; dravati:116; druta:112; drutam:95; dravanti:57; dudruvuḥ:32; drava:25; drutvā:24; dravet:23; dudrāva:20; dravate:18; dravataḥ:17; dravat:17; drutā:12
99	piṣ	piṣ	1	matched	1062	85.1962	piṣṭvā:476; piṣṭaiḥ:78; piṣṭam:73; piṣṭaṃ:68; piṣṭa:38; peṣyaṃ:35; piṣṭaḥ:33; piṣṭena:23; piṣṭāḥ:22; piṣṭair:17; piṣṭāni:17; pinaṣṭi:16; piṣṭā:14; piṣṭān:11; pipeṣa:11
100	spṛś	spṛś	6	matched	1059	85.3889	spṛṣṭvā:158; spṛśet:104; spṛśati:71; spṛṣṭa:59; spṛśanti:43; aspṛśat:39; spṛśan:38; pasparśa:34; spṛṣṭam:33; spṛṣṭaṃ:28; spṛśed:26; spṛṣṭo:25; spṛṣṭaḥ:22; spṛṣṭā:20; spṛśa:16
101	viś	viś	3	matched	1053	85.5805	viveśa:347; viviśuḥ:86; viśanti:74; viśati:64; viśet:46; aviśat:42; viśa:40; viviśur:40; viśantv:23; viśantu:18; viśate:17; 'viśat:16; viviśatuḥ:12; viśāmi:11; viśan:10
102	sad	sad	6	matched	953	85.754	sīda:208; sīdati:101; sīdanti:58; sanna:28; sīdāmi:26; sīdata:25; sīdan:20; asadan:18; sīdatu:15; satsi:15; sīdantu:15; sasāda:12; sīdann:11; sīdat:11; sannaḥ:11
103	1 rudh / 2 rudh	rudh	1	homonym_shared	892	85.9163	ruddhvā:545; ruddha:47; ruṇaddhi:34; runddhe:30; rurodha:26; ruddhaḥ:17; ruddhā:17; ruddhaṃ:14; ruddho:11; rundhyāt:10; roddhuṃ:7; ruddham:7; rurudhuḥ:7; ruddheṣu:6; ruddhe:5
104	su	su	6	matched	878	86.076	sutam:100; sutaḥ:78; sutasya:71; suta:62; sutaṃ:49; sunvate:46; sute:41; sutā:24; suto:22; sunavāma:20; sunvato:16; asāvi:16; sunvataḥ:14; suṣumā:13; suteṣu:13
105	av	av	1	matched	867	86.2338	avatu:112; avase:99; ava:65; avantu:62; avati:43; 'vantu:34; āvitha:21; avatho:21; avā:20; avitā:20; āvatam:15; 'vase:14; avanti:14; āvat:13; āvataṃ:13
106	tṛ	tṛ	3	matched	862	86.3907	tarati:123; tīrtvā:57; taranti:45; tarema:44; tira:35; tatra:25; taret:24; tarat:18; tīrṇaḥ:17; tīrṇa:15; tāriṣat:14; tara:14; taran:13; ataran:12; tariṣyanti:12
107	dīkṣ	dīkṣ	1	matched	855	86.5462	dīkṣitaḥ:114; dīkṣate:113; dīkṣita:95; dīkṣito:66; dīkṣitasya:49; dīkṣeta:34; dīkṣante:28; dīkṣitas:21; dīkṣitaṃ:20; dīkṣatāṃ:19; dīkṣitāḥ:16; adīkṣanta:16; dīkṣitā:15; dīkṣitam:13; adīkṣiṣṭa:13
108	tuṣ	tuṣ	4	matched	840	86.6991	tuṣṭaḥ:173; tuṣṭo:168; tuṣṭā:61; tutoṣa:61; tuṣṭāḥ:56; tuṣṭa:54; tuṣyati:48; tuṣyanti:31; tuṣṭena:28; tuṣṭe:18; tuṣṭaiḥ:11; atuṣyat:9; tuṣyet:8; tuṣṭasya:7; tuṣṭaṃ:6
109	duṣ	duṣ	4	matched	829	86.8499	duṣṭa:353; duṣyati:63; duṣṭam:54; duṣṭaṃ:49; duṣṭā:30; duṣṭaḥ:29; duṣyanti:28; duṣṭe:27; duṣṭāḥ:24; duṣṭo:20; duṣṭena:18; duṣṭānāṃ:17; duṣṭasya:16; duṣṭaiḥ:10; duṣṭān:8
110	jval	jval	1	matched	827	87.0004	jvalita:79; jvalan:79; jvalantam:66; jvalat:65; jvalati:61; jajvāla:50; jvalantaṃ:34; jvalitaṃ:26; jvalantīm:21; jvalitā:17; jvalann:17; jvālanīyaḥ:15; jvalanti:14; jvaladbhiḥ:14; jvalate:12
111	duh	duh	1	matched	806	87.1471	duhe:109; dugdhā:39; duhanti:39; dhukṣva:37; duhānā:28; dugdham:24; adhok:19; duhyamānā:18; duduhe:16; duhratāṃ:15; dogdhi:15; duhām:14; duha:14; dudoha:14; dugdhe:14
112	sah	sah	1	matched	791	87.291	sahate:75; sahasva:60; soḍhuṃ:58; sahyam:39; saheta:33; sahya:33; soḍhum:28; sahante:24; sehe:22; sahamānā:21; sahamānam:16; sehire:15; sahamānaḥ:11; sahantī:11; sahe:9
113	hiṃs	hiṃs	7	matched	788	87.4344	hinasti:187; hiṃsīḥ:121; hiṃsīr:93; hiṃsanti:35; hiṃsyāt:26; hiṃsiṣam:25; hiṃsīt:16; hiṃsan:15; hiṃsiṣṭaṃ:14; hiṃsyād:11; hiṃsitaḥ:11; hiṃsiṣṭa:10; hiṃsiṣṭam:9; hiṃsati:9; hiṃsyuḥ:9
114	lip	lip	4	matched	778	87.576	liptvā:198; lipta:89; lipyate:83; liptam:54; limpet:52; liptaṃ:50; liptāyām:42; lipet:27; liptāni:21; lipte:20; liptaḥ:20; liptā:15; limped:13; lipto:8; liptām:6
115	khyā	khyā	4	matched	777	87.7174	khyātaṃ:160; khyātaḥ:133; khyāto:115; khyātā:106; khyātam:36; khyāta:29; akhyad:26; khyāyate:25; khyātāḥ:23; akhyat:17; khyātau:16; khyātās:6; khyātas:6; khyātāni:5; khyāyante:5
116	śuc	śuc	6	matched	777	87.8588	śocati:84; śocanti:72; śocāmi:49; śocasi:47; śucaḥ:41; śocitum:37; śocan:33; śuśoca:22; śuco:19; śocyaḥ:19; śocet:17; śocyā:12; śoca:11; śocantaḥ:11; śocataḥ:10
117	vī	vī	2	matched	770	87.9989	vīta:281; vīhi:79; vetu:50; vyetu:42; vyantu:34; vyeti:24; vītaye:24; veti:17; veṣi:16; vetv:15; viyanti:14; ver:14; vītaṃ:12; vītaya:10; vyantv:10
118	1 ci / 2 ci	ci	1,3	homonym_shared	763	88.1377	cinute:94; cīyate:61; citaḥ:48; cinoti:48; citam:45; cinvīta:45; cinvanti:22; cite:20; citvā:18; citā:18; citāḥ:13; cita:13; cinvānas:11; cito:10; cinvānaḥ:9
119	yāc	yāc	1	matched	755	88.2751	ayācata:60; yācati:48; yācitaḥ:44; yācitam:41; yācate:34; yāce:31; yayāce:30; yācito:27; yācita:23; yācet:21; yācamānāya:19; yācataḥ:17; yāceta:15; yācitā:12; yācyamānaḥ:12
120	bhañj	bhañj	4	matched	754	88.4123	bhagna:230; bhagnaṃ:49; babhañja:47; bhagnā:36; bhagne:32; bhagnāḥ:29; bhaṅktvā:28; bhagnam:22; bhagnaḥ:21; bhagneṣu:19; bhagno:16; abhajyata:16; bhajyate:13; bhagnān:12; bhagnaiḥ:10
121	bhā	bhā	2	matched	741	88.5472	bhāti:282; babhau:244; bhānti:73; babhuḥ:38; bhāty:27; bhāsi:22; bhāhi:13; bhānty:7; babhur:7; bhāsy:4; babhatuḥ:3; bhāntam:3; bhāyād:2; bhāyāt:2; bhāte:2
122	1 tan / 2 tan	tan	4,8	homonym_shared	716	88.6774	tato:72; tāyate:55; tanvate:53; atanvata:39; tatāna:37; tanute:37; tanoti:29; tatam:27; tata:23; tanvan:15; tataṃ:15; tanomi:13; tanuṣva:11; tanvānā:11; tanvānās:11
123	cyu	cyu	1	matched	715	88.8075	cyutaḥ:103; cyutāḥ:88; cyutam:78; cyavate:66; cyutā:60; cyuta:52; cyutaiḥ:36; cyutān:21; cyavante:19; cyutvā:16; cyutaṃ:13; cyuto:12; cyutānām:11; cyute:9; acucyavuḥ:9
124	añj	añj	1	matched	708	88.9364	anakti:90; aktam:78; anaktu:40; akta:35; aktvā:30; aktaḥ:30; ajyate:28; aktāḥ:24; akte:20; aktām:19; añjanti:18; añjate:18; aṅkte:17; aktau:17; aktena:14
125	ad	ad	2	matched	699	89.0636	atti:133; adyāt:84; adanti:36; atta:31; adyate:29; addhi:24; atty:23; attu:19; attave:18; adyād:16; ādyam:14; adantu:12; adan:11; attum:11; ādyo:9
126	tṛp	tṛp	6	matched	696	89.1902	tṛpyati:101; tṛptaḥ:70; tṛptāḥ:60; tṛpyanti:43; tṛptā:35; tṛpto:34; tṛpyatu:27; tṛpyāmi:23; tṛpta:19; tṛptasya:18; tṛpte:17; tṛpyantu:17; tṛpya:11; tṛpyaty:9; tṛptam:9
127	mṛd	mṛd	6,9	matched	692	89.3161	mardyaṃ:219; mardyam:140; mṛditaṃ:25; mṛdita:20; mamarda:19; mardyaḥ:18; mṛditā:16; mṛditvā:14; marditum:13; mṛditaḥ:12; mṛditam:11; mṛdnāti:11; mṛdnīyāt:11; mṛdite:9; mṛditāḥ:9
128	sic	sic	4	matched	687	89.4412	siñcati:68; siktaṃ:66; sicyate:40; siktam:40; siñcet:37; sikta:32; siktvā:23; siñca:16; siktā:16; siñcata:13; siktaḥ:13; siñcantu:12; siñcyāt:11; siṣicuḥ:10; secyam:10
129	1 mā / 2 mā / 3 mā	mā	3,4	homonym_shared	680	89.5649	mitam:105; mimīte:84; mita:60; mitaḥ:34; mitā:31; amimīta:25; meya:20; mitāḥ:17; mitaṃ:15; mitaiḥ:12; mame:11; mimāti:10; mamire:10; mimīta:10; mite:9
130	rud	rud	1	matched	669	89.6866	rudatī:69; ruroda:63; roditi:35; rudatīṃ:34; rudan:27; rudanti:25; ruruduḥ:23; rodiṣi:22; rudatīm:14; rudantī:13; rudatyaḥ:12; rudantaḥ:12; rudyate:11; rudati:11; rurudur:10
131	nam	nam	1	matched	666	89.8078	nata:154; natvā:72; namati:49; namāmi:44; nanāma:40; namanti:23; nato:22; natāḥ:19; nataḥ:16; nataṃ:14; namet:14; nama:12; namantu:10; namanta:8; namantāṃ:8
132	nind	nind	1	matched	649	89.9259	ninditā:82; nindite:49; nindita:49; ninditām:45; ninditam:42; ninditaḥ:35; nindanti:23; nindati:20; nindya:19; nindan:16; ninditaṃ:14; ninditāḥ:12; nininda:12; nindyate:11; nindyā:10
133	1 śrī / 2 śrī	śrī	4	homonym_shared	644	90.0431	śṛtam:167; śṛtaṃ:128; śrīṇāti:37; śṛta:27; śrīṇanti:20; śṛto:18; śṛtena:18; śṛtaḥ:17; śṛtā:15; śṛte:14; śrīṇītām:10; śṛtām:9; śrātam:8; śṛtāni:8; śṛtaiḥ:8
134	vand	vand	1	matched	632	90.1581	vanditvā:113; vavande:81; vande:63; vandya:21; avandata:19; vandate:17; vandasva:15; vandite:15; vanditaḥ:15; vanditam:13; vandita:12; vandyā:12; vavandire:11; vandyaḥ:11; vandyo:11
135	mud	mud	1	matched	612	90.2695	modate:167; mudita:60; muditā:44; mumude:40; muditaḥ:38; muditāḥ:36; mudito:34; modante:21; muditau:13; mumoda:12; modamānaḥ:10; modamānā:8; muditam:7; modamānāḥ:7; modanti:6
136	bhram	bhram	4	matched	592	90.3772	bhramati:56; bhrānta:54; bhraman:46; babhrāma:44; bhramanti:40; bhramate:38; babhramuḥ:20; bhramat:18; bhrāmyan:15; bhrāntvā:15; bhramasi:11; bhramato:11; bhrāmyati:10; bhrāntaṃ:9; bhrāmyat:9
137	1 dhāv / 2 dhāv	dhāv	1,4	homonym_shared	582	90.4831	dhāvati:72; dhauta:64; dhāvanti:37; dhāvataḥ:22; dhāvate:19; dhāvata:18; dhāvasi:15; dhautaiḥ:15; dhāvatu:14; dhautam:13; dhāvantaṃ:12; adhāvat:11; dhāvan:11; dhāvet:11; dhāvatāṃ:10
138	path / paṭh	paṭh	1	homonym_shared	582	90.589	paṭhet:135; paṭhanti:83; paṭhyate:48; paṭhan:41; paṭhati:34; paṭhed:23; paṭhate:21; paṭhitvā:18; paṭhatāṃ:13; paṭhitaḥ:12; paṭhitaṃ:11; paṭhyante:10; paṭhitam:9; paṭheta:9; papāṭha:8
139	vṛṣ	vṛṣ	6	matched	580	90.6946	varṣati:148; vavarṣa:94; varṣanti:32; varṣatu:26; avarṣat:14; vṛṣasva:13; varṣet:13; varṣaty:10; varṣan:10; varṣiṣyati:10; vṛṣṭaṃ:10; vavarṣuḥ:8; varṣann:7; varṣate:7; vavṛṣuḥ:7
140	gup	gup	1	matched	563	90.797	guptam:69; guptaṃ:67; gupta:51; guptā:43; guptaḥ:39; gupto:27; guptāṃ:20; gupte:18; jugopa:18; guptām:13; guptāḥ:13; gopyaṃ:12; gopyā:11; gopanīyaṃ:11; guptāni:11
141	yat	yat	1	matched	548	90.8967	yateta:40; yatto:40; yatate:34; yattā:33; yattaḥ:31; yatasva:26; yattāḥ:20; yatante:19; yatamāno:16; yatamānasya:16; yatiṣye:13; yatamānāḥ:12; yatamānaṃ:11; yattaṃ:11; yattau:11
142	śubh	śubh	6	matched	547	90.9963	śuśubhe:166; śobhate:96; aśobhata:61; śobhante:23; aśobhanta:20; śumbhasva:18; śubhe:15; śobhase:13; śubhaṃ:9; śobhamānam:9; śumbhamānā:8; śumbhamānāḥ:7; śobhamānā:7; aśobhetāṃ:5; śobhamāno:4
143	tvar	tvar	1	matched	539	91.0943	tvaramāṇo:65; tvaritaḥ:64; tvarito:62; tvaramāṇaḥ:44; tvaran:40; tvaritā:29; tvaritāḥ:29; tvarita:28; tvaramāṇā:19; tvarate:12; tvareta:10; tvarasva:8; tvaramāṇāḥ:8; tvaritaṃ:7; tvaradhvaṃ:7
144	sru	sru	1	matched	538	91.1922	sravati:85; sravet:58; sravanti:45; sruta:41; srava:39; susrāva:36; sravat:25; sravantu:17; srute:16; srutam:14; sravate:11; sraved:8; sravadbhiḥ:8; susruvuḥ:8; asravat:6
145	1 śās / 2 śās	śās	1	homonym_shared	533	91.2892	śiṣṭa:97; śaśāsa:56; śādhi:39; śāsti:37; śiṣṭāḥ:27; śiṣṭā:23; śāsato:18; śiṣṭān:13; śiṣṭaiḥ:12; śāsati:11; śiṣṭānāṃ:11; śiṣṭaḥ:10; śāsad:8; śiṣṭaṃ:8; śiṣṭair:7
146	sū	sū	6	matched	532	91.386	suṣuve:84; asūta:61; sūte:51; sūyate:30; suva:27; sūyā:24; asūyata:22; sūta:20; sūtave:16; suvati:9; suvāmi:9; sāvīḥ:8; suṣāva:8; sasūva:7; savitave:7
147	kup	kup	4	matched	521	91.4808	kupito:98; kupitaḥ:59; kupitā:54; kupyati:47; cukopa:32; kupitāḥ:29; kupitaṃ:25; kupita:24; kupite:22; kupyanti:21; kupitena:12; kupyate:10; kupyet:7; kupitair:5; kupyasi:5
148	gras	gras	1	matched	519	91.5753	grasate:107; grasati:51; grastaḥ:32; grasta:31; grastam:28; graste:24; agrasat:16; grastaṃ:15; graset:15; grasitam:12; grastasya:10; grastā:10; grastāḥ:9; grastān:7; grasyate:6
149	śā	śā	4	matched	519	91.6697	śitaiḥ:180; śita:76; śitair:57; śitān:47; śitāḥ:23; śitena:21; śiśīhi:11; śiśādhi:10; śiśāno:10; śitāñ:10; śiśīte:9; śitam:6; śitaḥ:6; śiśāmi:5; śiśītam:5
150	likh	likh	6	matched	509	91.7623	likhet:62; likhitvā:53; likhyate:32; likhitam:27; likhitaṃ:25; likhiṣyanti:23; likhita:20; likhitā:18; likhati:16; likhyante:12; likhed:12; likhite:11; likhyamānāyāṃ:10; lilekha:9; lekhya:9
151	ruc	ruc	1	matched	501	91.8535	rocate:246; rocatāṃ:20; rocata:14; rucitaḥ:14; arocata:12; rocase:12; roceta:11; rucitaṃ:10; rucitam:10; rocatām:10; rocamānaḥ:9; arocathāḥ:9; rocante:8; ruce:7; rucito:7
152	krīḍ	krīḍ	1	matched	494	91.9434	krīḍate:56; krīḍati:48; krīḍan:43; krīḍanti:41; krīḍato:20; cikrīḍa:19; krīḍitvā:18; krīḍantau:14; krīḍann:14; krīḍantam:10; krīḍataḥ:10; krīḍantaṃ:10; krīḍatā:9; cikrīḍuḥ:6; krīḍat:6
153	cal	cal	1	matched	491	92.0327	cacāla:104; calat:69; calati:47; calita:43; calitaḥ:28; calitā:25; calanti:14; calitaṃ:11; celuḥ:10; calite:10; calet:9; cala:8; calitam:6; calito:6; calituṃ:6
154	ruh	ruh	1	matched	487	92.1214	rohati:69; rūḍha:56; roha:42; rohanti:22; ruhema:20; rohatu:17; rohet:15; rohata:11; rūḍhe:11; rūḍham:11; rohāva:11; ruroha:10; ruheyam:10; aruham:9; rūḍhaḥ:9
155	śap	śap	1	matched	484	92.2094	śaśāpa:93; śapto:39; śaptaḥ:37; śape:33; śaptvā:18; aśapat:17; śaptā:17; śaptāḥ:13; śepe:11; śapeyaṃ:10; śaptum:10; śapāmahe:9; śapati:8; śapāt:8; śaptavān:8
156	math	math	4,9	matched	475	92.2959	mathitvā:74; mathyamāne:27; manthanti:25; manthati:25; mathitaṃ:19; mathyate:19; mathita:16; mamanthuḥ:15; mathyamānāya:15; mathite:10; mathitam:10; manthet:9; mathito:9; mamantha:9; matha:9
157	īkṣ	īkṣ	4	matched	473	92.3819	aikṣata:95; īkṣate:67; īkṣeta:52; īkṣamāṇaḥ:25; īkṣāṃcakre:25; īkṣyate:20; īkṣitum:19; īkṣitaḥ:12; īkṣya:11; īkṣante:10; īkṣitam:9; īkṣata:8; īkṣamāṇo:8; īkṣita:7; īkṣasva:6
158	guh	guh	6	matched	468	92.4671	gūḍha:171; gūḍham:33; guhyaṃ:27; gūḍhaṃ:26; guhyam:22; gūḍhaḥ:18; gūḍho:18; guhya:15; gūḍhāḥ:8; gūhet:7; gūḍhā:7; gūhamānā:7; gūḍhe:6; gūhati:6; gūhanti:5
159	gad	gad	1	matched	466	92.5519	jagāda:286; gadato:41; gadataḥ:18; jagade:15; gaditaṃ:14; gaditam:10; jagaduḥ:8; gadito:8; gadyate:8; gaditā:6; gadite:6; gadituṃ:4; gaditaḥ:4; gada:3; agādiṣam:3
160	nad	nad	1	matched	460	92.6356	nanāda:143; nadan:41; neduḥ:35; anadat:30; nadanti:19; nadanto:19; nedur:15; nadatsu:14; nadatāṃ:13; nadadbhiḥ:12; nadato:11; nadat:10; anadan:10; nadantaṃ:9; nadataḥ:9
161	bādh	bādh	1	matched	456	92.7186	bādhate:116; bādhyate:48; bādhasva:30; bādhante:28; bādhamānaḥ:12; bādhitum:11; bādhitaḥ:10; abādhata:9; bādhyante:9; bādhamānā:9; bādhatām:7; bādhe:7; babādhe:7; bādhase:7; bādheta:6
162	śri	śri	1	matched	451	92.8006	śritaḥ:53; śritāḥ:43; śritā:33; śritam:27; śiśriye:24; aśret:15; aśrayanta:14; śrayantām:13; śrayasva:12; śrayate:10; śrito:10; śrayet:9; śrayatām:8; aśiśriyat:8; śrita:8
163	trā	trā	2	matched	445	92.8816	trāyasva:80; trāhi:69; trātum:59; trāyate:36; trātuṃ:14; trātā:13; trāyatāṃ:11; trāyase:11; trāyethām:11; trāyatām:10; trāyante:8; trāti:7; atrāyata:7; trātāḥ:7; trāyantām:6
164	krī	krī	1	matched	439	92.9615	krīṇāti:71; krītvā:50; krīte:23; krīṇāni:23; krītaḥ:22; krīta:18; krītam:17; krītaṃ:17; krīto:17; krīṇanti:16; krītā:15; krīṇīyāt:14; krīṇāmi:14; krītāya:8; krītāḥ:7
165	kṣam	kṣam	1	matched	439	93.0414	kṣantum:65; kṣamasva:44; kṣamate:43; kṣāntaṃ:22; kṣamyatāṃ:18; kṣantavyaṃ:17; kṣamyatām:15; kṣantavyam:15; kṣāntam:13; kṣāntaḥ:12; kṣāntā:12; cakṣame:12; kṣānto:10; kṣama:10; kṣameta:9
166	puṣ	puṣ	6	matched	438	93.1211	puṣṭa:53; puṣyati:52; puṣṇāti:33; pupoṣa:17; puṣṭāḥ:16; puṣṭaḥ:15; puṣyanti:13; puṣṭam:13; puṣyasi:13; puṣṭaṃ:10; puṣyase:10; puṣṇanti:9; apuṣyat:9; puṣṭo:7; puṣṇāmi:6
167	īś	īś	2	matched	425	93.1984	īśe:118; īśate:37; īśiṣe:33; īṣṭe:30; īśānaḥ:27; īśānaṃ:22; īśata:22; īśānam:17; īśāte:16; īśānā:15; īśāno:14; īśāthe:8; īśāna:7; īśīta:4; īśānāḥ:4
168	has	has	1	matched	419	93.2747	hasan:75; hasann:51; jahāsa:43; hasanti:32; hasati:21; hasantī:13; haset:11; hasatā:10; jahasuḥ:10; hasita:10; ahasat:9; hasatī:9; hāsya:7; hasantaṃ:6; hasantam:5
169	puṭ	puṭ	6	matched	418	93.3507	puṭet:225; puṭitaṃ:83; puṭitam:42; puṭed:15; puṭito:11; puṭitaḥ:9; puṭitā:7; puṭita:5; puṭitvā:5; puṭitāni:3; puṭitāḥ:2; puṭitasya:2; puṭati:2; puṭan:2; puṭitaiḥ:1
170	kram	kram	4	matched	414	93.4261	kramate:62; krāmati:54; akramīt:21; kramasva:16; cakrame:14; krāma:13; krāmanti:13; akramīd:12; krame:11; krānta:9; krānte:9; akramuḥ:9; kramadhvam:6; krāntvā:6; kramet:5
171	arc	arc	1	matched	413	93.5012	arcata:24; arcanti:24; arcite:24; arca:21; arcan:18; arcati:17; arcanty:13; arcāmi:13; arcet:11; arcā:11; arcya:10; arcitvā:9; arcann:9; arcāma:8; arcitum:8
172	lih	lih	4	matched	405	93.5749	lihet:145; lihyāt:95; līḍhaṃ:26; līḍhvā:22; līḍha:19; lihyād:15; līḍham:9; lihyān:8; lihan:8; līḍhā:6; leḍhi:4; līḍho:4; lihyamāna:4; lihed:4; lihānaḥ:3
173	rāj	rāj	2	matched	405	93.6486	rarāja:114; rājate:38; rājati:37; reje:30; rājasi:22; rejur:14; rejuḥ:13; rejatuḥ:13; rājase:7; rājatā:7; rājantam:7; rāja:6; rājan:6; rājante:5; rājitam:5
174	1 gṛ / 2 gṛ / 3 gṛ	gṛ	9	homonym_shared	399	93.7212	gṛṇanti:42; gṛṇate:39; gṛṇantaḥ:20; gṛṇānā:19; gṛṇānaḥ:17; gṛṇāno:17; gṛṇīmasi:17; girati:15; gṛṇāna:15; gṛṇe:13; gṛṇīhi:12; gṛṇanto:12; gṛṇīṣe:12; gṛṇan:11; jagāra:10
175	vyath	vyath	1	matched	397	93.7935	vyathate:45; vivyathe:41; vyathita:37; vyathito:34; vyathitā:30; vyathitāḥ:28; vyathitaḥ:27; vyathitaṃ:24; vyathantāṃ:8; vyatheta:8; vyathitam:8; vyathamānā:8; vyathamānām:7; vivyathuḥ:7; vyathanti:4
176	ṛdh	ṛdh	6	matched	392	93.8648	ṛdhnoti:82; ṛddhaṃ:32; ārdhnot:29; ṛdhyate:25; ārdhnuvan:23; ṛdhyāsam:13; ṛdhnoty:13; ṛdhnuyām:11; ṛddham:10; ṛdhnuyād:10; ṛdhnuvanti:9; ṛdhyante:8; ṛddhāḥ:7; ṛddhaḥ:7; ṛdhyāsma:6
177	śram	śram	1	matched	382	93.9343	śrāntaḥ:56; śrānta:50; śrānto:39; śrāntā:22; śrāntasya:21; śrāntam:18; śrāntaṃ:18; śrāntāḥ:16; aśrāmyat:14; śrāntebhyas:8; śrāntau:7; śrāntāya:5; śrāmyati:5; śrāntāt:5; śrāmyantaś:5
178	khad / khād	khād	1	homonym_shared	369	94.0014	khādet:117; khādati:33; khādan:20; khādanti:17; khāded:16; khādanīya:15; khādanīyena:10; khāden:7; khāda:6; khādita:6; khāditaṃ:6; khādanīyaṃ:6; khādataḥ:5; khādata:5; khādann:4
179	svid	svid	4	matched	369	94.0686	svinna:61; svinnaṃ:59; svinnam:30; svinnasya:26; svedyaṃ:23; svinnaḥ:20; svinno:13; svinnā:13; svidyati:10; svinnāṃ:9; svinnāni:8; svinne:8; svedyaḥ:7; svidyate:6; svinnāḥ:5
180	prath	prath	1	matched	365	94.135	prathitaṃ:51; prathita:38; prathasva:35; prathitaḥ:25; prathitā:25; paprathe:24; prathito:24; prathate:20; prathatām:15; prathantu:6; aprathetām:5; prathatāṃ:5; aprathata:5; prathitāḥ:5; papratha:4
181	kṛṣ	kṛṣ	6	matched	360	94.2005	kṛṣṭa:33; karṣati:27; cakarṣa:24; kṛṣṭe:21; kṛṣṭam:13; kṛṣyate:13; kṛṣati:13; karṣet:9; kṛṣṭaṃ:8; kṛṣṭā:8; kṛṣyamāṇaḥ:8; karṣan:7; karṣann:6; kṛṣṭaḥ:6; kṛṣṭena:5
182	sphur	sphur	6	matched	357	94.2655	sphurat:128; sphurati:51; sphurita:36; sphuret:13; sphuran:9; sphurantam:8; sphuranti:7; sphuratā:7; sphurantī:7; sphuritvā:6; sphurantaṃ:6; asphurat:5; sphurantīṃ:5; asphurad:4; sphuritaṃ:4
183	nṛt	nṛt	4	matched	353	94.3297	nṛtyanti:40; nanṛtuḥ:36; nanarta:35; nṛtyati:29; nṛtyan:18; nṛtyann:17; nanṛtur:11; nṛtyantaṃ:10; nṛtyantī:9; nṛtyadbhir:9; nṛtyatām:6; nṛtyantam:6; nanṛtuś:6; nṛtyamānaṃ:6; nṛtyat:5
184	khan	khan	2	matched	352	94.3938	khanati:62; khanet:36; khātvā:35; khanāmi:19; khanitvā:12; khananti:10; akhanat:10; khanāmasi:9; khanantaḥ:9; khanema:9; akhanad:6; akhanan:6; khanan:6; khananta:6; khanate:6
185	iḍ / īḍ	īḍ	2	homonym_shared	352	94.4578	īḍe:43; īḍyaḥ:32; īḍate:27; īṭṭe:21; īḍyam:20; īḍitaḥ:20; īﾱate:18; īḍyo:16; īﾱe:13; īḍya:11; īḍito:9; īḍyaṃ:9; īḍita:8; īḍiṣva:7; īḍenyo:6
186	mil	mil	6	matched	346	94.5208	milati:92; milanti:49; militaṃ:34; militvā:21; militā:16; militam:15; milita:15; militaiḥ:13; milet:11; milite:10; milat:10; militaḥ:10; milate:8; militāḥ:7; militena:6
187	śikṣ	śikṣ	6	matched	345	94.5836	śikṣitavyam:58; śikṣate:46; śikṣā:18; śikṣamāṇaḥ:18; śikṣiṣyante:16; śikṣamāṇasya:14; śikṣa:13; śikṣasva:13; śikṣitavyaṃ:12; śikṣan:9; śikṣamāṇo:8; śikṣitvā:6; śikṣante:5; śikṣeta:5; aśikṣata:5
188	majj	majj	1	matched	343	94.646	majjati:42; magna:25; magnā:23; magno:21; magnaḥ:19; majjanti:18; magnaṃ:18; magnam:14; magnānām:10; magnām:10; magnāḥ:9; mamajja:8; magnāṃ:6; magnasya:6; majjantaṃ:5
189	dam	dam	4	matched	342	94.7082	dānto:58; dāntaḥ:52; dāntāḥ:32; dāntaṃ:28; dāntā:26; dānta:22; dāntān:15; dāntaiḥ:14; dāntasya:13; dāntam:10; dāntāya:10; dāntena:8; dānteṣu:6; dāntānāṃ:5; dānte:4
