root	preverb	sense	gita_count	prefixus_forms	prefixus_sample_form	class_freqs	sources
ci	anusaṃ-			1	anusaṃci		prefixus
ci	apa-			2	apaci		prefixus
ci	ava-			1	avaci		prefixus
ci	ni-			1	nici		prefixus
ci	pari-			2	parici		prefixus
ci	pra-			1	praci		prefixus
ci	pravi-			1	pravici		prefixus
ci	sampra-			1	sampraci		prefixus
ci	samupa-			1	samupaci		prefixus
ci	samā-			1	samāci		prefixus
ci	saṃ-			1	saṃci		prefixus
ci	saṃni-			1	saṃnici		prefixus
ci	upa-			1	upaci		prefixus
ci	vi-			2	vici		prefixus
ci	vini-			1	vinici		prefixus
ci	ā-			1	āci		prefixus
cint		think	1				semantics
cintay				1	cintay	10:1374	prefixus+classfreq
cintay	abhi-			1	abhicintay		prefixus
cintay	abhisaṃ-			1	abhisaṃcintay		prefixus
cintay	abhivi-			1	abhivicintay		prefixus
cintay	anu-			1	anucintay		prefixus
cintay	anusaṃ-			1	anusaṃcintay		prefixus
cintay	anuvi-			1	anuvicintay		prefixus
cintay	pari-			1	paricintay		prefixus
cintay	pra-			1	pracintay		prefixus
cintay	pravi-			1	pravicintay		prefixus
cintay	samanu-			1	samanucintay		prefixus
cintay	saṃ-			1	saṃcintay		prefixus
cintay	upa-			1	upacintay		prefixus
cintay	vi-			1	vicintay		prefixus
cintay	ā-			1	ācintay		prefixus
cipiṭībhū				1	cipiṭībhū	1:1	prefixus+classfreq
cit				1	cit	1:204	prefixus+classfreq
cit	saṃ-			1	saṃcit		prefixus
citay						10:21	classfreq
citrīkṛ	vi-			1	vicitrīkṛ		prefixus
cod	abhico-			1	abhicoday		prefixus
coday				1	coday	10:609	prefixus+classfreq
coday	abhipra-			1	abhipracoday		prefixus
coday	anu-			1	anucoday		prefixus
coday	pari-			1	paricoday		prefixus
coday	pra-			1	pracoday		prefixus
coday	prati-			1	praticoday		prefixus
coday	sampra-			1	sampracoday		prefixus
coday	saṃ-			1	saṃcoday		prefixus
coday	ā-			1	ācoday		prefixus
coray				1	coray	10:19	prefixus+classfreq
corībhū						1:1	classfreq
cud				1	cud	1:30	prefixus+classfreq
cud	pra-			1	pracud		prefixus
cud	saṃ-			1	saṃcud		prefixus
cumb				1	cumb	1:66	prefixus+classfreq
cumb	abhi-			1	abhicumb		prefixus
cumb	pari-			1	paricumb		prefixus
cumb	prati-			1	praticumb		prefixus
cumb	ā-			1	ācumb		prefixus
cumbay				1	cumbay	10:3	prefixus+classfreq
cup				1	cup	1:4	prefixus+classfreq
curībhū	pra-			1	pracurībhū		prefixus
cyotay				1	cyotay	10:1	prefixus+classfreq
cyu		fall/go	1	1	cyu	1:607	prefixus+semantics+classfreq
cyu	apa-			1	apacyu		prefixus
cyu	pari-			1	paricyu		prefixus
cyu	pra-			1	pracyu		prefixus
cyu	vi-			1	vicyu		prefixus
cyut				1	cyut	1:5	prefixus+classfreq
cyāvay				1	cyāvay	10:57	prefixus+classfreq
cyāvay	saṃ-			1	saṃcyāvay		prefixus
cālay				1	cālay	10:146	prefixus+classfreq
cālay	ava-			1	avacālay		prefixus
cālay	pari-			1	paricālay		prefixus
cālay	pra-			1	pracālay		prefixus
cālay	pravi-			1	pravicālay		prefixus
cālay	saṃ-			1	saṃcālay		prefixus
cālay	saṃpra-			1	saṃpracālay		prefixus
cālay	vi-			1	vicālay		prefixus
cālay	ā-			1	ācālay		prefixus
cāmay	ā-			1	ācāmay		prefixus
cāray				1	cāray	10:118	prefixus+classfreq
cāray	abhyava-			1	abhyavacāray		prefixus
cāray	anu-			1	anucāray		prefixus
cāray	anusaṃ-			1	anusaṃcāray		prefixus
cāray	ava-			1	avacāray		prefixus
cāray	pari-			1	paricāray		prefixus
cāray	pra-			1	pracāray		prefixus
cāray	pravi-			1	pravicāray		prefixus
cāray	saṃ-			1	saṃcāray		prefixus
cāray	saṃvi-			1	saṃvicāray		prefixus
cāray	upa-			1	upacāray		prefixus
cāray	vi-			1	vicāray		prefixus
cāray	vyabhi-			1	vyabhicāray		prefixus
cātay						10:8	classfreq
cāy						1:10	classfreq
cūrṇībhū				1	cūrṇībhū	1:10	prefixus+classfreq
cūrṇīkṛ				1	cūrṇīkṛ	8:72	prefixus+classfreq
cūṣ				1	cūṣ	1:20	prefixus+classfreq
cūṣ	saṃ-			1	saṃcūṣ		prefixus
cūṣ	ā-			1	ācūṣ		prefixus
cūṣay				1	cūṣay	10:2	prefixus+classfreq
cṛt						6:18	classfreq
dabh						1:35	classfreq
dadhīkṛ				1	dadhīkṛ	8:1	prefixus+classfreq
dagh						5:14	classfreq
dah		burn	2	1	dah	2:2012	prefixus+semantics+classfreq
dah	anu-			1	anudah		prefixus
dah	ava-			1	avadah		prefixus
dah	pari-			1	paridah		prefixus
dah	pra-			1	pradah		prefixus
dah	prati-			1	pratidah		prefixus
dah	sampra-			1	sampradah		prefixus
dah	saṃ-			1	saṃdah		prefixus
dah	upa-			1	upadah		prefixus
dah	vi-			1	vidah		prefixus
dah	vipra-			1	vipradah		prefixus
dah	vyatisaṃ-			1	vyatisaṃdah		prefixus
dah	ā-			1	ādah		prefixus
dakṣ						1:6	classfreq
dakṣiṇīkṛ				1	dakṣiṇīkṛ	8:3	prefixus+classfreq
dakṣiṇīkṛ	pra-			1	pradakṣiṇīkṛ		prefixus
dal				1	dal	1:24	prefixus+classfreq
dal	ava-			1	avadal		prefixus
dal	vi-			1	vidal		prefixus
dalay				1	dalay	10:9	prefixus+classfreq
dam				1	dam	4:307	prefixus+classfreq
damay				1	damay	10:23	prefixus+classfreq
dambhay						10:7	classfreq
dan						1:1	classfreq
daray				1	daray	10:5	prefixus+classfreq
darpay				1	darpay	10:104	prefixus+classfreq
darpay	ati-			1	atidarpay		prefixus
darībhū	anā-			1	anādarībhū		prefixus
darśay				1	darśay	10:1159	prefixus+classfreq
darśay	abhi-			1	abhidarśay		prefixus
darśay	anu-			1	anudarśay		prefixus
darśay	anupra-			1	anupradarśay		prefixus
darśay	ni-			1	nidarśay		prefixus
darśay	pra-			1	pradarśay		prefixus
darśay	prati-			1	pratidarśay		prefixus
darśay	saṃ-			1	saṃdarśay		prefixus
darśay	saṃpra-			1	saṃpradarśay		prefixus
darśay	upa-			1	upadarśay		prefixus
darśay	vi-			1	vidarśay		prefixus
darśay	ā-			1	ādarśay		prefixus
das				1	das	1:16	prefixus+classfreq
dasay						10:1	classfreq
dasyusādbhū				1	dasyusādbhū	1:3	prefixus+classfreq
davay				1	davay	10:1	prefixus+classfreq
day						1:34	classfreq
day	ā-			1	āday		prefixus
daṁsay						10:1	classfreq
daṁś						1:274	classfreq
daṁśay						10:133	classfreq
daṃç				1	daṃś		prefixus
daṃç	abhi-			1	abhidaṃś		prefixus
daṃç	pari-			1	paridaṃś		prefixus
daṃç	saṃ-			1	saṃdaṃś		prefixus
daṃç	vi-			1	vidaṃś		prefixus
daṃç	ā-			1	ādaṃś		prefixus
daṃśay				1	daṃśay		prefixus
dehay	pra-			1	pradehay		prefixus
devay				1	devay	10:63	prefixus+classfreq
devay	pari-			1	paridevay		prefixus
deśay				1	deśay	10:228	prefixus+classfreq
deśay	prati-			1	pratideśay		prefixus
deśay	ud-			1	uddeśay		prefixus
deśay	upa-			1	upadeśay		prefixus
deśay	ā-			1	ādeśay		prefixus
dham				1	dham	1:1148	prefixus+classfreq
dham	atyā-			1	atyādham		prefixus
dham	ava-			1	avadham		prefixus
dham	pari-			1	paridham		prefixus
dham	pra-			1	pradham		prefixus
dham	samā-			1	samādham		prefixus
dham	saṃ-			1	saṃdham		prefixus
dham	upa-			1	upadham		prefixus
dham	vi-			1	vidham		prefixus
dham	ā-			1	ādham		prefixus
dhamay				1	dhamay	10:20	prefixus+classfreq
dhamay	ava-			1	avadhamay		prefixus
dhamūṣīkṛ	an-			1	andhamūṣīkṛ		prefixus
dhan						1:2	classfreq
dhan	samud-			1	samuddhan		prefixus
dhan	ud-			1	uddhan		prefixus
dhanay						10:3	classfreq
dhanv				1	dhanv	1:42	prefixus+classfreq
dhanvīkṛ						8:1	classfreq
dharmīkṛ				1	dharmīkṛ	8:1	prefixus+classfreq
dharībhū	a-			1	adharībhū		prefixus
dharīkṛ	a-			1	adharīkṛ		prefixus
dharṣay				1	dharṣay	10:97	prefixus+classfreq
dharṣay	abhi-			1	abhidharṣay		prefixus
dharṣay	pari-			1	paridharṣay		prefixus
dharṣay	pra-			1	pradharṣay		prefixus
dharṣay	sampra-			1	sampradharṣay		prefixus
dharṣay	ud-			1	uddharṣay		prefixus
dharṣay	vi-			1	vidharṣay		prefixus
dharṣay	ā-			1	ādharṣay		prefixus
dhav						1:3	classfreq
dhavalīkṛ						8:2	classfreq
dheyīkṛ	abhi-			1	abhidheyīkṛ		prefixus
dhi				1	dhi	5:7	prefixus+classfreq
dhi	vyad-			1	vyadhay		prefixus
dhikkṛ				1	dhikkṛ	8:2	prefixus+classfreq
dhiṣṭhā	pari-			1	paridhiṣṭhā		prefixus
dhmā		blow	4				semantics
dhmāpay				1	dhmāpay	10:54	prefixus+classfreq
dhmāpay	pra-			1	pradhmāpay		prefixus
dhmāpay	vi-			1	vidhmāpay		prefixus
dhmāpay	ā-			1	ādhmāpay		prefixus
dhraj						1:6	classfreq
dhukṣ	saṃ-			1	saṃdhukṣ		prefixus
dhukṣ	ud-			1	uddhukṣ		prefixus
dhukṣay	saṃ-			1	saṃdhukṣay		prefixus
dhukṣay	saṃpra-			1	saṃpradhukṣay		prefixus
dhvajīkṛ				1	dhvajīkṛ	8:1	prefixus+classfreq
dhvan				1	dhvan	1:27	prefixus+classfreq
dhvan	pra-			1	pradhvan		prefixus
dhvanay				1	dhvanay	10:6	prefixus+classfreq
dhvasay						10:3	classfreq
dhvaṁs						1:118	classfreq
dhvaṁsay						10:11	classfreq
dhvaṃs				1	dhvaṃs		prefixus
dhvaṃs	abhi-			1	abhidhvaṃs		prefixus
dhvaṃs	apa-			1	apadhvaṃs		prefixus
dhvaṃs	pari-			1	paridhvaṃs		prefixus
dhvaṃs	pra-			1	pradhvaṃs		prefixus
dhvaṃs	prati-			1	pratidhvaṃs		prefixus
dhvaṃs	pravi-			1	pravidhvaṃs		prefixus
dhvaṃs	samud-			1	samuddhvaṃs		prefixus
dhvaṃs	ud-			1	uddhvaṃs		prefixus
dhvaṃs	upa-			1	upadhvaṃs		prefixus
dhvaṃs	vi-			1	vidhvaṃs		prefixus
dhvaṃs	vini-			1	vinidhvaṃs		prefixus
dhvaṃsay				1	dhvaṃsay		prefixus
dhvaṃsay	pra-			1	pradhvaṃsay		prefixus
dhvaṃsay	ud-			1	uddhvaṃsay		prefixus
dhvaṃsay	vi-			1	vidhvaṃsay		prefixus
dhvānay						10:1	classfreq
dhvṛ						1:2	classfreq
dhyai	abhi-			1	abhidhyai		prefixus
dhyai	abhini-			1	abhinidhyai		prefixus
dhyā				1	dhyā	3:988	prefixus+classfreq
dhyā	anu-			1	anudhyā		prefixus
dhyā	apa-			1	apadhyā		prefixus
dhyā	ava-			1	avadhyā		prefixus
dhyā	ni-			1	nidhyā		prefixus
dhyā	pra-			1	pradhyā		prefixus
dhyā	samabhi-			1	samabhidhyā		prefixus
dhyā	samanu-			1	samanudhyā		prefixus
dhyā	samapa-			1	samapadhyā		prefixus
dhyā	samā-			1	samādhyā		prefixus
dhyā	saṃ-			1	saṃdhyā		prefixus
dhyā	saṃpra-			1	saṃpradhyā		prefixus
dhyā	ā-			1	ādhyā		prefixus
dhyānībhū				1	dhyānībhū	1:2	prefixus+classfreq
dhyāpay						10:1	classfreq
dhā		put	16	2	dhā	1:2168|4:55	prefixus+semantics+classfreq
dhā	abhi-	name/call		1	abhidhā		prefixus+semantics
dhā	abhi-sam-	aim					semantics
dhā	abhini-			1	abhinidhā		prefixus
dhā	abhisamā-			1	abhisamādhā		prefixus
dhā	abhisaṃ-			1	abhisaṃdhā		prefixus
dhā	abhyava-			1	abhyavadhā		prefixus
dhā	abhyā-			1	abhyādhā		prefixus
dhā	adhisaṃ-			1	adhisaṃdhā		prefixus
dhā	anu-vi-	regulate					semantics
dhā	anusaṃ-			1	anusaṃdhā		prefixus
dhā	anuvi-			1	anuvidhā		prefixus
dhā	anvā-			1	anvādhā		prefixus
dhā	api-			1	apidhā		prefixus
dhā	atisaṃ-			1	atisaṃdhā		prefixus
dhā	ava-			1	avadhā		prefixus
dhā	avani-			1	avanidhā		prefixus
dhā	ni-			1	nidhā		prefixus
dhā	pari-			1	paridhā		prefixus
dhā	paryā-			1	paryādhā		prefixus
dhā	pra-			1	pradhā		prefixus
dhā	prasaṃ-			1	prasaṃdhā		prefixus
dhā	prati-			1	pratidhā		prefixus
dhā	pratini-			1	pratinidhā		prefixus
dhā	pratisamā-			1	pratisamādhā		prefixus
dhā	pratisaṃ-			1	pratisaṃdhā		prefixus
dhā	prativi-			1	pratividhā		prefixus
dhā	pratyabhi-			1	pratyabhidhā		prefixus
dhā	pratyapi-			1	pratyapidhā		prefixus
dhā	pravi-			1	pravidhā		prefixus
dhā	sam-ā-	concentrate					semantics
dhā	samabhi-			1	samabhidhā		prefixus
dhā	samabhisaṃ-			1	samabhisaṃdhā		prefixus
dhā	samā-			1	samādhā		prefixus
dhā	saṃ-			1	saṃdhā		prefixus
dhā	saṃni-			1	saṃnidhā		prefixus
dhā	saṃvi-			1	saṃvidhā		prefixus
dhā	upa-			1	upadhā		prefixus
dhā	upani-			1	upanidhā		prefixus
dhā	upasamā-			1	upasamādhā		prefixus
dhā	upasaṃ-			1	upasaṃdhā		prefixus
dhā	vi-	make/grant		1	vidhā		prefixus+semantics
dhā	vini-			1	vinidhā		prefixus
dhā	vipari-			1	viparidhā		prefixus
dhā	vyava-			1	vyavadhā		prefixus
dhā	vyā-			1	vyādhā		prefixus
dhā	ā-			1	ādhā		prefixus
dhāmay				1	dhāmay	10:45	prefixus+classfreq
dhāmay	pari-			1	paridhāmay		prefixus
dhānīkṛ	upa-			1	upadhānīkṛ		prefixus
dhāpay				1	dhāpay	10:8	prefixus+classfreq
dhāpay	ni-			1	nidhāpay		prefixus
dhāpay	pari-			1	paridhāpay		prefixus
dhāpay	saṃni-			1	saṃnidhāpay		prefixus
dhāpay	vi-			1	vidhāpay		prefixus
dhāpay	vini-			1	vinidhāpay		prefixus
dhāpay	vipari-			1	viparidhāpay		prefixus
dhāray				1	dhāray	10:1450	prefixus+classfreq
dhāray	abhi-			1	abhidhāray		prefixus
dhāray	ava-			1	avadhāray		prefixus
dhāray	ni-			1	nidhāray		prefixus
dhāray	pra-			1	pradhāray		prefixus
dhāray	sampra-			1	sampradhāray		prefixus
dhāray	saṃ-			1	saṃdhāray		prefixus
dhāray	saṃni-			1	saṃnidhāray		prefixus
dhāray	ud-			1	uddhāray		prefixus
dhāray	upa-			1	upadhāray		prefixus
dhāray	vi-			1	vidhāray		prefixus
dhāray	ā-			1	ādhāray		prefixus
dhārīkṛ	ā-			1	ādhārīkṛ		prefixus
dhāv				2	dhāv	1:622	prefixus+classfreq
dhāv	abhi-			1	abhidhāv		prefixus
dhāv	abhipra-			1	abhipradhāv		prefixus
dhāv	adhi-			1	adhidhāv		prefixus
dhāv	anu-			1	anudhāv		prefixus
dhāv	anupra-			1	anupradhāv		prefixus
dhāv	apa-			1	apadhāv		prefixus
dhāv	ni-			1	nidhāv		prefixus
dhāv	pari-			1	paridhāv		prefixus
dhāv	pra-			1	pradhāv		prefixus
dhāv	prati-			1	pratidhāv		prefixus
dhāv	samabhi-			1	samabhidhāv		prefixus
dhāv	samupa-			1	samupadhāv		prefixus
dhāv	samā-			1	samādhāv		prefixus
dhāv	saṃ-			1	saṃdhāv		prefixus
dhāv	saṃpra-			1	saṃpradhāv		prefixus
dhāv	upa-			1	upadhāv		prefixus
dhāv	vi-			2	vidhāv		prefixus
dhāv	vipari-			1	viparidhāv		prefixus
dhāv	vipra-			1	vipradhāv		prefixus
dhāv	vyava-			1	vyavadhāv		prefixus
dhāv	ā-			1	ādhāv		prefixus
dhāvay				1	dhāvay	10:19	prefixus+classfreq
dhāvay	pra-			1	pradhāvay		prefixus
dhī						3:39	classfreq
dhī	a-			1	adhī		prefixus
dhī	prā-			1	prādhī		prefixus
dhī	sama-			1	samadhī		prefixus
dhībhū	an-			1	andhībhū		prefixus
dhīkṛ	an-			1	andhīkṛ		prefixus
dhīkṛ	ā-			1	ādhīkṛ		prefixus
dhīṣ	a-			1	adhīṣ		prefixus
dhū				1	dhū	6:186	prefixus+classfreq
dhū	ava-			1	avadhū		prefixus
dhū	ni-			1	nidhū		prefixus
dhū	pari-			1	paridhū		prefixus
dhū	pravi-			1	pravidhū		prefixus
dhū	samud-			1	samuddhū		prefixus
dhū	samā-			1	samādhū		prefixus
dhū	ud-			1	uddhū		prefixus
dhū	vi-			1	vidhū		prefixus
dhū	vyava-			1	vyavadhū		prefixus
dhū	vyā-			1	vyādhū		prefixus
dhū	ā-			1	ādhū		prefixus
dhūnay				1	dhūnay	10:5	prefixus+classfreq
dhūnay	ava-			1	avadhūnay		prefixus
dhūnay	vi-			1	vidhūnay		prefixus
dhūnay	vyava-			1	vyavadhūnay		prefixus
dhūrv						6:12	classfreq
dhṛ		hold	6	1	dhṛ	4:959	prefixus+semantics+classfreq
dhṛ	abhi-			1	abhidhṛ		prefixus
dhṛ	abhyud-			1	abhyuddhṛ		prefixus
dhṛ	ava-			1	avadhṛ		prefixus
dhṛ	ni-			1	nidhṛ		prefixus
dhṛ	pari-			1	paridhṛ		prefixus
dhṛ	pra-			1	pradhṛ		prefixus
dhṛ	samabhyud-			1	samabhyuddhṛ		prefixus
dhṛ	samud-			2	samuddhṛ		prefixus
dhṛ	saṃ-			1	saṃdhṛ		prefixus
dhṛ	ud-			2	uddhṛ		prefixus
dhṛ	upa-	consider					semantics
dhṛ	vi-			1	vidhṛ		prefixus
dhṛ	ā-			1	ādhṛ		prefixus
dhṛṣ				1	dhṛṣ	1:103	prefixus+classfreq
dhṛṣ	abhi-			1	abhidhṛṣ		prefixus
dhṛṣ	pra-			1	pradhṛṣ		prefixus
dhṛṣ	samā-			1	samādhṛṣ		prefixus
dhṛṣ	saṃpra-			1	saṃpradhṛṣ		prefixus
dih				1	dih	2:165	prefixus+classfreq
dih	abhisaṃ-			1	abhisaṃdih		prefixus
dih	anusaṃ-			1	anusaṃdih		prefixus
dih	ni-			1	nidih		prefixus
dih	pra-			1	pradih		prefixus
dih	samā-			1	samādih		prefixus
dih	saṃ-			1	saṃdih		prefixus
dih	upa-			1	upadih		prefixus
dih	ā-			1	ādih		prefixus
dinīkṛ				1	dinīkṛ	8:1	prefixus+classfreq
dis	samā-			1	samādis		prefixus
diç				1	diś		prefixus
diç	abhyupa-			1	abhyupadiś		prefixus
diç	anu-			1	anudiś		prefixus
diç	anvā-			1	anvādiś		prefixus
diç	apa-			1	apadiś		prefixus
diç	ati-			1	atidiś		prefixus
diç	ni-			1	nidiś		prefixus
diç	pra-			1	pradiś		prefixus
diç	prati-			1	pratidiś		prefixus
diç	pratisamā-			1	pratisamādiś		prefixus
diç	pratisaṃ-			1	pratisaṃdiś		prefixus
diç	pratyupa-			1	pratyupadiś		prefixus
diç	pratyā-			1	pratyādiś		prefixus
diç	sampra-			1	sampradiś		prefixus
diç	samud-			1	samuddiś		prefixus
diç	samupa-			1	samupadiś		prefixus
diç	saṃ-			1	saṃdiś		prefixus
diç	ud-			1	uddiś		prefixus
diç	upa-			1	upadiś		prefixus
diç	vyapa-			1	vyapadiś		prefixus
diç	vyā-			1	vyādiś		prefixus
diç	ā-			1	ādiś		prefixus
diś		explain	2			6:146	semantics+classfreq
diś	ut-	aim					semantics
do						6:6	classfreq
dohay				1	dohay	10:3	prefixus+classfreq
dohay	ava-			1	avadohay		prefixus
dravay						10:1	classfreq
dravībhū				1	dravībhū	1:17	prefixus+classfreq
dravīkṛ				1	dravīkṛ	8:14	prefixus+classfreq
dru		run	2	1	dru	1:998	prefixus+semantics+classfreq
dru	abhi-			1	abhidru		prefixus
dru	abhivi-			1	abhividru		prefixus
dru	abhyā-			1	abhyādru		prefixus
dru	anu-			1	anudru		prefixus
dru	anvā-			1	anvādru		prefixus
dru	apa-			1	apadru		prefixus
dru	ati-			1	atidru		prefixus
dru	parā-			1	parādru		prefixus
dru	pra-			1	pradru		prefixus
dru	pravi-			1	pravidru		prefixus
dru	prā-			1	prādru		prefixus
dru	samabhi-			1	samabhidru		prefixus
dru	samabhipra-			1	samabhipradru		prefixus
dru	sampra-			1	sampradru		prefixus
dru	samupa-			1	samupadru		prefixus
dru	samā-			1	samādru		prefixus
dru	saṃ-			1	saṃdru		prefixus
dru	saṃvi-			1	saṃvidru		prefixus
dru	upa-			1	upadru		prefixus
dru	vi-			1	vidru		prefixus
dru	vipra-			1	vipradru		prefixus
dru	vyapa-			1	vyapadru		prefixus
dru	ā-			1	ādru		prefixus
druh				1	druh	6:48	prefixus+classfreq
druh	abhi-			1	abhidruh		prefixus
druh	vi-			1	vidruh		prefixus
drutīkṛ				1	drutīkṛ	8:3	prefixus+classfreq
drā						2:11	classfreq
drāvay				1	drāvay	10:307	prefixus+classfreq
drāvay	abhi-			1	abhidrāvay		prefixus
drāvay	pari-			1	paridrāvay		prefixus
drāvay	pra-			1	pradrāvay		prefixus
drāvay	saṃ-			1	saṃdrāvay		prefixus
drāvay	vi-			1	vidrāvay		prefixus
drū						9:1	classfreq
du				1	du	4:66	prefixus+classfreq
du	pari-			1	paridu		prefixus
du	pra-			1	pradu		prefixus
du	vi-			1	vidu		prefixus
dudh						1:6	classfreq
duh				1	duh	4:356	prefixus+classfreq
duh	abhi-			1	abhiduh		prefixus
duh	pra-			1	praduh		prefixus
duh	saṃ-			1	saṃduh		prefixus
durbalīkṛ						8:1	classfreq
durbhagīkṛ						8:1	classfreq
durjanīkṛ						8:1	classfreq
duḥkhākṛ						8:1	classfreq
duḥkhībhū						1:1	classfreq
duṣ		corrupt	1	1	duṣ	4:755	prefixus+semantics+classfreq
duṣ	anu-			1	anuduṣ		prefixus
duṣ	pra-			1	praduṣ		prefixus
duṣ	prati-			1	pratiduṣ		prefixus
duṣ	sampra-			1	sampraduṣ		prefixus
duṣ	saṃ-			1	saṃduṣ		prefixus
duṣ	vi-			1	viduṣ		prefixus
duṣ	vipra-			1	vipraduṣ		prefixus
duṣkṛ	prā-			1	prāduṣkṛ		prefixus
duṣṭībhū				1	duṣṭībhū	1:1	prefixus+classfreq
dvaidhībhū				1	dvaidhībhū	1:6	prefixus+classfreq
dvaidhīkṛ				1	dvaidhīkṛ	8:3	prefixus+classfreq
dvaṁdvībhū						1:2	classfreq
dvaṁdvīkṛ						8:2	classfreq
dvaṃdvībhū				1	dvaṃdvībhū		prefixus
dvaṃdvīkṛ				1	dvaṃdvīkṛ		prefixus
dveṣay	vi-			1	vidveṣay		prefixus
dvidhākṛ				1	dvidhākṛ	8:4	prefixus+classfreq
dviguṇībhū				1	dviguṇībhū	1:4	prefixus+classfreq
dviguṇīkṛ						8:2	classfreq
dvividhīkṛ				1	dvividhīkṛ	8:1	prefixus+classfreq
dviṣ		hate	5	1	dviṣ	1:659	prefixus+semantics+classfreq
dviṣ	pari-			1	paridviṣ		prefixus
dviṣ	pra-			1	pradviṣ		prefixus
dviṣ	saṃ-			1	saṃdviṣ		prefixus
dviṣ	vi-			1	vidviṣ		prefixus
dvārībhū						1:1	classfreq
dyotay				1	dyotay	10:38	prefixus+classfreq
dyotay	pra-			1	pradyotay		prefixus
dyotay	ud-			1	uddyotay		prefixus
dyotay	vi-			1	vidyotay		prefixus
dyut				1	dyut	1:54	prefixus+classfreq
dyut	vi-			1	vidyut		prefixus
dyutay						10:1	classfreq
dā		give	10	2	dā	1:9876|4:8	prefixus+semantics+classfreq
dā	abhi-			1	abhidā		prefixus
dā	abhyā-			1	abhyādā		prefixus
dā	anupra-			1	anupradā		prefixus
dā	apā-			1	apādā		prefixus
dā	ati-			1	atidā		prefixus
dā	pari-			1	paridā		prefixus
dā	parisamā-			1	parisamādā		prefixus
dā	paryā-			1	paryādā		prefixus
dā	pra-	offer		1	pradā		prefixus+semantics
dā	prati-			1	pratidā		prefixus
dā	pratipra-			1	pratipradā		prefixus
dā	pratyā-			1	pratyādā		prefixus
dā	sampra-			1	sampradā		prefixus
dā	samā-			1	samādā		prefixus
dā	saṃ-			1	saṃdā		prefixus
dā	ud-			1	uddā		prefixus
dā	upa-			1	upadā		prefixus
dā	vyā-			1	vyādā		prefixus
dā	ā-	take		1	ādā		prefixus+semantics
dāhay				1	dāhay	10:61	prefixus+classfreq
dāhay	pari-			1	paridāhay		prefixus
dāhay	saṃ-			1	saṃdāhay		prefixus
dālay				1	dālay	10:7	prefixus+classfreq
dālay	ud-			1	uddālay		prefixus
dāpay				1	dāpay	10:491	prefixus+classfreq
dāpay	abhi-			1	abhidāpay		prefixus
dāpay	anu-			1	anudāpay		prefixus
dāpay	pra-			1	pradāpay		prefixus
dāpay	prati-			1	pratidāpay		prefixus
dāpay	saṃ-			1	saṃdāpay		prefixus
dāpay	saṃpra-			1	saṃpradāpay		prefixus
dāray				1	dāray	10:141	prefixus+classfreq
dāray	ava-			1	avadāray		prefixus
dāray	pra-			1	pradāray		prefixus
dāray	pravi-			1	pravidāray		prefixus
dāray	saṃ-			1	saṃdāray		prefixus
dāray	vi-			1	vidāray		prefixus
dāruṇībhū				1	dāruṇībhū	1:1	prefixus+classfreq
dās				1	dās	1:1	prefixus+classfreq
dās	abhi-			1	abhidās		prefixus
dāsīkṛ				1	dāsīkṛ	8:7	prefixus+classfreq
dāyay				1	dāyay	10:1	prefixus+classfreq
dāś						5:239	classfreq
dī						4:11	classfreq
dīkṣ				1	dīkṣ	1:88	prefixus+classfreq
dīkṣay				1	dīkṣay	10:80	prefixus+classfreq
dīkṣāpay						10:1	classfreq
dīp				1	dīp	4:1049	prefixus+classfreq
dīp	pari-			1	paridīp		prefixus
dīp	pra-			1	pradīp		prefixus
dīp	samud-			1	samuddīp		prefixus
dīp	saṃ-			1	saṃdīp		prefixus
dīp	saṃpra-			1	saṃpradīp		prefixus
dīp	ud-			1	uddīp		prefixus
dīp	vi-			1	vidīp		prefixus
dīp	ā-			1	ādīp		prefixus
dīpay				1	dīpay	10:90	prefixus+classfreq
dīpay	abhi-			1	abhidīpay		prefixus
dīpay	abhivi-			1	abhividīpay		prefixus
dīpay	ava-			1	avadīpay		prefixus
dīpay	pari-			1	paridīpay		prefixus
dīpay	pra-			1	pradīpay		prefixus
dīpay	sampra-			1	sampradīpay		prefixus
dīpay	samud-			1	samuddīpay		prefixus
dīpay	saṃ-			1	saṃdīpay		prefixus
dīpay	ud-			1	uddīpay		prefixus
dīpay	upa-			1	upadīpay		prefixus
dīpay	vi-			1	vidīpay		prefixus
dīpay	ā-			1	ādīpay		prefixus
dīpībhū				1	dīpībhū	1:1	prefixus+classfreq
dīrghīkṛ				1	dīrghīkṛ	8:5	prefixus+classfreq
dīv				1	dīv	1:1|4:97	prefixus+classfreq
dīv	pari-			1	paridīv		prefixus
dīv	prati-			1	pratidīv		prefixus
dūrībhū				1	dūrībhū	1:10	prefixus+classfreq
dūrīkṛ				1	dūrīkṛ	8:23	prefixus+classfreq
dūṣay				1	dūṣay	10:311	prefixus+classfreq
dūṣay	abhi-			1	abhidūṣay		prefixus
dūṣay	abhipra-			1	abhipradūṣay		prefixus
dūṣay	pra-			1	pradūṣay		prefixus
dūṣay	prati-			1	pratidūṣay		prefixus
dūṣay	saṃ-			1	saṃdūṣay		prefixus
dūṣay	vi-			1	vidūṣay		prefixus
dṛ				1	dṛ	9:127	prefixus+classfreq
dṛ	abhivi-			1	abhividṛ		prefixus
dṛ	anu-			1	anudṛ		prefixus
dṛ	ava-			1	avadṛ		prefixus
dṛ	pra-			1	pradṛ		prefixus
